,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
0,smoke-jazz-and-supper-club-new-york-2,4.0,350,3.78,30,32,44,122,122,5,2.2,1,2,2,0,0,$31 to $50,Contemporary American
1,tavern-on-the-green-new-york-7,3.5,1238,3.38,208,163,192,304,371,29,3.86,1,5,4,6,13,$31 to $50,American
2,abc-kitchen-new-york,4.0,2855,4.09,101,169,359,969,1257,20,3.8,3,2,2,2,11,$31 to $50,Contemporary American
3,catch-new-york-new-york,3.5,36,3.44,9,2,4,6,15,1,1.0,1,0,0,0,0,$31 to $50,Seafood
4,becco-new-york-4,3.5,2674,3.73,211,261,462,857,883,16,4.12,0,3,1,3,9,$30 and under,Italian
5,estiatorio-milos-new-york,4.0,827,3.99,42,62,106,271,346,12,4.42,0,0,2,3,7,$50 and over,Seafood
6,tao-uptown-new-york,3.5,2449,3.55,219,267,521,822,620,12,3.67,2,0,2,4,4,$31 to $50,Asian
7,red-rooster-harlem-new-york-3,3.5,2939,3.53,273,420,573,828,845,36,3.78,3,6,4,6,17,$31 to $50,Other
8,del-friscos-double-eagle-steakhouse-new-york,4.5,2751,4.29,89,127,276,657,1602,44,4.41,1,1,6,7,29,$50 and over,Steakhouse
9,fig-and-olive-fifth-ave-new-york-4,3.5,1098,3.57,89,124,203,432,250,13,3.77,0,2,4,2,5,$31 to $50,Mediterranean
10,rosa-mexicano-new-york-6,3.5,1111,3.59,90,122,229,382,288,14,4.07,0,1,4,2,7,$31 to $50,Mexican
11,abc-cocina-new-york,4.0,839,3.83,38,80,146,295,280,10,4.0,0,2,1,2,5,$30 and under,Other
12,gallaghers-steakhouse-new-york,4.0,970,4.13,46,66,114,236,508,20,3.55,3,4,2,1,10,$50 and over,Steakhouse
13,boulud-sud-new-york,4.0,682,3.9,30,54,108,254,236,7,4.57,0,0,0,3,4,$50 and over,Mediterranean
14,nougatine-at-jean-georges-new-york-3,4.0,1061,3.86,71,88,163,332,407,9,3.44,2,0,2,2,3,$31 to $50,French
15,sarabeths-new-york-10,3.5,1688,3.4,174,247,377,504,386,18,3.39,2,3,4,4,5,$30 and under,American
16,tao-downtown-new-york-2,3.5,1250,3.61,158,129,172,372,419,24,2.96,8,2,3,5,6,$50 and over,Asian
17,ilili-new-york-2,4.0,2251,4.03,70,154,293,860,874,14,3.79,0,3,3,2,6,$31 to $50,Other
18,scarpetta-new-york,4.0,1784,4.18,58,83,195,594,854,18,4.17,1,0,2,7,8,$31 to $50,Italian
19,atlantic-grill-new-york-3,3.5,546,3.74,33,50,95,218,150,1,4.0,0,0,0,1,0,$31 to $50,Seafood
20,empellón-new-york-3,4.0,299,3.89,19,28,39,93,120,11,3.91,0,2,1,4,4,$31 to $50,Mexican
21,ocean-prime-new-york,4.5,481,4.42,13,22,33,96,317,24,4.42,0,2,2,4,16,$31 to $50,Seafood
22,sarabeths-west-new-york,3.5,868,3.43,80,114,188,327,159,6,3.67,1,1,0,1,3,$30 and under,American
24,toloache-50-new-york,4.0,1761,3.93,77,125,272,656,631,6,4.17,1,0,0,1,4,$30 and under,Mexican
25,blue-fin-new-york,3.5,944,3.54,70,104,214,359,197,7,3.86,0,1,1,3,2,$31 to $50,Seafood
26,bar-boulud-new-york-2,3.5,816,3.43,62,113,202,287,152,6,3.67,0,1,1,3,1,$30 and under,French
27,hakkasan-new-york,3.5,846,3.74,60,84,162,247,293,8,4.0,0,1,2,1,4,$50 and over,Chinese
28,lincoln-ristorante-new-york,4.0,541,3.81,54,44,65,165,213,6,4.33,0,0,1,2,3,$31 to $50,Italian
29,cafe-boulud-new-york-4,4.0,670,4.08,38,39,76,198,319,12,3.92,2,1,0,2,7,$50 and over,French
30,the-view-restaurant-and-lounge-new-york,3.0,974,3.09,159,171,243,230,171,10,3.3,2,1,2,2,3,$31 to $50,Contemporary American
31,park-avenue-autumn-winter-spring-summer-new-york-3,4.0,844,4.04,40,64,105,250,385,36,4.06,1,3,5,11,16,$31 to $50,American
32,zuma-new-york-2,3.5,564,3.53,90,60,80,127,207,8,4.12,0,1,1,2,4,$50 and over,Japanese & Koren
33,la-pecora-bianca-new-york,4.0,460,3.75,30,59,64,149,158,8,4.38,0,0,1,3,4,$30 and under,Italian
34,la-pecora-bianca-new-york,4.0,460,3.75,30,59,64,149,158,8,4.38,0,0,1,3,4,$30 and under,Italian
35,calle-ocho-new-york,4.0,2458,3.94,99,165,374,969,851,19,3.58,1,3,4,6,5,$31 to $50,Spanish
36,sarabeths-new-york-5,3.0,578,3.08,86,119,128,154,91,6,3.0,1,1,1,3,0,$30 and under,American
37,lavo-new-york-4,3.5,965,3.25,197,96,168,274,230,8,2.38,3,1,3,0,1,$50 and over,Italian
38,la-masseria-new-york-3,4.0,549,4.07,32,32,59,170,256,6,4.33,0,1,0,1,4,$31 to $50,Italian
39,lido-new-york,4.0,903,4.08,33,54,106,324,386,6,4.0,0,1,1,1,3,$30 and under,Italian
40,ristorante-morini-new-york,4.0,262,3.87,26,20,32,67,117,2,3.5,0,0,1,1,0,$31 to $50,Italian
41,morimoto-new-york,4.0,2921,4.06,104,188,433,914,1282,38,3.79,3,2,9,10,14,$50 and over,Japanese & Koren
42,aureole-new-york,4.0,860,3.81,51,70,152,306,281,19,3.95,1,2,1,8,7,$31 to $50,American
43,fogo-de-chao-brazilian-steakhouse-new-york-4,4.0,1041,3.98,63,62,142,343,431,26,4.23,0,2,3,8,13,$50 and over,Steakhouse
44,limani-new-york,4.0,385,3.77,34,38,58,108,147,9,4.44,0,0,1,3,5,$50 and over,Mediterranean
