rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/27/2019,"I went to the Supper club last night for Ella Fitzgerald's birthday celebration. The performance was not worth the 40 dollars per person I spent. The place was tiny, it's an over priced hole in the wall. They claimed to have soul food on the menu, but the food much like the place lacked any such thing. The food portions are disrespectfully small, and my food was lukewarm at best. I ordered the lobster bouillabaisse, which didn't have lobster, but beyond baby langostino tails. The menu said that the dish came with shrimp, and scallops. The shrimp, and scallops all fit into the clams, and mussels. This place is shitty, you can't even move at your table if you happen to enjoy the music. I'm slim, I could barely fit in between the tables to get up to use the bathroom in this cramped place, and to exacerbate the issue the food is just as small, and the people are bougie. If you're looking to have a good time, hear good music, and eat don't go to the Supper club. If you're anorexic, rich, and pretentious this is you place.I wouldn't give this place the 1 star that I did, but I didn't have a  choice.",0,0,0,Sky G.,"Bronx, Bronx, NY",0,4,0
5.0,4/21/2019,"Went there today! Was excellent! Cynthia Scott was amazing! Have been to Smoke a few times before, Cynthia Scott was the best I have seen there, amazing voice! Food and service were great as usual.",0,0,0,Laila S.,"Manhattan, NY",6,2,0
1.0,4/17/2019,Don't get fooled by the token black guy behind the bar - this place is racist!,0,0,0,Jane K.,"New York, NY",0,1,0
5.0,3/11/2019,"Honestly and truly, Smoke Jazz is awesome. I've heard so many wonderful things about Smoke Jazz and I've been trying to get there for at least the past two years. For some reason or another, I could seem to get there but that's where NYC restaurant week comes in. Btw... If you haven't taken advantage of NYC restaurant week, boy oh boy are you missing out. Now back to Smoke Jazz, as I mentioned, restaurant week has made it possible for me to try several restaurants that I might not otherwise get to and Smoke Jazz is one of them. The restaurant is small and intimate but this amplifies the overall experience. Once the music begins, you really feel as if the musicians are playing just for you. There is not a bad seat in the house. If you arrive early, you should be able to request a table that works for you but of course, that would mean you plan to have dinner at a table and not the bar area. Don't get me wrong, the bar area is ok too. Keep in mind, there is a music/performance upcharge on your bill once the show is over. It's worth it. Before I get into the excitement food, let me take a moment to acknowledge the entire staff. Smoke Jazz operates like a well-oiled machine. I was very impressed with the efficiency of the whole operation. The wait staff is very knowledgeable about the menu and are willing to answer any questions. Now on to the food. I had the wedge salad and lobster ravioli. Incredible... Is one word that comes to mind. I even had the brownies for dessert and even that was delicious. Well, I'm sure your wondering by now, what about the music? Well, music is a form of art and up to interpretation and although I enjoyed the show and my entire experience at Smoke Jazz, let me take this moment to encourage you to stop reading this and make your reservation now! It's a magical night you will cherish for the rest of your life. Enjoy",1,0,1,Percy H.,"Brooklyn, NY",445,248,524
5.0,2/24/2019,"Beautiful, great music, great ambiance. My only suggestion is more vegetarian options. All we could get was ratatouille. It was good, but we had no other choice and we had to get an entree. Our waitress was great, and we had a great time otherwise.",0,0,0,Sharon R.,"Dana Point, CA",0,33,0
5.0,2/21/2019,"Smoke Jazz Club is well worth the trip to the 103rd St stop off the 1 train. I went with 3 friends on a Tuesday night to celebrate one of their birthdays and we had an awesome time - tickets for the show were only $15, and then we decided to utilize the dinner reservation that comes along with that (though I *think* that's optional and you can just sit at the bar).The food was a bit pricey but very very good - I'd highly recommend their salmon and trying their mojito. And we also split the calamari, Louisiana shrimp poppers, and croquettes - all of which were quite tasty.Oh, and did I forget to mention that the jazz performance itself was absolutely incredible? Even though it was just a Tuesday night, the act we saw was super talented and impressive. Overall, I'd highly recommend going to Smoke!",2,2,3,Matt B.,"New York, NY",463,10,11
1.0,2/19/2019,The place is beautiful and have good artists coming but it's so pretentious! The food is discusting and super expensive the cocktail shrimp it is 4 shrimps for $20 and they request people to order at least one entrée and appetizer there in addition to the fee to go inside and in less than one hour.,0,0,0,Alexandre B.,"Paris, France",0,5,0
1.0,2/17/2019,I had the unfortunate experience of meeting the owner of this establishment as a local resident to the area. This person acted as a very entitled and rude person and I could never advise anyone patronizing his investment. Terrible human in my personal experience,0,0,0,Dave J.,"Manhattan, NY",1,56,10
2.0,2/16/2019,"Absolutely Great music, but terrible food.On the weekends it's $40 cover charge and each person must get an entree. Entrees are about $38 which I wouldn't mind if they tasted good but unfortunately they didn't. We got the shrimp cocktail which came with 4 shrimps (hehe) & this calamari could be like a $5 calamari from the cheapest restaurant. Ugh. Terrible.We had a 9pm show, were asked arrive at 8:30. We were told we must leave by 10. So for 1.5 hours we spent about $120 per person for terrible food. I would pay $40 for the show again, but the expensive food tasted so bad that I do not recommend this place. Unfortunately won't be coming here again & do Not recommend it. I really wanted to like it but nothing makes up for mandatory, bad, expensive food. Thumbs down!",0,0,0,Krittika W.,"Poughkeepsie, NY",136,129,42
2.0,2/15/2019,"This was my first time coming to Smoke in a few years and the quality has dropped significantly all around.  I'm disappointed because this used to be one of my favorite places. First, the service was very slow. And the people sitting on either side of us were complaining of the same thing. In addition, the quality of the food was nowhere near as good as it used to be. We had the pork chop and the salmon. Both were bland and uninspired. The mac and cheese that came with the pork chop tasted like it came from a Kraft box, but with less cheese. In terms of drinks, the old fashioned tasted watered down so I switched to beer immediately after the first one. Also note that the prix fixe dessert of chocolate covered strawberries was literally just one chocolate covered strawberry. Another big letdown. What saved the experience was the act that performed; they were amazing. But at such an expensive price point, I expected much more, especially after having been here so many times in the past. Most importantly: be aware that there is a $45 per person music charge in addition to dinner. I would recommend buying tickets in advance online, where they go for $20 per person. The markup at the door is ridiculous. Don't think I'll be back until there's a change in management.",0,0,0,Jason P.,"New York, NY",251,17,0
