rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"This was our first time to eat here. We sat outside, listened to a little live jazz and enjoyed our brunch. My husband said ""this was the best French Toast I've ever had""!  I ordered the shrimp and grits; it was just ok. The shrimp were a little dry and small. I've had better. But all in all, we enjoyed the ambiance of this restaurant and the  service was good.",0,0,0,Jane H.,"Marion, AR",0,3,4
5.0,4/28/2019,One of the best times we've ever had. SHPAT is an awesome server. The food was good and the people were great.,0,0,0,Ken H.,"Newbury Park, CA",0,8,0
4.0,4/27/2019,"Tavern on the Green is worth experiencing, but be prepared to overpay for what you get. The atmosphere is outstanding. I've eaten both inside and outside, both were good, but there was little shade and no umbrellas outside. Aside from the ambiance, the rest of the experience here has been less than stellar. Both times service was fairly slow and took several tries to get servers attention. Food is ok, maybe even good, but not worth the price they charge. Drinks are also very good.",0,0,0,Molly P.,"Flushing, NY",0,31,0
4.0,4/24/2019,"Our first time here, the scenery was awesome and our waiter attentive and informative.  It was great seeing the kitchen and view of central park.  Our meal was delicious and the creme brûlée scrumptious.  The staff at the gift store was very sweet and cute little gifts were available.We would definitely return.  Thank you, Linda and family",0,0,0,John U.,"Greenlawn, NY",0,7,0
1.0,4/22/2019,"FYI. My 10-year old daughter wrote this review. THIS ISN'T EVEN WORTH ONE STAR!!!! WE PAID $125 FOR EACH PERSON FOR EASTER LUNCH. It was quite the experience. The napkins felt like SANDPAPER. It was not fun to feel sandpaper rubbing against your legs throughout a meal. The menu said that they would start you off with a basket of pastries. Seems nice right? NOPE! The menu specifically said WARMED pastries. When we got them they were EXTREMELY COLD. The actual pastries also weren't good. They were all from a random supermarket. The croissants were not even a tad bit flaky. Being flaky is a croissant's whole purpose!!!! The first course was OKAY. It had a very bland pea soup. Some could even say it tasted like baby food. The presentation for the soup was a HOT MESS. The flatbread sounded interesting. It was bread with chunks of fig and they smacked arugula on top. The best first course meal was the smoked salmon but you can buy that in any supermarket. For the main course some people ordered french toast that was cooked without eggs and came from a frozen package in a sketchy supermarket. it was also DROWNED in whipped cream. The lamb looked like it was boiled. The salmon was OK. Even the coffee was stale according to the people who had it. The spinach on the egg benedict was frozen. You could tell it was from a package. Everything was cold. The creme brûlée had coconut in it and pineapple on the top that everyone scraped off. The olive oil cake looked like a twinkie that dried out a bajillion years ago. It wasn't even as good as a twinkie. The chocolate mousse was ok. But it was not made there, they bought it. I am 10 years old and I will never go back here in the rest of my years of life.",2,2,0,Shakil A.,"Washington, DC",0,5,0
5.0,4/20/2019,"We had a superb waiter and a very good Manhattan.  In town for one night, we were able to walk through Central Park to the restaurant which made the whole evening nicer.  The roasted fig salad we had as an appetizer was wonderful.   Our roasted chicken was very tasty.  The 40's era singer was dressed to fit the part and really added to the ambiance",0,0,0,Mary G.,"Atlanta, GA",0,9,0
5.0,4/20/2019,We recently ate at Tavern on the Green from Long Island  for my moms 70th bday. We came for brunch with a party of 12. Everything was fantastic from the minute we walked in! The staff went above and beyond to accommodate us and we never felt rushed. The food was excellent and everyone was so happy with their experience! Highly recommend coming to see all the wonderful changes this place has made! We will be back!! Thanks for a great day!!,0,0,0,Kerrin A.,"Long Beach, NY",5,11,2
5.0,4/19/2019,One of my favorite sports to eat outside in the spring !! So NYC and beautiful with amazing drinks and food,0,0,0,Melissa H.,"New York, NY",5,6,0
3.0,4/17/2019,"For all they claim it is, it's just OK.  My fish and chips was tasty, but a little heavy on the breading.  It's fine dining for sure, even at lunch.  Maybe dinner next time.",0,0,0,Bryan M.,"Dalton, GA",4,148,5
5.0,4/16/2019,"We did a lot of exploring this trip to NY and I would have to rank this as one of my favorite places we ate during our stay.If you have never been in the area, or just want to do some exploring, unrelated to Tavern on the Green. I would recommend taking a walk through Central Park (especially if it isn't February and under 40 degrees). From the outside, the look and feel is very inviting and as soon as the doorman opens the door and lets you in, you walk into an elegant setting. Advice, make sure you call ahead and make reservations because they book up fast. Sunday Brunch couldn't be at a better location. Both of us noticed one app in particular....the Maple Brown Sugar Glazed Bacon --- let's leave it at ---- LIFE ALTERING! Thick, cooked to crispy perfection, it comes dangerously close to ruining all other forms of bacon.Main dish, I had to go with one of my fall back classics (especially since I saved a piece of bacon to accompany my order - The Cheeseburger. Orders were up in about 20 minutes and didn't disappoint! My burger was just the right amount of juicy with all the typical fresh trimmings ++ the most amazing bacon ever! Staff was friendly and accommodating and never left us unattended for too long. Prices are a little high, but it's NYC and on the edge of Central Park. Once you've finished eating they have a gift store that has some signature branded items to go along with some unique treasures. You may just be able to find that 'thank you for watching my dog' gift as you browse through the small space.Overall we couldn't have been happier with our experience here. I would highly recommend Tavern On THe Green be added to your list of 'MUST DO' while in NY places.",9,3,8,Rob S.,"Birmingham, AL",556,792,8199
5.0,4/15/2019,"Bloody glorious is how I would describe the two brunches we enjoyed here. On day 1, we arrived at 9:45 on Saturday and were greeted by a lovely host. We waited in a sitting room area, until our server escorted us to our table next to the large glass windows at the back. Our group ordered Bellinis, appetizers, entrées and a dessert. Appetizers consisted of figs with assorted greens, honey and goat cheese: perfect way to start a meal. My buddy had the thick cut bacon, which would best be ordered to share and to enjoy at the same time as one of the entrées. Finally, one of us had the biscuit and gravy: not the best I have ever had, the other appetizers were definitely better. We moved on to entrées and had the eggs Benedict, one with smoked salmon and the other with lobster, and a third person had the brioche French toast. All were smashes, but you can skip the lobster which was out of season. Each of us were delighted with our choices. We even ordered a piece of carrot cake to share, also delicious but definitely over priced. We had such a good time, we reserved a table again the next day, Sunday at 9:00. Booking was very easy online. Again, the host was lovely, this time a woman who made us feel welcome without being overly bubbly as hostesses can sometimes be. We requested an outdoor table upon arrival and she accommodated us. We shared 2 appetizers between 3 diners. The potato pancakes (pretentious for latkes) were simply great. Flavourful, fried perfectly and served with sour cream and apple sauce. The portion was just right for an opener but can you ever have enough of a good latke? I ordered the mixed pastry basket which was good but not great. Our entrées were the shrimp and grits (not bad), bacon & egg flat bread and the avocado salad with poached eggs served on toast (both amazing)Service was pretty on point, but felt our Saturday waiter started strong and then stopped caring after our entrées arrived. This will be a fond memory of spending the weekend in Manhattan.",1,0,0,Steve S.,"Montreal, Canada",52,8,0
5.0,4/14/2019,Wow! Specially drinks are to die for. My favorite was The Royal Bee was amazing! It comes with an edible orchid. The Bloody Mary has horseradish to make it extra spicy. Perfect brunch spot,0,0,0,Erica A.,"El Paso, TX",86,53,41
4.0,4/13/2019,We really enjoyed our lunch at Tavern on the Green. We did make reservations ahead of time so getting a table was easy. My husband had the Tavern Burger which set a new record for the most expensive burger we have ever purchased but it was delicious! The meat was flavorful and juicy. I ordered the Chicken Caesar salad. It was good as well. The dressing and croutons were great and the lettuce was fresh and crispy. The cheese was an unexpected treat. Service was good too. The only negative was the chicken on the salad. It did not seem like it was made in house. Prepackaged perhaps? I see why they have other options to choose from regarding a protein. I would choose differently next time. Overall very good lunch.,0,0,0,Nannette L.,"Saint Petersburg, FL",0,3,2
1.0,4/13/2019,Bridge and tunnel crowd. Harassed by staff. Put on wait list for 30 mins with a half empty outside area. Real low brow. Staff needs a lesson in civility. One star for nice weather. No stars for service. And NA on food. BC we never got a seat.,0,0,0,Mitchell A.,"Manhattan, NY",100,6,1
2.0,4/7/2019,"Waited 20 minutes in the lounge waiting for someone to take our order, before leaving. A point for ambiance and for letting people hang out on your couches for free!",0,0,0,Kirk H.,"Homestead, FL",3,30,0
5.0,4/6/2019,"My very pregnant wife and I visited Tavern on the Green on a beautiful Spring Saturday afternoon in early April.  We arrived early to our 2:45 pm reservation, and were directed to the bar.  The entire venue is  a delight, each room being uniquely beautiful in its own way, and the bar is no exception. I ordered a whiskey cocktail, which was boozy and delicious.  My wife requested a virgin version of a their fig and honey cocktail and, not only was the bartender happy to oblige, but upon receiving the check, I found he had charged less than half the price of the original cocktail, despite doing the same amount of work.After being seated at our table almost exactly at 2:45 (and already knowing our order), we ordered the maple bacon appetizer, the avocado poached eggs, and the steak and eggs.  All three were wonderful.  The bacon was especially so.  My wife asked where we could find bacon so thick and uniformly fatty (almost like a pork version of Kobe beef), and I wish I knew the answer.  We informed the waiter that my wife was pregnant when she ordered the steak and eggs, and both came out absolutely perfect, both cooked at exactly the minimum they needed the be to be safe for an expectant mother.  Our waiter, Ben, was also great, attentive but not overly so.Tavern on the Green greatly exceeded our expectations.  We will return often.",0,0,0,Chase B.,"Bethesda, MD",0,23,6
5.0,4/2/2019,"Came here for Sunday brunch and had an amazing time! Great place to catch up with friends and enjoy Central Park. Pros:- Had brunch in the Central Park room and it was lovely. Loved the natural light coming in and getting to see the beautiful kitchen in action. - Split the Homemade Pastry Basket between two. There was one of everything and although the baked goods were on the smaller side it was enough to ramp up our appetites for the entree. - The Steak & Eggs was delicious. Steak was perfectly cooked and sliced! Eggs were scrambled but were not dried out (I usually prefer sunny side eggs b/c scrambled eggs are so dry but not here)- New York Cheesecake was amazingly good. We had to wait a while before getting it because they were making it and the wait was worth it. The sweetness of the cheesecake was balanced with the tartness of the blackberries and lemon curd. - Clean, beautiful bathrooms- Waitress was very friendly and did not rush us.Cons:- Pricey but worth it",1,0,0,Mandy L.,"Manhattan, NY",422,446,71
5.0,4/2/2019,"This is a 2019 update to affirm that Tavern on the Green still serves an exceptional cheeseburger.  Enjoy it at the bar.  Have a Brooklyn Lager with it.  This burger is absolutely without peer.  The beef is tops.  The American cheese is generous.  The homemade chips are great.  There is no way to improve this meal except to repeat it, often.",0,0,0,Lee P.,"San Francisco, CA",7,155,1
