rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/30/2019,"Just mediocre. The calamari was nice, along w the tuna app. But unfortunately the kohlrabi was cut to large within the avacado feta salad making it unappealing. The pizza was also too crispy for our liking but still good flavor. Not worth the hype or the price.",0,0,0,Rebecca M.,"Theater District, Manhattan, NY",0,23,4
5.0,4/29/2019,"ABC Kitchen is one of my favorite restaurants!!! I Everything was perfect- from my meal to the water I was drinking. My Server Ty M. was welcoming and very attentive. The food & deserts are so DELICIOUS there, I cannot wait to come back.",0,0,0,Fanm C.,"Manhattan, NY",2,3,0
5.0,4/28/2019,Excellent food and outstanding service. Went there for lunch for my brother's birthday. Staff couldn't have been nicer!,0,0,0,Kelly L.,"Mobile, AL",14,14,0
2.0,4/25/2019,"Came here for brunch and was truly disappointed! Scrambled eggs were not really scrambled eggs, more like egg soup. Very strange, especially for such a highly sought after reservation. Better place for lunch or dinner.",0,0,0,Mary W.,"Manhattan, NY",0,22,17
5.0,4/21/2019,"I made a reservation for 12 pm on a Saturday for brunch for me and my mom. Service was excellent - our waitress was Emily. We ordered the pea soup, carrot and avocado salad, buttermilk pancakes w lemon curd, and bacon. Everything was delicious!! Highly recommend this place- they have something for everybody!",0,0,0,Izzy V.,"New York, NY",0,13,1
4.0,4/16/2019,"After a year we came back to ABC kitchen. I ordered the same dish as last year - bunless burger with a side salad. It did not live up to the one from last year, but still good. I am dropping from 5 to 4 stars for a few reasons. 1. Last year the price for the burger was very high but totally worth it. This year it was still very high priced but it was not as good make it less worth the price. 2. Although all the servers were very nice, we had three different servers. Not sure why they kept shifting but they would always introduce their replacement.  3. The food was still good. 4.  The place is still very nice. Very well decorated.",0,0,0,Jose P.,"Washington, DC",12,158,80
3.0,4/15/2019,"Disappointed with the service.  We ordered the ricotta and rhubarb compote which didn't come till 30 mins later and was too soft and sweet, the balance was off.  The sea bass dish was very good but note really noteworthy.  I was expecting a memorable NY dining experience but overall did not meet expectations.",0,0,0,Lucy A.,"New York, NY",0,21,0
5.0,4/12/2019,"Wow wow wow! Such a great dining experience. We ordered the mushroom pizza, fried chicken, pesto pasta, and sea bass. The ginger margaritas were so delicious! We had to try the caramel corn sundae and sesame seed cheesecake too. The sundae blew me away! Excellent staff too. Wish I could eat my way through their menu.",0,0,0,Mary B.,"Myrtle Beach, SC",38,10,3
5.0,4/10/2019,Had dinner here with a group of people from work and had a truly fantastic experience.   The six of us shared a variety of appetizers all of which were spectacular.  Great flavors - both expected and unexpected.  Service was friendly and helpful but never intrusive.  The ginger margarita tastes very fresh.  I'd highly recommend it.  Pork chop entree was really flavorful and cooked perfectly.   Place is on the noisier side but has a very lively vibe which made it ok.  Original plan was to go somewhere else.  I'm very happy that the plan changed!,0,0,0,Greg P.,"Wrentham, MA",0,9,6
3.0,4/10/2019,"What I love:- Bar area with beautiful sunlight coming through the windows- Two or three high top tables- The food actually tastes very good. I had the egg and fried oysters and I would definitely recommend it- The service was really goodProblems:- The interior is very dark, not the best when you come here on a sunny day- They keep people waiting at the front of the restaurant when they have a ton of empty tables around. (Are they not well staffed?)- My friend ordered the kale salad with salmon added on and it was basically a piece of salmon sitting on a plate full of kale. Not worth the $31. There are other restaurants out there that have food that tastes good but at a worthy price.",0,0,0,Sherry J.,"Manhattan, NY",182,191,832
1.0,4/9/2019,"I usually am not one to write reviews, but I actually had such the most unenjoyable experience at this restaurant. The service was so horrible, I found all the staff to be so inattentive, dismissive, and unhelpful the entire night. The food was also beyond unsatisfactory--everything felt like the least amount of effort had been put in, the portions were oddly small (such as sides and appetizers). The restaurant is SO loud, almost impossible to hear anything or get anyone's attention. Overall, I would strongly discourage going to this restaurant. It's old news and beyond tired.",0,0,0,Julia H.,"New York, NY",310,3,0
