rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/14/2019,"Unfortunately, we spent two hours waiting for our food. They sent our food to the wrong floor and never followed up with our table. When the check came around, nothing was taken off the bill nor were they apologetic about making us wait for an extremely bizarre amount of time of two hours. The least they could have done was taken off the $14 iced teas off the bill.",0,0,0,Erin D.,"Manhattan, New York, NY",4,14,23
5.0,4/5/2019,"Excellent services, very good recommendation of the waiter, the food came really fast",0,0,0,Thalia G. M.,"Barrio de San Miguelito, San Luis Potosí, Mexico",0,4,4
5.0,3/10/2019,"My daughters and I had a fabulous meal at Catch!  It has a very lively ambience, and was crowded when we arrived.  We were promptly led to our table, and our waiter was courteous, answered our questions, and was very professional.  We had the lobster roll, crispy shrimp and scallops gnocchi- all delicious, and finished our meal with their signature ""hit me"" cake.   It was on the pricey side, but for a special meal out, well worth the price.  We will be back!",0,0,0,Sue C.,"New Haven, CT",1,16,12
4.0,2/27/2019,"I went ate at their restaurant. Lovely food. Absolutely lovely food. Disclaimer: this is a pricey restaurant. I had sushi and ice cream (split the bill with a friend) and we paid around $40 each. It's a magnificent experience, though. The waiters are hands-on and the food is made pristinely. There are notable people who eat here and it was packed when I went, I would recommend reserving beforehand otherwise you will wait around for ages like we did. It's not a terrible thing, waiting, though it's never preferable. Eventually when we got to sit down and eat we truly had a spectacular experience and it was a night to remember. It's a very cozy restaurant with extremely low lighting, so the intimacy is definitely something to note about it. Great location too.",0,0,0,Siya Prototype C.,"Manhattan, New York, NY",0,17,0
5.0,2/16/2019,"I had one the best nigh at Catch NYC. We had a private party with Madonna, we had an entire room private and had room to dance and enjoy with a great DJ. The team was amazing. Very kind and the food was a blast!!!! Thanks for all these flavors and incredible desserts.",0,0,0,Leïla E.,"New York, NY",77,22,4
1.0,2/11/2019,Coatcheck lost our shearling jacket and then blamed us. Definitely won't be coming back after this experience,0,0,0,Michael K.,"Queens, Queens, NY",0,3,0
4.0,1/22/2019,"Good food and even better of an atmosphere. Their rooftops a great vibe. Love the HitMe desert! Prices are steep, a Fiji water cost $9. That's a serious markup.",1,0,0,Shahzaib S.,"Garden City, NY",11,40,18
1.0,1/1/2019,"this place is extremely overrated. I paid $9 for a fiji water, which the waiter failed to mention costed anything. The sushi was pretty mediocre, and a plate of child sized pasta with scattered mushrooms costed $30. The hit me cake was again average, and a child sized portion. Didn't see the hype for the price at all.",0,0,0,Molly K.,"Ocean City, NJ",0,4,0
5.0,12/21/2018,"This is one of my favorite restaurants in the city. It still has its cool factor even after being in business for over 6 years. (That's a long time in nyc) I have had both brunch and dinner here a couple of times. I have also just gone to the restaurant bar for drinks. I consider myself a margarita connoisseur  because it's the only thing I drink no matter where I go and they honestly have the best jalapeno margarita that I have ever had anywhere. It's $23 but worth it.  The food is pretty good too. The only con is that I am allergic to shellfish so I cannot eat a lot of things on the menu. But it is a seafood restaurant so I can't knock them on that. But their non seafood items are pretty good.I have not been to the club on the 3rd floor recently but I did years back when I was more of a club kid and knew doormen and GM, but I wouldn't mind checking it out again without the hassle.",0,0,0,Wayne H.,"New York, NY",25,4,4
5.0,12/18/2018,"Love this place! One of my favorite places in the city to get sea food. Perfect for a date and there are plenty of bars in the meatpacking area to grab a casual drink before your meal. The seafood at Catch is so fresh and is cooked extremely well. I recommend the sushi for an appetizer and the salmon as a main entree. Also, these dishes can easily be shared!! Truly love this place and can't wait to go back!",0,0,0,Neha L.,"Manhattan, New York, NY",261,11,2
4.0,12/8/2018,"The restaurant is beautiful, full of life and has a coat check! The downside was that our reservation was at 9 we did not get seated right away, after have actually been seated we understood why everyone wanted to stay. The vibe was fun, the food was great and attendance was quick. Needless to say we had a great time. Please try their scallops!",0,0,0,Melissa R.,"Miami, FL",49,6,4
3.0,11/25/2018,"The ambiance was super cute and they seated us without our whole party being present, which was appreciated. The drinks were about $20 each and the food was delicious, but the portions are tiny for the price. I got the crunchy shrimp which was a decent portion and tasted great . If anything you are paying for the ambiance and the location.",0,0,0,Casaundra L.,"Brooklyn, Brooklyn, NY",0,4,0
