rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"Outstanding.  Great food, service, and atmosphere.  Very accommodating to people with show tickets.  John our waiter was the best.  Will make this a regular experience!",0,0,0,Cameron G.,"Rogers, AR",0,2,0
4.0,4/29/2019,"This place is so good. I will definitely be back. Fresh pasta special was a perfect choice. Started with antipasti, a platter of beautiful vegetables all bright and flavorful.The 3 pastas this night were a ravioli, a beautiful shrimp and red sauce dish and a pesto pasta. As much or as little as you wanted.Also, good wine at a reasonable price and attentive service without being pushy.Loved it.",0,0,0,Melissa G.,"Reston, VA",0,21,1
4.0,4/28/2019,We tried unlimited pasta set. The pasta part was so so. Maybe because the portion was too large for me. But I have to say the bread box and the appetizer were amazing. The sauce going with bread went on well with them. I may try some other dishes bext time other than unlimited pasta. Unlimited pasta is really not my thing.,0,0,0,Shirley Y.,"New York, NY",55,71,322
4.0,4/22/2019,"Good, no frills Italian specialities. Nothing fancy... if you want that go to Felidia... but just solid stick to your ribs Italian! Wonderful wine list with many excellent selections for only $33!  Had the pasta symphony... all you eat, three pasta specials. My wife had the roasted chicken and our friends another chicken dish and seafood. All well done! Service was pleasant and prompt.",0,0,0,Rafael G.,"Weehawken, NJ",4,69,57
5.0,4/20/2019,"Great food! Always crowded but very accommodating. We've gotten the pasta specials, and have never been disappointed",0,0,0,Son S.,"Flushing, NY",0,17,5
3.0,4/19/2019,"I don't like to write bad reviews, however for a place this pricey I think it's worth noting you should avoid spending a lot of money here there isn't a lot of value here. We ordered the rice balls stuffed with mozz as an app which was delicious but not worth the price. It was $9, not much for an app however it came with three tiny balls smaller than the size of a ping pong ball.. delicious but not a great value. I appreciate that they made chicken parm for me although it was not on the menu, however it was actually one of the worst chicken parms I've ever had. The chicken was thin, pinkish red and very chewy and stringy. Did not cut nicely either. I think the quality of the chicken was verrry poor, I couldn't finish it (and chicken parm is one of my favorite Italian dishes) I was disappointed to say the least.",0,0,0,Brittany R.,"Tenafly, NJ",1,13,2
5.0,4/18/2019,"I loved it! Becco kept the tables moving fast, the waiters were nice, and the pasta was exceptional. I reccomend the all you can eat trios of pasta.",0,0,0,Daly M.,"Charleston, WV",0,5,0
2.0,4/18/2019,"Every time I've come to NYC, I've dined at Becco's.  Last night's dinner was a disappointment.  Service was inattentive and rushed.  The food left much to be desired.  The trio pasta quality was not like it used to be.  I'd rather they raise the price to get better types of pasta dishes and at least one with some protein like they used to do.  A friend ordered the pasta trio, I ordered just two appetizers -- asparagus soup and fried calamari.  I received a large quantity of the calamari and the price reflected it.  Maybe one can't order appetizers only.  The other friend ordered the chicken parm special. Since they've expanded, it has really changed the atmosphere and for the first time since dining at Becco's for over 22 years I felt it was more like dining at a buffet place in a casino.  I've apologized to the friend about my highly recommending dining there yesterday.",0,0,0,Sandy C.,"Ansonia, CT",0,5,0
2.0,4/16/2019,"Not impressed.  Pasta was pretty good.  It was our stoned server that was no help at all.  We asked him to explain a few of the dishes, which he couldn't.  He mumbled and was barley coherent.  We went with the endless pasta.  We were underwhelmed.  I would not recommend this place.  Not worth the money.",0,0,0,Jamie P.,"San Marcos, CA",0,4,0
3.0,4/15/2019,"I'm sad to give 3 stars to what once was one of my favorite Italian spots in the whole city. They have an all you can eat pasta special, with 3 special pastas rah day - but you can't pick the 3 flavors, it's just what they have. Today they had rigatoni with like a weird nutmeg (sweet!) flavor bolognese. A cannelloni with a bland almost flavorless white sauce. And spaghetti. It's fine, it would be fine, except their policy is ""you can't share pasta"". I get that, it's to keep ppl from taking advantage. However if I'm getting a $25 pasta dinner with NO great options, you're saying my friend can't have one bite and try it? The other dish was our once-favorite chicken limon, with a delectable lemon sauce w/ garlicky spinach, olives and caper berries. Tasted delicious. Chicken was way dry. Just like last time, so I guess we won't order that anymore. :( We had to leave quickly (their timing and bussing/back-waiter staff were wonderful!) Our server though? Not so much. Not very friendly, not fun, & totally unapologetic about the STUPID ""rule"" about taking a tiny taste of a companion's dish. Too bad. The hosts, bussers + pasta servers represent the place so well. Bad pasta, dry chicken, semi-rude waiter. The 3 stars are only because we have had wonderful experiences in the past... I'm sad about this one.",0,0,0,Jenilyn R.,"Manhattan, NY",124,15,7
2.0,4/14/2019,"First Yelp review because we were so excited before coming and so disappointed upon leaving.We came for the unlimited pasta. It was not good. Tasted cheap. Our 3 choices: Plain boiled pasta with boiled broccoli; spaghetti with basic tomato sauce and deep fried shrimp; bland ravioli. Like cafeteria food.Server was clearly stressed and always seemed rushed- not his fault, I don't blame him, but made for an anxious feeling when we were asking about food, wine, etc.Edit: Forgot to mention the two hairs we found in the pasta.",0,0,0,Cj L.,"Staten Island, Staten Island, NY",0,1,0
5.0,4/13/2019,"Came here not expecting very much, but was very pleasantly surprised. We ordered a Caesar salad, soup of the day (asparagus with rice), and a bistecca di mando. Caesar was lightly dressed, soup was perfectly flavored, and steak was perfectly cooked. Would definitely go again, but make sure to reserve. The service was also really good, restaurant itself is a bit noisy but that's just because the food is so good.",0,0,0,Winnie S.,"Bryn Mawr, PA",199,12,19
3.0,4/7/2019,"So underwhelmed by this restaurant! I really wanted to love it, it was my husband and I's splurge meal while in the city as we like to route our money toward shows and drinks. Since I love watching PBS create, I love seeing all of the cooks on there and Lydia Bastianich is on there frequently, so when I heard she had a few places in NYC, I was all over it. Our whole day, we ate lightly in anticipation for our Italian meal tonight. Honestly, I wanted the cream de la cream of Italian food and I've had better at much reasonable prices. I'd hate to compare it to Olive Garden, but maybe don't waste you're time on the pre fixe dinner menu. So disappointed, but the waiter was nice!",0,0,0,Roz P.,"Bangor, ME",7,5,2
5.0,4/7/2019,"When in NY, always trying to dine at Becco. One of our favorite places to eat.Fresh delicious food and outstanding pasta.",0,0,0,Julia G.,"Aberdeen Proving Ground, MD",0,8,1
