rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"About a month after a trip to Greece, I started missing authentic Greek food, and I had heard good things about this restaurant, so I wanted to give it a try. We made a reservation for 10pm on a Friday night to take advantage of the $49 prix-fixe menu (served after 9:30pm), and it was still very busy at that time of night! The restaurant officially closes at 11:30pm, and we ended up staying until about 11:40 (there were still many other tables that had guests). We arrived at 10pm but had to wait ~12 minutes for our table to be set up. There's a bar to the left of the entrance where you can have drinks while you're waiting. The restaurant is actually quite large--there is an upper level (and I believe I saw stairs to a lower level as well). We were seated close to the windows on the main level. We did have to specifically request the late night menu from the waiter. I ordered the grilled octopus, the sea bream, and the walnut cake w/ honey lavender ice cream. Greek salad is also served family-style. I paired this with a glass of Assyrtiko, a delicious white wine from Santorini. We also received bread and olive oil to start. The octopus was presented on top of yellow split pea fava, which was reminiscent of hummus. This was my favorite dish out of the entire meal--the octopus was cooked and seasoned perfectly. My friend ordered the Greek spread to start, and although it was also delicious, the pita to spread ratio was very uneven (6 small pieces of pita to three large portions of spreads). Compared to when I had sea bream in Greece, the presentation of this fish was better, but it was a bit overcooked and therefore tough to chew. I did steal a bite of my friend's lamb chops, and that was so so tasty (definitely getting that dish next time). The Greek salad (comes with onions, green peppers, tomatoes, cucumbers, olives, and feta cheese) was also a nice compliment to our entrees--the bowl was small, but the portion size was actually quite good and we were left feeling very full. The Karydopita was a nice dessert that closed out the entire meal well. The walnut cake wasn't that extraordinary, but the ice cream was actually quite good (light and refreshing). In terms of service, we weren't too impressed by our waiter, but I'll owe it to how late it was, so he must have been tired, but he kept on interrupting us as we tried to order by talking to his colleagues. He also forgot to place the order for the Greek salad. That being said, I would still love to return for lunch, and I would recommend the late night prix-fixe!",1,0,0,Tiffany L.,"New York, NY",351,140,223
5.0,4/23/2019,"By far one of the best Greek restaurants I've been to in NYC. The Greek salad is so delicious, I've never tasted tomatoes so sweet and fresh. The lobster was cooked to perfection. Lavraki is a must have, stone crabs are out of this world. The staff is incredible, so so attentive. Harry was great In every suggestion from wine to dessert. I can not wait to come back!!",0,0,0,Rasidakis P.,"Beverly Hills, CA",3,9,25
1.0,4/23/2019,"Sorry, you dont want to let the diners know your exorbitant prices?Then maybe charge reasonable prices. I'll be staying away",0,0,0,Chris K.,"Manhattan, NY",0,37,0
5.0,4/23/2019,"I had a nice experience at this restaurant. Great Mediterranean food. Service was good. The staff is professional and knowledgeable. If you don't know what to order, they are willing to help with the delicious choice for you. I had Oysters and Grilled Octopus as an appetizer, and Dorade Royal as a main course. Everything was delicious.",0,0,0,Jeff P.,"Greenwich, CT",0,8,1
4.0,4/20/2019,More like 4.5! Food was wonderful and service very friendly. We ordered from the lunch menu (3 courses for $32). I had the grilled octopus to start which was great! I have been to Milos Island in Greece and had the same dish there - the one I had at this restaurant was better!! I had the lamb for main course which did not disappoint.  The only reason I'm not giving it a 5 star review is because of the atmosphere or lack there of.. there was no back ground music so the place was filled with the sound of clashing plates like in a cafeteria. Made the experience a little less enjoyable than it could have been.Bottom line - go for the food!,0,0,0,Natasha O.,"New York, NY",0,25,4
3.0,4/12/2019,"Yes, the food here is delicious. However, nothing is particularly outstanding. I truly think this place is extremely overpriced. I love fine dining and I don't mind paying more for a great meal. However, this was not worth the value. My sea bass was delicious and I had two glasses of white wine with no sides. Four of us shared two appetizers and some fries and the bill was over $500. Definitely not worth the hype. Great ambiance though. My group definitely felt rushed to leave our table.",4,2,2,Barbara L.,"Nassau County, NY",57,125,1148
1.0,4/8/2019,"I read a review about this restaurant. It said how picky the owner was about selecting food for the restaurant. He should be more attentive to the service as well. There are so many waiters, captains, busboys milling around, but doing nothing. Just looking!Let me start out by saying the food was excellent but everything else was awful. We arrived At 5:20 and were seated promptly. However we were in a crossroads and constantly disturbed by an endless parade of people. We ordered drinks and the Greek spreads (cold dish). The drink's came right away but the spreads did not show up until after six. The menu says food is portioned to share. However it is portioned to share easily for four!  We asked for more pita. They waiter walked back and forth and never brought it. We had to ask the busboy. The fish, at $60 per pound were all too large for two people. We had no choice but to order the fish, and vegetables that would serve 3-4. AND the food didn't materialize initial 7PM!  A captain came by and asked how everything was. I said the service was terrible but I wanted to eat my food and talk later. He said he would return, but never did. I ordered tea. Sugar or honey? Honey please. I'm still waiting. Then two deserts were brought to the table. Complimentary. However, due to dietary restrictions I could eat neither- nuts and raw fruit. If they want to make amends, ask what you would like!Long story short: if you want a good fish dinner for basically the same hefty price,Go to Le Bernardin. The atmosphere is lovely-you can hear the others at your table. The fish is perfect and the service outstanding. Avoid this place!",0,0,0,Patti D.,"Dayton, OH",0,8,1
4.0,4/7/2019,"Girlfriend and I decided to try the new Hudson Yards yesterday and were not disappointed.  To start, it's on 5th floor with the perfect view of the vessel right outside the window.  We tried to get s window seat but would've had to wait longer so we settled for a seat a little further away.  Not a big deal, they have an outdoor patio you can go outside to take pictures afterward anyway.  The atmosphere and decoration were clean, bright, and modern and the food was delicious.  We had the $32 price fix menu which was a real bargain.  They have a ton of staff but could probably be a tiny bit more organized.  Regardless, a very pleasurable afternoon experience with an amazing view!",0,0,0,Garrett D.,"Jersey City, NJ",3,66,5
2.0,4/4/2019,"Bad service: was there this week for a private event. The waiters were all so clumsy that they spilled a whole plate of tzatziki on my suit; they did not even offer an apology, even less to cover the dry cleaning. Food is excellent but completely overpriced. The private room downstairs feels strange. Like a real basement. I used to love this place but will think twice now before I go back.",0,0,0,S. W.,"New York, NY",1,44,2
5.0,4/2/2019,We're at the Hudson Yard location and this place does not disappoint! Great hospitality and food!,0,0,0,Francis P.,"New York, NY",225,26,16
3.0,4/1/2019,"I consider this a composite review of their new Hudson Yards location:- Food: 5 (fresh food, delicious octopus and crab, but the fish was dry)- Ambiance: 4.5 (fun, packed atmosphere)- Service: 3 overall ... with great support staff (such as the lady who took care of our jackets), the maî·tre d' and waiter were polite but aloof, and some portions of our meal (i.e., side salad) came way after the main meal and the waiter needed to be reminded a couple of times to check on it- Value: 1 (the tab for 7 of us was over $900 ... this included two shared meals; we all felt it was a solid $500 kind of meal).Would we come back?  Probably not - so much fantastic food at better value in NYC to try.",1,0,0,TJ W.,"Danville, CA",0,101,1
1.0,3/28/2019,Let me start by saying that this visit I was at a private function so I didn't pay. I arrived to the private room sat down other people had already gathered. After the usual exchange of pleasantries I asked the waiter for a glass of red wine (Since someone else was paying the choices were limited to beer or wine).  I never received the wine I asked again and again was ignored. The entrées were pre-ordered. The plate consisted of a piece of fish and a single lamb chop. When the waiter brought my plate I asked him to remove the lamb chop since I do not eat meat. That was the last I saw of any food. At some point some waiter came back having noticed that I had no food while everyone else was eating and attempted to be solicitous. He wanted to bring me some food and I told him that he could eat it.  I was no longer hungry uncomfortable since I was the only one at the table not eating and in general not in good humor from the lack of any service at this restaurant.  I have been A paying customer at this establishment several times and I will also say that the last visit where I paid a lot of my hard earned money the service and food were lackluster as well. Perhaps the owner has opened too many restaurants in too short of time. My advice is to think twice before going. I think the place has devolved into a corporate expense account establishment.,0,0,0,Stuart K.,"Bronx, NY",0,17,0
4.0,3/28/2019,"Craving something new, my fiancé and I decided to try out Estiatorio Milos for our Friday lunch! We were planning to get dessert and try out different foods from various places in Hudson Yards, so we knew we were going to order smaller portions here. As we came here around noon on Friday, Estiatorio Milos was dripping in gold, white, and brown decor adding a classy vibe to the restaurant. Not many people were present, which made it easier to have a more intimate date here. We ended up ordering some pita with a cod roe and olive oil spread, a gyro with pork, and 2 scallops with some vegetables.The pita ended up being HEAVENLY! The pita was so soft, although with the cod roe spread, it made it all the better! The spread tasted fishy, but it was also very smooth and significant olive oil flavors! The waiter even gave us more pita, as he noticed how much we enjoyed it!The gyro was also soft, and it was overflowing with pork and vegetables! It was a bit difficult to hold up, so we ended up just using a knife and fork to cut ourselves some slices. Given the classiness of the atmosphere, I guess that is more appropriate than biting into the gyro and having all the contents spill out, although I would have loved to be able to bite into it (without making a mess). The scallops were skewered with some vegetables. They were presented on a moderate sized plate, but large relative to the scallops. The vegetables were grilled and mostly okay, but the scallops were flavorless and boring. My fiancé enjoyed how soft they were, but I found them dull. $10 for two fat scallops and some vegetables is too overpriced for me! Overall a great experience and all this ended up costing $22! I would love to come back here again and try the different foods as well as order more pita and spread!",0,0,1,Liselle L.,"New York, NY",329,188,334
