006_tao_uptown_new_york
rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4,4/27/2019,"I'm going to be honest . I didn't come to Tao uptown for the food , but rather for the experience and the ambiance that Tao is known for . The expectations for the food weren't that high , but I was genuinely surprised . I got the orange chicken and lychee martini . My boyfriend ordered the pad Thai . The orange chicken was great and the portion was the perfect size . The lychee martini was sooo good. It wasn't too strong or too sweet- it was just right .The pad Thai I would not recommend. It just didn't taste like authentic pad Thai. Is the food anything remarkably better from that of another Asian fusion restaurant ? No . But if you want to go to a cool spot with great music for a birthday or special event , I'd recommend Tao . Also ,Parking was easy to find, which was another plus for me !",0,0,0,Nicole P.,"Queens Village, NY",2,27,6
5,4/23/2019,"We were in town and a family member suggested that we checked it out. We went on a Monday night for dinner. I had the basic shrimp fried rice instead of the noodle since I wasn't that hungry. My boyfriend had the beef with white rice bowl. The drinks were amazing, I believe it's called Tau tini, nothing to sweet or sour. It's a beautiful atmosphere with the giant Buddha architecture facing us. The only thing I would have wished our waitress would checked up on us to see if we were satisfied but she was too busy making sure the men across us were satisfied. But I highly recommend this place!",0,0,0,Tracii B.,"Fort Lauderdale, FL",0,3,0
1,4/18/2019,"I used to go to TAO multiple times to have sushi rolls. I experienced an unexpected feeling last time I went, that I don't think I will ever be heading back to TAO again. The sushi rolls that I tasted, tasted really off. I shrug, maybe the chef changed. I come home, and I feel dizzy. Dizzy to the point where I almost stopped breathing and had to get an ambulance. I ended up throwing up non-stop. I was at the hospital for nearly a week, due to food poisoning! While the decor is really nice and the food is good, I wouldn't bother going to a restaurant that doesn't have the decency to serve FRESH sushi rolls.",0,0,0,Catherine M.,"Brooklyn, NY",0,9,1
5,4/14/2019,"As usual, this place is super upscale with high end food to chose from their menu. Amazing drinks, amazing vibe, highly suggest to everybody Fav drank, lotus blossom",0,0,0,Akib R.,"Manhattan, NY",337,8,9
4,4/11/2019,"Ordered the LUNCH PREFIX and some appetizersAfter a really bad experience at $248 seasonal tasting menu of Jean-George NYC, I found the food here is good.Tempura is crispy, dumpling, short ribs, and chili all turn out to be good. Mushroom as sides is really good.Service is good even for lunch, our servant definitely is professional.Deduct 1 point for long waiting for the food, 40min for appetizer, 30min for entree, 20min for desert.",0,0,0,Yuki W.,"Oakland, CA",153,32,102
5,4/9/2019,"What I ordered was delicious... I only got a tempura sushi roll. My friends ordered other things off the menu but they failed to mention that people could share items. We ended up ordering a ton of food and had so much left over. Share things from the menu, they serve large portions. The drinks were great as well.",0,0,0,Tiffani G.,"Miami, FL",99,5,8
4,4/4/2019,"Tao, Tao, Tao....I know you're pretty over priced for Asian food but I get it. The decor, ambience and vibe that you give me is 50% of what I am paying for. We made a reservation for 7 people and were seated right away when we get there.Chilean Seabass got me last night. It definitely hit the spot! My favorite so far. Your sweet and spicy shrimp tho is just average. Spicy salmon roll is also one of the tables favorite. We had to order another one because it was not enough for our hungry and tired group.  Oh our server gets 5 stars!!! She's one of the nicest, friendliest staff I've ever met. Too bad I forgot to ask for her name.",3,3,3,Kevyne R.,"Palo Alto, CA",518,405,3537
1,4/3/2019,There is nothing lucrative or alluring about over priced Asian fusion.What can be said about a few scallops in basic Thai curry? I'm not sure what led to the massive diarrhea I had but my speculation is the food. The other thing that occurs is young hostesses that are eagerly bouncing around so middle aged men with erectile dysfunction can make small talk while I wait thirty minute to get my stinking drink. It's a restaurant not sugar daddy seeking Arrangements swap meet.,0,0,0,Omar M.,"Bronx, Bronx, NY",3,43,10
5,4/1/2019,We had a great night at two on Friday night. We are visiting from la it reminded us of the ones in la and lv. Our waitress was very nice and attentive. We sat upstairs. The food was really good.,0,0,0,Anna D.,"Glendale, CA",2,88,6
5,3/31/2019,"Came to celebrate a friend's accomplishment last night. We made a last minute reservation and we were so so pleased with everything. The food was AMAZING. Highly recommend the tuna rice cakes! Also, the service was great. Mario, our server, was phenomenal and super attentive. He truly helped make our experience special.",0,0,0,Rachel Y.,"JAMAICA, NY",0,6,0
3,3/30/2019,"I've been to this fine establishment about almost three years ago to celebrate a former friend of mine's birthday, and I can't say I was impressed with the food, (at the time, I wasn't accustomed to Thai food so wasn't aware of the best things to get on the menu, so I settled for pad Thai which I didn't like) but I was impressed with the scenery and level of service. This is a wonderful place to celebrate a birthday, or landing your first big job, or gig. It's also a wonderful place to bring your beau on a date. Next time I come here I will most likely order the spring rolls and dumplings (I had the pleasure of tasting Thai rolls and dumplings at another restaurant and was pleased) I can't wait to come back, and live out another one of my Carrie Bradshaw fantasies. If you do not know who Carrie Bradshaw is and have been to this restaurant and have lived in this city for more than five years, I cannot help you.",0,0,0,Ali M.,"Bronx, Bronx, NY",1,29,10
2,3/30/2019,"Tao used to be my go-to. Having friends in town, birthday dinner, etc.but lately I've been super disappointed with the quality of the food. On two different occasions I've gone to Tao and had my favorite, the Chilean Seabass skewers, BOTH times the seabass tasted like ammonia. So while in the restaurant I did some research. When a fish taste like Anonia that means that the fish was dead before they killed it, and that the fish had actually started its decomposing process. Tao is toooo fancy of a restaurant, so serve anything but fresh fish. I probably wouldn't frequent there again, unless it was on someone else's dime.",0,0,0,Chanelle H.,"New York, NY",24,69,70
2,3/30/2019,"This is very hard to write as Tao uptown has been one of my favorite places to eat for the past 10 years. After last night I will not be returning.We had a reservation for 8:15 pm and got seated at 9:00 pm. The waiter had the worst attitude and was very unapproachable. It made it difficult to get good service. We ordered our steaks with teriyaki sauce which did not arrive with our order. I asked the waiter for the sauce again, it took us 15 minutes to receive it , the steaks were cold at this time. When i brought it to the waiters attention he just stood there and looked at me, awkward!!! The food was not the same, they replaced the Kung Pau chicken with an Orange sauce chicken, big mistake. The vegetable fried rice arrives cold and the rice was hard in texture. When i made this reservation for my daughters birthday i confirmed that they were serving Mochi, it's on the menu (it's her favorite)They said they do, when it came time to order they said they were out of it. All in all it was a very disappointing experience",0,0,0,Shirley H.,"Manhattan, NY",35,20,0
5,3/29/2019,Came here with a party of 10 to celebrate an early birthday dinner with friends. I had a late reservation (10:30) which is my fault for making it so close to date. We were seated after about 5 mins. The atmosphere is beautifully designed. Our server was very attentive. We decided on family style meal and got a taste of every little thing. The drinks were also good ! I had a great time.,0,0,0,Shelly L.,"Jamaica, NY",2,36,24
3,3/19/2019,"I recently had lunch here for my friend's birthday and unfortunately two of us got pretty bad food poisoning from their chicken lettuce wraps.Other than that, their lunch prix fixe menu is a great value and we enjoyed all the courses. I especially liked the branzino, hanger steak, and chocolate peanut cake. I've been here for dinner too and had a great experience. The special sushi rolls and small plates are especially delicious. The cocktails are expensive but worth it. Really fun sophisticated ambiance and attentive polite servers/hostesses. This used to be one of my go to restaurants for birthdays and special occasions since there's great food and service, so it's too bad about the food poisoning.",0,0,0,Christine J.,"Warren, NJ",0,6,1
1,3/17/2019,"Food at this uptown location was no better than a PF Chang, over priced. What makes the experience one I won't forget is the attitude of the hostess on a Sunday afternoon. Extremely rude and a bad attitude with the way she behaved with my kids. A little courtesy and a smile wouldve be appreciated by a customer, instead we had tears on a weekend given her terrible behavior. Lovely experience.",0,0,0,Anagha G.,"Manhattan, New York, NY",0,1,0
5,3/15/2019,"I came here twice,once for drinks for my nieces birthday and was kinda disappointed with the service and bartender but I gave it another chance one my friend outta country came to visit and we've decided to have a lunch,service was amazing and so was the food,I've had my favorite Pad Thai and she had Lo Main and they were both delicious,as well as our shrimp tempura rolls,I love my cucumber cocktail as well,I made my reservation on line and requested a desert with writing of Welcome Dijana which is my friend and they didn't disappoint but their brought this huge fortune cookie out with exact writing I've asked for...it was beautiful and amazing,my friend felt welcome and not disappointed..I would come again for any occasion",0,0,0,Sonny L.,"New York, NY",3,20,30
3,3/11/2019,Went for lunch and thoroughly enjoyed it.  The sake-Titi soooo good!  The wonton lobster AMAZING.  The very close runner up is the vegetable chow fun.  It's new on the menu but ohhhhh so good.  I would not order the spare ribs again they were tough and lacking flavor.,0,0,0,S C.,"Chula Vista, CA",0,86,2
2,3/10/2019,Super overpriced and unjustified for what you get. The fancy decor doesn't make up for the mediocre quality,0,0,0,Tom K.,"Manhattan, New York, NY",48,1,0
4,3/9/2019,Ended up here on a last minute dinner plan with the wife and family. Called for last minute reservations and they were very accommodating on a Friday night. It was a packed night when we got there about half hour before our reservation. But it wasn't long before our time came to be seated. I had ordered the Thai noodles. They were very good. But my favorite part was the decor and the mojito. Oh that mojito..... It was amazing. The pricing was fairly decent given where we were. Great for dates or special nights out. Enjoy!!!,0,0,0,Sah M.,"Lower East Side, Manhattan, NY",1,30,8
5,3/9/2019,Really good food also is clean and the service is really good. The price is advanced but is really busy so yes you do need reservations.,0,0,0,Santos D.,"Lexington, MA",0,8,4
1,3/7/2019,"Everything was 10/10 except  for food, service and the pricing. All the main course we ordered tasted so sweet. If you are looking for good food, this place is definitely not it.  Yikes!",0,0,0,Biatch P.,"Manhattan, New York, NY",0,4,1
4,3/3/2019,I love the food and the service is great. They're very attentive. I been here several times. Never had a negative experience,0,0,0,George S.,"Long Island City, New York, NY",0,2,0
