rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,5/1/2019,"I was so looking forward to having brunch here two weekends ago. Sadly, it did not live up to my hopes. We had a reservation for the end of the brunch rush so maybe it was just timing, but every dish was underwhelming. The deviled eggs were rushed in presentation - definitely not the like the photos on here - and a bit runny. The Mac & Greens were okay, but nothing special given other options in Harlem. My friend and I each ordered Mama's Breakfast Pie but somehow only one was delivered to the table. Our waiter was extremely apologetic and offered to have another prepared but we decided we could split one. I was glad we did because we couldn't even finish one. The skillet wasn't hot so the egg didn't cook. Now I like a runny egg, but not a clear and gelatinous egg white that makes me fear getting sick. Once we scraped off the egg, the rest of the dish was difficult to eat. The brisket was a large slab at the bottom that was hard to cut and didn't have any real flavor. On top of it, the coffee was cold. Hopefully, it was just an off day, but I won't be back for brunch. The flavors weren't there and the rushed, undercooking really put a damper on our special day.",0,0,0,Karri W.,"Manhattan, New York, NY",0,5,1
2.0,4/29/2019,"Stopped in while visiting Harlem. Seated outside quickly, server was prompt. We shared cornbread-average. I got a salad, he got shrimp and grits. Couldn't split the prefixe menu sadly. Salad was a small portion-felt like it was a side salad. Shrimp and grits, were fair. I left hungry and went across the street to Whole Foods. I've had better tasting shrimp and grits at ""hole in the wall"" places. Wasn't worth the hype.",0,0,0,T L.,"Washington, DC",0,65,57
4.0,4/29/2019,Great place to hear top. Popular 20 hits and drink and dance with quests from all over US and Europe,0,0,0,Anthony S.,"Bronx, Bronx, NY",0,1,0
5.0,4/28/2019,"The most amazing time, GREAT food, and one of the most friendly places I've been in a very long time. Yves & Roxy were awesome! Gospel Sunday brunch was EVERYTHING!",0,0,0,Erica M.,"Jacksonville, FL",332,6,1
2.0,4/27/2019,"I have been here in the past. I had such a great time. I decided to return. The DJ is amazing! The food subpar but the true caveat is the security took our barstools after a certain time. The idea of removing my seat while drinking and after spending over $70 is absurd. Damn, what of a person has a disability and wants to hang out?! Red Rooster has to do much better than this! P.S. don't order the Mac and cheese it's horrible!",0,0,0,Dawn R.,"Manhattan, NY",0,1,0
4.0,4/27/2019,"I was in the neighborhood relatively early for dinner and decided to stop by with my husband on a week night and try to snag a seat- we were in luck! The wait was only about 15 minutes!We waited at the bar and got a few cocktails- Yes, Chef made with vodka, which was bright and flavorful and the Harlem Mule made with scotch, which was an interesting take on a mule. Both were priced at $10 for happy hour (normally $13). We were seated within the 15 minute window we were given upon arrival. The food was excellent! We were very happy with everything we ordered. We shared: Yep! Chicken & Waffle- crispy chicken skin, delicate soft slightly sweet waffle, and amazing dipping sauceCornbread- crunch outside, soft inside, delicious butterHot Honey Yardbird- Sooo amazing! It brought me back to the south with the perfect crispy skin with so much flavor packed in the tender meat of the chicken. This is in my top chicken dishes I have ever had! The garlic mash was also great.Mac & Greens- perfect blench of cheese and greens! I love mac and cheese and this did not disappoint! It was a bit oily but worth it!The service was pretty good. We did have to wait a little while to get our leftovers wrapped and grab the check. But other than that- the service was alright. You do share tables which I am fine with but I could see how some might not like it.",1,0,0,Jaclyn V.,"Wallkill, NY",13,100,207
5.0,4/26/2019,"Simply the best in Harlem. Food, beer, ambience as well as service. I was really impressed. Take it from a food/beer snob. 5 stars is not enough.",0,0,0,Jana K.,"New York, NY",0,2,0
3.0,4/23/2019,"We came here Easter Sunday for dinner.  There was a jazz/blues band performing so that created a nice ambience.  We started with the corn bread (3/5) which was large enough to share and was just OK. We've been to many bbq/southern/soul food joints that served better ones. It came with strawberry butter so that helped.  We then had to get the famed honey fried chicken (4/5) which was very good. Not too sweet from the honey and not overly fried and fairly moist.  Decent size bird. We also had the shrimp and grits (3/5) which was OK - again, other joints do it better.  We had the brussel sprouts (3/5) on the side which was tasty but rich.  Service is excellent.  As a celebrity chef's restaurant I would not expect less.  However, I would expect a bit more from the food.",1,0,0,Jazz C.,"Manhattan, NY",2,150,546
2.0,4/23/2019,"I am not one to complain but this experience was Horrible. Although the food was great We sat down at our table at 6:30 it was loud I couldn't even talk to the person next to me without yelling. it took 15 minutes for the waiter to to come and ask us for our order for drinks and appetizers.After that it took another 15 minutes for our order while the appetizers still did not arrive.  We then waited for a total of 1 hour and 30 minutes for our food to come. It was pretty good, I would highly recommend the yard bird.",0,0,0,Gabe H.,"San Jose, CA",14,3,1
2.0,4/23/2019,The short review: the food is good but it took more than an hour and a half to get our appetizers (THIS WAS ON A TUESDAY NIGHT). Deafening music that was so loud I had to take a break in the middle.,0,0,0,Robert S.,"Menlo Park, CA",0,4,0
