rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"Probably one of my favorite steakhouses. What an absolute treat! Start to finish, everything here is delicious fresh and decadent. The service is extremely professional and knowledgeable. It's truly a special occasion anytime i visit",0,0,0,Tina B.,"East Meadow, NY",0,15,0
4.0,4/30/2019,"Made reservations for 7:30pm and got right in. Service was perfect. Loudest restaurant I've ever been in though. It was crazy.   Lobster bisque for a starter. Delicious but a bit of a spice kick to it. I got the filet mignon. It was perfect. So tender, perfect outer crust and cooked just the way I like it. The butter on top added that extra flavor and creaminess to it. The hubs got the wagyu beef sampler plate. He said it was probably the best steak he's ever eaten. The different salts on top were amazing. We got the lobster Mac and cheese to share and I was underwhelmed. I wish we had tried something different because I didn't care for the after taste of the Mac and cheese. We were too full to try any dessert.",0,0,0,Erin J.,"North Salt Lake, Salt Lake City, UT",55,316,633
3.0,4/25/2019,"Very large restaurant and definitely on the nicer side. I was a huge fan of the lobster bisque -- it had actual chunks of lobster meat and the soup was great. I also really liked the Cobb salad because their basil dressing was really good. We ordered a few sides for the table: lobster mac and cheese, lobster mashed potatoes, truffle cauliflower, and fries. All were tasty but nothing extraordinary. There is also complimentary bread but I wasn't a huge fan of it because it's basically a sesame bun and wasn't my cup of tea. If you're looking for a nicer place to grab a meal, you can try this spot out.",0,0,0,Lillian B.,"San Francisco, CA",215,253,94
2.0,4/21/2019,"The food here is good, but the lack of stars is because of everything else. They cram tables together so close on the main floor that the backs of your chairs are basically on top of another table. We had a child sitting at the table behind us who was running around screaming like a maniac, hitting into my chair non stop, and the staff seemed to do nothing to stop the kid from being a nuisance or tripping hazard while he lay on the floor in the pathway of waiters.It was also SO loud that it was nearly impossible to hear the people at our 5 person table without screaming. They need to lower the music and put some noise dampening material around because it wasn't pleasant to scream while eating a $900 meal. Overall, to spend so much, I expect to have basic hospitality and comfort be much better than this.",0,0,0,Jackie B.,"New York, NY",97,149,5
5.0,4/19/2019,"Del Frisco's... AMAZING! Whew! Our server was extremely pleasant. The food was everything I expected. The salmon was just the right serving size. I was skeptical about ordering the lobster Mac n Cheese, but it was bomb! I'll come back for sure. Epic.",0,0,0,Devonte W.,"Chicago, IL",0,1,1
5.0,4/19/2019,"The cocktails were delicious.  The service was superb, attentive, friendly.  The food was divine.  Treatchoself.",0,0,0,Stephanie T.,"New York, NY",63,65,48
1.0,4/18/2019,"Walked in mid day 3pm place was empty , many wonderful tables open and they sat me in bar area , asked to be sat by the window with view and server had to ask management if it was ok for us to sit there .. that set the mood for my 50th birthday , the server was very nice and very professional  but they all look like they should be working in a nj dinner... aprons with multi colored pens and very dirty ...  steak was  steak .. nothing special and my  lobster tail was bouncing like a basket ball ..  I dine out always and was very disappointed in every aspect... and this is the first time I've ever written a review but I felt a responsibility to the restaurant management  to open there eyes to what has happened..... $600.00 lunch no wine ... my 50th just me and my girlfriend... and walked away very disappointed.... love the downtown location but extremely upset and will never go back ....",0,0,0,Ava K.,"Edgewater, NJ",0,1,0
5.0,4/18/2019,"Spectacular quality food spectacular service and spectacular ambience. We had a New York steak, which was cooked to perfection, along with onion rings and cream of corn. All of them were exceptional quality. Highly recommend this restaurant. Our server was very attentive and brought everything out in time and as expected.",0,0,0,Bijan D.,"Los Altos, CA",39,16,0
4.0,4/17/2019,"It was good. Our server is quite funny. However, it was TOO LOUD! The steak was good. Chilean Sea Bass was tasty too.",2,2,3,Shan C.,"Montclair, NJ",100,75,328
5.0,4/16/2019,"Larry at the bar is the absolute man! Impeccable service, great recommendations, and a fantastic experience- everything we were looking for in our visit. We arrived late night  just before the last seating and Larry made us feel like we had prime time reservation. Thank you! The wagyu tasting is wonderful, and even though it sounds basic the corn was delicious. We walked out full and beyond happy.",0,0,0,Seth H.,"Stamford, CT",55,14,23
5.0,4/15/2019,"We got the calamari, which was off menu. Was really good with the Thai chili. I would like the next style to be dry spiced instead of wet. The batter is very delicate. The del's green salad was great. We mentioned we were sharing and they plate two for us, one bacon on each! The avocado dressing was very tasty.We had the trip filet mignon to share. Gosh it's so much food and I'm full already. Steak cooked perfectly! The uptown potatoes were amazing!! So earthy with the truffles!Service was spectacular! Spot on with everything. Recommended me tea and I opted for the berry, and it was really good! Even remembered this was a birthday event and had that dessert out in time! It's a double eagle so service and atmosphere is just amazing!! You must try this place if you come visit! Too bad I was sick, otherwise I would of ordered sea bass and oysters.Manager even came to greet us! Amazing!",1,1,1,Minerva L.,"San Jose, CA",570,1340,91
5.0,4/15/2019,"I was very impressed with Del Frisco's. The staff was courteous and very friendly. Shout out to my waitress Kyra, not only is she gorgeous, but her service was phenomenal. My food was delicious.",0,0,0,Eugene S.,"Chicago, IL",35,32,236
4.0,4/14/2019,Steak and sides were excellent. Great service. Bacon came a little cold and salad portions are pretty small.,0,0,0,Tal M.,"New York, NY",0,4,1
5.0,4/14/2019,"Came here for my friends birthday and they were so accommodating and nice. Sat us right away and gave us options where we wanted to sit. We were in the main dining room but my friend wanted something from the bar menu and they brought it for us anyway. The steak was delicious and cooked perfectly, and the au gratin potatoes were omfg good. Get the butter cake - life changing. Will def come back here.",0,0,0,Lillie G.,"Brooklyn, NY",120,12,1
5.0,4/13/2019,We're visiting New York for our 1 year anniversary and decided to give Del Frisco's a try since we had seen good reviews. We got an amazing booth with a good view of the city and our waitress Sarah was absolutely amazing... She recommended the Au Gratin Potato as a side dish which was amazing and the Long Bone Rib Eye to share which was delicious... After dinner we had the Butter Cake which Sarah also recommended and it was one of the best desserts we've had. The experience food and drinks was great.,0,0,0,Sergio G.,"Kendall, FL",106,3,4
3.0,4/13/2019,"Del Frisco's is our go to steakhouse in NYC. However our experience last night was very disappointing. This was for my wife's birthday and the service was not to the standard I'm used to. Giving the wrong steaks to the wrong people, under- cooked vegetables and steaks. After asking for the right temperature steaks for my daughters, they arrived  after nearly everyone was finishing their meal. After dropping $400 this is unacceptable. Quality Meats here we come!",0,0,0,Michael S.,"New City, NY",39,3,0
4.0,4/11/2019,Went there for lunch for lobster rolls . Very delicious - if coleslaw were added that would really make it perfect. The Malbec (by the glass) was very good. Crab cake appetizer had nice lumpy crabmeat pieces but $25 for one little ball ? Service was excellent as usual . The warm loaf of bread is too soft . Very sweet of them to throw in birthday dessert. Coffee was very good .,0,0,0,Cher W.,"Merrick, NY",19,169,73
5.0,4/8/2019,"I had done some extensive research for a good steakhouse to visit during my trip to NYC, and I came across Del Frisco's and its good reviews. So I decided to book a reservation for my Husband's and I anniversary dinner. And I'm so glad I did!We made reservations for 7pm a Wednesday night, and were seated within minutes. We were promptly served water, and our waiter came by to greet himself and ask if we would like to see the wine menu. There is an extensive wine selection, so finding something will not be a problem. My  husband and I chose a bottle of champagne.  Instead of having an ice bucket with the bottle at our table (limited space did not allow this), our waiter would take the bottle back to keep it chilled and would refill our glasses. A nice warm loaf of bread and butter was brought out to our table, and my goodness, was it delicious! Definitely hard to stop eating it!Our waiter did a fine job explaining the menu and answering all questions we had. Both hubby and I decided on the 8oz filet mignon, cooked medium. One cool feature is that the filets are served on these very hot plates, so if you find that that you need to have your steak a little more cooked, you can just cut down the middle and face it down for about 10 seconds. And you have the perfect steak without having to send it back! I also had the crab cake, and everything was amazingly delicious!Since we were there for our anniversary dinner, a dessert plate with a butter cake and dark chocolate cake was brought out. The dark chocolate cake was really good, but that butter cake was just out of this world! No shame to say that we ate that huge thing!Overall, we was very happy with my visit, that we came back for a second time during our stay in NYC!  Once again, our expectations were met! I highly recommend Del Frisco's!",1,1,0,Heather R.,"San Jose, CA",78,135,299
4.0,4/8/2019,If your a steak lover I think this is the place for you! This was 2nd time eating here.  This time my boyfriend & I went with the Tomahawk medium temp.  So knowing that this cut of meat does have fat on it we weren't expecting just how much. My boyfriend brought to the attention of the fatty steak & I have to say they did everything possible to correct the problem. Btw we also had the potato au-gratin & mushrooms! Delicious!,0,0,0,Susan B.,"Brooklyn, Brooklyn, NY",1,6,1
5.0,4/8/2019,"My favorite place for steak. Come here with my friends occasionally. Great food, drinks, service. Great atmosphere. Love this place. Definitely recommend.",0,0,0,Jeff P.,"Greenwich, CT",0,8,1
