rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/21/2019,This was our second visit to Fig & Olive and we continued to find exciting new items on the menu. Loved the variety of the bruschetta appetizers available and of the entrees. A special treat was the Rossellini cocktail made with passion fruit vodka. Highly recommend dining there again.,2,0,1,Janet S.,"Deerfield, IL",0,33,0
2.0,4/18/2019,"made a reservation for Sunday brunch with a friend a few weeks ago - was seated promptly upon. the staff working was great, which is the only reason why this restaurant isn't a 1 star.I ordered a fig and olive salad, added grilled chicken. my friend ordered the steak and eggs. the portion size was TINY, not to mention we each paid $30+ for each entrée plus tax and tip.the salad was underwhelming, the dressing was bland, the chicken was dry, and my friend stated that her steak was overdone and not seasoned well. will never be back",1,1,1,Ruby K.,"Upper East Side, Manhattan, NY",335,314,136
4.0,4/10/2019,"First time to visit this restaurant and I was very pleased with everything we were served. Started with some really tart Italian white wine (I wish I could remember the name; my colleague ordered it) that was lovely and then came the appetizer we had a trio of crostini's that we're really nice; manchego & fig, beef tartare, and shrimp with chili and cilantro. They all tasted really nice, but at $24 for 6 pieces, it felt a bit on the high side of reasonable. The main course was a really special; wild mushroom rigatoni that must be experienced again. I don't usually gush over pasta, but in this case it was practically required. I think they had to be using a mushroom stock to get the concentrated flavor that the dish had. At the end I had a lovely French inspired apple tart that was perfectly baked and seasoned; lightly sweet with just a hint of tartness. The bottom line is I would go back here regularly, but it would be really hard not to order the mushroom pasta every time. The service was very attentive without being intrusive or ""cute"". Everyone was very professional and aware of the details that make dining out something to be savored. My compliments to the chef and his team for a memorable and delicious experience, and to the front of the house staff who complemented the kitchen in every way. Nicely done.",0,0,0,Kevin S.,"Woodinville, WA",89,7,0
4.0,4/4/2019,"Years ago, I went to Fig & Olive and since then I couldn't stop thinking about the delicious crostinis! The rest of the food is expensive and forgettable but the crostinis are a must have. They are 3 for $11 or 6 for $19. It's a bit less costly during happy hour. Some of the flavors might sound weird and questionable but it works. They are all delicious! I didn't think that the gorgonzola would be good (apple and red pepper marmalade), but it ended up being one of my favorites. The forest mushroom is my second favorite. It is so flavorful! Try them all, they are all good choices!",11,1,8,Anna L.,"Woodside, Queens, NY",55,287,506
5.0,3/30/2019,Great place for business lunch.  Healthy menu and they get you in and out within the hour.,0,0,0,Y K.,"Flushing, NY",0,8,0
1.0,3/28/2019,I am back! Came in again as a single female business traveler.  Seated in a terrible table in the middle back in front of the kitchen. All the waiters are walking past me but I had to ask three times for a glass of water. This is really not a place to come as a single party. I'm happy to spend a fair amount of money for a good meal but I'm not going to do it here. And I shouldn't have to make a reservation through the CEO in order to be treated decently.,0,1,0,Julie H.,"Berkeley, CA",17,44,0
5.0,3/27/2019,"One word Yummy. I had the melt in your mouth mushroom rigatoni with shrimp and the namesake fig and olive cocktail which were just without complaint! Service was fair not over friendly but I have 5 stars after our waiter gave my guest a complimentary cocktail.  My friend ate the shrimp and salmon salad which was also fresh and tasty. Great for a first date, power lunch, or after party gathering. Cozy and lively all in one",0,0,0,Kiplee B.,"Philadelphia, PA",0,19,0
5.0,3/25/2019,First of all the server was very polite and welcoming even when my mother was being difficult with her order. The olive oils and balsamic that come with the bread are really flavorful. Next time I'm gonna buy a bottle to take home. I ordered lobster ravioli and added salmon. It's a great dish and the salmon was perfectly cooked. The last time I was here I ordered the lemon chicken and it was delicious. Lemon chicken is definitely my top recommendation for this place. It's also great to see that they use organic chicken and grass fed beef. Hard to find good restaurants that do this.,0,0,0,Thanasi S.,"New York, NY",224,12,4
5.0,3/23/2019,"Terrific oils to dip bread in and most splendid chicken and desserts. I recommend sitting upstairs. Very classy restaurant, staff and good wine.",0,0,0,Fran S.,"Austin, TX",23,26,0
5.0,3/21/2019,"There are two floors and both are always fully occupied during lunch time. Make sure you make a reservation! The food is very tasty and great presentation. The restaurant is noisy and tables are very close to each other. If you are looking for a quiet business lunch spot, this is not for you.",0,0,0,Wei X.,"Queens, NY",22,35,36
