rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/27/2019,"The only reason I am giving two stars is because I have gone in the past for dinner and it's been passable, but today for brunch was atrocious.The waitress took our order of three items (Cuban sandwich, vegetable posole, grilled fish tacos, no special requests) and seemed confused from the get go. Despite reading our order back to us initialy,  she came back later to confirm the order.   OK.Food comes out as it is ready, as is typical with tapas places.  Cuban sandwich came out first, inexplicably soggy, bread completely soaked through with moisture to the point where it was difficult to even pick it up.  While I rarely end anything back, it was so egregiously wrong that we assumed it must have been an error on their part and had it sent back to be replaced when the runner brought us the vegetable posole.  The posole was probably the only thing that we got that was pretty good, although it was very one-note in flavor.  After that there was a very long wait.  Perhaps 15 minutes later the waitress stops by and perfunctorialy asks is everything is OK.  I start to respond saying, ""actually..."" but before I can even finish my sentence she condescedingly ""reminds"" me that food comes out as it's ready and she knows we are waiting for one more item.   I say, great--but actually I just wanted to let you know that we had to send the sandwich back too.  She obviously had no idea and hurriedly walks off.  Ten minutes later she stops by again and asks if we ever even got our tacos.  Nope.  She seem confused and irritated.  Perhaps another 10-15 minutes later the Cuban sandwich replacement arrives looking better--it tastes decent, average.  Another 10 minutes later the long-awaited fish tacos finally arrive and are disgutingly soggy with moisture seeping through the tortillas and falling apart. The fish was not grilled and the texture mushy and gummy, to the point where I questioned how fresh it was.  We literally took one bite and left the rest.   At that point we are just ready to go but no one was clearing our plates and our waitress is no where to be seen, to the point where I think she may have quit mid-shift.  I tried to make eye contact with someone who seemed to be a manager but he was studiously avoiding eye contact.  After craning our necks for 10 minutes I literally stood up, put my coat on, and remained standing next to the table with my wallet in my hand.  It still took another 5-10 minutes for the waitress to rematerialize and ask how everything is.  We say to be honest the fish tacos were inedible and we would like the check.  She says he will speak to the kitchen abot it.  Subequently returns with the check with every item on it.  For a place that is charging $25 for two tacos, those tacos should at least be edible and the service should not be so laughable.",0,0,0,Jessica A.,"Manhattan, NY",0,10,0
2.0,4/19/2019,"They really need to train their staff. Waiters saw me raise my hand and look at them but kept on ignoring us unless it wasn't their table. They never come to you unless you call them and I literally had to stand up with my glass and get my water filled from the bar. Later, our waiter was replaced and Brice was wonderful. He was the only staff that was doing his job. The food is great but salty. Either the kitchen needs to use less salt or waiters really need to go around with jars of water.",0,0,0,Hana C.,"Manhattan, NY",41,1,0
4.0,4/13/2019,"Food-3Atmosphere-5Service-4.5Selection/variety-4Value-3I came here a couple of years ago and had a great experience. The atmosphere is still great! Service was great! As was the drinks. However, the menu was not what I remembered it being. The only thing that I ordered that I really LOVED was the mushroom mole tacos. And the mezcal cured salmon was good. The drinks were excellent. I recommend the passion fruit mezcal margarita skinny style. However, the rest of the menu did not taste Mexican/or Spanish at all. It felt like the chef had a misidentity. The cheese fondue was sad. As was the chocolate that cane with the churros. Overall, I would come here for a snack and a drink to enjoy the scene, but don't come if you are really hungry.",1,0,1,Nan W.,"Manhattan, NY",31,111,36
3.0,4/8/2019,"This place has very knowledgeable waiters. The atmosphere is hip and trendy. Many trendy people seem to frequent this stop. However, the food is not that great. It lacks flavors or spices that jelly well together. Still, the alcoholic beverages were divine.",0,0,0,Beth M.,"Queens, NY",12,98,55
4.0,3/27/2019,"I'm embarrassed to say that I would probably come back to ABC Cocina just to bask in the glory of the decor - it is insanely gorgeous. It's a Jean Georges restaurant so be prepared to pay up. I came in with high expectations, and I felt like ABC Cocina met them, but just barely.The drinks were all good, but more expensive than the average cocktail in New York. I found the drinks all lacking inspiration for such a nice restaurant.Food:-Complimentary focaccia and sourdough bread: good/nothing memorable, but I'm annoyed that we had to flag our waitress down to get the complimentary bread-Oysters: very good-Short rib tacos: These were to die for. It was so flavorful and the pork was perfectly cooked. These are a must order!-Mezcal cured salmon: I didn't love the cucumber yogurt relish, but I imagine most would really like this dish-Shrimp with sizzling garlic oil: a complete pass. It was literally 5 small shrimp on a skillet, soaked in chili oil. The dish was heavy without a good flavor to make it worth it. It was pretty bland, and the shrimp was a little bit overcooked-Arroz con pollo: a big dish of crispy fried chicken and rice. The rice dishes on the menu are more expensive than the rest of the menu, but it really fills you up-Winter vegetable posole: a plate of mixed veggies. Overpriced for what it is, but the sauce used was delicious. -Churros: deliciousThe ambience of the restaurant is really sceney, but nice. The restaurant was blasting EDM at one point so that was definitely a turnoff, but it seemed to mellow out afterwards. I felt like the service overall was really, really lacking though. It took forever to place our drink and food orders, and it was hard to flag down our waiter throughout the night. A sign of good service is that your water glass is never empty, and my glass was perpetually empty throughout the meal. The bad service is a huge turnoff and quite surprising for such a high calibre restaurant that's been open for over 5 years. I'll probably be back again nonetheless.",4,2,2,Peggy W.,"New York, NY",577,248,288
3.0,3/22/2019,"We have always been a fan of Jean George and were very excited to come to ABC Cocina.  Sadly, it was not particularly exceptional or interesting and a bit pricey.  Perhaps it was made less appetizing by the remarkably loud volume in the room.  Couldn't wait to wrap up so we could escape.",0,0,0,Elaine H.,"Cambridge, MA",0,3,0
3.0,3/22/2019,"5 stars for the service, it was unmatched. The waiters were very attentive and kind. We made reservations but they were running behind so we were seated about 15 minutes after our reservation time (no big deal) the food however was very mediocre which I was extremely disappointed by considering 1. The price and 2. The hype. I ordered guacamole, chili oil shrimp, chicken tacos, calamari and the arroz con pollo. Firstly the guacamole was $19, like I get guacamole is expensive but that was way above average for what it was. I honestly think chipotle guacamole is better. Second the chili oil shrimp wasn't even a hint of spicy, it's literally shrimp and chili oil, no special sauces or flavors. Anybody can make it at home. The best thing was the calamari even though it was about 8 pieces max, the accompanying sauce was great. I also ordered the salted caramelized flan and it was weirdly warm instead of like cold as I'm used to? I also had the tres leche cake which was very good. Probably my favorite part of the dinner was that cake. I wanted to try this place for a while so I'm glad I did but also I would never come again. I just don't think the dishes matched the price points.",0,0,0,Min C.,"New York, NY",12,92,63
4.0,3/17/2019,"Pleasantly surprised, great food! A little noisy and crowded, but service was great. It just took a little bit to get seated but overall meal was very enjoyable. Loved the griddled fish tacos and the seasonal popsicle dessert. Prices are definitely on the higher end, but nothing out of the ordinary for a NY upscale restaurant. Nice atmosphere and very abc-esque, dark and designed. Will be coming back to try out abc kitchen eventually as well.",0,0,0,Jennifer Y.,"New York, NY",196,106,60
3.0,3/16/2019,"For these prices?! The food should match the ambience and service staff which was absolutely excellent. The food was averaged as a polite ""good"", not a charismatic ""good"" and certainly not great, as agreed upon by all five members of my table. The Bad:Tuna Tartare - sent back. Everything was ""off"" with this dish. Fish was very fishy, flavor profile tasted more like cole slaw with bits of gone bad tuna. Fried fish tacos - bland and very soggy. Sweet slaw on top maybe should have been drained a bit before topping off taco. The flavors, still weren't there for me. I love fish tacos so I was sorely disappointed and even left one completely uneaten. Oysters - a few days past their prime for serving. The Good:Guacamole - one of the better tasting dishes, albeit $18 for guacamole is a bit highTruffle fritters - very good, exploding with flavorShredded Brussels sprouts - flavors were amazing! (I love Brussels sprouts btw)Octopus - delicious, cooked to perfection. Flavors of the sauces were great and balanced Maitake mushrooms - delicious albeit it's not hard to mess up a grilled mushroom The Ok:Calamari - squid tasted a bit off. Not sure if it was old, under or over cooked...Empanadas - good but again for these prices it should be amazing. I don't recommend going to ABC Cocina unless you like atmosphere and service over cost and taste of food.",0,0,0,Tamas S.,"Brooklyn, NY",198,81,11
2.0,3/14/2019,"Let's review this in the setting of an expensive dinner where the food was high quality.Table wasn't ready at reservation time. Okay no problem. Server brings waters and menus. Server is then no where to be found and have to ask someone to find him (minus a star). Takes our food and drink order. Food come before drinks. In fact drinks land on table 50 minutes past the reservation time (minus a star). Food arrives as ordered. Very good. Order glass and wine and ask for dessert menu. Drinks come. No menu. Ask another person for a dessert menu. She says she'll find our server. She come back to clear plates. No menu. How hard is it to get a menu whether you're the designated server or not?? (Minus star) I had joked that it would take 15 minutes to get a menu. In fact it did take that long. Dessert came. It was good. In my opinion you can't have above average prices for above average food with well below average service. Also for anyone that cares, it's loud.",0,0,0,Greg W.,"Manhattan, NY",135,75,0
3.0,3/7/2019,"I was craving Latin food one night, and decided to try ABC cocina. The food here is great and the drinks are even better. But what I love most about this place is the VENUE! Such an awesome concept for a restaurant. It definitely hit my craving for Latin food! I want to now try all ABC restaurants !",0,0,0,Anjali B.,"Little Neck, NY",164,27,18
4.0,3/4/2019,"Now that I've finally tried Cocina, I can finally say that everything in the ABC empire is amazing. This place is pricey, but that's to be expected since it's a Jean Georges restaurant. My party of 4 came for dinner at 7pm on a Friday and the entire place was packed. The music got increasingly louder as the dinner went on and at one point we were almost screaming across the table. Whoever controlled the music really wanted us all to give Ariana Grande the attention she deserves haha Standouts:Arroz con pollo (my favorite dish here hands down), charred octopus, crab frittersGood:Patatas bravas, brussel sprouts saladSkip:Short rib tacos - 2 tacos for $25. I love tacos and these were good but not worth the price for sure",0,0,0,Lucy N.,"New York, NY",704,319,4054
3.0,2/17/2019,"Really small plates even for a tapas restaurant. With a reservation, we had a 35 minute wait for a table and not a single thing comped or even an offer made to do so. Attitude from the person serving wine when we asked that the bottle be chilled. ""Well how do you suggest I do that?"" ""How long, 3 minuetes, 3.5 minutes?"" There are way too many other restaurants in NYC to rationalize spending my money at this place again.",0,0,0,Brendan H.,"New York, NY",7,49,2
5.0,2/17/2019,"This was my first time here, i was amazed by their decor, set up, atmosphere, and music choice. It's in a very trendy area with lively energy. The staff was welcoming with constant service. I was definitely impressed and planning my next visit.",0,0,0,Asia J.,"Queens Village, NY",159,13,35
4.0,2/10/2019,"Had a nice pre-theater dinner with my daughter. Drinks were great-I had one with prickly pear & my daughter the cucumber Collins. There were 2 kinds of bread, neither of which were great. The waiter suggested 3-4 plates each, which sounded like waaaay too much. We started either a cheese board & tuna tartare. The tuna was delicious, with a Spanish flavor rather than the usual Asian seasonings. It was served with deliciously crunchy tortilla chips. The cheeseboard has 3 varieties along with a few apple slices, Marcona almonds and some type of fruit preserve. All were delicious but could have used a good cracker as a base. Still a little hungry, we ordered the squash & mozzarella empanadas. These were delicious too. Served with a slightly spicy sauce but no idea what it was as it wasn't listed & the server didn't explain. Oh, there was also a tiny bottle of light orange liquid in the table-when I asked, we were told it was habanero pepper hot sauce. All food & drink we ordered was enjoyable and liked the atmosphere.",0,0,0,Jodi F.,"Davenport, FL",87,2,1
4.0,1/26/2019,"I really wanted to like the experience but at the communion table there was only one waiter and it was Saturday so no matter how friendly the service was he barely had time to come to us. Drinks were phenomenally when they finally came out. Food came out fast and was delicious but the dishes were definitely just a tad too small. He told us 6 shrimp there were 5. That just barely feels enough for 2 people but I get it's tapas. They brought us extra of chips and sauces that were super delicious. Place feels new, the kitchen is definitely cooking a great menu right now.",0,0,0,William V.,"Chicago, IL",338,11,1
2.0,1/22/2019,"For the neighborhood this place is predictably second rate. Our server was attentive in the sense that he kept ""asking"" to remove plates that were half-finished (sometimes I take breaks from eating to have conversations with my dinner mates) and ""taking"" drink orders without asking whether anyone wanted anything different from their last drink. But whatever. The food was OK, priced to cover the rent, and portioned appropriately for babies and new yorkers who suspiciously don't take enough amphetamines.",0,0,0,Mike L.,"Brooklyn, NY",0,3,0
5.0,1/21/2019,"Wow, this place is awesome! Numerous people had recommended this place and now I know why. First of all, the service at this place is impeccable. They only had an 11:30am reservation online so I booked it. Come day of, we realize we wouldn't be able to make it until about 12:15. I gave them a call and they change my reservation to 12 and told me they allow a 15 minute grace period. Yassss!! We get there and they seat us by the window overlooking the street, so Parisian of us! The menu is pretty self explanatory with sharing portions. The drinks are just so incredibly unique. I started off with the hibiscus piso drink and had another round of the fig drink, both had an amazing display and flavor. Where do I start with the food?!! We had the guacamole, the beef empanadas, oysters, shaved Brussel sprouts, clams, garlic shrimp and fish tacos. For dessert we had the tres leches cake. I can tell you I was in food heaven. The guacamole comes with roasted tomatoes and a churro like chip, soo good. Oysters and clams were very fresh and tasty. My two favorite dishes were the shaved Brussel sprouts and the shrimp. Let me tell you in other restaurants I probably wouldn't get these dishes because I'm not a fan of either but it was soo good here. I don't know what they put in the Brussel sprouts but it was melt in your mouth good. The shrimp was seasoned with garlic and in a spicy aioli sauce. Soo goood. The fish tacos have this spicy pickled cabbage on top. Also, very good. The beef empanadas were good, but nothing to elaborate there. Finally the cake!!! Tres leeches done right! I cannot sign out until I talk about our waitress. Didn't get her name but she was originally from Puerto Rico. Such an amazing soul. Accommodated to all our requests; our excessive amounts of lemon wedges and all with a smile!!! So thank you!",0,0,0,Anna B.,"Los Angeles, CA",5,28,90
