rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,Oldie but goodie still executing well.  Probably one of the better lunchtime midtown spots.  Plentiful menu options available that that don't make you regret not ordering steak.  Cocktails mixed with precision so make sure to have one or some.,2,1,3,Ben D.,"South Orange, NJ",85,224,1447
5.0,4/30/2019,"My wife and I came here for an Anniversary lunch since we had to catch a bus back from NYC to DC. Great decor, friendly staff and experience. Highly recommended! (Tip: medium rare still a bit bloody so order accordingly).",0,0,0,DC G.,"Alexandria, VA",94,126,70
5.0,4/27/2019,Nice place,0,0,0,Mark S.,"Manhattan, New York, NY",9,37,1
1.0,4/26/2019,"We went to Gallagher's steakhouse 228 west 52nd street on our 10 year anniversary after a play. It was around 10 PM and we asked to be seated for dessert. The Hostest asked the manager what to do and he said sit at the bar! I asked if their were seats and he said go look and pointed to the bar. After walking around the bar area and seeing that they had no seats we aproached the Hostess and said, to bad she would not serve us and left. I wish I could say how the food was but never had a chance. Thumbs down, very rude and would not ever go back. Gallagher's was Recommend buy the Hilton and we will make sure they know as well.  After, we went to Rosie O'Gradys where we were welcomed with open arms and had a great dessert.",0,0,0,Robert F.,"Naval Air Station Point Mugu, CA",0,2,0
5.0,4/25/2019,"My New York City visit is incomplete without a visit to Gallagher's. This time I went with family on Easter Friday for lunch. We elected to go for 3 course fare for $29 PP. Some restaurants will compromise on portions and quality to provide cheap meal, like during summerlicious and winterlicious. Not Gallagher. The restaurant takes pride in its brand. Same quality, same service, same ambience. Gallagher is one of the best restaurants in NYC. I reserve my compliments for the likes of Gallagher, Jean George's, Le Coucou, Avra and Milos. There are many others of course amongst my favourites but for now, the above mentioned deserve culinary kudos. CheersSuresh ChawlaToronto, Canada.",0,0,0,Suresh C.,"Toronto, Canada",7,32,0
5.0,4/23/2019,"Went for lunch on a Saturday..Opted for the price fixe lunch($29, 3 course..upgraded to a 10 oz filet for an extra $10)..Received the same bread basket for myself that a party of 4 would get, was warm, butter at the perfect temp..a walnut raisin bread was part of it, yum..Wedge salad was the right temp also,  to.ato was ripe and small but thick cut cubes..nice starter..filet came out cooked perfectly (seemed a bit shy of 10 oz but I am guessing that at this price point you are getting the cuts that are as good  quality  wise but not as  visually appealing)mashed potatoes (5 stars) & creamed spinach (3 1/2- average)..Chose the cheesecake  for the closer, was very good with fresh whipped cream and strawberries..The waiter went out of his way to make me feel comfortable as a solo diner and was just as good with the couple sitting  next to me..HIGHLY RECOMMEND  for lunch !",0,0,0,Brian A.,"Huntersville, NC",11,58,93
5.0,4/23/2019,I wanted an old-school steakhouse while friends were in town and I was not disappointed.  Everything I would look for in that type of establishment was met here including an amazing professional wait staff.Nice touch by having crooners such as Sinatra and Dino in the background.,0,0,0,Lee F.,"Brooklyn, NY",29,8,0
1.0,4/21/2019,"When you go to Gallagher's, don't think high-end steakhouse. It's not. Think of a lunch counter diner that serves steak. They will make you feel like they're in a hurry, literally throwing dishes at you on your table.  And they crowd you in within elbow distance of the table next to you...and we even had reservations.  I will give them props for the New York Sirloin - perfectly grilled, medium rare, tender and flavorful. However, my wife's medium rare salmon was first served as an overdone piece of swordfish and then after we convinced them it was wrong they replaced it with an overdone piece of salmon. They agreed to comp us for the fish, but the night was lost. Not likely to risk a night on this experience again.",0,0,0,Tom D.,"Lincoln, NE",29,92,65
5.0,4/16/2019,Amazing cocktails at the bar and outstanding service at your table.  One of the best steaks I've ever had.  NY Strip!  Highly recommend.,0,0,0,Keith B.,"Fort Lauderdale, FL",62,54,16
4.0,4/15/2019,Thanks to Nicholas and John we enjoyed the exceptional service we've read about...and our appreciation to the host for squeezing us in on a booked Saturday night.  We chose the porter house for two and it was prepared to perfection by the chef's of Gallaghers who gave us a memorable night.  The shrimp and lobster dumplings started off our meal and they alone could justify recommending you try Gallaghers for yourself.  John was attentive and frequently checked up on us so it made the experience on par with the high quality of our steak.  Looking forward to trying the tomahawk on our next visit.,0,0,1,Michael M.,"Perth Amboy, NJ",22,62,47
5.0,4/15/2019,"We were in NYC visiting family and staying at the Novotel next door and we could smell the hickory wood wafting as they fired up the coals. I don't know if it was this that awakened the primordial fire=food Neanderthal in me, or if it was the glass-fronted beef aging room that faces the street with gorgeous slabs of dry aged cuts beckoning us in, but it worked. We made a reservation (along with our 14 year old daughter who is a restaurant connoisseur) for a mid week treat. It was absolutely buzzing when we got there at 6:30, and the gracious manager (a handsome Caribbean man with a mega-watt smile) bid us wait a few minutes while our table was readied. After we chatted with him for a bit about theater (becoming more and more Disney-fied all the time) and his writing aspirations (please follow that dream) we were seated at a table very near the kitchen. Normally I would have asked for a less busy seat, as my husband and I like to talk and the frenzy was distracting but I found it amusing to watch the waiters and their carts full of luscious food come and go. We proceeded to order what turned out to be the best crab cake I have ever eaten, so full of juicy whole lumps of crab that it was barely held together by its crunchy panko crumbs on top. My daughter ordered the French onion soup which was velvety goodness, perfectly salted. She also ordered the shrimp and lobster dumplings and polished off every one. My husband and I ordered the T-bone for two, asparagus, and baked potato for a throwback meal a-la Musso and Franks in Hollywood, which we love. The beef came out perfectly charred, perfectly salted, and perfectly rosy on the inside. Now, I'll tell you this: we'd lived in Italy and had the infamous bistecca fiorentia a number of times and this steak won over the Italian cousin HANDS DOWN.  The aging process rendered it buttery and luscious, and they serve a little sauce alongside that it completely unnecessary but savory and delicious, as bit like Ballymaloe relish (I've you've ever been to Ireland and had that icon of condiments). We capped it all off with a superb bottle of SeaSmoke pinot noir (a little taste of home in CA) and ended with the profiteroles stuffed with vanilla ice cream. We were groaning full at this point, but found a way to also sample the beautiful fruit plate the kindly manager had sent our way. With his graceful style and the food's show-stopping quality, I will always recommend this restaurant to friends traveling to NYC. p.s. It's pricey, but worth it. It is a meal we will always remember.",0,0,0,Lisa D.,"Costa Mesa, CA",1,31,17
5.0,4/14/2019,"My husband is a big meat eater and for his birthday do you want to go to a steakhouse we've never tried before. We had plans to go see a Broadway show so I decided to make reservations at Gallaghers Steakhouse, which was nearby the show.  Upon arrival, we were seated properly. The waiter introduced himself and gave us the menu he asked for a drink water then gave us a couple of minutes to look over the menu. When our drinks came, he explained to us there were several items not listed on the menu and went through it. As soon as I heard calamari (which was not on the menu) I knew I wanted that as an appetizer! We ordered calamari and oysters as appetizers. As our entrée, we ordered steak grilled salmon french fries and spinach. I forgot to mention the bread bowl at the table. All the breads were so delicious, one tasted like a carrot cake. I had to stop myself from filling up with bread. The calamari was great my salmon was great my husband steak was amazing the french fries were great I have nothing bad to say about this place. The waiter was spectacular we tipped him way above the recommended 20%. I highly recommend!",0,0,0,Vane K.,"Ossining, NY",18,75,218
2.0,4/12/2019,"Low review because the food from the appetizers to the steak to the dessert was very bland. The NY Strip was a bit tough to cut and stringy it seemed. The calamari was bland, the apple pie a la mode was average at best. Definitely not impressed with the food for a famous NY Steakhouse. Service was the best part. Phenomenal from beginning to end.",0,0,0,Cody K.,"Downingtown, PA",0,10,1
5.0,4/8/2019,"Best steak I've ever had (filet).  Best service I've ever had (Adam).  My husband and I celebrated our 20 year anniversary here during our trip to NYC.  It was the perfect choice.I will ding them for the weird Cosmopolitan, though. What was up with that sour thing?Don't get the Cosmo and your night will be fabulous.",0,0,0,Sandy P.,"Fort Mill, SC",0,12,0
3.0,4/8/2019,Was hesitant about coming here when my friend made the reservations I came here twice last year and the manager was so rude didn't ever smile his name was John or Bryan who knows This time was better though,0,0,0,Bryan J.,"Brooklyn, Brooklyn, NY",0,5,0
3.0,4/6/2019,"Went here last night spent $300 dollars on a dinner for two here and it was honestly barely worth $100. One they charge you for the sides. When you spend $50-$100 on an entree you'd think they wouldn't charge you for the sides #cheapskates. Not only that the cauliflower curry I got was cold. The baked potato my wife got looked like a basic bland spud. I honestly could have gotten my over charred steak that lacked some flavor at a Texas Roadhouse and it would have been better. They put bread crumbs on a lobster tail (this should have been a red flag to me because at first I even questioned it in my head, who does that???) but it was decent. This is the North East why would you think that's okay. My wife got the lamb chops same result over charred and there was only three of them. The highlight were the drinks because I was buzzed enough to get through the meal without being upset at the end once I saw my check. The service however was phenomenal, the waitstaff was more than friendly and helpful. If you don't mind spending a lot of money on a dinner for two go to Gramercy Tavern. Way better food. You can get drinks and have their seasonal tasting menu.",0,0,0,Patrick C.,"Chandler, AZ",0,1,0
3.0,4/6/2019,"I came here with my family for lunch and had the filet mignon, creamed spinach, and mashed potatoes which was good for the price. Our waiter was Robert and his service was mediocre at best. I had a glass of wine and finished it half way into my meal. Robert never asked me if I wanted a refill. My husband and kids drinks also sat empty half way through the meal and were never asked if they wanted more. I did flag down a waiter that was not Robert as Robert couldn't be found and asked him to please refill our waters which he did promptly. We sat for about 15 minutes waiting to order dessert until again I flagged down another waiter that was not Robert to take the order. We ordered our deserts to go and again had to flag down a waiter for our bill to which he said ""oh no one has given you your bill""? At an upscale establishment such as this I expect great service not TGIF service. Very disappointed in the service however the food was worth the price.",0,1,0,Marisa R.,"Rialto, CA",77,8,0
5.0,4/6/2019,Food was amazing!!! I went with my husband on a whim and weren't expecting something so elegant! My husband had the New York Sirloin steak and their Mac and Cheese one the side while I had the grilled half chicken with couscous  the service is lovely and the food is even greater! We are def coming back and have told many friends about this place!!!,0,0,0,Emily R.,"Bronx, Bronx, NY",196,5,4
5.0,4/6/2019,So amazing. We had a gift certificate to use here and stopped by for lunch since we were leaving the city - it was so good! Highly recommend it!,0,0,0,Aj J.,"Tampa, FL",0,2,0
4.0,4/6/2019,"This is an incredible steakhouse. The flavor on the ribeye is out of this world. We also had the creamed spinach and salmon tartare, both were wonderful complements to the steak.Our waiter Nicholas was incredibly attentive, funny and made the experience great.The only reason for four stars and not five was the awkward experience while arriving. We held reservations for 9:30, and arrived on time and we're told we were checked in and would be seated when the table was ready, have a seat at the bar if we wish. Great, no problem. However after 30 minutes went by, I checked back in with the person at the front, she told me they had marked us as a no show since they went around the bar asking for us several times. This was simply not true. We were seated near the hostess stand and had made sure to pay attention when she walked out to find parties. Her colleague also doubled down on the accusation that we simply must of just not been paying attention. I have no issues with waiting, or small hiccups, things happen. I do take a bit of issue with the weird lying, a simple apology would of sufficed.",0,0,0,Kyle S.,"Outer Richmond, San Francisco, CA",247,115,4
