rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,The brunch menu is great! Highly recommend the steak & egg dish - tender and flavorful! Service is very friendly and attentive.,0,0,0,Sinan Z.,"New York, NY",320,133,417
5.0,4/19/2019,"DELICIOUS. Excellent service, friendly manager & lovely inside. Some restaurants are too loud or boisterous and this was not the case. Our dishes: Octopus was cooked perfectly, not the best octopus we've had, though. My husband loved the Soup Poisson.The lobster pea risotto was delectable. BUT THE SCALLOPS. Best scallops I have ever had. Melt in your mouth good with a ridiculous chorizo citrus vinaigrette. My husbands pappardelle pasta with rabbit confit was also divine. The rabbit was bursting with flavor. The manager found out it was my birthday and gave us a complimentary dessert- so sweet! Definitely recommend.",0,0,0,Kelly B.,"Old Town, San Diego, CA",1,24,18
3.0,4/14/2019,"I usually like Daniel Boulud's restaurants but this one was my least favorite of all. Considering the location and his name, I get that it's expensive. I just didn't think the food was worth my money. I'm not too sure about the Mediterranean flavor here. It had spices I didn't like. The restaurant does have great service, chic and modern decor.",0,0,0,Su C.,"Manhattan, New York, NY",0,150,347
3.0,4/9/2019,"Service is really good!! They really want to make you happy and satisfy They have many servants, and you won't wait more than 15 sec for your service.Bread and olive oil was served immediately when you seated, but sadly Bread is so so so dryHave the Octopus as appetizer, it turned out really good! Balanced, but it is a little bit pricy for the portion.Ordered lemon saffron linguini as entree with request of light oil, but it is a little bit salty and the linguini is under cooked.  After I finished all, I can not remember what I ate at all. Overall, for a restaurant, food itself is important than services. I will never visit again.",0,0,0,Yuki W.,"Oakland, CA",153,32,102
4.0,4/8/2019,"Food looked better that it tasted. For Amappetizer, I got Mediterranean Mezza the eggplant dish was good, but the rest just looked good. For main entree I got Grilled Seabass, I do not recommend it. It just looked fancy, but was not good. For dessert, I got assorted Medditeranian sweets. It was very good. The service was great. Just because of service and the dessert I give it 4 stars. Otherwise, it would have been 3.",0,0,0,Roxy W.,"Burbank, CA",0,34,28
4.0,3/30/2019,"Had brunch with a couple of friends during a recent stop in NYC.  Very nice spacious and welcoming room.  It was a lovely calm setting which facilitated catching up with friends without a ton of noise or hub bub (yeah, I do seem to be entering a new, more crotchety phase of life).We started off with some cocktails and a bottle of wine, as brunch is really just an excuse for some quality day drinking.  Coupled with a few lovely appetizers for the table we got things off to a good start.The menu is kind of Mediterranean infused traditional brunch.  We had a delicious plate of mezze (the falafel was really outstanding), some Taramasalata (also yummy), and Sardine Escabeche.  Ok, so maybe the menu is less traditional than I first indicated but it was a lovely and relatively light weight to start the meal.  I had the Moroccan ""Eash"" for my main - crab, egg, spinach, crème fraiche, it was unique and a nice antidote to a more traditional egg dish. My wife had Shakshouka which was great and I found myself wondering why it isn't a brunch stable, it's kind of a natural.Terrific meal, lovely room, nice service.  A winner all around.",0,0,0,Alex B.,"Glencoe, IL",153,222,110
4.0,3/30/2019,"It's a Boulud restaurant, so nice service and decor are already a given, therefore I'll skip right to the food.Lemon Saffron Linguini - Seppia, puntarelle, Sardinian bottarga- Over-salted. Ruined the dishSeared Mediterranean Sea Bass - Heirloom carrots, clementine, saffron fregola sarda- Tender fish, pungent/tangy flavors, solid winMango and Cardamom Vacherin - Yogurt meringue, mango sorbet, cardamom gelato- What bumped this rating from 3 to 4 stars: the cardamom gelato should be sold in pints. Or kegs. I'll have 10The Three Horsemen - Peated bourbon, cranberry, chocolate-cherry bitters- Perfect ""country club""-style cocktail to wash it all down",4,1,2,Josephine L.,"Manhattan, NY",620,1619,20
5.0,3/5/2019,"One of the best dining experiences we have had in NYC. Arrived early on Saturday night (4:30) and we were welcomed to the bar where I had a memorable margarita and one with dinner as well. At 5:00 the friendly hostess immediately came over and showed us to our table. Our fabulous waiter Harold was already there waiting to tell us the specials of the day. He couldn't have been more helpful, lovely and attentive, giving us menu suggestions and checking on us throughout our meal. Our appetizers were divine- moroccan flat bread, a special tuna appetizer, and the hummus, babaganoush, and falafel. Our main was simply out of this world- the Dover Sole- prepared exquisitely with a delicious cauliflower side dish. Chocolate cake and date biscuit for dessert were incredible. We can't wait to return.",0,0,0,Rachel B.,"Stamford, CT",0,2,0
3.0,3/2/2019,"We've loved this restaurant: early dinner a few times; I recommended to a board I'm on to do dinner in a private room downstairs; and late night half price pasta hour after the theatre -- all good until last night. Went in for pasta after Lincoln Center play -- pasta just okay this time but after asking for the bill, several minutes later the waiter walked up with it, opened the booklet to look in, turned as he said he'd be right back. When he returned the pasta prices were $34 and $35 dollars rather than half price -- what was he checking? He said he'd try to fix it and 7 or 8 minutes more went by as we stood in our winter coats by the table. Finally he returned with the correct bill about 20 minutes after we requested it. Got back to our hotel much later than planned.",0,0,0,F F.,"Port Hadlock, WA",0,8,0
5.0,3/1/2019,"A friend of mine had been wanting to try Boulud Sud for a long time, so I decided to give this restaurant another shot (the general manager also kindly reached out to me and encouraged me to return). Well, I'm happy to say that my lunch this time was ABSOLUTELY PERFECT! From the moment we entered the restaurant, we were greeted with constant smiles. Everyone was so kind and attentive, and our waitress constantly checked up on us the whole meal to make sure that we were enjoying everything (complete contrast to my previous experience, during which my waiter never came by once during the whole meal). The food was also absolutely delicious! We started off with some champagne and some chips with 5 different types of dips - all of them were delicious, but my favorite was the Babaganoush. This restaurant makes Babaganoush and falafel particularly well. My friend and I both got the Express Lunch deal, which is a really good deal when you look at the a la carte prices. We only paid $26 each for both a soup and an entree. The soup of the day was cauliflower soup, which was surprisingly much better than expected! I'm not really sure what I expected to taste with cauliflower soup, but this one was so creamy and smooth, just the way I like it. For my entree, I got the Harissa Lamb Burger to try something new. I was pleased with the taste and really savored the combination of both lamb and eggplant in the burger, along with some saganaki cheese that I always enjoy. They came with spiced fries, which tasted just like regular fries, nothing too special about them. My friend loves saffron and ordered the Lemon Saffron Linguini, which she said was really good as well! Overall, I was very happy I returned for a second chance at Boulud Sud because the lunch could not have been any better, from the service to the pace to the food. Thank you again for a wonderful lunch! Perhaps my poor brunch experience a few weeks ago was just an unlucky day. After this amazing experience, I can now say that I would certainly return in the future.",0,0,0,Jung Y.,"New York, NY",392,35,178
