rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/27/2019,The meal I had here was amazing! We had the following:-tuna tartare: this is one of the best that I've had at a restaurant. The sauce that comes with this is just amazing.-burrata: this came with a strawberry compote and the combination was so good and original -sea bass: this was cooked perfectly and the sauce that came with it was amazing. I also loved the roasted artichoke hearts that came with it.-prosciutto wrapped pork chop: my husband loved this dish-mashed potatoes: so good and creamy. I would definitely recommend. This restaurant was great!,0,0,0,Melissa P.,"New York, NY",131,354,692
5.0,4/27/2019,"Fantastic dinner. I was with a party of 4, we all enjoyed everything we ordered. I had the sea trout appetizer and sea bass entree and both were great. My husband ordered a burger and I thought ""what???"" But I took a bite and, yes, it was delicious.  My friend's pork chop looked fabulous and she loved it. The room is very nice as was the service. I trusted our waiter's recommendations and he cane through for me each time. Wish I had photos to share mostly bc it's not the kind of restaurant where you'd take pics of the food.",0,0,0,Robin M.,"Chappaqua, NY",7,65,53
5.0,4/12/2019,"Pure bliss. We came here for winter Restaurant Week and the next thing I remember, I was eating the most amazing wild gulf flounder in paprika butter, served on these soft pillows of heaven (they called it potato ravioli). My boyfriend and I just wanted more, and were seriously contemplating coming again the next day just for this dish. Please make it a regular item on the menu. Other items we ordered were the sea trout sashimi appetizer, which was amazingly fresh. I often avoid raw fish unless I know it's high quality, and this was top notch. I also tried the creamy tomato soup, which was tasty but not outstanding like the rest of the food. For dessert, we had the passion fruit pavlova and Jean Georges' signature molten chocolate cake with salted caramel ice cream. Both delicious and the perfect amount. Even more than the food, the atmosphere was wonderful and the service exceptional. It felt effortlessly (and unpretentiously) upscale. Our server was incredibly professional. We never had to call on him, but he was swift in getting us exactly what we needed. All without the dreaded hovering. He finished his shift while we were waiting for our desserts, and made sure to approach us and let us know we would continue to be in good hands and that it was his pleasure serving us. Class act. Bottom line: touché on being a high quality, upscale restaurant that can actually justify its above than average prices. A rarity. The dishes we were served were of true entree size, delectable, unique, and filling. We'll be back again soon.",0,0,0,Daisy W.,"Manhattan, NY",159,72,23
4.0,4/7/2019,"This is a cute place for brunch, located right next to Central Park. It's located at the lobby level of trump tower. For those of you who aren't familiar with the restaurant, Nougatine at Jean Georges is a more casual version of the the actual Jean-George's restaurant, which is right next door (they're literally connected and separated by a glass door, and share the same check-in area). So Nougatine is a bit more noisy, more likely to have young kids and crying babies etc, and the food is much cheaper also. Service here is still excellent, food comes out pretty quickly, and they give complimentary sourdough bread. Reservations are accepted here too; Just be sure you reserve at the right place (ie Nougatine at Jean-Georges vs Jean Georges). Parking is not impossible- there's street and meter parking within a few blocks walk if you drive. I highly recommend the lobster burger. It's such an interesting dish, and reminds me of a lobster roll. There's so much lobster with every bite, and comes with cheese and pickles. The dish comes with fries on the side, which are perfectly crisp and salted. The eggs Benedict with ham is also good, but nothing out of the ordinary. However, it does come with home fries, which I think I liked more than the eggs Benedict itself! The potatoes are sliced in small thin circles and very crispy on the outside. We also shared the calamari appetizer, which I wasn't a huge fan of. It was very fishy, which made it hard to enjoy the calamari itself. I've had plenty of fresh calamari before which didn't come with the fishy smell.",0,0,0,Ruby C.,"Cambridge, MA",8,181,212
2.0,3/31/2019,"Nougatine is very overrated. Every dish we ordered was bland and underwhelming. I dined at Nougatine last night for a birthday dinner - a party of 7. We all did not fully enjoy the appetizers, entrees, and the bottle of wine. The desserts were the best part of the meal. Here is what we ordered:Appetizers ~- Crab salad: meh, nothing special - Fried calamari: calamari didn't taste very fresh- Burrata salad: tasty but not anything special - Foie gras creme brûlée: very bitter and just not tasty- warm artichoke: extremely bland Entrees:- Prosciutto wrapped pork chop: mediocre and overcooked. The prosciutto was overcooked and did not complement the pork chop. I'd suggest bacon instead. - Beef tenderloin: nice cut of steak, but nothing special - Sea bass: good, but also nothing special - Hake: good but under-seasonedDesserts:- Meyer lemon creme brûlée: delicious, my favorite part of the meal- Apple cinnamon crumble cake: well made- Chocolate cake: also delicious- Peanut banana caramel tart: my least favorite dessertI can't remember what the wine was but it was so acidic and didn't pair well with any of the dishes we ordered. None of us would ever return.",1,1,1,Lin C.,"New York, NY",381,167,487
2.0,3/5/2019,"We came here for brunch and tried the eggs benedict and omelette. Both were tasty and I loved the side of crisped, thinly sliced potatoes bathed in butter. What we were very confused by though, was the side of artichoke that we ordered. It was a whole head of artichoke that we were supposed to peel and dip. It came very undercooked, and we were not able to find a part that was tender enough to eat even though we peeled until the center. When we brought this to our server's attention, she mentioned that she will check with the chef and did not return until half an hour later. She then kindly offered us another side (we chose brussel sprouts) which turned out to be delicious, but took another half an hour or so to arrive. So understandably, we were done with our other dishes and were just waiting on the brussel sprouts. During the wait, we were approached by three different servers asking if we were ready to get the check, and we had to explain every single time that we were waiting on a replacement dish. At one point we were literally done explaining to one server, and I took a sip of water, and another approached us. I don't know what the staff workflow protocol is (maybe there is such a long wait that the staff were trained to turn tables around as soon as they see a possible vacancy), but some structure and consistency would be nice.",0,0,0,Sophia X.,"Manhattan, NY",384,126,189
2.0,3/1/2019,"Seriously, for the price I was disappointed.   My fish was really blah and had bones in it.   The potatoes it came with were like a throw back to 1972, think German bar food.   Our artichoke appetizer was over steamed (yes, I'm from California, we are picky about our artichokes).    And I've had better meals at Nougatine than the one I had this week.   And for some strange reason they seated us in Jean-Georges (not the Nougatine side) at the very worst table where you can clearly observe the behind the scenes expediting.   I did very much enjoy the wine, however.   Lovely selection.",0,0,0,Stephanie B.,"Lafayette, CA",6,85,6
4.0,2/25/2019,"Lovely restaurant, pleasant during nice weather. Visited during Restaurant Week long ago. Neat food and clean atmosphere. Dishes were simple and not mind-blowing.",0,0,0,Daniel H.,"New York, NY",214,73,115
5.0,2/18/2019,Their lunch pre fine is pretty amazing.  I highly recommend.  I went with my wife today and sat at the bar.  Our apps were delicious.  I had tuna tartare and my wife had the shrimp salad.  Shrimp salad is very good.  I had the bass she had the salmon both so good.  Chocolate cake for dessert just molten goodness.  I think it's definitely a must go to spot.  We are local so will be back for sure.  Service impeccable and servers were kind.  Crowded at the bar for sure,0,0,0,Philip K.,"New York, NY",2,67,198
5.0,2/16/2019,"Love their prix fixe lunch menu! Super affordable for such a pricey restaurant. Super cute place with lots of natural light. The warm shrimp salad is the best thing I've tasted on the menu so far. I constantly come back for that. My fiancé loved the veal Milanese and my brother absolutely loved the dessert. It used to be a strawberry pavlova but now it's passion fruit. Both were delicious. Highly recommend this place for lunch, I've been once for dinner and it didn't stand out as much.",0,0,0,Celine M.,"Manhattan, NY",52,30,1
