rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"Great service, the food is soooooo good. Big cocktail selection. Its a great place for a birthday spot etc. The large buddha is a show stopper if you bring out of town guests, they are sure to be impressed.",0,0,0,Jenny W.,"Manhattan, New York, NY",0,5,0
5.0,4/30/2019,Omg I can't say enough about this restaurant. The food is out of this world. You must try the Chilean sea bass. The restaurant is gorgeous. The layout of this place is spectacular. It's probably about 3-4 stories high but yet it's still cozy. Make sure to Dress up. It's very trendy. You're going to love it. Top 5 restaurants ever. I must see if you are visiting NYC.,0,0,0,Yoli A.,"Mountainside, NJ",1,8,0
5.0,4/28/2019,The food and drinks was really good. I would recommend this place to friends for special occasions.,0,0,0,Mary P.,"Charlotte, NC",142,14,23
4.0,4/26/2019,"Great ambiance! It's one of the famous pan asian restaurants in New York. You walk through a dark cave into an open room with high ceilings and a giant Buddha as their centerpiece. The room was nicely decorated with candles and lanterns. It was a busy night and my waiter was running around to get all the tables serviced. You definitely should make reservations. The food had a nice presentation. We had a large party so we ordered a few appetizers, entrees and dessert to share. Our table had the lazy Susan so it was easy to move the food around. My favorite appetizer was the crispy bao buns. It was filled with pork and water chestnut for a hint of sweetness. The glazed Thai bbq was packed with so much flavor of green curry. I would definitely eat it again. Their dessert selection had a giant fortune cookie with interesting messages. Mine was "" You will have an overnight relationship"". I wonder what yours will be...",1,0,0,Sue L.,"Brooklyn, NY",83,78,23
4.0,4/25/2019,"Amazing!Great service, so nice and helpful!The food was amazing, one great bite after another. The place itself is beautiful. Don't miss out on the cocktails!Keep in mind that the place is a bit pricey.",0,0,0,Keren S.,"Manhattan, New York, NY",17,6,0
4.0,4/24/2019,"Went for a birthday dinner, party of 6. Atmosphere inside is definitely perfect for a night out with friends or romantic date. Staff was very attentive. We split a few apps to start: edamame, chicken gyoza, and vegetable dumplings. All were very tasty  and came out promptly.For dinner, we decided to split two vegetable lo meins, two orange chicken and one sweet and sour pork among the table. It was enough for all of us and we even wrapped some up. Definitely good for family style sharing. Cocktails were also pretty decent.Good place to check out if you want a nice ambience and good food!",0,0,0,Jessica P.,"West Milford, NJ",0,16,6
5.0,4/23/2019,I love the ambiance! I came here Saturday for my birthday and had the time of my life. My husband and I grabbed a drink by the bar waiting for our table. My favorite drink there is the ruby red dragon. The seating was so nice. We got to sit side by side which felt more intimate. The food was great. I ordered the $52 beef and broccoli...OMG amazing. I got the vegetable lo mein and the lobster sushi roll. My husband and I enjoyed our night. I definitely recommend. Had the best birthday thank you Tao Downtown!,0,0,0,Chels C.,"New York, NY",2,37,5
5.0,4/22/2019,Went here after visiting the auto show. With toddler and wife.We absolutely loved this place didn't get seated in the main area but in the lounge and bar area.Loved the food!!!!Loved the drinks!!!Loved the vibe!!!And loved the service!!!A bit on the pricier side but what do you expect for a premier Asian restaurant in trendy Meatpacking!!!Can't wait to go back for Mother's Day!!!,1,0,1,Alex D.,"Little Falls, NJ",2,11,13
4.0,4/20/2019,A great compliment to its sister ( original) location uptown . Very consistent and hip vibe great for dining and drinks. You really can't go wrong on the menu but the sea bass and the spicy tuna / wafer appetizers are simply amazing. Great Asian fusion so plenty of options from Sushi to noodles or soup,0,0,0,Mr. J.,"Hoboken, NJ",38,195,1
1.0,4/19/2019,"Ridiculously bad food at outrageous prices! Folks, you can thank me later, but trust me. I am saving you a sh** load of money by warning you of the terrible food we had  at this restaurant. I am amazed that this restaurant is still in business. They may be a good night club but they should not be in the business of serving food. Bodega quality food, at best, at astronomical prices. The eggplant dish we ordered was raw. The rsushi rolls were bland and they have the kahunas to charge $20 for a vegetable roll. Run, don't walk, from this restaurant.",0,0,0,Babu M.,"New York, NY",0,4,0
5.0,4/19/2019,Five stars for ambiance and service. Came here last Friday with a couple of friends who were in town for the weekend. Tao was on their list of places and the atmosphere lived up to their expectations.I ordered the barbecue duck fried rice and it was great. Our server Klaudia was attentive and made sure we were well taken care of. Will definitely be back again!,1,0,1,Jonathan P.,"Las Vegas, NV",722,83,42
1.0,4/19/2019,We were excited to check this spot out all the way from Vancouver- Canada.. heard many good things! After waiting in a line up for well over 45 minutes we were told by a bouncer with a gap in between his front teeth that we wouldn't get in today.. when we asked how come he simply ignored us and let other people in who were wearing sweat pants!! And some haggard looking women. He was extremely rude! I'm appalled at the type of treatment we got at such an establishment.. I'd say if you don't have some kind of reservation or guest list skip this joint! We had a much better time at Lavo!! If I could give a 0 star I would!!!! Never coming back.,1,0,0,Prem D.,"Coquitlam, Canada",4,76,24
1.0,4/17/2019,Unfortunately I had very bad service here My waitress was rude and didn't even act like she wanted to be there When I was ordering I had some questions and she just seemed so annoyed with me ... then about 25 minutes went by and a new waitress came up and checked on us which I thought was strange but figured maybe the other left...  finally I just asked for a manager and all she could say was I don't know who was helping you but this server is great ... Don't get me wrong The food was great but work on your customer service I'm paying a lot of money to eat here at least make me feel like I belong !Updating I still have not even been contacted or reached out to apologize for the bad service .... very disappointed,1,0,0,Ashley T.,"Irvine, CA",250,41,3
4.0,4/16/2019,"My family and I celebrated my daughters 21st birthday here. We had a reservation and was seated as soon as all of our guest arrived. They have plenty of seating all around, lil nooks in the corners , the ambiance i is very Sexy! The menu prices are a lil on the expensive side, i felt that it wasn't worth the price because none of the entrees come with a side of anything. For example, I ordered the salmon , and it doesn't come with anything. If you want rice, noodles or anything , you have to order it separately. However the food was very tasty. They charge a $25 cake cutting fee.  Our waiter was very attentive. Drinks were good. The overall experience was delightful, which is what you are paying for.  The manager allowed my daughter and her friend to go inside of the night club section and take pictures because it was not open. I thought that was very nice of him. The bill was a little more than I expected but i then realized they add the gratuity on to your bill. I will return again",0,0,0,Janelle C.,"Bronx, Bronx, NY",103,4,0
4.0,4/15/2019,"I had my birthday dinner here. Ambiance and decor is 10 out of 10, the restaurant is beautiful. Waiter was helpful and knowledgeable. Definitely knew his stuff...food is overpriced but tasty 9/10 for food. You're paying more for the experience but if you're looking for a super trendy / a tad bougie you'll be going to the right place. Would definitely be back and would definitely recommend",0,0,0,Amber M.,"Jersey City, NJ",143,47,4
