rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/28/2019,"I have mixed feelings about this place. I'll start with the good.The Good: The food is delicious and the atmosphere is great. My wife and I came here to take our cousin out who will be graduating from college soon. The ambiance is great for conversation and it's upscale enough without feeling pretentious. Both the lounge area and the dining area are nice. For a cocktail, I had the Not So Bloody Martini, which was excellent (I had two). It tasted like a bloody mary but it was a vodka cocktail. One of the best cocktails I've had in the City. The meats (Mixed Grill) were cooked perfectly and sides tasted great (cauliflower, brussel sprouts, hummus, burrata, duck schwarma). Desserts were very good as well (molten cake, strawberry & chocolate). Overall very pleased with the quality of the actual meal and drinks. From a timing and friendliness standpoint, the service was great as well. Our waiter was friendly, came around at the right times and the right number of times. He wasn't over-bearing but was also attentive enough to address everything we wanted. The Bad: There's some sneaky up-charging that went on with our order. For instance, when I ordered the Not So Bloody Mary, he asked if Grey Goose was OK. Sure. I didn't think too much of it. I'd figure a $17 cocktail came with premium liquor, which is the norm around NYC, at least in my experience. Turns out, it's a $3 additional charge, so it was an additional $6 charge on two of them. On the duck schwarma, I asked how many came with the order. He said 2 but they're big, but he can make it into 4 smaller ones since there's 3 of us. Sounds good. Again, another $3 upcharge without telling us. So there were $9 in total upcharges without him mentioning to us. On a $300 tab it's nothing, and $9 bucks is not a lot, but I find it extremely annoying when restaurants do this. Be a good waiter and mention the upcharge. I would've paid the upcharge on the schwarma but not the cocktail. Again, the amount wasn't an issue, it's the principle. I'd give this place 4 stars if it wasn't for this issue. Also, I think generally the food is a little overpriced for what it is. It is very good, but in my opinion, it's priced ~15-20% higher than what it's actually worth in the market. I'm not mad about this, just my opinion. I'd come here again if we had guests to entertain for dinner (atmosphere is great for this, would be aware of the upcharging issue), but would not come for a dinner date with the wife.",0,0,0,Daniel S.,"Manhattan, NY",297,9,0
4.0,4/20/2019,"surprise birthday dinner.   He knows my taste and it was an excellent pick!   We had kibbeh, niye, fattoush, falafel, fried kibbeh, riz, and moujadara croquette.   Our favorite was the kibbeh....amazing.    For dessert we had knafe bil jibneh.   This restaurant is a must if in the area.",0,0,0,Sheila D.,,88,97,204
2.0,4/19/2019,"My wife, 21 year old daughter and I had dinner at ilili tonight. Bill was $205. The tough part was that we cared more about the meal than the server and chef combined. Server immediately tried the upsell on extra salads and higher end alcohol. Didn't see him much after that. ""How is your meal sir? Anything I can bring you?"".  Didn't happen. Not once. Hummus was great, Brussels sprouts were amazing. Duck & chicken Schwarma was so dry it was inedible. Had to ask for a yogurt sauce to choke it down. Then got charged an extra $2 for the yogurt. Octopus was perfectly cooked, but accompaniments were very dry also. A little olive oil drizzle maybe?  Chef obviously hasn't tasted the food being served in a while. Very disappointing.",0,0,0,Mark K.,"New York, NY",0,4,0
1.0,4/16/2019,"I'm re-posting this older review as my first one was deleted.  We came here for Restaurant Week (yes, I know, we are inferior citizens), so we expected the portion sizes to be smaller, there to be a limited menu, etc.  However, after we were seated and ordered drinks, we were informed that most of the Restaurant Week menu items were not available, which was surprising given that we were there during a normal dinner time (not super late at night).  The only remaining entrees were all vegetarian.  The waiter tried to be helpful but when we asked if there could be a substitution, he got his manager who not only refused to offer up a non-vegetarian option, but was incredibly rude and even told us we should just leave and go elsewhere.  If you don't like Restaurant Week customers, then don't bother participating.  I would have returned as a non-Restaurant Week customer if I liked the place, but have no interest in giving money to a place to be treated rudely.",0,0,0,JF S.,"Manhattan, New York, NY",0,5,0
4.0,4/11/2019,"Ambiance: 5/5Cleanliness: 5/5Food: 3/5Service: 4/5Value: 3/5Came to ilili with high expectation from all the great things I've heard. Started with a Fresh Meadow drink - delicious, amazingly clean tasting drink. Then ordered the hummus, which I was slightly disappointed in, and tuna tartare - which was a little more on the sour side for tuna tartare, both appetizers were good, nothing fantastic. Ordered the duck shawarma, delicious, the sauce inside was amazing, by far my favorite dish. Overall the food was good, not amazing for the hype I've heard, but definitely worth trying",3,0,0,Richard O.,"Philadelphia, PA",219,5,19
1.0,4/7/2019,"Don't come here unless you want food poisoning and managers who don't care.In a call, I was told to leave a message for the manager given they were out for a meeting. They never got back to me. I had to call yet again a few days later for which they were unaware of the situation. I had to wait for another call from their team who said they'll conduct investigations internally and get back to me within 48 hours. They did not get back to me. They don't care.My trip to New York was ruined by being bedridden for 3 days due to unsanitary food. Given the high ratings on Yelp and the price point of the restaurant, I expected better. Even food trucks don't give me food poisoning, yet an established restaurant does.Both my friend and I ended up getting food poisoning from this restaurant - and you know it's from here given this was the only meal we both had. And this brunch was the only meal I had that day given I started throwing up before even starting dinner.I have never gotten food poisoning anywhere in the US before...thanks for being my first experience outside of a third world country!",0,0,0,Karly K.,"Philadelphia, PA",0,1,0
5.0,4/6/2019,"The entire experience was really good. The food was mindblowing good. My favorite was falafel with the best tzatziki sause I have tasted so far. The chicken kabobs was very tasty as well. The place is little on the pricey side but totally worth it. It's a good space to take group of friends, order as a group and try out all dishes.",0,0,0,SaLvia T.,"Edmonton, Canada",1,13,7
4.0,4/4/2019,"Good ambience, good food. I didn't like my drink that much but that could be down to the order. Make reservations before hand as the place is crowded during peak hours.Sort of expensive so go here for the food and the experience.",0,0,1,Brijesh S.,"Manhattan, NY",15,24,0
5.0,3/31/2019,"We had a great brunch at this restaurant. First, the place is beautiful. Second, the staff was super friendly. Our waiter was helpful and gave us the best tips. We decided to try the brunch deal, which is a bargain when comparing to other dishes' prices (USD 31 for coffee + cava cocktail + brunch entree + one side). Their pita bread is perfect. My overall experience was from 4.5 to 5. Here the dishes I tried:The truffle eggs benedict (5 stars): The eggs were perfectly cooked, truffle flavor was on point and the bread well done. Arugula was little bit over salted, but I enjoy this way.Side 1 - the veal bacon (5 stars): I was not sure about trying a veal bacon, because pork bacon is amazing. However, it was a big surprise. The veal bacon was so juicy and had an amazing flavor. I can have this for breakfast everyday. Side 2 - makenek lamb sausage (4.5 stars): It's a lamb sausage with pine nuts. It is a strong flavor and can take over someone's entrée. It was well seasoned though. I will come back for brunch. Maybe I would try dinner sometime.",0,0,1,Eduardo C.,"Washington, DC",261,52,163
5.0,3/28/2019,"3 beautiful rooms--a bar room, a main dining room and a room that simulates a large tent with canvas like shades over the windows--all quite elegant. The food is as good as it gets for Middle Eastern dishes, whether it be the Hummus, the square falafel balls, the Baba Ganoush or any of the very unusual cold and hot appetizers. Quite a varied selection, all amazing. Try the duck schwarma or the black iron shrimp.The main courses are all beautifully presented on the plate, and not overloaded/thrown on the plate like so many Mediterranean and Middle Eastern restaurants. Try the mixed grill, lamb chops, kafta or chicken taouk, each dish with just the right amount of food and plating design. Let's call it art on the plate.Desserts are incredible--try the blueberry vacherin--amazing!!! What an experience. You will wonder if they really have this kind of quality in Lebanon. Frankly, it can only exist in New York!!!",0,1,0,Irwin G.,"New York, NY",87,97,33
