rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"Came here with a party of five for a friend's birthday dinner. The atmosphere is very high class and our server was very attentive to all of our needs. Scarpetta has one of the best free bread baskets I've ever had. The bread alone might be one of the reasons I want to come back. As for my pasta, i do feel like the portion sizes are very small but the pasta itself was very delicious and it was enough to leave me satisfied - but not stuffed. I wouldn't become a regular here but it's a very nice place to go for a special occasion.",0,0,0,Michelle Y.,"Manhattan, New York, NY",359,112,20
4.0,4/28/2019,"Scarpetta was probably the best restaurant I've attended this year so far. From the bread basket to the desserts, the food was delicious. I only gave it a 4 out of 5 because the portions are small, specially for the high prices (you will spend a lot of money).The octopus was beautifully cooked, however the small amount of it left me wanting more (I took 2 bites, looked down and saw I only had 1 bite left). The chicken was cooked exceptionally, with crispy skin and succulent meat, but again, barely a quarter chicken for $33 is a bit steep (yes, it was good and I wanted more). The desserts were the low of the meal. I had the lemon cake with the smallest lemon sorbet scoop in the world. Think of a large marble, and you will get the idea. Still, I would go again.",0,0,0,ty p.,"Staten Island, NY",0,14,0
5.0,4/28/2019,"Amazing from start to finish. The food, the drinks (IL BANDITO) is amazing with the black salt rim. Get everything...spend the money, say yes to carbs all night and get dessert!",0,0,0,Brooke B.,"Queens, NY",49,78,23
5.0,4/28/2019,Excellent food and service. Always a consistent and authentic Italian experience. It get crowded quick so reserve early.,0,0,0,Kenneth F.,"Avon, CT",1,29,7
5.0,4/26/2019,"Decided to grab some brunch figured concrete jungle would be an ideal spot! Needed a new place, so tag this was it! Place is cool! Service is fantastic. Food is really good! They have a prefix brunch menu $55 per person. Some may find it steep, but it's concrete jungle plus food was quite good!!! Wasn't that busy being a religious Holiday. FYI- Getting to the restroom is like being in a maze. Lots of turns & steps. Well it seemed a lot since I have a bladder of an infant. Any who- If you're around the city and want some new spot for brunch, give this place a whirl. Cheers'",3,0,1,Alcohol U.,"New Brunswick, NJ",666,78,96
1.0,4/24/2019,"I wish I could say I had a wonderful experience or even comment on what the food lacked or needed improvement with. But unfortunately we never had the opportunity.  My husband and I were looking forward to celebrating the engagement of a good friend on a Wednesday night but were extremely disappointed. Our 830 reservation which being European meant 845/9 never happened.   At 845 we asked how much longer it would be as we would order another round.  We were told ""we don't like to give specific times"", at 9 When we checked in again  they said not too much longer. But by 915 we were still waiting with not a single apology or update. We decided to leave and instead popped into a neighborhood place in the flatiron area which was fantastic.  So no I can't give a review about the food but what I can say is the hostesses both male and female were extremely rude, the bartender was annoyed BC when they didn't have anymore of a specific beer and we took more than 5 seconds to select something else got upset with us and the decor! If you are going to hang plants from the ceiling foot the bill and pay for real ones or at least buy fake ones that look better than the cheap knockoffs you have hanging. I really was looking forward to liking this place but with so many other great options in the area don't waste your time. Unless you like to be treated as if you don't matter and your time isn't worth anything.",0,0,0,Lauren D.,"Manhattan, New York, NY",0,1,0
1.0,4/12/2019,"Waited more than 30 minutes for the table, the attendant was impatient and gave us lame excuses. Really bad service. Should be avoided.",0,0,0,Yaron Z.,"Munich, Germany",6,1,0
3.0,4/12/2019,"Had a reservation for 8:30 on a Tuesday night - we were not seated until 9:15.  The server comped one dish per course for us, but never told us what he'd do other than he'd ""take care of us"" so we ended up over-ordering and not finishing much of the food.  The food itself was not as good as I remembered it to be - the pastas were past al dente and the flavors were unique but not delicious.  Overall, I won't choose to go back.",0,0,0,Anna H.,"Atlanta, GA",10,61,8
5.0,4/11/2019,Craig was an amazing waiter. My friend and I are vegan and he was so accommodating and honest with what options were vegan and what wasn't. He was extremely hospitable and great energy the entire night. We'll be back for sure.,0,0,0,Sabrina D.,"Queens, Queens, NY",132,4,0
5.0,4/8/2019,"After visiting the location in Las Vegas and falling in love with the amazing spaghetti, couldn't wait to have the same dish while in NYC. However, the dish served at the NYC location did not have that same, mouth watering, to-die-for basil infusion as the version in Las Vegas. Don't get me wrong, it was still good...just missing the same, basil-y goodness I had been dreaming about. Sevice was excellent, though (seated at the bar), and the woman behind the bar was very friendly and accommodating. Also enjoyed my polenta dish. Overall, good experience.",0,0,0,Wendy S.,"San Francisco, CA",0,2,0
4.0,4/7/2019,Scarpetta is one of those Italian spots that you come to for a special ocassion. Definitely enjoyed their fluke !! The service is great here ! But most importantly the - SPAGHETTIIIII! This spaghetti is unlike any spaghetti you have had before . I promise you will crave it regularly! Definitely a once in a lifetime experience!,0,0,0,Anjali B.,"Little Neck, NY",164,27,18
5.0,4/7/2019,"I highly recommend this place for a nice relaxing Sunday brunch. Great atmosphere, food is super tasty.  Life music! Bartender Lindsey is wonderful. Friendly and extremely accommodating",0,0,0,Ilona W.,"Manhattan, New York, NY",67,3,0
5.0,4/6/2019,"I absolutely love this place! My friends and I come for brunch monthly and we come here for dinner almost biweekly! The food is amazing, the staff is so lovely (Brad is our favorite waiter) and the ambiance is great. They have a band come in for brunch (around 2 p.m. on weekends) and the women who sings has the voice of an angel. I look forward to Scarpetta meals weekly! Love it here",0,0,0,Lauren M.,"Manhattan, New York, NY",129,9,1
5.0,4/4/2019,"10/10 food and incredible service. I indicated on my reservation that my dad has food allergies and is on the FODMAP diet, and when we arrived the manager had researched the restrictions and helped us go through each and every item on the menu to find what could work for him. This was the best overall restaurant experience I've ever had! Thank you!!!",0,0,0,Sophie W.,"New York, NY",3,47,36
5.0,4/2/2019,"My experience at Scarpetta was nothing short of fabulous. The food was full of flavor and truly thought out. The presentation was stunning, and the service was great! Our glass was always filled and our table always tidy. I couldn't ask for a better dinner and I can't wait to go back.",3,1,3,Chloe K.,"New York, NY",237,142,536
4.0,3/20/2019,"This is an excellent, kind of unknown restaurant. I found it because I was staying at the shitty James Hotel. The service was excellent. Make a reservation for dinner. The wines were very good. The bread was special. The food excellent and different. A little gem on Madison Avenue, midtown. Try it.Aaron",0,0,0,Aaron S.,"Santa Monica, CA",6,12,3
5.0,3/20/2019,"Went recently for my friends birthday. Our friend wasn't sure it she would make it in time and when calling, said only full parties could be seated so we asked to be seated for 4 instead of 5 . We each ordered one of the pastas and their cocktails. The cocktails came relatively quickly and were delicious. After placing our order our friend said she was nearby and when we asked if we could add another seat our waiter went above and beyond to reorganize and move the table to ensure we'd all be comfortable which was amazing. She arrived and ordered shortly after all our food arrived but after placing her order, her pasta came out in under 10 minutes!  The food itself was fantastic. I think that the bread at Scarpetta is alone enough to make me want to come back. They had 3 kinds paired with olive oil, ricotta, and an eggplant marinara type of sauce. The pasts was also great. I wasnt sure what to order at first because I was stuck between three choices so after this experience I think I'll definitely be back to try the others. We asked the waiter to put a candle on our friends dessert for her birthday and they came out with the espresso dessert and sang for her. I forget the exact name but they said it was their most popular and I could see why.Honestly I have no complaints with our overall experience here. The restaurant itself was decorated beautifully. And thankfully they had expandable tables for my friend . Will definitely be back!",0,0,0,Julia K.,"New York, NY",379,30,34
3.0,3/11/2019,"We had reservations but they kept us waiting for so long that we were seriously considering just leaving and finding another restaurant. Noise level was higher than I expected. The ambience is nice inside though, but I think the tables were kind of squeezed in together. We had a booth so it was okay for us and we had enough room. But I looked around the other tables and some seemed uncomfortable because there was clearly very little room between tables. Service was decent. The server and waiter checked in on us and refilled our waters consistently. The food was very good but I'm not sure if it warrants a repeat visit. I remember the octopus and the pastas were delicious.",0,0,0,Ada C.,"New York, NY",185,139,4
4.0,3/10/2019,"Nice place. Food was good. I wasn't as wowed as I thought I should be from someone who critiques other chefs on TV. The bread basket came with and assortment of bread, all of which were very good. We had the braised octopus and roasted mushrooms as our appetizers to start. Mushrooms were good but the octopus needed seasoning especially some salt.  Main course we opted to try the home made pasta. We had the short rib and bone marrow angolotti which was good but I thought it was a tad sweet and it needed a bit more seasoning and something herby like tyme or dill; but I guess that's just my preference. We also ordered the cavatelli, that sauce was banging. It was so good! I could eat that all day, definitely better then the angolotti. For dessert we had the strawberries and basil granita and the double baked lemon cake, both were delicious. Drinks were good too, nothing amazing. All and all it is as a good dining experience. Our waiter was a little abrupt and not very helpful with the menu, but she was ok. I would come back and try a real main like the beef or the duck. Oh and if you have to go to the bathroom, it's like a mile away.",0,0,0,Marianne Y.,"Staten Island, NY",17,24,4
3.0,3/2/2019,The host was beyond rude when I asked to be seated in the main dining room when we were assured we would have a table in the main dining room when the reservation was made. We were first seated at the bar and I said I made this request. He crossed his arms in a disgusting manner like he didn't have any say in the matter.  We were eventually seated in the main room with a waiter who gave us an attitude as well.  I am a frequent visitor to this restaurant and do not think I will be going back.  The food was great as always but the service was beyond subpar.,0,0,0,Brooke S.,"Manhattan, NY",0,2,0
5.0,2/27/2019,"Scarpetta is a great choice for dinner and would be perfect for post-work drinks or a date. The atmosphere is super cute, with ivy/plants on the ceiling and beautiful lighting. The bread at the beginning of the meal is fantastic, and my favorite entree was definitely the cod. Service is friendly and the food came out incredibly fast! We also got the chocolate cake for dessert, which came with caramel ice cream and a gooey center. Highly recommend for any future occasions",0,0,0,Tori W.,"New York, NY",4,89,105
3.0,2/27/2019,"I had heard a lot of praise about Scarpetta, so I was very excited to learn that they also serve some of their pastas during weekend brunch, for which reservations are easy to find! We arrived to find live music playing, with a singer and very talented sax player up at the front, and this alone made our morning. However, I have mixed reviews about the food itself. The bread basket they serve is pretty yummy, with buttery scones and rolls for the table to share. Their signature tomato and basil spaghetti is also delicious, with a tangy tomato sauce and fresh and chewy pasta. The three other dishes we ordered, though, were all misses for me: the polenta tasted super meaty, the beet mezzaluna was lukewarm and flavorless, and the pancakes felt undercooked, with an almost raw and doughy texture. Would probably come back solely for the spaghetti but am hesitant to be adventurous with the menu here :/",0,0,0,Saloni C.,"Manhattan, NY",367,60,37
5.0,2/27/2019,"I celebrated my birthday here and this place is worth the hype. I had the raw yellowtail for starters, was a little on the room temp side but still good . Hubby & I both ordered the tagitelle which was hands down the best pasta I've ever eaten. They put a good amount of delicious crab meat in there as well. Will def be back.  The ambiance was great, it was packed for a Tuesday night so I can't even imagine what a Friday/Saturday looks like. Although it was busy our waiter was great.",0,0,0,M C.,"Hillside, NJ",6,108,40
5.0,2/23/2019,"I cannot get enough of the spaghetti!!!  And absolutely the best bread basket I've had in NYC!  This is my second experience at Scarpetta, and am surprised I have not written a review from my first dinner here.  I do feel like I'm reiterating others' reviews, but Scarpetta has it figured out: delicious food (try the hamachi app, and salt rock tuna), a great brunch or dinner date atmosphere, attentive service, and just wonderful all around.  It can be cost-prohibitive if you enjoy more than 1 or 2 drinks over dinner, but well worth the expense.  Will definitely not wait so long for my next visit.",0,0,0,Ira S.,"Madrid, Spain",25,13,0
1.0,2/15/2019,"Probably the most disappointing meal ever. I ordered the spaghetti as an appetizer (typically a staple at every other location) and it  seemed to have been cooked without any salt or creamy/butteriness that is present. I brought this immediately to the attention of ?manager who nicely comp'd my awful plate of pasta. However I did it only bc 6 other people were ordering it for their main course (it was my wife's birthday). I would've given 3 stars but they doubled down and said that that ""the executive chef of all scarpetta was in the kitchen [along with all the other top brass ]"" which I can only assume to mean he heard there was a problem so he came to try and help (unsuccessfully). I hope this doesn't mean that all the other scarpettas will disappoint. The rest of the team was great ... just don't ask for help navigating the maze to the bathrooms that aren't located in the restaurant....[update] I was sitting here discussing Sandra Oh and out of nowhere they took my water glass. I gave a great tip prior (even with all the food issues bc the waiter was a gem) so i don't know what that was about. Don't plan on a comfortable evening here![2nd update] response from dear friend ""Went to Scarpetta Beach in Montauk when they opened a few yrs. ago. I had their signature spaghetti pomodoro, it was superb. We went back a year later and were disappointed. We gave it another try last summer but after dinner we left knowing we'd never return. So sorry, Chris, that Jen's birthday celebration was a bust.""  Nice to know I'm not alone...",0,0,0,Christopher P.,"Ann Arbor, MI",0,1,0
