rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/27/2019,Great atmosphere and food. The menu has a little bit of everything from asian dishes to seafood to more traditional fare. Bartenders made excellent drinks. Service was on point. I especially enjoyed the bread and spring rolls. Will definitely return.,0,0,0,Tony M.,"Union, NJ",32,290,105
5.0,4/7/2019,Fantastic place to eat before or after play. Went there after seeing My Fair Lady. Food was superb. Service impeccable. Ask for Chris as your waiter. Great ambiance inside. Had homemade linguine with shrimp.,0,0,0,Rev Dr John T.,"Marysville, PA",14,20,1
3.0,3/23/2019,"Came here a few days ago with 4 girlfriends. The place has a very convenient location to Lincoln Center, which is it's biggest plus. We had a 5 o'clock reservation & were seated promptly. We had a lovely, enthusiastic waitress who made the experience very pleasant. As for the food, it was good, but not great. We ordered 5 different appetizers to share. Their rainbow roll was yummy, the spicy steamed shrimp dumplings were delicious as were the shrimp & lobster rolls. House salad was blend, octopus the same as everywhere else. For the main course we chose grilled Branzino, Branzino a la Planche (which did not have the crispy skin as promised and was basically underseasoned all around) the Scallops were pretty good. For dessert we only had cookies, which were ok, but my late was tasty.",0,0,0,Mila T.,"Brooklyn, NY",1,21,9
5.0,3/17/2019,"Amazing bartender, amazing service! Highly recommend. We came in after the NYC half marathon and they were accommodating, friendly and very efficient.",0,0,0,Brittney K.,"Stamford, CT",104,3,0
5.0,3/9/2019,"Wow! Such an incredible experience. I was having a wonderful day out with my best girl friend when we decided on dining out at Atlantic Grill. We sat at the bar and Josh took care of us. Such a lovely bartender. Incredible knowledge and made us feel right at home. The manager Sam even stepped in to see how our meal was going. In the past Isabella's and Blue water Grill were always my favorite BR Guest establishments, but Atlantic Grill has now taken the top spot. We will definitely be back to visit Josh at the bar.",0,0,0,Alexandra D.,"Los Angeles, CA",3,2,0
4.0,3/5/2019,"Very NY place, day at the bar, great service from James and Joshua, good sushi dishes, very enjoyable",0,0,0,Kevin O.,"San Diego, CA",0,12,5
3.0,3/2/2019,"We visited during restaurant week. Was seated right away even though my reservation didn't seem to go through so it felt like we were off to a good start. After we were seated and got our menus, the waiter asked if we had any time constraints or a show to get to. We informed him that we didn't and jokingly said we had some catching up to do. He responded that he would be there all night. We thought it was in response to our statement. Apparently that is where we went wrong. He got us our sparkling water, asked about our drinks and disappeared. Not in the sense that it was busy at that time and he had multiple tables, but in the sense that he walked past us a minimum of  four times, assisting a table that arrived after we did, refilling water at another table, getting dessert choice from another table, etc.I know that he said he was going to be there all night but we didn't know that we were going to be there for longer than expected simply because we didn't have a show or anything. We had to literally flag him down. Then because he was rushing to accommodate other tables, he poured regular water in my sparkling water which for $8.50 a bottle, was a bit frustrating. Definitely a first world problem.The three stars are for the bus boys and the food.",0,0,0,Teandra R.,"Bronx, NY",16,44,26
5.0,3/2/2019,"Went here before a 7:30 curtain time, they were good at making sure we were on schedule. The oysters were phenomenal (although they didn't point out which were which until we asked). I had the salmon which was delicious, I loved the Parmesan arancini... wish there were more of those little guys on my plate! He had the snapper which from the two bites I could sneak off his plate was very flavorful, especially the Spanish rice. The overall atmosphere was low light and Romantic, the restaurant was packed (make a reservation) our server was attentive and checked on us often. Such a lovely dining experience.",0,0,0,Kimberly L.,"Millis, MA",0,7,6
5.0,2/24/2019,"I had dinner at Atlantic Grill last night with two friends. It was splendid--the food, the service, and the ambience. Our waitress was very knowledgeable about the menu--both for food and cocktails. We enjoyed refreshing Aperol Spritz drinks to start our dinner. The table shared the steamed shrimp dumplings with a bright and spicy pepper sauce, as well as some luscious shrimp and lobster spring rolls. Each of us chose a different fish for our entrees, and nobody was disappointed. We had the cod piccata with a bright lemon whipped potatoes and broccolini, the Atlantic salmon dinner, with crunchy aranacini and tender turnips and veggies, and the simply grilled swordfish, with a side of potatoes and cheese gratin, with truffled breadcrumbs. The standouts amongst these three were the salmon dinner, and the swordfish, which was the most tender preparation of swordfish I've ever eaten. We shared the banana tower dessert, which was prepared with a nut brittle cone, filled with caramel iced bananas a, vanilla ice cream, and whipped cream, sitting on top of a generous caramel and fudge sauce drizzle. They had a hot tea selection (Harvey &Sons teas), which was just the right touch for us after that dinner, although coffee lovers would probably like a latte or espresso with that dessert.",0,0,0,Sharon S.,"San Jose, CA",0,130,5
5.0,2/19/2019,"I had such a great experience here. Absolutely loved the food and haven't stopped raving about it since we left. My husband, my mom , myself and 10 month old daughter stopped in for brunch. It was our first time here. We were seated towards the back of the restaurant which is actually a different entrance on the next street over. I ordered the salmon burger which came with fries. It was FANTASTIC. I have to be honest, I I was so surprised. The salmon was soooooop juicy and well seasoned. Omg. Everything was amazing. This is for sure our new Sunday brunch spot. Our waiter was also very pleasant.",0,0,0,Destiny W.,"Hackensack, NJ",2,52,36
5.0,2/11/2019,"I can't say enough about my experiences here.  The food is amazing, the staff is attentive, and the environment is great.  I've eaten all over the city, from trendy downtown spots that come and are gone a year later, to sports bars in the east village, to the traditional midtown mainstays.  There is a reason that the Atlantic Grill is here and strong.  The dumpling appetizer is super fresh, the Brussels sprout salad is filling, and the entrees are made with great ingredients and with great prep. I've had the steak - which was so filling I had a hard time finishing, the branzino, and lately the short rib pasta special.  I'd do them all again.  I'd recommend the Atlantic Grill to anyone, particularly people who are always trying to catch the latest new spot. Take some time to come to midtown, have a long meal, and enjoy the vibe.  Especially one where you don't have people sitting on top of you like you do at smaller restaurants, where you feel like you are part of their conversation.",0,0,0,Connor S.,"Baltimore, MD",0,21,2
