rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/2/2019,"Came here for a work lunch, making a reservation through OpenTable. The restaurant is two levels with a lovely open kitchen. Our server, Kristin, was amazing from start to finish. Very calm, friendly and professional. Two of the four guests did the Pre-Fixe (PF) Lunch, so we were able to try their appetizers and desserts as well.Note: All the food we had was extremely light but filling, without missing a beat of flavor!Crab Nachos with Sea Urchin ""Queso"": Although expensive, it was absolutely delicious. There is a good amount of fresh crab pieces; I wish there was more uni, but overall a fantastic appetizer.Chilled Octopus with Yellow Bell Pepper Juice and Black Mint (PF app): The octopus was very tender and I loved the little potatoes it came with. It's a beautiful dish with the bright yellow juice.Chilled Shrimp with Cucumber and Pasilla Mixe (PF app): The shrimp was quite jumbo and the entire dish had hints of cucumber. I was obsessed with the pasilla mixe. I put it on my tacos.Fish Tempura Tacos: Amazing. Very tasty, light yet filling, and the fish was incredibly fresh. Each order comes with 2 tacos on corn tortillas, small in size.Ice Cream Sandwich with Oaxacan Chocolate: This was just OK. The chocolate taste was overpowering.Dessert Taco: This was cute and wasn't too sweet, so it was a nice way to end the meal.Overall, a great dining experience. Highly recommend!",0,0,0,Lindsey S.,"New York, NY",355,277,203
5.0,5/2/2019,"First time having dinner at Empellon and we weren't disappointed! Great drinks, unique cuisine, and excellent service. Loved the Short Ribs entree plus, the deserts were extraordinary...must try the corn ice cream taco & avocado! Our server (forgot her name) and manager, Vlad, made sure we had a memorable time and ensured we were happy with our food. Thank you!",0,0,0,Julia R.,"New York, NY",206,19,15
2.0,4/28/2019,"Went here on a Saturday night and were seated promptly. However, we didn't get our waters poured and menus more than 5 minutes after we were seated. Tables in other sections got theirs and we were kept waiting. The food was only average. The guacamole tasted like any store-bought version and was not worth the $21 price tag. The black cod was too salty and overpowered the rest of the dish; the octopus was extremely fishy, and the pork belly was 90% fat (not an exaggeration.)For drinks, we ordered the tamarind julep which was way too flat on flavor and again, not worth the $19 price tag.Cherry on top was that they delivered the wrong food to our table not once, or twice, but THREE times. The whole restaurant seemed short-staffed and service was extremely disorganized and none of the busboys or servers seemed to enjoy their jobs; ""thank you""s for water refills were completely ignored with sullen faces. Not worth it for the price.",0,0,0,Amanda L.,"Upper West Side, Manhattan, NY",113,41,29
4.0,4/24/2019,Unique menu. Good service. Great cocktails. We went with a group to celebrate a birthday and it was perfect,0,0,0,Alyssa F.,"Saratoga Springs, NY",0,16,0
5.0,4/18/2019,"I actually came here a couple of months ago and found photos in my phone from my meal here. I wanted to definitely give this place the credit it deserves.We did a pre-fixe menu in which we got to pick an appetizer each and 2 tacos per person, followed by a dessert. For the appetizer, we ordered separate salsa and chips. We received 7 different salsas with our chips, all of them were fantastic. From our pre-fixe, we got the duck tamal and king salmon. The king salmon was so delicious, I still remember it till this day. For the tacos, we were recommended pork belly and octopus, and they were fantastic choices. Lastly, we got a ginger and black currant sorbet, and it was delicious!Warning: This place is very expensive. We ordered 2 arnold palmers, it was really good but we spent about $160 on our meal. I wouldn't say I can commit to coming everyday but definitely would come back. 10/10. The servers were also extremely friendly and nice!",0,0,0,Cindy K.,"New York, NY",330,75,166
5.0,4/14/2019,"So I walk pass this spot daily via my work commute, and I must say walking by in the summer shortly after they opened seemed to be the ""it"" spot (after a proper mental note to check them out..... I just never got around to it).Well fast forward to brief convo with a fellow foodie and professional (ie cocktail connoisseur), this was adjusted on the list of tries......Stellar decision!!!!! From the walk-in to seating..... I was sold!!! Our server don't recall her name (young black woman) was amazing in all of her suggestions from cocktails to entrees.DessertTEQUILA BARREL ICE CREAM with Añejo Tequila CaramelCocktailsTHE DEVIL'S MARGIN Avua Cachaça, Ginger Beer, LeJay Cassis, CampariCOCONUT CHAI Montmartre Chai, Coconut Water, Lime, Black CardamomCLASSIC Margarita Pueblo Viejo Blanco, Lime Juice, Smoked SaltTacos/SaladPASTRAMI with Mustard Seed SalsaOCTOPUS with Celery and Salsa VerdeFISH TEMPURA with Lime MayonnaiseCLEMENTINE SALAD with Queso FrescoMain DishesSKIRT STEAK with Persian Onion SaladCRISP PORK BELLY with Chicharrón and HerbsSHORT RIB CONFIT with Picadillo GarnishSidesSHISHITO PEPPERS with Puree of Rajas ROASTED BRUSSELS SPROUTS with Avola AlmendradoThe texture of the shishitos were off for me, but the brussels, my steak, octopus tacos, salad and dessert were a Go!!!!",0,0,1,S S.,"Bronx, NY",127,239,1804
4.0,4/4/2019,It was a good experience. Ordered the prefix menu and was satisfied with everything although have to say quite pricey especially for simple tacos.,0,0,0,Cristina L.,"Bronx, NY",16,41,0
4.0,4/3/2019,"Very nice but extremely pricy business lunch. We were a group of 4 and decided to have the prix-fix menu for $38, which included choice of appetizer, choice of tacos, and dessert. We heard great things about the dessert taco, which was not on the prix-fix menu. We asked the waiter if we could swap it and she kindly let us. On our table, we had the tamal and salmon for appetizer, and the bacon tacos and steak tacos for entree. Both appetizers and entrees came out quickly and tasted really good. Unfortunately the size of the tacos is quite small, especially compare to their price ($18-$22 for 2 tacos a la carte). Finally we had the dessert corn taco, which was really tasty. Overall, really enjoyed our lunch. However, the price is a bit over the top, and that is the reason why I don't feel as if the restaurant deserves a 5 star rating.",0,0,0,Matteo G.,"Manhattan, New York, NY",190,135,154
5.0,3/30/2019,Enjoyable meal. Excellent salsas. Well made margaritas. Attentive service. Good atmosphere. Note a huge menu but much more to explore. Loved the fish and octopus tacos.,1,0,0,Rj M.,"Riverside, CT",0,25,7
5.0,3/28/2019,"Excellent dinner at Empellon last night, with bold flavors, unlikely and successful combinations and impeccable execution. The guac is a must for the salsas it comes with (all absolutely delicious from smokey to creamy, hot to velvety, yum!). The smoked cod appetizer is not only presented with great plating, it's also flaky, savory, briny, and overall delicious. To try! Also highlighted: the pineapple dessert served with chamomile ice cream, a great combo. And get a couple of fresh margaritas to go with everything. I recommend the pineapple one, and the smoked pomegranate mezcal. Great evening!",0,0,0,Jessica S.,"Manhattan, NY",205,458,332
