rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"Just plain WOW. From the start to the finish. King crab and in season Halibut followed by Butter Cake. Nuff ssid.Our server Joshua was simply unbelievable, his level of knowledge on wines alone was mind boggling. We showed him a picture of a wine we had on a recent Cruise and he steered us to one that out did it. And it wasn't one of the high on the list ones either.We will be back when in the city again",0,0,0,Bob H.,"Manassas, VA",40,21,9
5.0,4/27/2019,"Awesome seafood. Awesome service. Table for 6 and we got in and out (skipped dessert -too full) in an hour ...they asked if we had a show to get to and took care of us without us feeling rushed. Seafood tower appetizer was fresh tasting and NO work....lump crabmeat, shrimp cocktail, king crab claws, lobster claws, raw oysters on half-shell and all the trimmings. It was so good all 6 of us, including two diehard carnivores, ordered seafood. Crab cakes were light with no filling however I should have only ordered one they were so big. Deceiving look at first because formed in a perfect circle, but crisp on the outside ...necessary to cook in a round tin because there is no breading (no chunks of onions or peppers either to distract from the crab flavor). Scallops were raved about. One ordered the grouper and was very pleased. Two Ordered Sushi for dinner.....the ahi tuna roll was delicious.The place was packed, yet we could still hear ourselves talk. Warm, dark atmosphere, good for dinner dates.",0,0,0,Briana W.,"Foxborough, MA",16,430,147
5.0,4/27/2019,"Always a great meal in ocean prime. Our server Giscard was awesome really friendly and knowledgeable on the menu. Went for the specials tonight, bone in rib eye and halibut",0,0,1,Tom C.,"Astoria, Queens, NY",4,4,5
4.0,4/22/2019,"Love this place!!! Very very beautiful restaurant. I came here for restaurant week for dinner and got:- calamari- filet mignon- chocolate dessertEverything was super great, but we had a reservation and had to wait 45 minutes for our table and that's why I'm not giving it 5 stars. They did offer us a free drink on the house for the wait but I was so starving by the time we had to sit down.",0,0,1,Jessica E.,"New York, NY",274,105,241
4.0,4/21/2019,Lovely ambiance!  The food was on point.  Scallops and salmon were cooked to perfection.  The wine wasn't memorable but the service and wait staff were very attentive and friendly.,0,0,0,Jackie Z.,"Chicago, IL",0,14,0
5.0,4/19/2019,"Great service and atmosphere. Bathroom is upstairs and not on the main floor. Order lobster bisque and king crab legs! Comes with melted butter and asparagus,",0,0,0,G W.,"Barbourville, KY",0,2,0
5.0,4/17/2019,"Great sea food restaurant! Manager Kevin is very accommodating and helpful. The entire team is very friendly and professional. 5-star service. Love the food, especially my favorite dish is Sea Bass.",1,0,0,Kris P.,"White Plains, NY",0,5,0
5.0,4/17/2019,"Wow. From the moment you walk in you are immersed in ""oceanic"" vibes if you will. This is upscale dinning with the price tag to match. The food is outrageously fresh and delicious, the staff is super attentive and friendly. Bring your wallet and your appetite and try as much and anything on the menu. You won't be disappointed.",2,1,2,Lizzie F.,"Queens, NY",181,169,365
3.0,4/14/2019,"My fiancée and I celebrated our anniversary dinner here and it was a tremendous disappointment. While I'm glad to see everyone else's very positive reviews (which we based our reservation on), I'm simultaneously envious because we had such a letdown of an evening. We started with an order of steak tartar ($22) and shared the sea bass ($55) and rib eye ($62), along with a side of button mushrooms ($15).The food was a mixed bag for us, but before we even get there, I think the main issue of the night was the quality of service. We arrived at 7:05 for our 7:00 reservation, but our orders weren't taken until 7:25. We literally sat there for 20 minutes, watching other people get their orders taken and having food delivered. In retrospect, I guess we should have asked a waiter for assistance, but we were being patient at the time and figured the restaurant was just slammed. Finally, the food hit our table at 7:48.This trend of lethargy and inattentiveness would continue throughout the evening: they put the appetizer in front of her instead of in between us to share; we asked for more crostini for our appetizer and it took at least 10 minutes to come; after putting in our orders, our waiter came back to me and asked how I wanted my steak cooked despite having already mentioned it; lemons for our water took so long to come that we considered whether the wait staff forgot about them; and, when we asked to have our food boxed up at the end of the night, we were handed a plastic box and simply did it ourselves. (I don't have an issue with the boxing up, per se, but it's a bit difficult to imagine that other places would do the same and also charge $55 and $62 for entrees.)Now that that's out of the way... the food was mostly delicious. We were quite disappointed with the bread (neither the bread nor butter had any flavor; it tasted like it needed salt) so that was a bad start, but the steak tartar was great. We loved the balance of salty and savory. While the tartar was very good, the crostini that we paired it with was strange... one side was crispy and scrumptious, but the other side wasn't baked at all. It created a very strange and dissatisfying effect.The steak, too, was on the underwhelming side. The first bite was amazing -- it had a great, flavorful crust -- but as the meal went on it just tasted more and more medium and not medium rare. It looked medium rare... but it tasted very tough. Not sure how to explain that one, and not worth $62.On the other hand, the sea bass was divine; it was literally the best sea bass we had ever tasted. Perfectly silky smooth. We didn't love the truffle flavor, and I personally thought that the mashed potatoes detracted from the sea bass itself, but aside from that we loved the dish. Portion size wasn't great, but it was delicious and totally worth every penny. Finally, the button mushrooms were also very good. $15 is a bit steep for mushrooms, but it comes with the territory.Overall... completely let down. I expected excellent service to match the price tags but didn't get any of that. I don't know if it's because we were seated in the upper level and away from the main floor, or because the place was totally slammed (though it didn't seem like it because the wait staff weren't running around), or if that's just how the restaurant operates. Food was good, but the service was abysmal.",2,1,2,Derek Y.,"New York, NY",105,347,721
2.0,4/12/2019,"I would like to thank the bozo bartender for insulting me Jan 29th at 6pm with misinformation about being able to transfer a 300.00 tab from the bar to the dining room. Same for the male host with the long curls who also had the wrong information and backed up the greedy bartender. They both insisted I had to pay up and could not add to the dining room bill.Thank god for the ONE Manager with a brain who finally handled the issue professionally. When the GM ""sommelier"" came to our table (of 8 people)  to welcome us, I wondered what he would have done in this situation back in the bar. Food was good, but I had a bad taste in my mouth from the bartender situation and reminds me that only the best restaurants know how to execute service in every corner, in every interaction.",0,0,0,Lucy R.,"Miami, FL",0,183,14
