rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"We waited for about 20 mins to be seated on a Saturday noon, which is not bad. We have a group of 4 so we ordered 4 breakfast dishes. All 4 dishes are delicious. Their salmon eggs Benedict is comparably small but tastes very good. I love their French toast and waffles too. Omelette is just average. Overall a really nice place for a brunch on relaxing weekend.",0,0,0,Jiangyi C.,"Chinatown, Washington, DC",2,15,50
3.0,4/14/2019,"First time here at Sarabeth's. I came on 4/14 at around 2pm. Was looking for a good brunch spot after church with my friend, she suggested Serefina but my gps accidentally took me here. We were starving so we decided to stay.Very Nice ambiance, seating inside and outside which was nice. We decided to sit outside. Out wait time for two was about 5 minutes which was good. The host wasn't very welcoming nor greeted us when we initially came in. I gave 3 stars solely because of the server and his service. I didn't catch his name because his interaction with us was very minimal, but he was a Caucasian male with a semi bald head, he hair on his sides. Food was very good, I ordered a almond crusted French toast with a side of home fries & avocado. My friend ordered the big fluffy French toast and a side of eggs scrambled with cheese. They are pretty pricey here, so make sure if you're not trying to spend a little probably should try somewhere else. For a side of two eggs it was $10. Nonetheless the food was great.Now. Back to the service. Our server for one took a bit long to get us, I was a server for over 5 years so I'm pretty understanding of how it feels to be a overwhelmed server. He did stop and tell us he was going to be right with us. Which was fine. When he got to us my friend was ready to order but I asked for his opinion on two options, (French toast and salmon Benedict) he assumed I wasn't ready since I asked for his recommendation and told me what he likes salmon and very fast said I'll give you guys another minute since you're not ready and sped off before I could say we were actually ready. Food came out in a timely manner. However I had asked for him to bring pepper, I never got it.I couldn't help but notice his interaction with the party behind us. It was a large party with about 8 or 9 people celebrating a little girls birthday. He was very interactive with the table, extremely polite, didn't appear to be in a rush. But whenever he got to us it was very rushed and spoke very fast as if he wanted to spend the minimal time with our table. He NEVER checked on us after we got our food from the first time. He never brought my pepper. & he never brought our check until I had to ask another server. He ended with dropping the check at the table without saying a word and picking it back up to swipe our cards and dropped it back off without saying a word either. I tried to think of why we could possibly be getting treated like this, initially I would just assume that was his servicing style of minimal conversation until I saw how overly friendly he was with the table behind us (a completely Caucasian table) & believe me I'm one of those people who hates when people of color try to bring race into any and every thing but that's literally the only difference between us and the table behind us.Other than this terrible server. FOOD AND AMBIANCE WAS GREAT. Might come again, not sure though.",0,0,0,Tiffany M.,"East Bronx, NY",26,21,25
5.0,4/8/2019,"Food was great!  everything on the menu sounded so good but French toast is my weakness. Cute little spot, service was great also (:",0,0,0,Lauren B.,"Denton, TX",0,27,6
2.0,3/29/2019,"An average breakfast place. It was the kind of meal you say ""meh"" about. The lemon ricotta pancakes had the texture of buttermilk pancakes (where I personally like a more textured ricotta pancake) and the lemon flavor had a very subtle taste, so subtle you could barely taste it. Their popular muffins were average--they would've been better if served warm and they were very small. One good thing is that they served a lot of bacon with their side of bacon. I wouldn't come here again, as there are better bakeries around here.",0,0,0,Abbey P.,"Highland Park, Los Angeles, CA",2,12,8
4.0,3/17/2019,"I had a great experience here! My aunt made a reservation ahead of time and asked if they could save us the table right by the window. Sure enough, we arrived at the restaurant and, after some time, were seated at the window. The food and coffee came quickly. I ordered almond crusted French toast, which was unique and delicious. I couldn't even finish the whole thing. My aunt also ordered French toast, and my cousin had a muffin and eggs. My only wish is that it was a little less expensive, but I think it is worth the money!",0,0,0,Paige P.,"Millville, NJ",44,28,13
5.0,2/16/2019,We made reservations here for brunch on a Friday morning and we were glad we did. It was packed! We had a table of 5 and we each got something different. My cousin and I split an order of the lemon ricotta pancakes and the traditional eggs benedict. Other people at the table ordered french toast and pancakes. Everyone left very happy after their meals. The prices were a little high in my opinion but you definitely get quality with the prices. We still crave a good hearty brunch like this and we live several states away :),0,0,0,Alicia C.,"Tamarac, FL",71,444,1062
4.0,2/14/2019,"I had the eggs with crema cheese and It was amazing , the waiters were very nice and polite. Would sure come back.",0,0,0,Gabriela K.,"Manhattan, New York, NY",15,5,0
4.0,1/29/2019,"One of the best NYC brunch spots so it's filled with a lot of tourists and locals too. They have a few different locations in the city and sell their products such as jams and baked goods too.Surprisingly, the food is good for a touristy place. They are known for the egg benedict. I'm usually not a fan of hollandaise sauce since I find it a bit heavy but sarabeth delivers an excellent egg benedict that's not overdone. It's extremely expensive of course, but it's worth a visit.",1,0,0,Su C.,"Manhattan, New York, NY",0,150,347
5.0,1/21/2019,"We enjoyed breakfast at the restaurant. Very nice atmosphere, casual with a fine dining flair that doesn't feel stuffy. Even with a large party the server was attentive and accommodating to the adults and the children of the group, and the food delicious and perfectly executed. We had everything from pancakes to granola to omelets and everything was delicious.",0,0,0,Ashley B.,"Ashburn, VA",0,11,10
3.0,1/17/2019,"Just thought I'd give this place a try. It's wasn't bad, but it wasn't mind blowing.  Coffee for $5 - take a pass. Small cup and no refill and was kind of weak. The Four Flowers Juice - now that was really good. Food - the crabmeat guaco and chips was really yummy.  Seafood Cobb salad was not my favorite (I know my seafood) - will not get it next time. Chef's Burger was pretty good. Chicken ciabatta sandwich was ok.  Chicken needed seasoning. Short rib hash was pretty good.  Service was so so. Maybe because they were busy?  Table next to us came in first. We were almost finish before they got their food.  Not sure if I'll be back.",1,0,0,Jennifer F.,"Indianapolis, IN",1,21,74
3.0,1/12/2019,"Food was OK - but a bit overpriced and my goat cheese and spinach omelet was under seasoned and a bit bland. The prices that are outrageous - so be careful, are soft drinks - $9 for an orange juice billed as fresh squeezed by waiter but just fresh pasteurized as far as I could tell - and $5 for drip coffee.",0,0,0,R L.,"Manhattan, NY",0,4,0
5.0,12/31/2018,"I had not been to Sarabeth's West location in a few years but went a couple of weeks ago with friends, and I was not disappointed. I always like Sarabeth's for the great quality of food and the selections. I feel like they might have scaled down the dinner menu a little bit from what I remember, but I had one of the specials and it was truly delightful. Service was top-notch, and the ambience of the restaurant is very peaceful if you want to have actual conversation your dining table. It did bother me that I couldn't get some of their preserves with my bread, because that's one of my fave reasons for visiting (they said they don't serve jam at dinner). Other than that I was very very happy with this and will definitely go back again, probably earlier in the day though so I can get my jam!",1,0,1,Dove C.,"New York, NY",948,101,32
3.0,12/7/2018,"This review is for Dinner only. We wandered upon this on a Friday night mainly because it wasn't all that busy and we were looking for a relaxing atmosphere. We were promptly seated and given a bread basket. The biscuits were very good and the servers were very friendly and helpful.However the food was okay at best. I ordered the salmon and it was a bit overcooked but I initially boiled that down to ordering it medium well. However, my boyfriend had the burger as rare and it was almost burnt. We could have certainly had a better prepared meal for less than what we paid at Sarabeths. I've been to other Sarabeths in the area it does a much better brunch than it does dinner. I would recommend making a reservation for brunch to really enjoy what this restaurant does best.",2,0,0,Grace L.,"New York, NY",168,16,12
5.0,12/6/2018,"Sarabeth's came highly recommended by a friend, so I decided to check it out on my recent trip to New York. I must say, I was NOT disappointed. I was expecting to wait a long time for a table, but we were seated within a matter of minutes. I ordered the salmon benedict, lemon ricotta pancakes, and of course a mimosa. The mimosa was strong - just the way I like it! I think it's safe to say that this was one of my top 5 favorite salmon benedicts I've ever had, which is a bold statement because I've probably tried about 50+ benedicts. I usually never order pancakes, but the lemon ricotta pancakes were phenomenal! To top it all off, the service was great. The place was totally packed and our server still managed to do an amazing job. I'll be sure to stop by next time I fly across the country. I highly recommend this place for brunch!",0,0,0,Audrey M.,"San Jose, CA",163,225,259
4.0,12/5/2018,"We had a nice brunch here! It was very pricey but very good. We got the avocado toast and the garden omelette. For drinks, we absolutely loved the four flowers mimosa! My friend loved her Bloody Mary as well! Fun atmosphere for brunch but we waited around 30-40 minutes for a table.",0,0,0,Lindsey D.,"New York, NY",398,204,105
4.0,12/4/2018,"Ahhhh Sarabeth's! I've been dying to get here for about a year. Finally made it on Saturday (12.1.2018) with my family after we had a great day at the museum and Central Park. We sat for a late lunch but really wanted dinner so we ordered off the late lunch menu while waiting. When my family and I dine out we spare no expense. We love good food and even better service. First waiter was a bit of a douche all because he didn't hear my aunt say she wanted ice on the side. She didn't make a big deal out of it because it wasn't but he seemed to have quite the attitude. And it was such a bother for him, as a server, to take the drink back. He walked off angrily while shaking his head. Like really?!!! He brought back the new drink and slammed it hard enough on the table that some of it spilled over. Very rude and completely unnecessary. I mean we were a party of 5 and three of the people were senior citizens. How disrespectful. I immediately made it clear to his manager that I didn't want him serving us anymore. Our new server Fernando was amazing- so nice and made sure we had everything we needed. Which got him his $95 tip. It was well deserved.  Other than that idiot the food was great. But I mostly likely won't go back to that location.",1,0,1,Tavia N.,"Brooklyn, NY",529,23,43
5.0,11/24/2018,"14 of us went there for Thanksgiving dinner. The food was spectacular!! Traditional meal that was served hot & all meals served at the same time.Our server , Mike, made our day!! He was personal & accommodating .",0,0,0,Cathy N.,"Southlake, TX",0,42,0
5.0,11/23/2018,Fantastic restaurant with a cape cod vibe on the UWS. I've been here in the past for some pretty epic brunches. The eggs benny is off the hook. However yesterday we opted to spend our family thanksgiving dinner here. Did not disappoint. They offered a fixed menu with a few festive options to cover most people's tastes. Delicious. Service was excellent as always and they handled the crown extremely well. Five big stars :),0,0,0,Damian M.,"New York, NY",48,213,138
5.0,11/22/2018,"We had a fabulously delicious Thanksgiving meal here! and it may now become a family tradition! Lovely staff, delicious food, cozy and comfortable! AND we were seated at the perfect table at the window! We were not rushed, everything was relaxing and pretty much perfect! THANK YOU Sarabeth's!",0,0,0,Brooke L.,"Manhattan, NY",0,12,0
1.0,11/18/2018,"Completely disrecommend that place to pregnant women.They literally parked me in a corridor next to trolleys after their waiter bumped me twice because they could not let us seat at our table 10 min before our friends arrive. God forbids they would loose 10 min of revenue, well they will loose more with the tip they are missing.Upper East Side location level of service is a lot better.",0,0,0,Clara D.,"San Francisco, CA",0,12,0
1.0,11/17/2018,"This place is joke- horrible horrible staff. Their manager and hostess should be no where near the hospitality industry. The manager, who's bald with glasses, gossiped about the customer and laughed about in front of customers- what a joke. The hostess, who had big curly hair, is even worse. She's obnoxious and acts entitled. It's obvious that she sees herself as superior to others, she too gossips about customer in front of others. I heard her talking about something in our party and I stepped in and she was rattled. She is the opposite of a person you want in restaurant- crap-talking customers in front of them. She should be promptly fired along with the manager. Don't go here, a true crap hole because of their immature staff. I wish I could give zero stars.",1,2,1,Charlie M.,"Larchmont, NY",4,49,15
5.0,11/16/2018,Had a very nice breakfast with great service.  My omelet was perfect. Quiet atmosphere,0,0,0,Erik P.,"Fresno, CA",17,25,5
3.0,11/11/2018,"Came here for brunch with a friend and I was a bit overwhelmed at how many people were in the restaurant standing, waiting to be seated. It was way too crowded and I made reservations and still had to wait a good while. After 20 minutes, we were finally seated and we were starving. We knew exactly what we wanted. I had the eggs Benedict with a side of truffle fries, he had the turkey burger and we shared the fat and fluffy French toast. I liked my eggs although I was only able to eat one. The English muffin was a bit too thick for me. I wasn't so crazy about the Canadian bacon. He enjoyed his turkey burger. And we both absolutely loved the French toast. It took a while for the food to come, maybe about another 20 minutes. The price was a bit expensive and I can't say it was worth it, it was pretty average. I think I would come back to have only the French toast again.",2,0,1,Lily F.,"Brooklyn, NY",502,387,1172
4.0,11/11/2018,"It was busy here for a Sunday morning! We were lucky enough to be seated right away. Came here for brunch before I started my day. I would recommend the lemon ricotta pancakes, delicious!",0,0,1,Stephanie L.,"Ontario, CA",16,50,37
