rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,Awesome atmosphere with good food and creative drinks! The watermelon margarita is amazing!,0,0,0,Jose P.,"Northeast Washington, Washington, DC",0,3,0
3.0,4/24/2019,"I have tried many different mexican restaurants before. The dishes in this restaurant is extremely small. For example, I ordered guacamole as entrée. It was a very small bowl. I was so surprised. For a cheaper price, I had a bowl 3 times more guacamole as I have eaten here. Though, the quality of the food was ok. As the main food, I ordered tortilla soup and enchiladas borrachas. I liked the main dish. But again the quantity of the tortilla soup was very little. I had also trouble getting the attention of the waiter for some services.",0,0,0,Amir F.,"Saint-Laurent, Montreal, Canada",13,11,163
4.0,4/23/2019,"When we visited NYC a few weeks ago to see Dear Evan Hansen on Broadway, we wanted to find a good Mexican restaurant for our pre-theater dinner. Thanks to all the positive Yelp reviews, we ended up making a 5:30 reservation for my family of four, and were seated right away once we arrived. The restaurant is large, with two floors, and is well decorated. Our table was upstairs near the wall, and seemed a bit quieter for having conversation. The waiter was patient about us needing some extra time to peruse the menus, and he made sure to explain several of the dishes, and answer our questions regarding portion size. We started off with the trio of guac for $27 which turned out to be addictive, and was great for all of our spice levels. My older daughter and I loved the fruitiness of the medium one, while my younger daughter preferred the milder type, and my hubby liked and devoured all three of them, including the hot one. As for drinks, we ordered a couple of glasses of blueberry hibiscus on the rocks, and OMG, were they ever tasty! Sweet and strong! For our meals, my younger daughter chose the manchego cheese, corn, black truffle, and crema quesadilla for $17, and my older daughter ordered the los tacos with suckling pig, cactus salad, salsa verde, and queso fresco for $15. I went with the yellow fin tuna ceviche with soy, sesame, avocado, cilantro, and Thai basil for $16, and my hubby settled on the los tacos with Bohemia braised brisket with avocado, red onion, salsa, and horse radish crema for $15. The flavors were all complex, but sadly,  the portion size was real disappointing, especially when factoring in the cost per dish.... Prices are ridiculously high for what you get. To be honest, by the time our show started at 8, I was actually ready for another full dinner. I know the menu states that the los tacos are appetizer size, but who would think that the quesadilla would ever be so small! Even my tuna ceviche was tiny for just one person. We probably won't be back.... It's hard to justify a tab for almost $150 with tip, and feel hungry soon thereafter. In fact, within 30 minutes of finishing our meals, my older daughter and I stopped for drinks at Starbucks. I ended up treating myself to a vente size mocha java chip frap to round out the dinner, and later got a slice of pizza to hit the spot before bed. 4 stars for quality and taste of food, 5 stars for the restaurant's atmosphere and the service we received, but 3 stars for value.",0,0,0,Janet R.,"Brookline, MA",1,87,5
5.0,4/23/2019,My experience at this restaurant was truly amazing. Our server Sharon took the time to go over the menu with me. As vegetarian it's imperative to find options that are delicious and filling. She paid attention to detail like none other! Definitely will return and try some new things. It's difficult to find authentic Mexican food with vegetarian options!! So I'm so happy to have found this place. Great food and quality service !,0,0,0,Stephanie R.,"Greenpoint, Brooklyn, NY",158,1,0
5.0,4/17/2019,Amazing!  Authenticish...Great service and guac was super delicious. Had shrimp quesadilla. Small portions but more than enough to be full!  Overall great place I will be back.,0,0,0,Janèa T.,"Bronxville, NY",2,19,11
5.0,4/17/2019,"Great mexican food & decent margaritas.  Little bit on the creative side rather than traditional, but pretty extensive menu.",1,1,0,H D.,"San Jose, CA",60,137,7
5.0,4/16/2019,"Out of this world - we ordered the beef quesadilla, lobster taco, creamy rice with seafood and chicken salad... everything was delicious!",0,0,0,Maggie H.,"Floresta Gardens - Bradrick, San Leandro, CA",29,3,7
2.0,4/14/2019,Small portions and pricey. The UES location is much better- property because of the location it caters to tourists.,0,0,0,N F.,"Manhattan, NY",0,16,1
5.0,4/12/2019,REAL MEXICAN FOOD in NYCPrices are super goodI recommend the chicken quesadilla as it is very similar to that made in Chiapas,0,0,0,Margherita V.,"Manhattan, New York, NY",0,1,0
4.0,4/12/2019,"Since my husband and I had limited time to eat dinner between part one and two of Harry Potter, we made reservations at the this nearby Mexican restaurant, which was recommended on the Harry Potter website. The restaurant has a vegetarian menu upon request, with many different options. As a gluten-free vegan, I was told I could only get the quinoa paella main course and the spicy kale side. I was expecting to be able to get tacos with gluten-free corn tortillas, so I was slightly disappointed by my meager options. I was also told I could get the black beans, but not the rice. Luckily, the quinoa paella and spicy kale were absolutely delicious. The quinoa included generous amounts of asparagus, carrots, baby corn, mushrooms, and cauliflower, and was topped with shaved truffle. The combination of flavors and textures was delicous. The spicy kale was in a super spicy light broth that I found scrumptious. I also got a side of guacamole, which was was creamy yet still had avocado chunks in it (which is my favorite texture of guacamole). I savored every bite of my meal and fully enjoyed it. My husband opted for the cheese quesadilla, which was more of a tostada, because it was so small. The two women sitting next to us also got quesadillas and their entire conversation consisted of them discussing the tiny portion and what a real quesadilla should look like. (The tables are very close together and we could hear every word.) My husband enjoyed it, but could not get over how tiny it was. His side of avocado fries, which were crusted with panko bread crumbs, were very generous in size, though. I always find it hilarious in restaurants when the sizes are bigger than the entrees. I definitely recommend Tolache if you are ever in need of a good veg-friendly restaurant in the Broadway district. If you are vegetarian, rather than vegan and gluten-free, the vegetarian menu is quite generous.",1,0,0,Cait M.,"Willow Grove, PA",5,38,66
