rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"Of course I'm at a seafood and sushi restaurant, and I chose the steak. It was so tasty! I took out the blue cheese. The spinach was to die for and the medium cooked steak was so tasty. I had to have the desert ...:) I like the vibe, it's low key right next to Times Square. After a long day at work, it's nice to listen to the lounge music. As I'm here for business, I eat alone and they are always caring about where they are seating me. Great service!Definitely worth checking it out.",0,0,0,Stephanie H.,"Los Angeles, CA",0,48,19
5.0,4/23/2019,Had a fabulous dinner tonight!! The shrimp & lobster spring rolls App was delicious. My main course was halibut with lemon gnocchi & roasted squash and it was AMAZING! Polished off the entire dish!! Waiter was friendly & great. Ambiance inside was really nice!,0,0,0,Nicky N.,"Marvin, NC",0,1,0
4.0,4/5/2019,"Good not great place for a group lunch. While they specialize in seafood, there are a lot of great non-seafood options. I had a NY State of Mind Burger -- highly recommend. The service was good. I was in a group of 8 and everyone seemed satisfied with their meal. Would return.",0,0,0,Dyllan B.,"Washington, DC",7,18,17
5.0,3/12/2019,"My family and I are visiting from Canada, This restaurant is excellent! The mood is very awesome, everybody from the customers to the staff seems to be having fun. My waitresses Melissa was extremely attentive, and inviting, she made sure we enjoyed our food .Everything was well cooked, delicious and tasteful. The downside is that you have to expect a high bill because it is not cheap, but I mean its is NYC ! Definitely will be returning",0,0,0,Stacey A.,"Bronx, NY",0,1,0
2.0,3/6/2019,"Came here on a lazy weekday afternoon while staying at the W hotel for work. Overall it's a convenient location with a beautifully modern yet warm vibe - like a yacht -and nice staff. BUT the food (especially the sushi) was pretty lame. I live in CA so maybe my sushi standard is pretty high (?) but the rolls were so-so. Not much creativity for a so-called sushi bar and the fish quality seemed average at best (pretty fishy taste overall). I also ordered the Brussels sprout kale Caesar salad, which took 30 mins to come out even with an empty restaurant. I'd describe it as ""edible"" at best. Pretty sour with some overly Parmesan crusted toast. Like basically a stick of Parmesan cheese instead of toast....Unless you're really desperate, you're better off finding somewhere else to eat in Times Square.",0,0,0,Allison W.,"San Francisco, CA",122,10,6
4.0,2/24/2019,"We've been to Blue Fin a few times and it has always been good.We got there after a show on a Saturday night at about 10:45 pm and it was not busy. But as soon as we got a table, more theatre goers started streaming in. Service was fast and friendly. I ordered a Lobster bisque which was tasty but has only one small piece of meat in it. For dinner my wife had two sushi rolls (Times Square and Spicy Tuna I think) which she said was good but not spectacular. I had the Thai Hot Pot which made up for the lack of lobster in my soup! It was a spicy combination of shrimp, lobster, clams, calamari, etc etc in a delicious hot broth! Large portion - couldn't finish. Blue Fin's a little expensive but what isn't in Times Square? Had fun and a good, filling meal.",0,0,0,Rick H.,"West Islip, NY",0,15,0
5.0,2/21/2019,"So about 5 years ago, my friends and I were vacationing in Nyc and walked in here because they wanted sushi before heading to the airport. I don't eat sushi so I ordered the burger. I've told everyone that one of the best burgers I've ever had hasbeen at a sushi restaurant in nyc and it was blu fin. I just had it again today, and it was just as amazing as 5 years ago. Agh I could eat it every week. It's pricey but so worth it",0,0,0,Selina M.,"Albuquerque, NM",81,215,134
4.0,2/16/2019,"Wonderful, efficient service. Accommodating. Great menu, cocktails and prices. Not to mention locale and ambiance. Highly recommend!",0,0,0,Dana C.,"La Grange, IL",0,6,0
3.0,2/14/2019,"Came here for dinner on Valentine's Day with a couple of friends. Honestly was a little disappointed with the food quality, especially given the steep price point. The service was also incredibly slow; we waited ~20 minutes for a cocktail and ~30 minutes for our food to come out. We ordered the sushi sampler, rigatoni with short rib, and grilled branzino. The grilled branzino was definitely the best dish of the three. In short, took a star off for being overpriced and another for slow service (though it was a holiday, so I would imagine it to be better other days)",0,0,0,Angela Z.,"Fremont, CA",463,7,7
4.0,2/6/2019,"Blue Fin is at a prime location in time square. I thought it is an eatery catered to tourists. The food, menu and services proved it wrong.  If you're in the mood for sushi, steak and/or seafood, this is the place. Btw, cocktails are reasonably priced. Would definitely come back.",0,0,0,Mei C.,"New York, NY",53,49,26
