rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/27/2019,"We had made a reservation several weeks in advance.  We asked for a booth and indicated that it was our anniversary.  The restaurant called to confirm and we reiterated our request.  We arrived  a few minutes early and were taken to a table in the back on a banquette accommodating 6 tables and right next to a large noisy party.  We asked why, when we had a reservation and there were parties of two seated in the booths and there were empty booths, we were seated at this unacceptable table.  She replied that those people had been seated earlier.  We were not late and we had a reservation - how is that acceptable?   We left and went to Fiorello's where we were treated graciously, even without a reservation.",0,0,0,Joan T.,"Miami, FL",4,9,1
5.0,4/15/2019,"Amazing food, beautiful interior, great service. Can't really go wrong with Bar Boulud; have been many times and it never disappoints. The charcuterie board is perfect for sharing, and their menu is updated with delicious options.",0,0,0,Nicolette O.,"Manhattan, NY",12,14,6
2.0,3/18/2019,Hey Daniel teach your people how to pour an espresso. And when some one ask for a double tell them to give them a double...,0,0,0,Tato R.,"New York, NY",0,3,0
4.0,3/10/2019,"Overall enjoyed our dinner here: the menu was expected French fare but very nicely and elegantly prepared. Everything we tried was delicious. We were dining pre-theatre and they got us in an out quickly without feeling rushed. Service was definitely top notch. The only two things I was disappointed with: wine list was expensive with few moderately priced options, and they forgot that we had a birthday at the table, despite having asked the bday person's name even when reconfirming.",0,0,0,Justin H.,"Boston, MA",0,2,0
4.0,3/6/2019,"Came here for restaurant week and it was well worth it. The portions were pretty big and they gave us enough fries to feed two families. I ordered the pate and burger and my friend ordered the mussels. The burger was good but nothing too fantastic. The pate was creamy and paired well with the bread, there was just so much of it! It wasn't melt in your mouth and not the best I've tasted but still top notch. I'm not a fan of mussels but it came in a huge pot. The curry was all at the bottom so it didn't coat majority of the mussels and you had to dig your way through to see it. Overall cute place and close to Central Park. Would go here to catch up with friends or on a date that's not too fancy but not super casual either.",0,0,1,Jasmine C.,"Manhattan, New York, NY",9,60,29
5.0,2/25/2019,"Fantastic. Had a really great experience here. I ate with my Dad a few nights ago and we both really enjoyed the night!We started with the large charcuterie with six different pates (all of which were fantastic - our favorite being the headcheese and the duck), some ham, pickled veggies, and delicious sourdough bread. This was honest to god the best pate spread I've ever had!I got the Faroe Island salmon cooked medium rare and it was honestly probably the best salmon I've ever had. The skin was really crispy and the meat was super flavorful and perfectly cooked. On top of the bed of lentils made for a GREAT dish.My dad had the cassoulet (made by a visiting chef I believe) which was exquisite and perfectly seasoned. The textures and flavors were excellent.For dessert got the gateau basque (almond custard cake) and I thought it was a lovely end to a great meal. Great time and definitely will be coming back!",0,0,0,Thomas E.,"Manhattan, NY",294,259,228
2.0,2/16/2019,"We came for dinner because of an event at Lincoln Center. Unfortunately it was Valentine's Day so they only offered an $85 prefix menu. Mostly everything about the food was underwhelming. The chicken in the coq au vin was good quality but the skin was totally soggy and the dish only had two shallots and two mushrooms to it total and the ramekin of side spaetzle was only half full. We also ordered the artichoke risotto which is described as: crispy Artichoke, parmesan, jus gras, scallion. There was no scallion, the artichoke was not peeled correctly so we had multiple inedible parts to pick through, and the rice itself was overcooked to the consistency of soup. It was pretty disgusting. We started with the Pâté de Canard which was pretty good, but was it actually duck? Debatable. The oysters were good (earned the second star on this review). Will not be going back.",0,0,0,Susan K.,"Hunters Point, Queens, NY",0,21,1
4.0,2/11/2019,We went for restaurant week and had a really good time. The loup de mer was great but the beef bougeoion was a bit disappointing. The desserts are just meh as well. But the fish was great,0,0,0,Katherine L.,"Manhattan, New York, NY",1,27,42
5.0,2/10/2019,"Wow!!!  Came here for lunch, not knowing what to expect. It was on a Sunday, so the menu was for brunch.  Lots of choices. Unfortunately, they were out of the lobster omelette, so I got an herb omelette and my son got the quiche Lorraine.  Both out of this world. The potatoes melted in my mouth and the hash browns were perfectly cooked inside and out.   The service was very attentive and always on top of refilling water and coffee. Even though it was crowded, it wasn't overly noisy.  I've already emailed my friends who live and work near Lincoln Center to make sure they check this place out.  Don't miss out on this one.",0,0,0,Howard R.,"Old Westbury, NY",0,13,0
3.0,2/8/2019,"Boulud, from the famed Daniel Boulud. There are many locations, and because of this, it showed. There wasn't anything extraordinary about this place that stood out, but I really can't remember anything 'bad' either. So I'd say this place is average. In a city with many great restaurants to pick from, I probably wouldn't crave to come here again. In hindsight, I should have known better than to take a recommendation from a man sitting at a shared table with my co-workers and I, trying to make small talk with us (eventhough he was pleasant).",1,1,1,Jeanette I.,"Torrance, CA",83,97,40
1.0,2/6/2019,"I'm absolutely disgusted by my first (and last) experience with this restaurant... I took my step-mother out, this afternoon, to see Peter Jackson's documentary on WW1; and she suggested we go to Bar Boulud, afterwards, for lunch. Reluctantly, I agreed. So, we placed our orders, and sat there for thirty minutes waiting for the food to arrive -- in spite of the place being literally empty. The food finally came to us (warm, not hot). And it really wasn't that good. Finally, our server brought the bill, and overcharged us by more than 30 dollars (which I didn't realize until I had already walked ten blocks away from the place). So, after enduring terrible service and eating mediocre food, I had to walk ten blocks back to the place to get them to correct their gross mistake in the bill.If I had gone to some slop-slinging Greek diner... the food would have been just about the same (seriously), and the service would have been TREMENDOUSLY better. I only give one star because there's no way to give zero. Shame on you. Your establishment is embarrassing.",1,0,0,Benjamin B.,"New York, NY",0,4,0
4.0,2/3/2019,"Excellent spot for a few drinks and apps. Steps from Lincoln Center which made this place all that more to like. Even on a busy Saturday night the staff was so gracious and actually let us hold a seat at the bar for a friend who was yet to arrive.Thank you to the staff, and especially the bartenders who know EXACTLY how to make an old fashioned. My girl loved her wine and not to fill up before curtain call the staff recommended a cheese sampler to keep us going through the show. This is now the spot before a night out while enjoying the arts.",0,0,0,TopDog B.,"Astoria, Queens, NY",0,68,187
4.0,1/27/2019,"Excellent food, although certainly not a value proposition, and typically cramped New York seating. For appetizers we had the pork belly with mustard and the beets and burrata. Entrees were trout amandine and the boudin blanc. No complaints about the food, which was actually quite good. The boudin blanc in particular was delightful. Worth checking out if you're in the area.",0,0,0,Michael C.,"MARLTON, NJ",2,22,9
4.0,1/27/2019,"Came here for dinner and had a fish dish which tasted great and the portion size was okay.  Friendly and knowledgeable service, can't complain there.  Decor was pleasant.",0,0,0,Jason C.,"North Arlington, NJ",0,34,9
5.0,1/27/2019,We had a great experience at Bar Boulud. We were all thoroughly impressed with our server Katherine. She was both extremely knowledgeable and helpful with both the food and wine menu. Excellent food and excellent wine !,0,0,0,Nadine C.,"Yukon, PA",0,2,0
4.0,1/17/2019,"Hubby and I got the 3-course Pre-Theater special, to have more options as our first time here; And I, in a French restaurant. Started with the complimentary bread slices, which went well with the butter (or maybe I was just already hungry). For starters, the Winter Salad was light but with good flavor; While the Chicken Liver Mousse was airy-buttery on toast... I love that it didn't have the overpowering liver taste, yet you know that it's liver. I even ate it with the remaining comp bread slices -it's that good, specially with the Compote! For Main, Hubby got it good with the Cassoulet... a lot of complementing flavors from the Duck, Pork Belly and Beans; Filling too because of the good serving size. My Quenelle Brochet wasn't though; I guess it's Fish made into mousse... good flavor with the Sauce, and felt like a lighter hard-boiled egg white; It didn't come with any carbs, therefore just felt like a 'tizer. Desserts were great to clean the after-dinner palate; Hubby enjoyed the Assiette de Fromages (Cheese plate, with grapes, and sweet bread), and I, the Opera Gateau.",0,0,0,Cheche A.,"Woodside, NY",20,1,10
5.0,1/16/2019,Our experience tonight was spot on. Love the space. Service professional and friendly. Cocktails arrived promptly and we ordered apps for the table. We never felt rushed and enjoyed every course. Dover sole was the evening special. Excellent. A neighborhood gem. Merci!,0,0,1,C N.,"Barnstable County, MA",0,148,106
3.0,1/2/2019,"We came here on a whim before seeing a matinee show at Lincoln Center. I know that any restaurant by a touristy location, such as Lincoln Center, is going to have inflated prices, but, for example, $6 for a regular coffee seemed excessive. I also got the waffle, which was good, but neither the small portion size nor the taste was so amazing that I felt it was worth $17 plus tax and tip.All that said, the hostess and waitress were very pleasant, and our food came out quickly. The decor is simple and elegant. It is definitely a convenient location if you are seeing a show at Lincoln Center.",0,0,0,Kate M.,"New York, NY",0,79,0
2.0,12/28/2018,"I rate it in only two stars, for its level is dropping so much! It's overpriced if the food can't match the price. Only one kind of oyster the restaurant can provide. The duck is so insipid, trust me any restaurant in Chinatown can make much better duck than this restaurant. By the way, I don't know why the waitress couldn't give us the wine list when we want to order the wine. I won't come to this restaurant again unless the chef changed. We are so disappointed.",0,0,0,Jing L.,"Southeast Orlando, Orlando, FL",59,18,22
5.0,12/17/2018,"Delicious food, great lunch place since you can actually hear each other talk- great service!",0,0,0,Audrey F.,"La Jolla, San Diego, CA",0,2,0
5.0,12/15/2018,The food and service here are always excellent. And the atmosphere is so much more comfortable than the other (non-Boulud) restaurants on the block.Great choice for pre-Lincoln Center dining.,0,0,0,Steven H.,"Newark, NJ",0,38,1
3.0,12/14/2018,"usually really like this place, good service, delicious wine, good place for before Lincoln Center.  However my opinion is in abeyance.  Last night I had an entree  34$  rabbit that was the size of an appetizer.  It was very good but at those prices, there should have been at least a serving.  The wait staff was lovely about it but such small portions don't leave me interested in returning.  but where to eat near Lincoln Center????",0,0,0,carol s.,"New York, NY",0,50,0
4.0,12/9/2018,"Fast casual concept by Daniel Boulud.  My favorite is Boulud Sud but we stopped here before the theater. There was a French couple next to us who liked the concept so much they came in two days in a row and the team had them in and out within 30 minutes for the next table.We didn't have rsvp and were given a table did 45 minutes and we easily enjoyed our allotted time.Cheese plate was very tasty.The toasted cheese bread is addictiveThe rabbit stew was lovely.Highly recommended, especially if you can score a rsvp!",2,0,1,Christine L.,"Houston, TX",56,560,538
3.0,12/1/2018,"The food was terrific, but they have some things to work on.  It took them 30 min past our reservation time to seat us.  The server was having a bad night and it was obvious the way she seemed annoyed every time she came to the table.",0,0,0,David B.,"Manhattan, NY",2,81,426
1.0,11/27/2018,"Awful experience. I should preface by saying I went for dinner during restaurant week. They didn't have my entree choice so offered steak-frites. This was the chewiest, saltiest, most over cooked steak I've ever had. The apps were uninspired and honestly ehh. Dessert was fine but nothing overwhelming. Can't believe this is a famous restaurants. Even without expectation, the food just wasn't good.",0,0,0,Jamie B.,"New York, NY",298,25,0
4.0,11/26/2018,"Consistent good French food with intimate atmosphere. Includes rich duck, juicy burgers, charcuterie platters, terrines. Expect rich buttery foods. Good neighborhood spot!",0,0,1,Vivian T.,"New York, NY",145,280,152
4.0,11/18/2018,"Great place for a bite after the opera!   From the charcuterie board, we selected a three-cheese sampler (not very generous portions), and a slice of delicious duck pate with figs, both served with lovely slices of assorted breads, caramelized onions, a few grapes, and a few candied pecans.  Shoestring french fries served in a shiny french cup.  Wine prices a little crazy.  Terrific friendly service.  Overall, a wonderful little snack that hit the spot!",0,0,0,Pat C.,"Palisades, Washington, DC",3,43,1
1.0,11/18/2018,"I'm not one to write reviews on Yelp as I usually use it to find good places to try. However after an awful dining experience at Bar Boulud I find myself compelled to leave one. My husband and I live in the neighborhood and found ourselves craving French food this weekend, we usually go to Cafe Luxembourg in the neighborhood on these occasions but decided to give Bar Boulud a try. Upon arrival, we were greeted by a friendly hostess and given a table at the back of the restaurant (which is huge - if you want cozy/ romantic this is not the place). We were then greeted by our waiter who was unfortunately extremely rude, had an air of superiority and was over bearing throughout the whole meal. We asked for recommendations on what to have on the menu and he said ""he didn't do that"", also when asked for wine recommendations his response was ""are you asking me to pick your wine"". Overall a painful experience with a server who was truly one of the worst I've ever encountered and clearly did not want to be there.On to the food, we had the charcuterie board to share which was actually pretty good and I enjoyed, slightly overpriced in my opinion. For the main course we had the dry aged NY strip which I asked for medium/rare and the boudin blanc. I've had dry aged strip before and 1) the steak didn't not taste like dry aged strip and 2) is was over cooked and no where near the medium rare which I ordered. Unfortunately I did not want to have a confrontation with the rude waiter so I paid $45 for a steak which I would never recommend to anyone and was over completely overcooked. I will say that the boudin blanc was delicious and I clearly made a poor decision (no input from the waiter) on the steak. We didn't want to stay in the restaurant any longer or have to deal with the rude waiter anymore so we paid for the over cooked steak, cocktails and wine and left straight after dinner.",0,0,0,Sarah G.,"Manhattan, New York, NY",0,2,0
5.0,11/8/2018,"Simply amazing.If you are considering dining here, do not hesitate!Not being one that favors, nor is that familiar with French food, I was a bit leary of coming here, but I am so glad I did.First of all ( so unlike other reviews I've read) ,every single staff member I encountered... from the hostess, to the bartender, waiter and busboy..were glowing with smiles,kindness, promptness, professionalism, knowledge of menu and genuinely seemed to be so happy doing their job!Now for the food..I did not take photos..but we had the beet and burrata salad, the crab and avocado toast ( OMG!) And both ordered scallop special as our main. We had an orange chocolate dessert that was simply heaven!This food was simply the most delicious I've ever had..and I dine out very often.Everything was incredibly fresh, DELICATE, with balanced flavor that made you want to slow down and just enjoy every bite!Please try it...and enjoy! :)",0,0,0,Laura P.,"Manhattan, NY",15,4,3
4.0,11/7/2018,"I was worried about some of the mixed reviews prior to going, but everything turned out fine for me. Service was friendly, conscientious and prompt. The food was good. Not over the top amazing, but solid. Wine selections were decent.",0,0,0,R H.,"Tampa, FL",3,38,68
4.0,11/3/2018,"Brunch here was scrumptious, eggs sunnyside up with vermont sausage served hot, crispy and juicy, and hash brown baked to perfection. fresh multigrain bread and an **exquisite** Hemingway daiquiri that rivals Michelin rated restaurants I've visited. Ambience was elegant and perfect for a pre-opera get together at Lincoln Center.",0,0,0,Steve S.,"Wantagh, NY",15,37,24
5.0,10/31/2018,Had a wonderful meal last night at Bar Boulud. It's a great pre-theater place across the street from Lincoln Center if you are seeing a show there. My server was Catherine  and I had the squash soup followed by Veal. The squash soup was so smooth and velvety and I could tell the kitchen had taken a lot of care to make it perfect. Catherine was an excellent server as well and well-informed about the wine list. She helped us pick a great wine in our price range. The sachertorte for dessert was amazing as well- rich and chocolatey. I will definitely go back to Bar Boulud again.,4,3,3,Andrew D.,"Brooklyn, NY",870,623,310
4.0,10/27/2018,"Quality French style food.  Good deal for lunch.  Pretty classic French food but not the usual which is nice.  They certainly use good quality ingredients and well executed.I did not realize they have a prix -fixe lunch! 'Went back today - late lunch at 3:45PMI liked the limited menu - I chose the house made cavatelli with crisp fried sun chokes on fop, mushrooms and some kale.  So good!",0,0,0,Bing R.,"New York, NY",149,544,3265
5.0,10/15/2018,"Great experience, food was really good, waiter very nice, Super atmosphere, I recommande everything from Daniel Boulud.",0,0,0,Jane B.,"New York, NY",54,18,2
2.0,10/9/2018,We have not been here for a year. Found the chairs and banquette uncomfortable. Lovely reception and good service. Brunch menu seemed to be being enjoyed by many. We came for ala menu which seemed limited and geared towards brunch items.  No gougeres.. Bread v gd...menu limited .Onion soup was dense and very uninteresting. Grandpere  pate  was watery and under spiced. Noisy. Disappointing. Will try another restaurant near Lincoln Center.,0,0,0,paula l.,"Short Hills, NJ",0,29,0
