rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/20/2019,"I come first time with my family at Hakkasan New York, before we was at Hakkasan London. Good food and nice place.",0,0,0,Tony W.,"Manhattan, New York, NY",0,4,0
5.0,4/20/2019,"Great service, great ambiance! Pippa is a great alternative to the larger peking duck dish if you are not interested in going all out. Never had a bad cocktail, and the list is extensive. Would recommend for lunch or dinner!",0,0,0,Timothy T.,"Manhattan, NY",0,11,0
4.0,4/19/2019,"Great atmosphere and food. Note, it is modernised Asian food and will make my ancestors cry but the foods with a twist are still very tasty! The space is huge and a great vibrant vibe. Would be a great date night spot! We ordered many dishes to share, vegetarian friendly too, and highly recommend the prawn toast and mushroom chow fun! We were celebrating and they brought out an additional dessert which was a really nice touch!",0,0,0,Annie L.,"Sydney, Australia",7,12,15
5.0,4/13/2019,"This is an EXPERIENCE. Not just a restaurant. Swanky marble and intricate geometric patterns decorate this hidden gem, which feels like a maze and palace all at once. Fine dining with the service to match, accommodated 8 of us with a multi course experience. We shared more than I can list appropriately, from the scallops (highly recommend), vegetarian and seafood dumplings, beef and mango chicken, pork tenderloin as well as fried rice. The portions are smaller than other places but so good and rich it isn't necessary to order a lot. We ordered too much and left full but not stuffed. Great variety for vegetarians, pescatarians (moi) and carnivores alike, truly impressive dining. Fine wine menu with a plethora of options, and same for those looking for whisky or imported liquor. Truly international bar, I tried the shoju based Cha butterfly (see photo). Recommend the Green Destiny with cucumbers over the cha butterfly, even though both are beautiful.",1,1,1,Alexandra R.,"New York, NY",522,131,111
1.0,4/12/2019,"trash service, I spend literally 200 bucks on a soup. Will never come again. Cocky attitude!",0,0,0,Lula Z.,"Manhattan, New York, NY",0,1,0
5.0,4/11/2019,Everything was great. The dim sum was absolutely amazing and the tea was very good. The service was great and the restaurant had a very welcoming vibe,0,0,0,Humayra A.,"Bristow, VA",5,1,4
4.0,4/10/2019,It's a nice place for intimate seating and ideal for a date. It can be a little dark for the day. Portion sizes aren't very big but if you order a few items to share between people it's good. The clay pot was immaculate and the service was good. They tend to pace you out which is great but if you are in a rush let your server know before e,0,0,0,Sumedha A.,"Manhattan, New York, NY",184,9,0
3.0,4/8/2019,"The food was good but not worth the price. Got the ""Whole"" peking duck but it looked more like half a duck. Asked the waitress about it and she nomchalantly replies ""it's a small duck"". No matter how small, doesn't a duck still have two legs? How is it that it only comes with one drum? Everything else tasted ok (Steamed dim sum, crispy shrimp dumpling, pork belly clay pot), but you can find a very similar taste anywhere in Chinatown for a quarter of the price.",0,0,0,Maggie C.,"Quincy, MA",0,4,14
5.0,4/2/2019,"My favorite place for Chinese food. Always delicious, and great selections on the menu. Service is always quick. Very friendly and knowledgeable staff. Excellent!",0,0,0,Dave T.,"Manhattan, New York, NY",0,4,0
2.0,3/26/2019,"First, the good part: the restaurant is gorgeous and very clean (even the restroom is immaculately clean).  It looks stylish and it's great for business meetings and dates...for those who don't mind the mediocre food.The service is adequate for the price point but not particularly friendly or attentive.The food is where this restaurant falls apart.  I don't care how much my meal costs so long as the cost matches with the quality of the meal.  I don't mind spending $1,000 for a solo dinner at Atera or Masa.But I do mind paying higher than usual prices for mediocre food.  The dim sum lunch consisted of items that tasted like they were pre-cooked a couple of hours before lunch time and kept lukewarm in a warmer of some type.  This was especially true for the stir-fried udon noodles, which was borderline cold.  The half peking duck that I ordered was about a quarter-duck size when compared to other peking duck places.  But it cost $58, which is what most places will charge you for a whole duck.  But it's not the portion that I really minded.  The quality of the duck was unacceptable at this price point.  The duck meat was lukewarm and dry.  The skin was more leathery tough than crispy.  The pancakes were brittle and old-tasting.  At least the cucumber and scallion slices were adequate.If you want to enjoy drinks with expensive but mediocre dim sum in a stylish setting, this is a place for you.  If you are looking for great food, look elsewhere.",2,0,0,Joseph S.,"Hartsdale, NY",2,121,0
5.0,3/11/2019,"Two down on the Hakkasan list!!!! The menu is slightly different at each one but their signature dishes can still be found, some vary based on location (duck salad).Once again the staff exceeds all expectations and the servers are extremely knowledgeable.Dim sum platter at Hakkasan is one of my favorite things EVER!!! The duck salad is also always a solid dish. Also recommend the crispy silver cod. So good!!!You need a reservation and the door is a bit hidden but it's there, just before the actual address so keep your eyes open!",5,3,9,Sandra P.,"Los Angeles, CA",119,160,120
5.0,3/11/2019,"The Peking Duck and veg dumplings are what my dreams are made of. The hazelnut desert is one of the best I've had and the taro tea ice cream is by far the best ice cream flavor I've ever tasted. Probably the best Asian restaurant on earth. Drinks are great, locations a bit crappy(Times Square), but easy enough to get to, would be sick if they had a second location in Greenwich or little Italy.",0,0,0,Sameer V.,"Denver, CO",183,65,0
3.0,3/3/2019,"One thing comes up when I reminisce on Hakkasan: Overpriced!I came here with some company (great company) and we sat down for dinner. The service staff were friendly enough and I liked the interior of the restaurant. It's located in a very hot spot in town as well. The food was decent for the price you. The dishes I enjoyed the most were the veg dumplings and the dessert dumpling. However, one thing to really note is the portions are TINY and OVERPRICED. Seriously, the ratio of food you get per dollar spent is absurd, even by NYC standards. Overall, a decent food experience. Company was great which saved the night for me. Would not recommend coming back here.",0,0,0,Saddmun A.,"New York, NY",289,142,34
