rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,Had a great dinner at this restaurant. Staff is well-trained and professional. The service was amazing. The atmosphere is very pleasant. My family enjoyed the time at this restaurant.,0,0,0,Aron W.,"Manhattan, New York, NY",0,8,0
4.0,4/13/2019,"Had dinner here pre-theater on March 30, a Saturday.  The restaurant offered a pre-fixe pre-theater menu, although we we heard additional dishes being offered to the table next to us and when we inquired, we found out that other items were possible too.We started with a fois gras terrine that was substituted off the regular menu and a mozzarella appetizer.  I had the gargnanelli entree and my friend had the steak.  We ordered a side order of mushrooms, which was large and delicious.  My garganelli was really really good -- but by the time it came I had had too much of the pate and also the delicious bread that was served for the table (separate than what came with the pate).  So I couldn't do justice to the garganelli and ended up taking half of it home.  (I gleefully had it for breakfast the next morning.  Yum.)  My friend's steak looked very good and in spite of herself, she finished it (as opposed to taking leftovers home for her pooch).  My friend had the chocolate tortino for dessert which looked and tasted delicious.  I had the berry plate, which was perfectly fine but couldn't compare to the tortino.  Wheelchair accessibility notes:  Unchanged from last review.",0,0,0,Meg S.,"Manhattan, NY",3,137,0
3.0,4/8/2019,We have always had a nice time at Lincoln usually pre Lincoln Center theatre. The service is nice. The food is good. The tables are not too close together. But today I looked up the enjoyable half bottle of Chianti Classico that we enjoyed last night and now I have to admit that marking up the price almost five times is not right. I am sorry but I can't go back. I feel like I have been deceived. There is no justification for that pricing.,0,0,0,alan b.,"Bronxville, NY",1,36,20
3.0,4/6/2019,"It's such a treat to have a nice restaurant right at Lincoln Center, what more can you ask for in terms of location right before or after an event? The space and architecture are completely unique and quite special. One shortcoming is that you must order from a scaled down, prix fixe menu between 5-7pm (every day), though this is not atypical for restaurants in the area for pre-theater. We enjoyed our time at Lincoln, between the nice ambiance, excellent cocktails and wines, and generally solid, though neither flawless nor exciting food. At this price point, there are other options in the neighborhood that deliver more interesting flavors and better execution. Nonetheless, having such good bones, with a little more refinement, Lincoln could really shine. Atmosphere-Amazing modern architecture, really creates a unique space with vistas to Lincoln Center.-Upscale, but not stuffy or overly formal. It's easy to have a relaxed meal here.- Smart casual, though some patrons are more dressed up for events at Lincoln Center.FoodBetween 5-7pm, one must select from a scaled down 2- or 3-course prix fixe menu ($66-78). Overall, the food was of decent quality, though there were some missteps in execution. That being said, the flavor profiles were generally quite nice, and most of the dishes were good, just unexceptional.  We had: - Polpo alla Griglia (Pan Seared Octopus, Braised Tomato Ragu, Caramelized Onions, Prosciutto Vinaigrette): Quite tender, with nice char/caramelization. Well executed.- Garganelli Verdi con Bolognese di Anatra (Spinach Pasta, Duck Bolognese, Pecorino Ginepro): Excellent - ragu had rich, deep flavors and though the pasta was a touch thick it was tender. Recommend!- Salmone (Roasted King Salmon, Baby Turnip, Red Wine Braised Onion Ragu, Soubise Toasted Brussels Sprouts): Nice, if unexciting, flavor profile. However, came out over cooked.- Manzo Arrosto (Roasted Striploin of Beef, Red Wine Shallot Puree, Potato-Celery Root Gratin, Puntarelle, Barolo Sauce): Moist and tender, perfectly cooked - but again, the flavors on this main were basic. Recommend.- Tortino di Cioccolato (Chocolate Brown Butter Genovese, Dark Chocolate Salted Ganache, Praline Croccante, Hazelnut Gelato): Decadent and rich, but very good. The salt makes a big difference in terms of balance, wish there was a tad more of it. Recommend.-Torta di Mele (Caramelized Apples, Pistachio Dacquoise Bomboloni, Farro Gelato): Rather bland, having flavor almost akin to applesauce. Sounded better in concept.BeverageLike the drinks selection here. We began with a round of cocktails; the list is interesting with plenty of light and dark selections. The Rosato Sbagliato (Aperol, Cynar, Cocchi Rosa Solerno Blood Orange Liquore, Prosecco - $18) and Fuochetto L'Orsetto (Azteca Azul Tequila, Rabarbaro Amaro, Sfumato, Lime Juice, Gingered Sea Salt - $19) were both very enjoyable. Elected to have wines by the glass with our mains. The list has quite a few options (9 selections each of red/white), most ranging from $17-20, which is awesome. We liked both the 2016 Luigi Giordano 'Buschet' Barbera d'Alba ($18) and Cima di Conegliano Prosecco ($16). The bottle list is naturally Italian focused, and offers a number of options $150 and below across key Italian regions. Solid selection.Service-Attentive and generally professional, especially the somm.-Seem to be pretty accustomed to dealing with time constraints before shows, though we left plenty of time before ours.",0,0,0,D. L. J.,"Manhattan, New York, NY",1,115,647
2.0,4/5/2019,We've dined at Lincoln many times but last Monday April 1 we were very disappointed.  The food was not up to what we've enjoyed in the past both in preparation and presentation.  For an appetizer I had the Insalata di Scarola.  Even though the ingredients sounded intriguing nothing stood out and the dressing had a sour somewhat harsh flavor.  My husband and I both had pasta for our main courses.  I had the Orchiette which I found to be fairly flavorless and greasy -- not something I felt was worth $36.   My husband had the Tortellini di Vitella.  The pasta was very underdone and the filling was tough and certainly not succulent.  Again we felt it was way overpriced at $38.  Our table ordered the special dessert which was fresh berries with lemon sorbet.  The berries were nothing special and did not taste that fresh.  The sorbet was almost invisible it was so small.  The ambience was as lovely as ever and the service was good.  But given the quality of the food we would definitely think twice before going back.,0,0,0,Terri M.,"Stonington, CT",0,2,0
4.0,3/28/2019,"Beautifully prepared and very tasty food. Beautiful restaurant, helpful staff. Expensive obviously but great for a special occasion or pre-theatre .",0,0,0,Donna H.,"Marshall-Shadeland, Pittsburgh, PA",1,3,0
4.0,3/5/2019,We came across this restaurant recently and we were pretty impressed. The service was great and the food was pretty food too. It's also kind of affordable for a high end restaurant. Would recommend going,0,0,0,Katherine L.,"Manhattan, New York, NY",1,27,42
4.0,2/23/2019,"Great ambiance​ and very considerate service, double checked food allergies with my friend. Although the portion size was small(which is normal for fr/it cuisine), I felt very full and didn't even finish my main.",0,0,1,Scarlett F.,"New York, NY",6,23,29
5.0,2/22/2019,"Spectacular!An amazing dining experience in NYC.  Walls of glass overlooking the grounds of Lincoln Center. Magnificent views into their massive kitchen.Staff is beyond welcoming and ensures a wonderful time.  We began with a lovely bottle of Cabernet from the extensive wine list.The chef greeted us with a scrumptious mini cubed rice ball filled with cheese & pepper to get things started.We then thoroughly enjoyed the baratta with toasted rustic bread and tender juicy glazed carrots.Insalada escorole was topped with parm and drenched with a creamy lemon dressing. Absolutely to die for Wait staff brought over the tastiest focaccia bread... peppery and warm with roasted onions on top along with a side of ricotta mixed with honey. Mouthwatering!The eggplant parm was like my grandmother's. Delicious!With everything tasting beyond wonderful, we then devoured the Garganolla! Spinach penne with a duck Ragu. A true favorite!We were way too full to indulge dessert.... but we will be back, for sure! The menu had some beautiful selections that we will have to try. Lincoln is truly one of our top favs! An evening to remember... an evening to duplicate!!",1,0,1,Lisa M.,"Manhattan, NY",85,138,579
1.0,2/20/2019,"Wow, so disappointing. Luckily the ballet more than made up for this dining experience. Everything but the wine was just eh. For the price fix it is not worth it. The Smith across the street is a much better option.Thanks for reaching out!  I think the price fix needs to be more flexible. Especially for those with food allergies or who are dieting. It's too much cost and too much food.",0,0,0,Amy S.,"Dobbs Ferry, NY",91,132,0
4.0,2/13/2019,"2019 New York Restaurant WeekWeekend LunchEnvironment was modern, bright for taking photos and day time date.Services need to be better.- ANTIPASTI -Uova in Camicia 4/5Poached egg was sooo pretty and fantastic. But potato hash was little oily for me.Zuppa di Fagioli 3/5Just soso but ok.- SECONDI -Conchiglie 4/5So Good but not as good as pasta from Ai Fiori.Merluza 5/5Best among all fish dish I had during Restaurant Week.Bread was oily for me. But the snacks were amazing!",0,0,0,Xxlufanxx W.,"Manhattan, New York, NY",0,1,10
5.0,2/6/2019,"Ambulance, service and menu is exceptional! I was here for private event and was truly impressed. If you are at Lincoln Center for movie or concert book a dinner at Lincoln Ristorante and you won't regret. There is a bar in the back that you can have a drink and appetizers. Focaccia is testy. Wine selection is great and you can pair it well with the menu. Staff is very knowledgeable and attentive. I will definitely come back or book an event.",4,2,3,Meline V.,"New York, NY",632,287,610
5.0,1/31/2019,"One of my two favorite UWS restaurants. The food is always outstanding and the service super professional and knowledgeable, it's lovely to look out over Lincoln Center in the main dining room (make sure to eat there instead of off to the side). So as great as the food and service is, the real reason to go is the cocktails! The best Manhattan ever!",0,0,0,Judi D.,"New York, NY",2,19,8
1.0,1/28/2019,"This is (or I should say used to be) one of my favorite restaurants in the city.  The location and views of Lincoln center are amazing, decor and architecture are unique, Sevice always impeccable, and good was amazing.  I don't know what happened to the food, but I was there recently and it was a huge disappointment.  I recall the menu being French (can't recall for sure), and now it is Italian.   Irrespective, I feel like the quality of the cuisine has taken several steps back.  We were a group of three who tried this restaurant previously and we all came out with the same impression.  Bring back the old magic!",1,0,0,O C.,"Manhattan, NY",0,15,0
