rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,"TLDR: Food was mediocre. Found something that looked like plastic in my food. Waiter brushed me off and insulted my intelligence asking whether I knew what I was talking about. Service is not warm or friendly. Place felt stuck up with price tags to match. Spend your money elsewhere. God knows there are places in NYC with much better food and service.LONG FORMCame here to celebrate gf's cousin's 40th bday. I've been meaning to try this place and Daniel for a while so glad I finally got the chance to come. Our experience however, was below average.BIG BANG and VIEUX CARRE - We started with some cocktails which were inventive enough. I had the Big Bang which has a unique sesame note and was very smoky from the chicory. The vieux carre could have been a little better balanced. It was too spirit forward. They need a better mixologist.HAMACHI TARTARE - I started with the hamachi tartare which was very refreshing and had a great crunchy texture to break up the monotony of tartare. THE DUCK - For my entree I had the duck which was cooked to perfection. However, the seasoning on the duck was quite uneven. Parts of the duck had no seasoning while other parts tasted like the Dead Sea. The entree also came with these fried potato balls decorated with a marcona almond. These were especially dry and were not pleasant to eat. I did eat them anyway because I was hungry from the tiny portions but I have to say they were not good.BANANE - we brought a cake since it was our friend's bday but I also ordered the banane because it looked so interesting. I wasn't sure what this was. It came with a quarter of a caramelized banana (Really? You can't afford a whole banana for a $16 dessert?) and then there was a few batons of cakes stacked together and a scoop of molasses ice cream. It wasn't bad but it wasn't great either.SERVICE - Our server was ok. Very professional but not that warm or friendly. The entire place felt somewhat stuck up. My biggest issue with this place was that I found an unknown piece of material in my gf's lamb dish. It was thin and irregularly shaped and had the consistency of plastic or wax. I showed our waiter and later a man in a suit came by (didn't introduce himself) and I was told that it was cartilage from my duck. I looked skeptical and he then asked me if I had ever butchered a duck before. (It looked nothing like cartilage and you do NOT talk down to a customer.) It was then that I told him that I  actually found it in the lamb dish my gf had and his response was ""That's interesting."" And then walked away and never acknowledged me again for the rest of the night.It was a bday celebration so I didn't want to make a fuss but this is absolutely subpar service for what is suppose to be a fine dining restaurant.PRICE - With drinks, food, and a couple desserts and coffee, we spent $160 per person. Certainly not a cheap night out.If this is the level of food and service to be expected of Daniel Boulud's restaurants, then I count myself lucky to have only had to suffer this one in the 8 years I've lived in this city. The only thing keeping this from one star was the fact that we were allowed to bring a birthday cake.",3,0,1,Peter K.,"Manhattan, NY",470,686,86
3.0,4/27/2019,"I found Cafe Boulud to be resting on its laurels and only capable of occasional jolts of excellence. The unevenness of execution was my main impression when I had a quick lunch here. I started with a wonderfully bold and delicious turnip veloute and it was immediate followed by a painfully bland and un-textured beef bourguignon, substandard in any restaurant let alone a michelin starred one. The disparity in quality was hugely disappointing.",0,0,0,Zhewei J.,"Queens, Queens, NY",0,13,107
1.0,4/25/2019,Too salty.. I couldn't even finished a half of my dish.It was the first experience that I thought the reviews are not real. But the atmosphere was nice though.,0,0,0,Nam B.,"Flushing, NY",116,1,0
5.0,4/23/2019,Great French restaurant. Staff is very friendly and attentive. Amazing food. Love the atmosphere. Always 5-star experience. Thank you,0,0,0,Aron W.,"Manhattan, New York, NY",0,8,0
2.0,4/11/2019,Had breakfast  there/. Bad service and food overpriced. Nothing special. You are better off somewhere else less pretentious. Same goes for the hotel.,0,0,0,Michele O.,"Los Angeles, CA",0,19,0
3.0,4/8/2019,"Went here for my birthday brunch .The place itself is pretty and old school French . The bread was absolutely delicious. We got a basket of the viennoiseries and let me tell you about those amazing croissants! So flakey and perfect ! It didn't come w a danish though . The oysters were AMAZING get these regardless of whatever else you get.The lamb navarin was probably the best thing on the menu to get . And the presentation was so beautiful too . I got the steak and eggs which was also pretty delicious . The dressing on the side salads on all our meals were amazing. Finally , I wish we had gotten pancakes or French toast as dessert because their dessert cart was mediocre at best . I really really wanted to love this place . But it was a little underwhelming. The host was really nice and the check in process was well done . And I know I'm  being overly picky but only bcoz this was a pricey meal 1. The guy hardly refilled my water , it was really annoying actually. 2. So after we got individual dessert from the cart , they brought out my complimentary dessert which was one of the only ones we didn't pick like why not ask someone from my party which dessert to pick or just comp one of the desserts we already picked . Made zero sense . It was a pretty crappy dessert to . Rather would not have had it .3. The cappuccino was mediocre at best and I think it's priced at $8 or somethingProbably will come back for dinner and I'm sure that'll get a 5 star review",0,0,0,Sabah S.,"Brooklyn, NY",1,47,116
1.0,4/7/2019,Been here before for dinnerAmazingBreakfastPainfulService non existentWait from time to order to food coming outOver 45 minutes and that was only half the orderSecond half 10 minutes later 3 out of 4 orders came out wrong Cream for coffee curdsWorst partTold what appeared to be manager and he could care less And to add insult to injuryParty of 4 and they charge a service charge of 20%No wonder service sucks!Every table around us was having issuesStay away for breakfast!!!,1,0,0,Em V.,"San Diego, CA",0,15,1
5.0,3/24/2019,I have only been here for brunch but it is always amazing. I have tried other restaurants in the area and nothing compares. Everything on the menu is great and the dessert cart is always so unique and festive. Great service always.,0,0,0,Alex M.,"New York, NY",271,28,12
2.0,3/23/2019,"Unfortunately my experience here was underwhelming. My husband and I have dined at many Michelin Star restaurants and I'm perplexed at how this place was able to obtain one. Maybe it was an off night but the service was terrible and the kitchen was slow. It took over 15 minutes for someone to even notice us and serve us bread. Then by the time was got our entree it was at least 1015pm (we arrived at 830). The food is very well executed, but everything else fell short. The attention to detail in terms of service is just not here. Normally I wouldn't complain, but when you're spending over $400 for dinner, I expect a certain level of detail and service.",0,0,0,Nicole V.,"Atlanta, GA",160,22,0
5.0,3/21/2019,"Cafe Boulud is probably one of the best restaurants in New York. It is the first restaurant I went to during my first visit to New York. I had dinner here with my boyfriend's family - they're regulars so they knew exactly what to order. The food was excellent - seasonal (winter) menu was great! Great to eat family-style (share everything because everything from the complimentary bread to the complimentary dessert is amazing). I ended up opting for the sea bass, which was so delicious. Very fancy but perfectly very chill at the same time! I highly recommend this place!!",0,0,0,Samantha A.,"San Francisco, CA",223,42,37
5.0,3/20/2019,"My wife and I have been to Café Boulud a few times over the past 6 months or so.  The food was always excellent as was the service.  For us it needs to be a bit of a treat because we do not normally want to pay $18+ for pancakes or $9+ for a latte at breakfast.  The CAFÉ BOULUD ""CROQUE MADAME"" was a delicious plate of food, though, I must say.  Recommend, especially if you have no problem affording higher-end Manhattan restaurants.",0,0,0,Gary S.,"Lake Zurich, IL",0,4,4
3.0,3/17/2019,"Pancakes were great, Croque Madame was ordinary and missing an egg (served Croque Monsignor even thought that was not on menu) service was uninspired.",0,0,0,Mark C.,"San Clemente, CA",122,4,0
5.0,3/7/2019,This is one of the must-go restaurants in NYC! Have been visiting this place since 2014 and it never fails me. The French cousines and great wine selections make it a wonderful place to talk and to enjoy. The service is for sure best grade level.Will visit soon!,0,0,0,Helen L.,"Las Vegas, NV",2,2,3
5.0,3/7/2019,"Spectacular lunch here. Service was top notch. From the chefs compliments to the beignets at the end the food was mouthwatering from start to finish. Surrounding by wall street bankers, doctors and foodies alike, the crowd reflects the quality of the food. I love how they offer light vs. heavy (filling) entree options depending on how hungry you are for lunch. The carrot cake dessert was absolutely incredible. Bravo to the pastry chef. Will be returning. Probably my favorite prix-fix lunch in nyc!",0,0,0,Parth D.,"New York, NY",0,17,22
