rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,5/1/2019,"The views from this place are no doubt gorgeous, but it costs money just to sit, and the food is buffet style which is a major turn off for anything considered a romantic dinner. They could do much better. Had drinks and went elsewhere. 3 stars for the view.",0,0,0,Sarah M.,"Oakdale, NY",0,36,0
4.0,5/1/2019,"So we meandered up here on our first night in the city. It's only accessible from the 3rd floor of the hotel with a horribly slow elevator system. We were seated promptly with a window table. The lounge revolves around so you get a great view, hence the name, especially at night. Their cocktail napkins map out the sights. The service was pretty meh. My mom asked our server twice for a water and it never came. Her wine did though!  It had been a long day of airline travel and it was close to 11:30 pm so I settled for a delightful ginger ale with two long stemmed cherries. We hadn't seen each other in a while and we were not rushed out. We stayed an hour or so long enough to revolve once. The service might have been better had we ordered more but that's really never an excuse for poor service. Our waitress was obviously tired and worn out from the day. We'll cut her a break this time. Get some rest Denise and we will be back!",0,0,0,Jeannine M.,"Littleton, CO",0,313,539
5.0,4/22/2019,"My fiancé brought me here for my birthday and it was a dream ! The service was impeccable. The restaurant rotates around the city views. The prices are high, but worth it. The drinks are good. The food is so delicious. The staff were so friendly, always ready to help you with a picture lol. I would definitely recommend this place !",0,0,0,Shelly L.,"Jamaica, NY",2,36,24
1.0,4/21/2019,"Fellow Yelpers BEWARE!!!  I have been coming here for years, but no more!!!  I was there this past Thursday night and they wouldn't honor the $5.00 off the purchase of a second cocktail offer, which is listed here on their Yelp page!!!  The views are awesome but I was disappointed, to say the least!!!",1,0,0,David L.,"Yonkers, NY",37,15,0
2.0,4/19/2019,"Ok, yes we had to do the tourist thing and had dinner in The View. The food was fine. The wine list was ok. But service and noise level was terrible. Everybody and their brother was here tonight. We were told by the hotel it was a classy place but did not require a tie. Needless to say everything goes in The View. We saw cutoff shorts, warmup suits or whatever you wanted to wear. For an upscale location they don't enforce anything. Took us 20 minutes to get seated even though we had a reservation while people with no reservations were being called with beepers. Two hours later and were still waiting for desserts.  Buyer beware.",0,1,0,Phillip F.,"Smithfield, VA",7,37,31
5.0,4/17/2019,"Truthfully, I only wanted to dine here for the same reason almost everyone else did, the view and the rotation lmao. I must say, it was definitely a great view and rotating was a cool experience. The food was good, the service was good as well.",0,0,0,DaQuan B.,"East Bronx, NY",199,35,30
5.0,4/11/2019,I had an amazing time there. Let me say that after reading only the negative comments on Yelp instead of the good ones. I was ready for the worst experience of my life but sometimes you need to give pple a second chance and learn from your experience. I invited my wife and few of her friends there for her birthday diner. Everyone from the lobby to the top floor was polite and well mannered. The food our server recommended was good( they definitely need better food on d menu) but the pastry was top notch( something a camera lens would not be able to accurately describe.) I cannot remember the name of our server but when I do I'd let you know. With her we felt in good hands. She really put her heart into her job(she should be promoted). The view is nice as the we slowly moved in circle. I recommend it.,0,0,0,Moussey M.,"Staten Island, NY",3,15,0
5.0,4/7/2019,"This was such an awesome experience!The views from up here are simply fantastic! So pretty and we had Tracey as our waitress, she was great and very accommodating!We stayed in this restaurant from 4pm to 8pm and enjoyed some really cool well made drinks!We did not eat since we had eaten prior to going to the view.What was really cool about this restaurant is that it's on a rotating setup, in an hour you get to see all the different sides of NYC! It's simply beautiful. The place is very cozy and enjoyable.Definitely will go back there on my next NYC visit! Thank you Tracey for great hospitality!A place to remember for sure! Can't wait to go back and try it all next time.",1,0,0,Nando D.,"Las Vegas, NV",106,214,341
4.0,4/4/2019,"Nice view and good service.  It's located on 47th and 48th floor inside the Marriott Marquis hotel.  We had the three course prix-fixe and the portion is big.  New England style crab cake is very good but the Classic New York Strip steak is just ok.  We also had the Foie Gras Ganache and the Pacific Cod.  Both are good too.  All the dessert we had were very good especially the Green Apple.  Wine is very pricey.    We are party of 2 but the waiter added the 18% gratuity on the bill already, so you should pay attention to check the bill before you add the gratuity.",1,0,1,Ken C.,"New York, NY",1,31,441
5.0,4/3/2019,"I went for my birthday dinner. We did the pre-fix menu & service is included!! I would recommend the clam chowder soup it was really flavorful or the beef ravioli for appetizer. The entree, I wasn't in love with the lamb but the couscous it came with was great and the hen was dry. The lobster mac and cheese side was really creamy loved it! The truffle mashed potato was kind of cold and bland. The birthday chocolate fudge cake they give (off the pre fix menu) was amazing. I liked it better than the dessert options they had.",0,0,0,A I.,"Queens, NY",0,6,1
1.0,4/1/2019,"Mediocre food, bad atmosphere, bad service. The server added tip (for two people) without asking us although the menu clearly says tip is automatically added for 6 people or more.If you're looking to pay $200/person and eat food that will make MCDonalds look like Gordon Ramsey, be my guest. You will leave the restaurant ANGRY.",1,1,0,Tsiki N.,"L'Eixample, Barcelona, Spain",0,3,0
3.0,3/25/2019,We have a girls day out in the city at least once a month.  The last 3 times we chose the view brunch for the wonderful selection.  This past Sunday was a big disappointment.  Most of the food was cold.  Very surprising!! Unfortunately we are not going to return anytime soon,0,0,0,Daniele P.,"Monroe Township, NJ",1,12,0
1.0,3/22/2019,"Pros: The bar spins. Cons: Everything else.My wife and I brought my father-in-law here, who was visiting us from abroad, tonight. We were excited, as he'd requested us take him here as he'd gone back in 2009. We arrived and the hosts were nice. They sat us and we were greeted by a server, Mizanur (which is what it says on my receipt) about 5-7 minutes later.We ordered water, then glanced at the menu. We didn't know it was prix fixe, and there was no indication that everyone at the table had to do it, so we asked our server if one of us could do it and the rest of us order entrees. His response? ""The buffet is upstairs.""From then on out, I knew it wasn't going to be great.It took 15 minutes for him to return. We ordered a bottle of wine. He sent over a supporting staff member to serve it and pretended to be busy.In their defense, the supporting staff came over frequently to clear our plates and were quite nice. Our server was nowhere to be found a majority of the time.We finished our meal and asked for the check. When we were given it, we saw that he had ADDED GRATUITY. There was 3 of us and no reason to do that. The menu clearly stated parties of 6 or more.For what it's worth, he is an absolute moron for doing that. Not only was he inappropriate enough to add a tip to a bill he had no right to touch when his service was so bad, but he shortchanged himself. He gave himself a 15 percent tip. I would've tipped him 18%, which is the minimum I give for absurdly bad service. Jokes on you, bro.When I flagged it to the manager, she offered to remove the tip but did not apologize. I told her about his buffet comment, and she, quite inappropriately, seemed to defend him. All I can say is, don't go here... especially if you want good service without a forced tip. Not worth it, especially if they're as rude as Mizanur.",1,0,0,Suzanne D.,"New York, NY",4,21,0
3.0,3/20/2019,"I came here for my birthday and the wait was ridiculous . I had a 7:30 reservations and they made it clear I had to come earlier I got there by 7pm did not get seated until 9. The Decour and atmosphere is very beautiful but honestly paying that much money for the amount of food that I did not receive was ridiculous. Mind you i did  a prefix menu. My date and I did not even stay for dessert because we've literally had between both of us six pieces of pasta, and a lot of leafy foods and still was starving . It's a nice place to go for a look but food wise it's really not worth it. And we ordered nothing but water and the water it's self was expensive but you get what you pay for so you're really paying for the view",0,0,0,The Real S.,"West Hempstead, NY",0,2,0
5.0,3/20/2019,"nice to hang out for the manhattan views. Had few visits, never regret. Not sure about food tastes but just for views of Manhattan.",0,0,0,C R.,"Aiea, HI",0,24,0
5.0,3/16/2019,Amazing experience and service. Just is up there on price but is worth every penny! The service is amazing and the views are great!!,0,0,0,Javier C.,"San Jose, CA",0,6,8
2.0,3/13/2019,"We paid two visits to the View Lounge during our stay in NYC as we were staying at the hotel - once we stayed, enjoyed the view and a drink and tolerated the mediocre service just for the views - we had a beer and a champagne and with window seating enjoyed the views the slow revolve provided.Service was painfully slow - about 15 minutes to get served and about the same to get a tab but on the second time we could not tolerate it. We only returned as it was our last night and we wanted to show our kids that view . The waitress eventually turned up and all but threw some menus at us while she slurred that she would she would be  back - completely incoherent I have no clue what was going on other than the fact that she never did return so we saw it as a lucky escape from the rather unappealing drink list and overwhelming smell of the buffet food and took off having got out full of the city views !In a nutshell, food is buffet style and smells like it, service is slow and drinks are inspired by the early 90s. See the view then head out",3,0,1,Sam P.,"San Antonio, TX",15,227,601
