rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,"Really loved this place. The service, the food, and the decor is on point! Love that the menu and interior changes seasonally  makes the experience special every time you go! The staff is always very friendly and quick with service. Can't wait to go again.",0,0,0,Lauren W.,"Manhattan, NY",2,47,11
5.0,4/28/2019,"Absolutely incredible!! The aesthetic is just captivating the staff was so thoughtful and welcoming. We said that we were celebrating so the chef comped us a special appetizers and prosecco to celebrate! I highly, highly recommend - the food was an incredible fusion of diverse and unexpected flavor. I can't wait to come back and try their prefix dinner special.",0,0,0,Natalie S.,"Brooklyn, Brooklyn, NY",256,4,0
5.0,4/28/2019,"OUTSTANDING place for dinner with a date or a small group! The ambiance is really breathtaking, and I'm told it changes to match each season. And, as you'd expect at a nice establishment like this, the service was nothing short of phenomenal.We ate at a couple of open seats adjacent to the bar area, and the bar staff made us feel like VIPs. So attentive, great about providing suggestions from the menu, and they even offered us an amuse-bouche, compliments of the chef! They really went above and beyond to make our experience here stand out.The amuse-bouche was a mushroom/risotto/lemon zest concoction that was equal parts savory and tart, and 100% delicious. We also had the city's smallest cheeseburgers, I didn't get around to taking a photo until after we inhaled the first four because they were so good. Finally, we split a bowl of blistered shishito peppers, which were also very well prepared!The highlight of the night was the dessert -- a chocolate cube (how can you say no to that?) that's exactly what it sounds like. SO GOOD. Even without all the other amazing aspects of this meal, the cube itself was worth coming here. I'll definitely be coming back!",2,0,2,Cyrus A.,"Manhattan, NY",154,138,167
5.0,4/25/2019,5 star experience.  The decor of the place is amazing.  I brought my girlfriend here for her birthday and we received phenomenal service.  The food was extremely delicious.  Definitely a nice place to go if you wanna impress someone.,0,0,0,Elijah T.,"Brooklyn, NY",4,28,0
4.0,4/23/2019,The inside of this restaurant is gorgeous!!! The food was all delicious and the ambiance was great. I came with a group of friends for brunch and we paid for the bottomless mimosas. This was the only downside.... the servers stopped pouring Champaign after an hour and a half. They were nowhere in sight for the last half hour of the time we PAID FOR to have drinks. Disappointing.,0,0,0,Julia M.,"Frankfurt am Main Süd, Frankfurt, Germany",0,18,19
5.0,4/22/2019,"This restaurant exceeded my expectations! The food is  incredible, along with the unbelievable service. The manager Matt was beyond accommodating to my food allergy. He came to my table multiple times to explain the ingredients of each dish to ensure my allergy needs were met. I am beyond satisfied with the service and appreciate his genuine concern for my health. Besides the incredible food, the decor is absolutely breathtaking, everything was top notch. I will definitely come again!",0,0,0,Marcy B.,"Merrick, NY",36,4,0
5.0,4/22/2019,"5 star brunch spot!  There's a solid selection of food and drinks, which changes thru the year.  Recently I got the fried chicken sandwich, which did not disappoint!  It's topped with jalapeño slaw, and for anyone worried-- it's not spicy at all.  We also had the pesto kale salad and the burratta-- both were amazing.  In addition to excellent food, the service is 1st class.  The server even brought us an extra order of circle fries to share!We plan on going back the next time we are in the city!",2,0,1,Nehal G.,"Tampa, FL",17,43,90
5.0,4/18/2019,"Wow! Right off the bat this place is beautiful! The décor and menu was during the spring season, and my friend and I opted for the $32 brunch special where we got a pasty, appetizer, and entree. Beet Pesto Salad: Sooooo flavorful! The pesto was bursting with flavor, and the beets were complemented it perfectly. This came with a side of toasted baguette, and served as a perfect savory appetizer.Burrata Salad: This salad came with a side of salad with a light citrus vinegrette and strawberries. This was my favorite dish of the day! Highly recommend it if you see it on the menu! Pineapple French Toast: This was VERY sweet. It served more as a dessert than an entre. A slice of toaste was soaked in batter and ended up tasting more like a bread pudding than a French toast. On top was a caramel-tasting sauce, and all topped with grilled pineapple. Only get if you have an extreme sweet tooth!Everything crusted Branzino: Two slices of branzino, coated with almonds with pickled onions on top and a fresh cream sauce beneath. Highly recommend this dish! The onions and sauce cut any kind of overt fishy-taste, and it was just delightful!! Fried Chicken Sandwich: A solid chicken sandwich, nothing stands out. Chicken was flavorful and juicy, and was placed between two brioche-type buns with coleslaw, which was on the drier side. Definitely will seek out this restaurant when I'm back in the area. Such a great place to hang out, have any kind of get-together, and the food is always solid and delicious. Each dish had a combination of unique flavors I have never tried before, and I felt feeling....more educated in terms of my palate! amazing!",1,0,0,Julie E.,"Edmond, OK",333,43,32
5.0,4/12/2019,"Park Avenue Restaurant is one of my favorite restaurants in NYC. Great for large parties (recently held a surprise birthday lunch for my Mom) and also for more intimate gatherings. Attentive service, good energy, spacious dining room and the food is delicious. Two course prix-fixe brunch for $32 is good value for quality. My favorite dishes include the steak tartare, black sea bass, and long island duck breast. Also, remember to save space for the cinnamon monkey rolls!",0,0,0,Eric C.,"New York, NY",138,36,17
5.0,4/11/2019,"Culinary perfection meets sublime interior design.  When I say 5 stars I mean 5 solid stars. Our server, a very polished African American man, was flat out lovely.  Food is expertly prepared down to the temperatures of the salad greens etc.  We lingered over lunch for 3 hours and savored the experience. This is easily my favorite spot in NYC. We were there the day after they converted to Spring and I was blown away. The minute I set foot in the dining room my heart skipped a beat. It felt so charming and magical. In the moment I felt like a princess in a fairy tale. Absolutely amazing top to bottom.",0,0,0,Jen M.,"Chicago, IL",574,2229,24
