rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"I love Zuma for every occasion! The food is fresh every time and drinks are beautifully crafted. Although a little pricey, it is worth every penny :)",0,0,0,Nani P.,"Upper West Side, Manhattan, NY",1,5,2
4.0,4/28/2019,"Very over priced and that's why it doesn't deserve 5 stars. Nevertheless, the miso black Cod was to die for! The fish just melts in your mouth and the miso sauce goes so well with it. It is $42 for a small slab of fish but it's definitely worth it if your celebrating something special. The Chilean sea bass was disappointing and really didn't have much flavor. The sushi was ok but I think it was because i ordered a super basic roll (California roll). The Japanese sweet potato was a great side. If you pls on getting dessert here, I highly recommend the sundae with banana ice cream and toffee. It is probably the best Sundae I have ever had. It has these chewy toffee cake like bits in it and it goes perfectly with the ice cream. Again, great food but very over priced",0,0,0,Sara N.,"Philadelphia, PA",0,5,7
4.0,4/26/2019,"Fancy Japanese with authentic japanese chefs with amazing beautiful decor. Of course it's pricey. The indoor is humongous with sushi bar. There is also upstairs which seems to be a bit less formal and better for drinks. Also the restroom is on the 2nd floor. The walkway to the restroom is fantastic. Sometime they have sakura tree. It has such pretty decor, I can live in there. It's nicer than my room.Food is really good too. Sushi and rolls are all above average compared to other upscale sushi restaurants. They are served on all very pretty plates. It's not a place where you would dine everyday, but definitely worth a try. It just feels nice eating in there.",0,0,1,Jae C.,"Westwood, NJ",4,132,353
1.0,4/21/2019,The food is overcharged for its quality. There are a lot more creative and delicate Japanese restaurants with a decent price.,0,0,0,Keira C.,"Manhattan, NY",6,6,1
2.0,4/18/2019,"I'm really disappointed in my favorite restaurant. Went last weekend with 4 other couples. Spent well over $1500 on our bill. Tons of drinks, apps, entrees, huge dessert sampler. The customer service we received was unacceptable. They messed up our drink orders from the second we sat down and it went downhill from there. No one seemed to want to be bothered with us. We were given a lot of attitude from our waitress. She even slammed a drink down in front of my friend for an error that was on her part. Drinks and sushi was ordered that never even came to the table. I don't know what happened. I thought it was an off night but was reminded by my girlfriend that last time we went they forgot about her chicken dish and she received it after everyone already finished eating. Someone spoke to the manager expressing his frustration and we watched the manager say ok and then went to hang out by the sushi bar without taking any action to correct all of the things that went wrong with the dinner. I absolutely love the food and atmosphere, it's seriously a 10/10 but until they figure out their service I have to give them 2 stars. :/",0,0,0,Bianca R.,"Valhalla, NY",122,5,0
5.0,4/17/2019,"If you aren't giving five stars I have to question your sanity or your wallet. You have to go here ready to order everything preferably with a good group to share because everything is outstanding. My go-to birthday restaurant and place to take clients. Yes, it's a little pricey but the place is spotless, food amazing and service outstanding.",0,0,0,Brenda D.,"Manhattan, BOWLING GREEN, NY",0,21,5
3.0,4/12/2019,"I went here for my girlfriends birthday and it was a decent experience. The waitress didn't seem like she wanted to be bothered with us and gave me the check before I could even ask for it. I wanted to get more drinks but felt like she didn't want to deal with us at all. I ordered the Rib Eye and my girlfriend ordered some skewers. For $40+ I was shocked how mediocre the Rib Eye was. Honestly I've tasted better at chair restaurants. The food was incredibly disappointing and the price tag was insulting. After eating we went upstairs to the bar area where everyone seemed to be more accommodating and friendly. All in all it was a very mediocre place with a lovely interior decor that presents itself as a high end restaurant. However, the most important aspect of the restaurant, the food, was extremely boring and bland. I would probably never visit again as the food was that insulting.",0,0,0,Nashawn O.,"Baldwin, NY",83,22,0
5.0,4/8/2019,"Best sushi place ,great ambiance ,drinks are amazing , me and my friend had a very good time , over all food is amazing !!!!",0,0,0,Guru S.,"Queens, Queens, NY",0,1,0
2.0,4/5/2019,"Went on the Friday after Valentine's Day and I don't know if they got destroyed the night before or what. Cocktails at the bar were quite well done.Hostess came to seat us, only to arrive at unprepared table and be taken back to the bar. Once seated again, had to wait 20mins just to get drink order taken.Once our food order was taken about another 20mins later. The food came out in a strange order. Then while eating, server came by to say the kitchen was closing, we advised her our steak and calamari hadn't come out yet. She said the steak was on the way but it appeared that our calamari had been forgotten, as it magically appeared. Unfortunately, it was most definitely not worth the wait. It was extremely bland and dry. I guess at least it wasn't rubbery but I had to drink it in soy sauce to get any type of flavour out of it.The bill was about the only thing ""epic"" about this experience. Which was regrettable, as we had such high hopes based on the Vegas reviews.",0,0,0,Karl T.,"Manhattan, NY",1,10,1
5.0,4/2/2019,"My wife and I came to this restaurant for our 5th wedding anniversary and it was a great experience. She wanted ti splurge a bit and I agreed. This restaurant doesn't look like anything from the outside but the interior design is very contemporary. We didn't have a reservation so they asked if we mind dining at the sushi bar area as they were full,  we agreed. And good thing we did. The food tasted fanatistic and the presentation is on par with what you see in those fancy Top Chef TV shows. We had a great time here, the wait staff were attentive but not overly annoying, eg: bugging us if we were just sitting there having a nice conversation after we finished our food. The manager came by and checked on us as well. I do have to say that the portions are very small so do not expect to be full when ordering what you think you want/need. We knew that from the pictures on Yelp beforehand. And the restrooms are very trendy as well, definitely something to checkout.",0,0,0,J L.,"Brooklyn, NY",0,8,13
5.0,3/31/2019,"Every time i go there, I do have a great time. Food is amazing, cocktails, sake or wine are great. love puma",0,0,0,Veronika K.,"Manhattan, NY",39,33,76
5.0,3/26/2019,Beautiful restaurant with wonderfulambiance and stellar food. As a vegetarian going to an upscale sushi place is daunting but the server made sure to point out great options and even brought out a dish that was off menu. I attended a business dinner but I would highly recommend the restaurant for date night. The cocktails are wonderful and great to start at the bar upstairs and make your way to your table after.,1,0,0,Rid D.,"Manhattan, NY",454,45,87
4.0,3/26/2019,"Came here last night for dinner and can't stress how much of a positive experience I had. We were seated promptly at 8pm and were immediately greeted by our gracious host who took the entire evening to guide us through our first experience at Zuma. Our host explained the different options we had to choose from whether we were into raw or cooked dishes. He explained they have 3 separate kitchens which cater to our choices for the evening. The dishes are all served in tapas style, which make it good for sharing and indulging in the variety of culinary options offered. We started off with a tasty garlic and sweet chilli glazed edamame dish along with a fried softshell crap appetizer with wasabi mayo dressing on the side. The crab was tasty and paired wonderfully with the wasabi mayo. While I'm not a fan of wasabi, it was pleasing as the taste was not prominent and easy to ingest. We then moved on to the chicken skewers (3 orders in fact) lol - My dinner mate has a selective choice for cuisine. The cubes were all perfectly grilled and again perfect for sharing. For our main, we selected the skirt steak along with a set of 8 prawn, avocado rolls. The steak was cooked medium and tender. The roll had a slightly fishy taste at first but I quickly acclimated to the taste which was fairly enjoyable. The rice was slightly dry - something I'm not used to when I've had sushi rolls in the past. For dessert we tried the malten chocolate cake drizzled with a caramel sauce and a scoop of ice cream. The chocolate was rich and perfect for sharing. For drinks - An Old Fashion, which they make with a Japanese Whiskey infused with their personal twist. The orange slice came branded with the Zuma icon, which made for good presentation. We were seated closely to other tables which made for pleasant conversation. We made friends with a delightful couple from the UK, who told us they also have a Zuma in London - def. gotta try it! Everyone we spoke to warned us about the bathroom mission. The bathrooms are apparently located pretty far from seating so don't wait til the last minute to go. The ambiance is sexy and classy, great for a date night or special occasion with a group. I loved taking in all the architectural specs of the place and would recommend it to try at least once.",4,2,4,Elizabeth M.,"Brooklyn, NY",347,114,202
