rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/23/2019,"DO NOT GO HERE... plenty of terrific options around including The Smith, Izakaya Nomad, Kazunori, Ilili, Upland, etc.REVIEW: While the pasta was mediocre, (campanelle and gramigna are okay, tagliatelle was extremely bland), the absolutely horrendous service ruined our experience. Summary of our experience: - Waiter asked us to order on 5 different occasions within the first 10 minutes of seating (while half the table were using the restroom so had not had a chance to view the menu)- Did not bring us complimentary bread when we asked on 3 different occasions; proceeded to ask a different waiter to get bread- Paid no attention between appetizers and pastas (waited 30 minutes after finishing appetizers for pastas)- When we took all 3 of our pasta leftovers to go, he combined ALL of them into one box......",0,0,0,Andrew K.,"Manhattan, NY",0,2,0
5.0,4/20/2019,"Nice for a breakfast :) good service and nice interior design, food was delicious. There were not a lot of people for 10am which is also important to me, I like when I can here my companion.",0,0,0,Yekaterina P.,"Bronx, Bronx, NY",40,8,0
5.0,4/17/2019,The kale salad is killer here and so is the brunch!! I am a regular. I enjoy how light and airy the space feels even when the restaurant is packed.,1,0,1,Kara L.,"Mission Viejo, CA",174,6,0
4.0,4/14/2019,"Fresh food and lively bright lunch spot in the desert of Turtle Bay. Salads with proteins added is delicious, if a little pricey.",0,0,0,Sarah D.,"Brooklyn, NY",0,19,0
4.0,4/10/2019,"Awesome spot we found after going to see the magician at the Nomad. It's right across the street and was perfect for what we wanted. We had an awesome server, Jay. Gave us great recommendations and he was super funny! We got the cauliflower appetizer (yum), potatoes (not worth it), the mushroom pasta (awesome) and the Brussels sprout salad (so good and super light). We were seated at the chefs counter, which was nice.. until I realized a super sickly girl was also sitting at the chefs counter and sneezing/coughing alllll over the food. I know that sometimes can't be helped, but still ... pretty gross. She was soooooo sick it was terrible that she was sitting right in front of where the food was being prepared.",0,0,0,Moriah K.,"Brooklyn, NY",74,86,30
3.0,4/8/2019,"Cute restaurant, great for a casual bite. However, I certainly wouldn't use the word ""amazing"" to describe the food; I'd say it's a solid ""ok"".",0,0,0,Jelena S.,"New York, NY",1,79,3
3.0,4/6/2019,"Came here on a Saturday night and it was super packed, I had accidentally made a reservation for the wrong location but they seated the 2 of us within 30 mins no problem! Vibe wise, it was super loud but the setting is dimly lit and pretty romantic. I really like the interior. Service wise, they were pretty slow but the food made up for it. Food wise, we got the swordfish and the linguine. The pasta was perfectly al dente, the sword fish was alright (I don't have much to compare it to) I'd probably come back to try the place for brunch, but I think one dinner experience was enough (my boyfriend disagrees, he'd go back for dinner for the pasta)",0,0,0,Jennifer G.,"Manhattan, New York, NY",1,6,2
2.0,4/5/2019,"The restaurant is very nice and has a cool vibe to it.  We came close to closing time, but able to stay to have a quick bite.  We ordered arancini, minestrone and sides of eggplant parmesan.  The $13 minestrone was barely warm and lacked seasoning, although there were lots of vegetables.   The arancini were strangely sweet inside - not sure if they put sugar in the rice mixture, or honey?  And the eggplant parmesan was simply slices of grilled eggplant with a scattering of breadcrumbs and barely melted mozzarella. And again - just warmed, not hot!  They charged twice for a diet Coke refill.",0,0,0,Claire A.,"Central LA, Los Angeles, CA",391,34,4
5.0,4/4/2019,"Le Pecora Bianca is the gem of the NoMad area in Manhattan. The vibes inside are simply amazing. From the delightful staff to the pretty decor to impeccable food and drinks. They really know what they are doing here and you can tell with every bite. My favorite dishes are the Graminga, Farro Salad, and the Paillard. La Pecora Bianca is perfect for date night, dinners with the family, and even corporate events. Love this place!",0,0,0,Phil P.,"New York, NY",59,36,73
5.0,4/1/2019,"lovely place, delicious coffee. I particularly liked the little white mascot goat on the coasters=)",0,0,0,Anna Y.,"Somerville, MA",0,63,1
4.0,3/31/2019,"The food here is amazing. We got the Campanelle, Tagliatelle, and Prosciutto Panini. ALL of these dishes were amazing. The Prosciutto Panini was my favorite. The bread that was toasted was not too crumbly or hard; but the perfect crunch. The cheese is so soft and good as well.I would have given this place 5 stars, but we had a reservation at 1PM; but when we got there, there were no tables available for us; so we ended up taking a bar seat. The service is a bit slow, but is understandable as it is very busy. With all that being said, I would definitely come back here again!",0,0,0,Andrew T.,"Philadelphia, PA",11,35,19
5.0,3/31/2019,"The food here is delicious. I was in New York City for 4 days and ate here twice. The first night, I ate with my boss. For appetizers we had the tartare and meatballs. The tartare was fresh and had awesome flavors. The meatballs were to die for. Well seasoned. For our entree we both had the tagliatelle. The pasta is not homemade but it did not take away from the dish at all. My boss is Italian (born in Italy) and had no complaints at all (he usually does when we go somewhere with Italian cuisine). I came back Saturday afternoon for a late lunch around 3PM. It was crowded for Saturday brunch. I was able to sit at the chefs counter and get a full view into the kitchen. I ordered the Bianca negroni which was good, not at all too sweet or bitter. I asked for bread & the sauce from the meatballs to start. The waiter was a little confused but the chef complied with my request and it was DELICIOUS. Again, I had the tagliatelle because it is just that good. I do wish I tried other entrees in the menu but there is always next time. I was stuffed, so I asked for the tiramisu to go. Almost didn't happen because of the way the tiramisu is served, but I told Chef that I didn't care it looked as long as it tasted good. Got back to my hotel, had a bit of the tiramisu and slept for 7 hours straight.",0,0,0,Briana J.,"Dorchester Center, MA",0,9,8
