rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,I was delighted to find this gem on the first floor of my hotel. The service was great and the food was delicious. Their beans and rice for only $8 were to die for - reminded me of my South American friends' home cooking. Great music. Try the langosta/lobster ceviche- so good!,0,0,0,Jill M.,"Boca Raton, FL",0,18,0
4.0,4/25/2019,"Came here with a group of friends for brunch for my birthday. Pros: Food is good, everyone was happy with what they ordered.Wait staff came by at regular intervals to check if we wanted refills on the unlimited sangrias. Drinks were tasty Ambience is great for a group - a bit loud, festiveYou get a bread plate piled high with mini breads, like corn bread and sweet fried dough, when you put in your order. Yumm. Cons:If anyone in your group doesn't drink they will still have to pay for an entree which includes unlimited sangria. No alternatives - this makes sense (no one can cheat by getting a cheap dish and drinking someone else's drinks) but also means u pay regardless of how little u drink. Wait staff will come around to constantly check if you're done - they are trying to clear tables for other groups, so understandable. I thought there'd be something done for my bday since they'd been notified when the reservation was made. Nope. No bday song, no happy bday wishes, no bday dessert, no candle or anything with the one dessert my friends wound up ordering to share. Nada. I enjoyed my brunch anyway but if ur expecting special bday treatment - don't. Overall a fun brunch but would only come with people who'll actually enjoy having unlimited sangria and wouldn't come back for a special occasion/bday. I was a bit disappointed by the lack of anything special being done.",0,0,0,Genevieve R.,"Brooklyn, NY",71,24,8
3.0,4/21/2019,I can only speak on brunch.The food is okay. The drinks are watered down. The hostess was a little rude and the waiter felt away. Very limited options if you don't eat meat.I think I missed the heyday of this place.,0,0,0,Kimberly G.,"Manhattan, NY",4,86,22
4.0,4/16/2019,"Came here last night for date night. I have been here before and I wasn't completely sold on the food. Last two times I had their vaca frita entree. Last night I decided to give their ropa vieja a try. My date and I ended up getting the same Entree and we split the guacamole as a starter. The guacamole was good! The plantain chips were nicely seasoned. Our entrees were pretty great! I was pleased with this selection this time around. The meat was tender and seasoned very well. I got a glass of Riesling and my date got the pineapple mojito. Both drinks were great. For postre I ordered the flan. Unfortunately, it was pretty gross. I was not pleased as it tasted like spoiled eggs but other than that our experience was great.",0,0,0,Iman Salina A.,"Manhattan, NY",2,25,23
3.0,4/15/2019,"Prior to a recent 4-day trip to NY to celebrate my birthday, I requested some recommendations from a cousin who had lived in NY for several  years. This was one of the spots on her list. Overall, I was disappointed.The highlights were the mojitos (order a pitcher and save $), the empanada appetizer, and the churro.The lowlights were both entrees we ordered. He had the Vaca Frita al Caballo: Cuban beef with pork fried rice. I had the paella. Both dishes lacked the depth of flavor and great seasoning traditionally found in Spanish cuisine.The atmosphere was lively, and the service was decent. I would only return the the empanada appetizer and drinks.",1,0,0,Sabra W.,"Alhambra, CA",52,5,10
3.0,4/14/2019,I had such high hopes for Calle Ocho but was left disappointed. The food was okay but lacked flavour other than salt. And the sangrias that everyone raves about were mediocre at best. There are far better bottomless brunches in the city.,0,0,0,Suzanne W.,"New Orleans, LA",1,5,4
5.0,4/9/2019,"So happy I was finally able to come here! It's located in the lobby of the Excelsior hotel. The occasion was my mother's birthday and from the minute we walked in the entire staff was warm and accommodating. The decor is beautiful and all.... but let me get to the FOOD!I completely devoured those complimentary little fried yucca balls. For appetizers we had:Guacamole and plantain chips - Eh... Pretty standard. Salmon ceviche - Incredible!!!! Very fresh fish complemented by cooling lime sauce and spicy jalapeños. This was my first time eating ceviche and I loved it!  Chicharrones - Here at calle ocho, instead of the fried pork bits you may be expecting, it's actually crispy rock fried shrimp in a sweet and sour sauce with pickled onion on top and cole slaw at the bottom. It was delicious. Right off the bat you'll notice Calle Ocho blends an array of different textures and flavors that complement each other in a truly unique way. So for the main entrees we ordered the Paella, Mar y Tierra, Ropa Vieja, and the Salmon. Everyone enjoyed their dish, especially the birthday girl who ordered the beautiful paella. Not only was the presentation on point.. she had leftovers for TWO DAYS!!!! Everything in the dish had heavy flavor for the saffron rice to soak up. SO GOOD.Now I ordered the Mar y Tierra. You know what's funny? Every other review for this place complained about the steak being tough so I was super nervous about ordering it despite being a steak lover. When it came I bit into a really juicy, tender, well-flavored, perfectly charred steak. It had escabeche mushrooms (my fellow Caribbean folks may know this cooking method as escovitch), creamed spinach, and lobster mofongo. I'm not sure if the creamed spinach and mushrooms were necessary but it didn't stop the meal from tasting good. Also, let me explain something - I LIVE for mofongo. So I definitely loved the presentation in the lobster shell. However, being such a hearty eater, I would have preferred a bigger portion straight from the pilon with lobster mixed in versus stuffing a tiny bit into a lobster for the sake of presentation. So the mofongo was delicious but I just really wish there was more of it! That's literally my only critique. #moremofongoplzzzzSo for dessert the birthday girl got complimentary churros (yum!) while other people at the table got tres leches and the dark chocolate cake. But if you ask me -- the #1 dessert at Calle Ocho was the flan. I've never in my life had such perfect flan. I can't even put it into words. Sidenote: I was dancing in my seat the whole time because they play some amazing music! I heard everyone from Celia Cruz to Omega. Overall I absolutely loved this place and I'd come back in a heart beat when I'm ready for some Latin fusion food!",0,0,2,Paige M.,"Manhattan, New York, NY",3,20,21
1.0,3/30/2019,Place is extremely overpriced..  Cuban food is really inexpensive to make so I'm confused as to why this place cost so much.  To make matters worst the food doesn't even taste good... i had the worst tres leches I've ever had in my life at this place...How do you mess up a Tessa leches?  Criminal!!!,1,0,1,Eric L.,"Manhattan, NY",0,19,21
2.0,3/30/2019,Not really Cuban food. No restaurant can call it's self it Cuban without pork/lechan on the menu. The beans and rice were acceptable. My husband got the chimichurri steak that was supposed to be like churrasco but instead was regular American steak that tasted like grilled steak with just the chimichurri sauce on top. No yuca offered and the tostones came with guacamole instead of the usual oily sauce. As a South Floridan where Called Ocho actually is this place is a sad imitator. Service was good and seated quickly but food was disappointing.,0,0,0,Kathryn W.,"Fayetteville, WV",0,1,0
5.0,3/28/2019,We are here on a whim and ordered the seafood piaya. Holy crap it was amazing. We will be back again when we are in New York again,0,0,0,Tai D.,"Herriman, UT",0,10,4
