rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"I am still sitting at the bar, licking my fingers from the adult grilled cheese and creamy tomato soup...I decided to take myself out to lunch and not just spend money on five guys or a salad. No, I wanted something a little more upscale and different.  I have been wanting to try Sarabeth's for some time but haven't had the opportunity to do so, but today was a different story.I had a little time to kill before meeting a friend uptown so I waltzed over to the Park Avenue S location, grabbed a seat at the bar, and ordered.I knew I wanted to get their adult grilled cheese bc it looked so delicious, so I ordered that, and an order of calamari.The calamari was perfectly tender, crisp, and came with aioli. YUM! The grilled cheese was all I dreamt of. And it's on a pretzel bun. Double yes!I can honestly say I'll be back, solo, and order the grilled cheese and so many more things. Plus, there's a five dollar bites menu!  Come stop by and enjoy a great meal!!",0,0,0,Morgan R.,"Brooklyn, NY",187,46,72
4.0,4/24/2019,"I came here by myself for breakfast on a weekday morning to treat myself while my partner was running errands. I lived in NYC for several years but never tried Sarabeth's. It did not disappoint!I sat at the bar and the bartender was very nice. I got avocado toast that came with burrata and an egg. The presentation wasn't what I expected - one piece of toast had egg and the other had cheese, but I shouldn't complain, I like playing with my food. It was yummy!And it was light enough that I could order dessert - what I've heard to be the real reason to come to Sarabeth's. I got the raspberry bread pudding, because raspberries are my favorite food. There was a raspberry coulis, but it was topped with fresh blackberries, not raspberries. This makes sense seasonally, and was tasty anyway.If you're in NYC and you're looking to splurge on a decadent, sweet breakfast, this is the place to go.",0,0,0,Elizabeth B.,"Washington, DC",143,264,11
4.0,4/22/2019,Quick take...really enjoyed the relaxing ambiance; good food and good service. Definitely gets a return visit.,2,0,0,Ron A.,"Boca Raton, FL",25,161,861
2.0,4/19/2019,"The best place for Librarians to eat! Odd to the max. After 3 visits, I can safely say food is fine, service is hit or miss and prices are for tourists. Crowd is Librarian like.",0,0,0,Dan P.,"Manhattan, NY",0,1,0
2.0,4/18/2019,"This was a huge disappointment. I went to Sarabeth's Central Park for the first time back in 2015. The smoked salmon egg Benedict was perfect, and this is the dish she's famous for. It was so good, that I used it as a standard for egg benedict for years. I was finally visiting NYC again after all these years. We made a reservation for sunday brunch at this location, because it was the only Sarabeth's location taking reservations for that day. We arrived on time, and there was a good crowd waiting for tables. I ordered the smoked salmon egg benedict, and the poached eggs were oddly overcooked. You can tell they were sitting under food warmer for too long, both half of the yolks were solid, and the other half yolks were still running. Hollandaise sauce had a weird consistency, at least not the way I remembered.Probably won't be going back. Need to find a new egg benedict place now.",0,0,0,Meg Y.,"Mechanicsburg, PA",2,8,15
5.0,4/12/2019,"Very happy with this brunch spot! Would love to return for $1 oyster happy hour. I had the vegetable omelette and asked them to make it without cheese, as I cannot eat cheese. I had one of their house made English muffins, topped with fresh strawberry jam. Everything is made fresh here, you can taste it in every bite. My omelette contained fresh spring peas, and lovely greens. My daughter had crab spaghetti on the lunch special menu. OMG - sooo crazy good. I ate a good portion of her fresh hand made pasta full of chunks of crab. Try the mixed juice, amazing! And don't skip the mimosa. Service was attentive and friendly. Try this spot!",2,0,2,Jeanette R.,"Mercer Island, WA",123,183,65
4.0,4/10/2019,The salmon eggs Benedict and their French toast were amazing but I've had better bloody marys. I guess because I'm from Texas I am used to bloody marys to be more spicy and this one was a bit bland.,0,0,0,Melissa A.,"New Braunfels, TX",109,21,0
3.0,4/4/2019,Very nice restaurant but there is a SINGLE unisex bathroom for a restaurant that is allowed to hold a good 200 people. It's insane and maybe even illegal?,0,0,0,Manhattanite R.,"New Paltz, NY",0,6,0
5.0,3/31/2019,"Definitely make a reservation for weekend brunch. They seat you once everyone in the party arrives. Our waiter was friendly and took our orders quickly. The farmers French toast is delicious with the perfect amount of potatoes, leeks and cheese. Order the banana muffin side! The almond crusted French toast was amazing. It's the perfect amount of crunch and fluffyness!",0,0,0,Jenni S.,"East Hanover, NJ",2,24,43
4.0,3/30/2019,Very classy place to bring a date. Great bites and great Happy hour specials too!  Great service with soothing music to make any night special!,0,0,0,Kevin R.,"Manhattan, NY",1,9,14
4.0,3/29/2019,"I usually come here for brunch alone when I want to treat myself, or just have a day to myself. I like coming here on weekday mornings/early afternoons because it's slow and quiet, and I like the ambience. I've gotten the pancakes a few times and they are always really good. The coffee is meh; it's typical diner coffee which is a tad disappointing considering this place is supposed to be fancier. Service is great though. My water and coffee are always refilled consistently throughout my meal and I have been asked a few times about whether I am enjoying everything, by both managers and wait staff. I haven't ordered much of anything else on the menu so can't speak to that but I will be back the next time I feel like splurging a bit.",2,1,2,Ada C.,"New York, NY",185,139,4
5.0,3/27/2019,"This has become my favorite Sarabeth's location. It's bright and open unlike the original (which I LOVE) and not as crowded as the Central Park South location. (I haven't been to the others). It boasts the same menu as the others but the gem here is the craft cocktail bar program. The bartender, Palo, is the best I've ever had and it is apparent they care about their craft --- makes for a fabulous brunch, lunch, happy hour, or dinner! Creative and wonderful! I had the tomato soup (perfect on a cold day) with the special grilled asparagus side, which was perfection.",0,0,0,Mary C.,"Manhattan, NY",110,35,0
1.0,3/24/2019,Worst Sarabeth's service ever! Bad hospitality starting from the welcome hostess to the manager. The waiters dont listen therefore they dont bring the right orders. I've been to Sarabeths Central Park and it was way too good for comparing with this one.I can write a long review but I wont bother writing it. This branch does not deserve it.Oh just a quick mention we made a reservation for breakfast but that did not prevent the hostess to be rude.,0,0,0,Jas M.,"Edgewater, NJ",3,32,35
1.0,3/23/2019,"Food is good but grotesquely overpriced. You can get more bang for your buck just about anywhere else in the city. I wouldn't waste your money here, it's a tourist trap.",0,0,0,Frank A.,"Paris, France",14,27,2
