rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/23/2019,"Keep in mind that this review is coming from a girl on a budget. If I had money coming out of my booty hole, then I would probably give this restaurant 4 stars. Surprisingly, there was no wait for a party of 2 on a Friday night and the hostess let us seat ourselves. Ordered the salami and cheese board to start with (nothing spectacular). Many reccommend the giant meatball appetizer if you're okay with spending $29 on ONE meatball. For our entreé, my boyfriend and I opted to share the ""large"" portion of the papardelle. It was very good, but portions are definitely on the smaller side. Since we weren't hungry to begin with, it was enough food for the both of us. However, had I come on an empty stomach, we probably would've had to order our own separate dishes. Overall, good food, but expect to spend some $$$ here.",1,1,1,Krystal L.,"Manalapan Township, NJ",119,55,160
1.0,4/23/2019,This is the worst nightclub in ny .doormen and the bouncers are animals.. where do they find these stuck up assholes.. food is ok drinks suck .. where have the days of studio 54 gone ..and we were let in for free. People wait 2 hrs to get in lol. What a joke..,0,0,0,Octavio R.,"Hawthorne, NJ",59,63,0
1.0,4/19/2019,Really bad quality food. That this restaurant is a sister restaurant to Tao is not surprising. They both suck big time! The mushroom polenta was a goopy solid unappetizing blob on a plate. I struggled to finish it. The bread for the table sucked equally - such poor quality. I've had much better at a quarter of the price these jokers charge. Avoid at all costs.,0,0,0,Babu M.,"New York, NY",0,4,0
5.0,4/16/2019,"Came here with a few friends for dinner.  Everything  was fantastic.  We ordered The meatball, fish special and eggplant - all extremely well prepared and very good.  Will be back.",0,0,0,Melanie H.,"Toronto, Canada",0,86,0
5.0,4/15/2019,"The meatball alone was amazinggggggg. Having a foodgasm thinking about it right now 10/10 !!! We started with the baked clams and meatball, the baked clams are always good. I got the penne seafood alredo, the scallops were succulent and the shrimps were tasty, but the dish itself was a little salty. The meatball was so good that when my entree came I no longer had an appetite for alfredo. Alfredo 8/10 though. My homie got the spaghetti carbonara she liked it. Our doggy bags got mixed up so I ate hers the next day, and it was good. Spaghetti Carbonara 7/10. Our waitress was cool, the dj knew what to play and the vibe was great.",0,0,0,Drizzy D.,"Brooklyn, NY",1,45,113
1.0,4/14/2019,"We stood here for about 10 minutes and this establishment let in White people without asking them to commit to a minimum of $200! In fact the door men greeted those people with respect and welcomed then in. In contrast, my black friend and I were treated with suspicion and investigated. The rude door man asked for a two hundred dollar minimum to get in. Very surprising and racist because apparently they assumed black patrons wouldn't spend money here? This is very surprising because we were dressed impeccably! So in summary, this is a racist and classist establishment that demands a spending minimum from their black patrons while the white patrons are let in with respect and no questions asked! Very sad and unfortunately that an establishment in one of the most diverse cities in the world has the audacity to treat its patrons like that! Shameful and disgusting!",0,0,0,Joanita G.,"New York, NY",104,10,12
4.0,4/6/2019,"Very nice, upscale restaurant in Manhattan. I would highly recommend making a reservation. The servers are very attentive and will take their time to make sure you have a great experience. Don't come here with a budget....you will spend money, but it's worth it. The meatball appetizer is a must---make sure you share because it's more than enough",0,0,1,Danielle A.,"Chesapeake, VA",124,99,101
4.0,3/17/2019,"I really enjoyed my midday meal here. It was not very busy in the middle of the day so we almost had the place to ourselves.Of course I had to get the giant meatball. Penne a la vodka is always a solid choice. And for dessert, the fried oreos with ice cream put the meal over the top. Everything was spot on!",0,0,2,Alison K.,"Ho-Ho-Kus, NJ",109,78,484
5.0,3/16/2019,"The management is great, and has awesome customer service. I had a horrible experience with the bathroom attendant (whom is from a private company and extremely rude) but the manager made me feel very comfortable and she was incredibly understanding of my issues with the attendant, the food & drinks were great.",0,0,0,Gianna N.,"Manhattan, New York, NY",0,2,0
5.0,3/15/2019,"First dinner on this trip to NYC and while we all know Lavo is going to be fun and delicious, this meal was above and beyond because of the service. Lela was awesome! He made recommendations and explained the difference between menu items past their descriptions, even considered we were sharing and one pasta could carry us as a whole vs adding pasta to every plate.  I always the food and meal were amazing when you're stuffed and still looking at the dessert menu!  I never repeat restaurants on the same trip but am actually considering Lavo again because of how impressed I was with Leka's attention to detail and sense of humor.  10 stars out of 5!!! I feel bad for our reservation tonight, they have big shoes to fill.",0,0,0,Matthew M.,"La Mesa, CA",5,38,2
