rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"Oh my gosh! La Masseria was amazing. The food, the service, the ambiance were all top notch. My very picky grandparents loved the place as well, definitely don't think twice.",0,0,0,Denine P.,"New York, NY",574,4,0
5.0,4/20/2019,"Excellent gnocchi, clam linguini, and warm apple tart.  Great espresso. Wonderful service.",0,0,0,Chris E.,"Front Royal, VA",0,52,1
2.0,4/14/2019,"Tiny portions.  Bland food.  Overpriced (higher than their online menu prices).  It's just not worth it, but I had it after a show since it's close to the theaters.  The reviews of this place are bizarrely high online.  For what?  I don't get it.  Look at the pics.  Each entree was about $30.  Fortunately, I'm going back home to Chicago where I can get decent Italian food at normal prices. One of my grandparents was Italian, and he spent hours in the kitchen making vegetable and bread soup, among other things.  I ate food like that for the first 20 years of my life.  This is not that kind of food... among a few other NYC failures I didn't even bother to review.",0,0,0,Bryce M.,"Glencoe, IL",0,9,10
5.0,3/20/2019,"I come to the city all the time on business and every time I'm in the city I make this a destination! I have been here with friends, colleagues, family and business clients. Every single time the food is consistently excellent and the service beyond excellent. The prices are incredibly reasonable for being on Broadway and the food selection is amazing. Try the pasta with sausage short ribs and grandma's sauce it's incredible! If you're heading to a show before dinner they will move you in and out of this place in record time yet make you feel relaxed and not rushed meanwhile you get a great dinner before you head to your Broadway show. It is beyond amazing!",0,0,0,Holly V.,"Albion, RI",1,11,0
5.0,3/14/2019,This is a great pre-theater dinner spot. The food is delicious! The service is wonderful and very attentive...we did not have to ask for anything as our needs were anticipated and taken care of immediately.  We had the fresh pasta special which was delicious and we were guided in our selection of a great bottle of Italian wine.  Do not miss the cheesecake - soooo good!!! True to NYC the restaurant is crowded so be prepared to be cozy with your neighbor.  Even with the crowded space it still is not too loud and easy to enjoy dinner conversation,0,0,0,SMP M.,"CORONA DL MAR, CA",0,82,27
4.0,3/10/2019,"Had a lovely post theatre meal with my wife. Amazing wine, great food. Service was wonderful.",0,0,0,Peter P.,"Madison, NJ",2,55,8
5.0,2/22/2019,"Execellent food, service and atmosphere.  Looks like a little hole in the wall from outside but inside it's a small intimate setting. Food is great best meal I've had in a long time.  Wait staff was attentive without being overbearing even the coatcheck girl and hostess were so friendly. Save room for dessert the cheesecake was to die for. Make sure you make reservations it's very c",0,0,0,Tom Y.,"Irving, TX",77,70,17
5.0,2/21/2019,"I brought my son here prior to seeing a show. We were seated pretty quickly as we had reservations. My son is a big fan of authentic Italian food, and they did not disappoint. The place was not so loud, the server was quite attentive, and the food tasted great. My son had spaghetti, and I had grilled salmon with zucchini. Creme brûlée at the end of meal was excellent. I would definitely come here again.",0,0,0,Lynn C.,"Queens, Queens, NY",0,18,16
5.0,2/14/2019,"Full disclosure.   I came here with work colleagues, and didn't foot the bill.  It couldn't have been pretty.     I can say it was amazing.  The food, the service.   All of it.     And not small portions either if that's anyone's measure.Let's talk about the Service:    Everything was just done right.    And with a large party that can be difficult.    Wine glasses were kept filled, water replenished, and I love when all the entries come out together with multiple servers.   I don't think we really had to ask for anything.Let's talk about the food:Bunch of Appetizers.  All good. For my entree, I had the special.   2 types of fish (one was snapper I believe), and 2 jumbo and I mean jumbo, prawns.    It was fantastic.     I try not to eat bowls of pasta but I did need to try their red sauce as that's my measure of an Italian place (I know, I know...red sauce is really just in the South), so I ordered a side bowl of pasta.    Excellent!  Not too sweet.  For me it was perfect.    I saw others ordering Veal Parm and they all barely had half as the entree was huge.Finished off with an amazing cappuccino.Overall a fantastic meal and experience.",0,0,0,Keith B.,"Pompano Beach, FL",155,540,3
5.0,2/12/2019,"Excellent Italian restaurant in the heart of Hell's kitchen. Elegant atmosphere with awesome service. The food was superb, from the green bean goat salad to the grandmothers sauce with 3 meats! We ate at the bar and the young man bartender was more than 5  stars! Highly recommend!",1,0,0,Christine G.,"Tampa, FL",100,14,4
