rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/26/2019,"Enjoyed dining here today after my workout. I've been here a few times in the past mostly for brunch but was excited to see a number of available lunch options on the menu and all for a whopping $12 bucks! You can't beat that deal for a well prepared meal!I decided to pick an item outside of the lunch menu options. Trying to stay on track- couldn't have a chicken burger and tasty zucchini fries after that workout lol.  So I decided to try one of the Insalate  options. Fresh arugula salad, complimented with warm roasted pears, shaved Parmesan, toasted walnuts and white basaltic vinaigrette. I decided to add grill chicken - All salads include the option to add a protein, $8 Chicken, $9 Shrimp and $12 for salmon. This was delicious!! The warmed pears were so flavorful along with the roasted walnuts which added texture. The   vinaigrette.....wrapped it up oh so nicely. Can't wait to go back!",0,0,0,Ashley W.,"Manhattan, NY",4,46,53
5.0,4/23/2019,I ordered the blueberry pancakes and short rib Benedict and literally had to stop myself my eating my fingers. I also tried the spaghetti which tasted very fresh and authentic. The food was delicious and the service was excellent. The presentation of all the food was also very well done. I do suggest making reservations for brunch since it's a pretty popular location.,1,0,0,Jessica P.,"New Orleans, LA",0,18,22
4.0,4/21/2019,The food was good however the portions are very small. In comparison the drinks were very tasty and the bartender is not shy with alchohol.,0,0,0,Liz B.,"Somerville, NJ",0,2,5
4.0,4/14/2019,I visited this location yesterday for brunch and I had a really good time. The music wasn't too loud I was able to interact with my friends without having to scream over loud music. The food was good even though I was limited on what to eat seeing that I'm still doing lent. But the blueberry pancakes with the restaurant made whip cream were so good. I also had some of the potatoes with the vinegar and rosemary which were also very good. The service was good too the host and hostess kept our coffee and water cups and mimosa glasses filled. The atmosphere was clean and we didn't have to wait along time to get seated which was a big plus for me.,0,0,0,Desmond F.,"New York, NY",6,20,75
5.0,4/7/2019,"Excellent place for drinks and delicious gourmet style food . Great happy hours, brunch and all day mimosas and bellinis !!! Oyster specials, awesome salads, spaghetti and veal meatballs yummy",0,0,0,Nicole C.,"Manhattan, New York, NY",0,10,17
5.0,4/4/2019,Always great to have a tasty Italian eatery like Lido in the area! Perfect place to sit at the bar and get some work done while having a pasta and salad lunch. Portion sizes were perfect and tasted just like my mother would make! Can't wait to come back again and take some friends :),0,0,1,Jordy L.,"Manhattan, New York, NY",252,12,1
5.0,4/3/2019,"So good. Drinks well prepared and full! (a NY thing, we learned.) Very comfortable with our two kids (13 & 9). Service friendly and remembered us when just two of us returned 3 days later. Food excellent! Owner checked in with us; met her husband and his best man.  A must-do destination in Harlem, whether we stay near or far from 116th and Frederick Douglass. Go there. Eat. Drink. Be pleased.",0,0,0,Cameron M.,"Manhattan, New York, NY",56,3,0
3.0,4/3/2019,The food was tasty but nothing surprising. I felt like I didn't have much options but the main reason for the three stars is that it felt too expensive for an ordinary Italian meal,0,0,0,Mika K.,"Manhattan, NY",0,18,0
4.0,3/30/2019,"Awesome bottomless brunch! $16 for 2 hours of unlimited mimosas is one of the best deals I've seen so far in NYC. My friend and I both got the polenta with mushrooms, truffle oil, and poached eggs. So tasty! Minus one star because there were large gaps of time in between when our server came to refill our glasses and check on us. There were quite a few times in the 2 hours when we had finished our waters/mimosas and had to wait a long time before someone came around for refills.  That being said, our food came out quickly and the restaurant was fairly busy at the time (Saturday at 1 PM) so it's understandable. Will definitely be back to try out more off the menu and get more mimosas!!",0,0,0,Lauren K.,"Manhattan, New York, NY",234,35,69
5.0,3/18/2019,"Everything was so smooth and the prices are pretty great. I had a reservation and they had my table ready for my party as soon as I walked in. Our waiter (Wesley) was very patient and so nice to our group. I had the short rib and got so full! Originally, I was going to get the French toast but it looked a little small on pictures so I'm glad I went with the short rib. P.s- you can change your egg to scramble with the short rib, Great place!",1,0,0,T S.,"Washington, DC",0,13,11
