rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"Went once for dinner, and decided to do brunch. They have traditional ""nicer"" brunch options (ie lobster eggs benedict), but we splurged for the $40 pre-fixe which was a great deal NY wise (appetizer, main, and dessert). You get way more bang for your buck here on a regular day vs other places during Restaurant Week! We did the kale salad - yummy not too sweet, roasted almonds on it / lobster salad - $7 prefixe but worth it, tagliatelle/clam spaghetti - so creamy and delicious, and nocciola/tiramisu - totally decadent. Our waiter was fantastic, explaining the dishes and his favorites/the signature dishes and the staff constantly filled our water/checked in the right amount. The crowd is more mature (it's a nicer resto), but there seem to be plenty of regulars. You can use the upstairs space for large parties/private bookings too.",1,0,0,Chrissy R.,"Manhattan, NY",0,163,208
5.0,3/29/2019,"Love this place, but why not have any non-dairy milk for lactose intolerant people?...",0,0,0,Matthew M.,"FRESH MEADOWS, NY",16,20,36
1.0,3/9/2019,"Decent food but marred by the rude host. He was very unfriendly at check in. Sorry I'm the customer not you, buddy.",0,0,0,K T.,"Manhattan, NY",13,30,37
3.0,1/22/2019,"Started out great but ended the night with disappointment. Reserved at this restaurant for my birthday because of the great ambience, reviews, and large group seating. My party and I were greeted with smiles and provided great hospitality throughout the night. We ordered 2 Appetizers,Bocconcini and Fritto Misto, 3 pasta dishes ( tagliatelle, agnolotti, and fusilli), a pesce dish, and a carne dish and a bottle of Chardonnay. The food was good, but there wasn't anything that really stood out to me, I think the one dish that I enjoyed the most was probably the fusilli, the texture was nice and chewy with abundant amount of meat. Everything was going well until the bill came out.My friends had planned a surprise cake for me since it was my birthday, but prior to that, they had called to confirm of the ""cake cutting fee"" and were told "" there is a $12 fee"", not per person but just straight up $12 fee. When we got the bill, we were charged $96 ( $12 pp),when we asked the waiter, he said he'd talk to his manager about why we were charged $12 per person. We were given the answer that it was a set price and there was nothing else they could do about it and to add onto that, he told us ""We have our own desserts made in house so you guys can order with us instead of having an outside dessert brought in"". That's not what you tell a customer that is inquiring about misleading information given to a customer over the phone. If we were first informed of the actual charge, we would have kindly ordered dessert from in house, that's not a problem, the problem is the attitude we were given when we asked about the misleading info over the phone. We called to ensure about the fee beforehand.My significant other and a friend of mine wrote about this experience on Yelp as well and Christina, General Manager, reached out to them for a full refund of the fee due to the misleading information we received just to find out that not only were we overcharged for the cake cutting fee, but turns out that there's a $60 flat fee for parties over 5 or more, so not only were we really overcharged, but we were given an attitude for misleading information twice by the waiter, would have been nice if the waiter introduced himself with his name as well. Thank you to Christina for reaching out and resolving this issue, but due to the service my friends and I received on what was supposed to be a very special day for me, we will not be returning. 3 stars because the ambiance was great, someone reached out to us to resolve the issue and it was a special day for both my friends and I.",3,1,0,Jessica L.,"Midtown East, Manhattan, NY",235,110,168
5.0,1/21/2019,"As usual a great experience. Karina our waitress was great and Susan the sommelier was very attentive. Karina was quick but not rushed. Checked in on us but was not interruptive. The food was again on point. We both had the 4 course pre fixe, $85, which I still think is a bargain for NY. I had the carpaccio, the cocoa pasta with rabbit, the veal Milanese and chocolate tart. All were delicious. I had a bite of my husbands octopus appetizer and it was very tender with a nice char. And the filet he had for dinner was tender seasoned well and cooked perfectly. The crowd is older uptown and a lot seem to be regulars, but we were still treated well. Good job to the whole team. Make reservations!!!!",0,0,0,Anthony C.,"North Hollywood, CA",25,41,51
1.0,1/19/2019,"The restaurant is basically a cash grab for locals and tourists alike. They intentionally misinform you on prices to get you to pay more out of your pocket. We came here for a birthday party and called beforehand to ask how much it'd cost in order to get a birthday cake cut inside. The hostess informed us that it was 12$. Which made us decide on that place. After we brought our cake and asked them to cut it for us, they didn't inform us of anything different or asked any question about if we were informed of the pricing. But when we got the bill, to our surprise they charged us 12$ per person and not just 12$ that they initially told us of, which ended up being 96$ for our party of eight, just to serve a cake that wasn't even theirs. When we told the host of the situation, they told us, there's nothing they can do as it is house policy, and told us to order cake there the next time we get there. Guess what? We're not coming back. Before the cake we spent over 400$ in food alone in that place, so the price isn't a problem. It's how they handled it and ripped us off without any apologies that's a problem for us.",1,0,0,Peal D.,"Queens, Queens, NY",4,15,2
1.0,1/19/2019,"I came here with my girlfriend and her friends for her birthday dinner. The food here was great and all but unfortunately they didn't take the liberty to inform us specifically about the cake service. We were informed that the cake service was $12.00, not $12.00 per head per slice. We brought our own cake and the only thing that they did was cut the cake. We could've cut the cake ourselves if we knew, that was the policy. When we confronted them, they said ""the person who told you didn't specify and we apologize but there is nothing we can do about it"". Sadly we got charged in the end but isn't this their fault in the end? Shouldn't they be able to accommodate for their mistake? They did not even do anything or try to do anything about it. This got me upset and we are pretty sure we won't be back here.",2,0,0,Johnny H.,"Brooklyn, Brooklyn, NY",2,1,0
4.0,1/12/2019,"Great unexpected space. We ate brunch at the bar. Had great bloody Mary's and enjoyed salads, French toast and short rib hash.  Really delicious. Small but worth it. Really enjoyed pre-Met visit.",0,0,0,Bob G.,"Westfield, NJ",377,7,1
5.0,1/1/2019,"Small group, we came for New Year Eve dinner and it was amazing. Four-course set meal: choice of 4 items for each course, so good selection and certainly something for everyone. The highlight for a couple of us was the pasta with lobster - delicious! The Osso Buco was also great, and the halibut was perfectly cooked. The cost was good considering it's NYE and the food was really great. The service and staff all did a wonderful job. Would highly recommend.",0,0,0,Vanessa B.,"Byward Market - Parliament Hill, Ottawa, Canada",1,60,5
5.0,12/20/2018,"Beautiful ambiance. Beautiful pasta. Beautiful wine. Beautiful service. My agnolotti was perfect, as was my boyfriend's tagliatelle. Just spectacular! Rich flavors and romantic atmosphere. Perfect date location. Highly recommend!",1,1,2,Christine H.,"Manhattan, NY",48,142,170
1.0,12/17/2018,Overpriced to an extreme- food much too salty and service indifferent. Do not recommend at all .,0,0,0,Audrey F.,"La Jolla, San Diego, CA",0,2,0
5.0,12/12/2018,"I had to come on here and extend a nod to Ristorante Mornini for their incredible service and professionalism.I had a meeting at the Guggenheim and wanted to grab some delicious food nearby with my friend- and her four year old, spunky daughter. The upper east side has a vibe, and if you're from NY you'll know what I mean. This has the energy of a beautiful high-end restaurant and I was so pleasantly surprised to see that the beauty of this restaurant was not accompanied by any sense of ego. The hostess, and waiters we met were so genuinely accommodating, kind, and professional and made no fuss about one of my guests being a child, even at a restaurant of this caliber. I also personally have dietary restrictions and was so pleased to find that they offer both vegetarian and vegan options. Their waiter was so well trained and educated on what their options were for dietary restrictions and made me feel like a treasured guest, not a problem. The food was delightful- I got a platter of roasted veggies and my guest got salmon. They even had a children's menu- and I was just so shocked by the incredible way they accommodated the child, offering a high chair and the children's menu, anything they could to make our experience more pleasurable and enjoyable. We didn't feel rushed out, and enjoyed our meal and our time here immensely. Though next time my friend and I will prob return sans kids, I have to give credit where credits due and say that this place handled having a child as a guest with class and effortlessness that did not go unnoticed.Cheers to great service!",2,0,1,Gina F.,"Port Jefferson, NY",970,55,44
2.0,11/20/2018,"This place is overpriced and the chef uses way too much salt! Nice atmosphere and good service, but at these prices I expect quality Italian food, which this is not!",0,0,0,Tom M.,"Manhattan, New York, NY",0,2,0
4.0,11/18/2018,"If you're eating at Morini, definitely do the $12 pasta special!Every Sunday through Thursday after 8:30 PM, half their pastas, which I believe comes out to about seven options, are only $12, and that includes any add-ons that would normally be extra. Additionally, you can even make a reservation, which I suggest doing as we waited 35minutes on a Wednesday night. I would highly recommend the basil and ricotta tortellini and the clam linguine was delicious as well. I personally wouldn't order the pasta bolognese again, but I'm also not the biggest fan of ground beef. Overall, it's an amazing deal for high quality pasta.",4,0,0,Trevor M.,"Manhattan, New York, NY",6,195,300
4.0,11/17/2018,"My boyfriend and I came in on a Wednesday night to take advantage of the late night pasta special. Select pastas are only $12 after 830pm. We didnt make a reservation ahead so we had to wait 40 mins for a table so I definitely recommend making one.Once seated we were offered bread and oil which was great and we chose the spaghetti with clams in red sauce, the tagliatelle with ragu bolognese,  and the ricotta basil tortellini in a white parmesan sauce. All tasted absolutely delicious! My favorite was the tortellini and I highly recommend definitely trying this one. The spaghetti had so many clams in it, every bite had a piece. Also the red sauce tasted great and I like that the pasta wasn't swimming in it but was just nicely complemented by the sauce.  The service was great, our waiter was attentive and friendly. I liked the decor in the restaurant, definitely a nice place to have a romantic dinner.",1,0,0,Alina V.,"New York, NY",257,274,682
5.0,11/13/2018,"DONT DOUBT THE FOOD - IT IS ALWAYS HEAVENLY. But add to that the loveliest staff! - for some reason, our table always gets Robert to take care of us, He makes you feel the most welcome and just outstanding service. Also not to mention one of their Managers, James. Always lovely. You will not go wrong visiting this place even on a weeknight! This place makes UES more inviting. :I brought some friends over and these guys are the ultimate pasta fanatics: which means their standards aren't that ordinary. their reaction was astronomical haha GREAT JOB, MORINI.",0,0,0,Isa Q.,"Manhattan, New York, NY",0,2,0
3.0,11/4/2018,"I went here to check out the restaurant after hearing wonderful things about the cuisine. Except I am uneasy dining at a restaurant where I would be paying meals for $28 and up for appetizers and entrees.  The prices are ridiculous, hence the 3 stars.However I did take advantage of Morinis happy hour time where I ordered a glass of rose and buratta for a very reasonable price.  The inside decor is exquisite, especially the bar.Chances of me coming back here for dinner and not happy hour are slim.",0,0,0,Tracie G.,"Rochester, NY",107,82,5
5.0,10/22/2018,"So the first time we went to this restaurant it was for dinner and my girlfriends birthday which she put in the reservation as well as requesting not to be sat near the host stand or bathroom. There service was great, decor is nice especially the bar/lounge. The food was spectacular but they sat us near the server station where we could hear all the conversations between the servers/food runners/bussers and they forgot a candle for the dessert. I didn't think anything of it because the food and wine is so amazing. I guess she responded to an email asking about her experience and she was asked to come back by the manager. We got the four course meal where you get to choose an appetizer, a pasta, an entree and a dessert for $78 which we probably should have done the first time because it's by far the best deal, very reasonable for what you get. I ordered the yellowtail carpaccio, English pea risotto, filet mignon and chocolate fondant. I was shocked to receive a checkbook with nothing in it. Management definetely won us over, we never expected that to happen. I can't wait to bring my whole family there this winter and order the same things.",0,0,0,Sean D.,"New York, NY",261,25,4
4.0,10/7/2018,"The service and atmosphere was great loved it. The food was great but a little under salted but fresh and delicious. Recommend going, place was great.",0,0,0,Mike T.,"Brooklyn, NY",0,11,0
4.0,10/6/2018,"A gem on the UES.  All of the pastas are deliciously al dente and flavorful without being too salty.  The entrees are also very well cooked.  Most recently we had the arctic char and filetto, both of which were juicy and tender.  For brunch/dessert, the bomboloni are also a must.",1,0,0,Yvonne C.,"Manhattan, NY",76,383,987
1.0,10/4/2018,"September 15 after The Met exhibit my husband and I went for lunch around 130.We ordered a la carte rather than the pre fix menu.No seating available so,we sat at the bar which was cozy but the food was cold and the woman tending bar and waiting on us not only took the 20 cash tip we left her but had the audacity to charge our credit card an additional 20 dollars for gratuity.Are you kidding me???? Watch your money and do not pay cash at all.Huge disappointed.",0,0,0,Heather R.,"Hopewell Junction, NY",0,6,0
3.0,9/9/2018,"We have come here a few times each year since it opened and like it. They've killed the ghost that inhabited this space that killed a half dozen restaurants before it. That said, we find that one of us has to reject an appetizer half the time we come.....we eat dinner out almost every night and almost never find this. That's why I'm only giving 3 stars. Otherwise, a good neighborhood restaurant",0,0,0,Doug A.,"South Palm Beach, FL",3,135,0
5.0,8/23/2018,"The late night $12 pasta at Ristorante Morini is one of the upper east side's best kept secrets. This offer is available after 8:30 p.m. Sunday-Thursday. Do yourself a favor and check it out. Ordered:Tortelloni (usually $25 but $12 tonight)- these little pasta pockets are filled with creamy ricotta and fragrant basil. They can be served with a pomodoro sauce or my favorite, a parmigiano cream sauce. I ordered the latter. Ristorante Morini serves the tortelloni with chopped red, yellow and green cherry tomatoes and a sprinkling of Parmesan cheese. It is delicious. Tagliatelle Bolognese (usually $29 but $12 tonight)- the pasta is cooked al dente and served with a hearty meat sauce. It isn't a heavy tomato sauce, instead the meat is the star of the show. The carrots, onions and celery in the sauce had a nice crunch to them still. Budino ($13)- a smooth milk chocolate pudding topped with two little brownie bites, crunchy chocolate balls, a sweet and salty pretzel crumble, and a small scoop of ice cream. Our waiter was kind enough to let us sample the toasted marshmallow ice cream instead of the vanilla that was recommended on the menu. The budino was decadent. The service at Ristorante Morini is very good. They refill your water glass whenever it is running low and come to check on you often, however, I asked twice for some lemon for my water and it never arrived. Overall, we had a vey positive experience at Ristorante Morini.",2,1,1,Ally R.,"New York, NY",13,87,106
4.0,8/22/2018,We had dinner with friends and found everything to be on order.  The ambiance was perfect for discussion. The service was timely and not obtrusive.  The servers did bring the wrong item to our table twice and they were for diners adjacent to us.The food was quite good. I would definitely return on another trip to NYC,0,0,0,Michael M.,"Baltimore, MD",4,125,43
4.0,7/31/2018,"Ristorante Morini, while not quite as good Osteria Morini, serves incredibly high quality Italian food. The service is excellent, the food is quite good, and the decor is nice. It's fairly expensive, but if you go after 8:30 PM on a weeknight then you can get most of their pastas for only $12. My main issue with the restaurant is it's slightly too high-end and expensive for most people to visit other than on a special occasion or for a nice dinner date, and for restaurants at that price point there are better options in Manhattan. If you would like to stay on the Upper East Side, then Morini is one the best upscale restaurants, but there are plenty of others around the city that have slightly better food at the same price point.",0,0,0,Simon H.,"Manhattan, New York, NY",0,2,0
3.0,7/24/2018,"Nice Atmosphere, Good Food, Service Could Use Some TweakingWe enjoyed our lunch at Morini.  The space is very warm and inviting and everyone enjoyed their meals. The service was also professional but a bit scattered and aloof.  What I mean by that is simple things like our server was pleasant but disengaged, competent, but not attentive.  Examples, we had to ask several times for coffee, from our server and others before we actually got coffee.  Menus were placed but not described and when dessert was served, they actually forgot one dessert.  Several times, servers were seen ""hanging out""  instead of checking on customers, asking about their meals or checking on the table.  Not egregious, but just something to adjust.",0,0,0,K E.,"New York, NY",0,50,0
