rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/25/2019,Decor and food are pretty good but it's too near from the tables which are beside us. No private when you're talking at all and quite awkward that you need to sideway your body to sit inside of the table.我一直以為美國人很重視Social Distance Zone，在這家店裡頭讓人吃起飯來非常不舒服，桌子之間的距離根本接近拼桌了。不管高矮胖瘦，都要側身進去裡面的位置。通常做裡面位置的往往是女生，這時就會有非常尷尬的情況出現，因為走到窄到即便側身，女生的臀部可能都會擦碰到隔壁的桌緣。當然，我不是嫌棄隔壁桌用餐的客人，而是以一家高價位的餐廳來說，不應該出現這個問題。而且很明顯的它們為了多賺錢所以多放了桌子，不顧及顧客的用餐感受。比麥當勞還窄！,0,0,0,Blair C.,"North San Jose, San Jose, CA",0,3,6
5.0,4/23/2019,"Morimoto is FANTASTIC! My cousin and I went for her birthday celebration and had a great time. Make a reservation, as it books up. We entered through Chelsea market and all the way out the back doors - make a right and you'll find it (we strolled through Chelsea market enjoying it). The restaurant is beautiful and massive, with a gorgeous glass staircase and all white decor. The service was great, we had a great waitress who was helpful in her recommendations. The sushi was fantastic, and we really enjoyed the atmosphere. They brought out a complimentary dessert for my cousin at the end of the dinner which was a sweet touch. Can't wait to be back",0,0,0,Kealani S.,"New York, NY",2,75,18
5.0,4/21/2019,"Absolutely wonderful! Great service, great food . Classy excellent place . I'm a vegetarian and there where nice things to choose from . I had miso soup that they made vegetarian for me . A rice with veggies dish that was also very good. I'll definitely be back .",0,0,0,Michelle H.,"Wyckoff, NJ",154,113,11
5.0,4/20/2019,The food here is excellent! You can't go wrong with the sushi or Entrees! The Yuki moto cake is delicious!!,0,0,0,Gil R.,"Middlesex, NJ",33,18,4
5.0,4/20/2019,"Amazing food, came here for my 21st and was treated wonderfully by the service! Looking forward to coming back, def try the rock shrimp tempura and wagyu skewers!!",0,0,0,Mychael G.,"Hawthorne, CA",188,10,0
2.0,4/13/2019,"The sushi here is fabulous and fresh, I give much credit to the chef and his establishment, however we were a bit disappointed. The meat is very overpriced and the menu was not clear on the pricing per oz. $240 for a wagyu is outrageous!!!",0,1,0,Ashley D.,"Manhattan, NY",170,22,6
5.0,4/10/2019,"This is a very good Japanese place in Chelsea market. If you are going to splurge, then this is the place to be. Very good sake and food. What's more my party had a couple of vegetarians and they had a separate secret menu for them. Made them very happy. This place is on the expensive side but it's always crowded on the weekends so best to make a reservation before going. Once you go, you won't be disappointed.",0,0,0,Brijesh S.,"Manhattan, NY",15,24,0
4.0,4/7/2019,"Iron Chef Morimoto is my favorite iron chef so I was so excited to see this place have restaurant week! I came here on a Friday lunch and the place was full! I sat at the sushi bar where you could see the chefs work their magic and talk to them. The interactive experience was fun. My friend and I ordered the tsukune and tuna for appetizers, sushi combo and skirt steak for entree, and one dessert bento. The appetizers were decent but nothing special. The tsukune was good and filled with flavor but t don't blow me away the tuna was interesting because it tasted like meat and some parts had a rougher texture than others. The entrees were delicious though. The skirt steak was cooked beautifully and melted in your mouth. The Shishido peppers were delicious and had a bit of a kick. It didn't have a very crispy texture and just a tad soggy. The nigiri was tuna, salmon, yellow tail, squid, and shrimp. The cuts of sushi were great quality. The dessert was good as well. The biscuits paired with the ice cream well with it's super crunchy texture and explosions of salt against the sweetness. I will definitely be hack for a special occasion!",0,1,1,Jasmine C.,"Manhattan, New York, NY",9,60,29
3.0,4/6/2019,"I'm going to start off with saying the food is incredible. The cuts of fish, the roll, it was spectacular. I ordered the yellowtail roll; it had a good amount of fish and green onion, the rice was wrapped tightly. I also ordered 3 pieces of nigiri: fatty tuna; like butter, it melted in my mouth, Sakura salmon; imported from japan, tasty and had a very distinct taste, scallop; amazing, I love scallop and this was so good, didn't melt in my mouth but had a nice chew to it. My mom ordered the morimoto chirashi bowl. Our bill was 95 after taxes, my tuna was 18. I was so surprised because my roll was 10, scallop 8 and salmon 9...the bowl was 33. We got a bottle of still water and that was 9. I get it, it's listed as $$$$ so we weren't surprised, I was more surprised at the price of the tuna nigiri haha Anyways, they got 3 stars because of the service. Service in general was good, but the way the manager spoke to me really irked me and left me feeling like I didn't belong, almost like I was poor. He ""explained"" the menu to me even after I had had it for like 15 mins. I was holding it and he flipped it back to the front to literally say to me, ""this is the omakase"" and then read every course to me, flipped to the next page, read the top, etc. I've eaten many omakases and didn't appreciate the way he maybe ""tried"" to help me? We already knew what we had wanted, so I let him do his thing since every time I tried to interject or even when I said, ""I know,"" he kept going. After we finally ordered, he repeated my order to me using the Japanese terms, etc. He kept interrupting me as I was trying to order as well, I just didn't get it or appreciate it. He really set the mood for my meal in a negative light. When I saw him interact with people around us, it was very different. You could hear the shift in tones he used. Just bummed since everything else was good.",1,0,0,Wennie H.,"Junction, Seattle, WA",428,411,291
5.0,4/5/2019,"This place is excellent! The food is amazing and the management is on point. We met Vanessa tonight (one of the managers) and she is great! As a former restaurant industry worker, sometimes managers are not hands on. This place is the total opposite! I noticed Vanessa serving various guests and going out of her way to ensure everyone was satisfied. Everything is above par, and my girlfriend and I will definitely be back.*Also, the bonus here is the bathroom. The toilet is heated, and has like 8 options of what you want it to do. Apparently Japan is in the year 3000 when it comes to bathroom plumbing.",0,0,0,Chris W.,"Manhattan, NY",58,36,12
