rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/21/2019,"Aureole was an absolute treat! The service was impeccable for the minute we walked in to the minute we left. We opted for the prix fixe, three course theater menu and were amazed by the quality and exquisite preparation of every dish in each course. The wait staff was attentive without being cloying and respectful of our time schedule. Would definitely recommend dining there again!",1,0,1,Janet S.,"Deerfield, IL",0,33,0
2.0,4/4/2019,"We couldn't understand why the NY Times gave this place 1 star, before we ate here. Now I know. The food is not terrible, but if you're a foody spending over $125 per person before drinks, this is not the place for you. It's hit and miss on the dishes, and probably fine for business meetings, pre-theater or if you're out of town and don't have restaurants like this at home. However, if you're looking for one of the top 100 restaurants in NYC, this is not it.  It's an absolutely beautiful room, but this isn't the Aureole you might remember from the Upper East Side in the renovated townhouse.  The food isn't comparable and the service isn't as refined.  They really should re-work the Foie Gras appetizer, definitely a miss.",0,0,0,Jeffrey W.,"Garden City, NY",24,4,0
5.0,3/28/2019,"Beautiful midtown restaurant with a Michelin Star. I would like to start how friendly and nice are the staff, from the welcoming hostesses to the server and all. Enjoyed a fantastic dinner there on my birthday. The space is elegant and the food was delicious and well-presented. You can order a la carte or chef's tasting menu. I highly recommend checking this place out.",0,0,0,Thanya J.,"New York, NY",129,14,37
3.0,3/28/2019,"Decent for work functions but feels like you're paying premium for the location and decor. Came here with a few coworkers for a late dinner on a weekday. It was pretty empty so we were seated right away in the dining area by the window. The open wine cellar and flowers made it a very open and welcoming decor. The menu was underwhelming though. The appetizer was probably the most interesting, lobster dumplings with a very savory cream sauce. It's almost like a thin layer of bisque with a few pieces of dumplings and lobster.The goat cheese salad was really tiny. The burgers were huge, while juicy wasn't anything special. You needed the ketchup for the extra flavor. The fish with bokchoy was well grilled but again didn't have any special flavors except for the foam sauce. Overall, great service but probably more suited for work functions than personal enjoyment.",1,0,0,Jess J.,"Brooklyn, NY",255,175,417
5.0,3/20/2019,"Fabulous restaurant. We had a large group dining out, and it was a very comfortable space. Everything we ate was fabulous, I had the butternut squash soup which was freshly poured at the table. It was amazing. I also had the Beef Tenderloin with fingerling potato purée, broccolini, salsa verde. It was just amazing.",0,0,0,Stacey S.,"Waterford Township, MI",8,114,72
4.0,3/11/2019,"**Restaurant Week Review Winter 2019**I know. It's a month or so late, but in my book: better now than never! So what did I order? Out of the limited menu, I ordered the following:For appetizers, I ordered the Butternut Squash Velouté which was a soup that had toasted pumpkin seeds, aged balsamic vinegar, with a smoked Long Island duck breast. It was creamy but at the same time very flavorful. I wish there were more of the duck breast, but I can't complain. For the entrée, I got the Cabernet Sauvignon Braised Short Rib which is served with creamy polenta, brussels sprouts, espelette and I opted to add the 2g of truffles ($10). Yes, the truffles was extra, but why not? Restaurant week was the one time to do it and do it correctly. The short rib was moist and had a great flavor. There was a hint of the cab flavor, but most of the alcohol obviously cooks off. However, the short rib was great. For dessert, we ordered two of the menu dessert items the Dark Chocolate Financier and the Amaretto Carrot Cake. The chocolate financier came with marcona almond nougatine, pear-tonka bean sorbet and the carrot cake was served with maple caramel, cream cheese ice cream. I'm not a big dessert person, but with this dessert it wasn't that sweet and I enjoyed it. The dress code was a concern of mine, but if you sit out in the dining area (and not the room in the back) you'll be fine in jeans and just a collared shirt. I don't even think I had a collared shirt, and just went in there in jeans as I just trekked from LES. Anyways, the service was great...as expected, and I had a relatively late lunch thus we were one of the last ones to leave the restaurant. Overall, great experience and definitely worth it for restaurant week!",1,1,1,Bruce K.,"Lawrenceville, GA",478,864,1648
5.0,3/10/2019,"The Liberty Room bar - consistently magnificent. The best cocktails in town - fresh ingredients, the right balance of flavors and creative. The bartender has been there for some years, and he is a master!!  Food is always special and delicious and service is terrific.  My favorite burger in NY. Not cheap, but everything is absolutely worth it.",0,0,0,Carmen L.,"Jackson Heights, NY",0,1,0
4.0,3/4/2019,"The service was terrific: courteous and attentive without being over bearing. It took a bit long to get the bill at the end, especially since we had said we were going to the theater. The food was good but not spectacular. The black truffle risotto had plenty of truffles but the filet mignon was unremarkable. The broccolini seemed over-salted. The highlight of the meal was the tastes of ice cream and sorbet. They arrived in what looked like a tiny rack of billiard balls and were delicious.",1,0,0,Chris S.,"Arlington, VA",265,723,434
5.0,2/23/2019,"This is a great spot for a business lunch.Stopped by for a lunch with a client and was pleasantly surprised. The space is open and elegant, featuring an exposed stockroom of wines on the second floor. It's a fancy spot, but offers an affordable 2 course ($45) / 3 course ($53) prix fixe menu.I started with the Butternut Squash Velouté to start, chose the Scottish salmon for a main, and opted to skip on dessert. Everything was delicious... The velouté had two tender, thinly sliced strips of duck bathing in its richness. The salmon was hearty and soft in the middle and rested on a bed of perfectly cooked beans.The prices of normal dishes can be quite pricey... especially for dinner, but it's definitely worth it!",1,1,1,Nick P.,"New York, NY",505,83,197
4.0,2/23/2019,Came here for a Valentine's date. Service and wine tasting was top notch.  Food was a bit underwhelming for the price point. Overall it was a great experience.,0,0,0,Euclides R.,"Queens, NY",0,8,0
