rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"This is a great steakhouse. It is a very spacious area with lots of seating available. They have an appetizer Buffett station with a wide variety (salad, meat and cheese platters, pasta, etc). Then they have servers constantly coming around with a wide variety of meats to try. It was a great experience and very filling! Dessert was not included in the per person cost but I ordered the chocolate molten cake and it was amazing! My only compliant was the waiter did not come around too often and took too much time getting the check/paying.",0,0,0,Ashley A.,"Brooklyn, Brooklyn, NY",147,36,0
1.0,4/29/2019,"I had a dinner date with my cousin last night at the uptown location, after visiting LA branch and visiting the dallas location, I can clearly say this location is a disgrace comparing to the other, very lazy Waiters, not enough personnel, it took them almost 20min to come back to our table with new meat to offer, I had to ask for the mashed potatoes twice, without even them offer that for the first time, the waiter spilt the coke on my cousin, I asked for a new plate no one had never came back with one, so I had to get up and look for a new one all by myself, that location doesn't do justice to the chain name, I paid almost $200 for a very little while it didn't worth it! Very disappointing.",0,0,0,Adi A.,"Dallas, TX",44,7,0
5.0,4/27/2019,"Probably the safest go to Brazilian steak house. Works really well for families and young adults/teens. They site has plenty of space and they can be flexible on times, which works for ventures into the city where dinner is pared with other activities.",0,0,0,Marty V.,"Bernards, NJ",20,15,0
5.0,4/27/2019,Excellent place. The food is fantastic and the cocktails are amazing. Service is second to none. Ask for Elton! He took fabulous care of us!,0,0,0,Tod S.,"Hoboken, NJ",4,1,1
5.0,4/26/2019,#delicious #delicious #delicious omg!!! To the seasoned candy bacon!!!!!! Waiters were attentive and came by our table with different meats and they were all delicious!!! The salad bar was all fresh and beautifully presented with so many options!!!,0,0,0,michelle l.,"Brooklyn, NY",222,85,149
2.0,4/23/2019,"I am extremely disappointed with the service at Fogo de Chao. This review is NOT for the food. The food is absolutely delicious. We came here on a Tuesday evening, with a reservation from open table and I had stated that it was our anniversary.The service is SLOW. They did NOT explain the menu. We did NOT know who our waiter is. We had to flag down several different waiters so that we could obtain the sides that were already included with the all you can eat. The gentlemen that bring the different types of meats are very lovely and did their best to accommodate us. The waiters were MIA. It's pathetic that we order a bottle of wine and we have to pour the bottle ourselves. Unfortunately, I think this is the last time that we will be coming here. Our last two evenings here (Valentine's Day and this evening) were very disappointing in terms of quality of service. They waiters should be more attentive to the needs of their patrons. Again, I want to reiterate that the food is delicious and the gentlemen that bring the food around are also very nice. This was NOT busy evening. If it were, I'd excuse the poor service.",0,0,0,Hilda E.,"Jersey City, NJ",0,9,1
5.0,4/23/2019,We came in on a Tuesday after work and both bars were packed. Michael the bartender helped us secure a seat as soon as someone left and took our drink and food order right away. Elton asked about what we like and gave excellent recommendations. They both provided top tier service and I look forward to coming back regularly for some after work drinks!,0,0,0,Dora Y.,"New York, NY",342,13,14
5.0,4/23/2019,Best place ever! All the waiters are friendly and the variety of meats are just too good.,0,0,0,Pedro P.,"Downtown Jersey City, Jersey City, NJ",24,3,0
5.0,4/19/2019,"Came here during a weekday and made a reservation for 8:30PM online. They're quite busy, so make sure you reserve in advance so you're guaranteed a decent time.The place itself is big with two floors. They sat us at an excellent table and explained the menu. We did the $70 rodízio deal that came with a buffet of good appetizers and fresh fruit. The salad bar was a lot bigger than most of the rodízio spots I've visited prior and everything on there that we tried was delicious. The meats came back to back! They're a lot faster than anywhere else I've gone to. They were very generous with the portions and the meat was so well-seasoned and perfectly cooked. Unlike other reviews I've seen, the waiters with the better cuts were frequenting all the tables. I must have had filet mignon and the picanha at least 4 times. I didn't try one thing that was over cooked and they were very good about giving us meat that was cooked as requested. Highly recommended restaurant. Great for families, friends, or date night. Plus, a cool add-on was that I won a free dessert from their scratch-off promo. Didn't get to use it this time (we were stuffed) but would def use it again soon.",6,3,5,Michelle D.,"Montclair, NJ",152,286,537
5.0,4/18/2019,"Had dinner here this week and it was great! Fabulous service, delicious food, and an extensive wine list! We had very attentive and friendly servers come over to our table throughout our meal to ask if we needed anything. They kept our wine glasses full and bellies happy! Everything we tried was excellent, especially the top sirloin and garlic steak. I rarely ever have dessert when eating out but we couldn't resist! It was so good. Shoutout to Ashley who was serving us wine! I highly recommend this place and will definitely be returning.",0,0,0,Paul L.,"Staten Island, NY",0,4,0
