rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,"So I was initially excited then very nervous after reading very mixed reviews, but was pleasant surprised upon arrival. The decor was super clean and refreshing and very well lit. Given a few reviews we were nervous regarding possible racist behavior, but gladly was not confronted with said uncomfortable behavior. The hostess was pleasant and seated us immediately.Our waiter Malik was super attentive, but respectful enough to give space while me and my dinner mate got caught up; he was also very observant to note because I didn't want salt on my margarita that I might have dietary concerns for our/my food and made inquiries.The cocktails a key lime margarita and my friends Greek beer we're refreshing. And all the food all around was super delish. Quite pricey the overall menu but thankfully they have decent lunch/dinner prix-fixe menus and decent windows of service for said menus.Items had:Octopus Tunisia; Grilled sashimi quality octopusMushrooms A Freshly picked selection of organic mushrooms grilled with olive oil, lemon, sea saltGrilled Vegetable Medley Seasonal vegetables with grilled halloumi cheeseLamb Chops Colorado. Grilled American Lamb ChopsBaklava Almonds, walnuts, cinnamon, layers of phyllo baked with honey syrupKaridopita Walnut sponge cake, cinnamon, cloves, honey syrup served with vanilla ice creamMy overall initial experience was great and I plan returning, but will have to strategically plan visits due to the pricey menu, which per someone else's review is that of a Steakhouse.",0,0,0,S S.,"Bronx, NY",127,239,1804
2.0,4/26/2019,"Poor service and extremely mediocre quality for what you're paying. You're better off traveling to Astoria (or Greece if you have money to blow on Limani) for some good, authentic and most importantly, FRESH seafood. Expect all the mains to cost you $40+ when all that's done to them is a little salt and pepper before they're grilled. Appetizers and salads cost about $20+ each with the same minimal effort of preparation. Left the restaurant wondering why I spent money here when I could've done the same, but better, at home.",1,0,0,Katherine H.,"Manhattan, New York, NY",3,10,4
5.0,4/18/2019,I had a birthday lunch today and the meal the service was amazing. Highly recommend this place for business and family events.,0,0,0,Daniella D.,"San Francisco, CA",0,4,0
5.0,4/16/2019,"Delicious - the lobster, the calamari...the wine... I could go on,  but I will be hungry! Service was also exceptional.  Definite a nice spot for a special meal or to grab a cocktail on the plaza.",0,0,0,Sandra D.,"Manhattan, New York, NY",0,4,0
1.0,4/16/2019,This place SUCKS!!  Can't get people seated at lunch.  Have reservation and waiting for table for 15 minutes.  Horrible service.,1,0,0,Michael W.,"Bronx, New York, NY",0,2,0
3.0,4/13/2019,"We were looking for some good Greek food in Manhattan, which is hard to come by considering Astoria (nearby in Queens) truly has the best Greek cuisine. We decided to check this place out since it was conveniently located in Midtown. Service was great and the interior was beautiful, but if I had to sum up this place in one sentence, it'd be this: very average food for extremely exorbitant prices. The food definitely didn't taste bad at all, but our meal was also nothing special. We just felt that our money would've been much better spent elsewhere where we would also get better-tasting, more authentic Greek food.",1,0,1,Jung Y.,"New York, NY",392,35,178
5.0,4/12/2019,"Delicious food! Octopus appetizer was outstanding. Fresh fish.  But be careful with their filleting skills. My bf had a bone stuck in his throat because of it. Great baklava for dessert. Al-a-carte menu is pricey, but Prix-Fixe menu a great option.Memorable ambiance. Attentive service.Will absolutely return.",0,0,0,Joe V.,"Queens, NY",58,9,1
5.0,4/12/2019,"Wow! The restaurant is right in Rockefeller Center- great location in midtown. It's a beautiful restaurant- LOVE the water art in the middle. We didn't go to the bar but it too was lovely. The Prix Fixe menu was amazing! The Lobster, Lamb chops and Bream were all fantastic! We enjoyed it and highly recommend!",0,0,0,Lou M.,"Tampa, FL",5,131,33
5.0,4/6/2019,My favorite Greek Restaurant in NYC. Very upscale and clearly worth it. The interior is very nice and the food is delicious.,0,0,0,Tomeck J.,"New York, NY",0,7,9
1.0,3/31/2019,"bland food, very expensive, small portions, decent ambiance. basically, if you like the idea of going out to dinner, but don't actually care about the dinner part, this is a fine option. even the complimentary bread + olive oil was uninspiring. their ktipiti looked like it had been squeezed out of a tube or something, not a super fresh aesthetic. the fish is fine but pretty minimal, any sides will need to be ordered on top of everything else. also, egregious!: they only do this bizarre deconstructed baklava if you don't order off the prix fixe menu, and let me assure you it's not the same. but someone in my party did order pf so i got to taste their regular baklava. yup, also no good.",1,1,1,The G.,"New York, NY",2,30,0
4.0,3/27/2019,"Food was great. Grilled Bronzino with lemon caper butter - classic, clean, and light. Grilled Filet (for my non-fish eating co-diner) was tender and cooked to order. Spanakopita app was delicious and the dob of whipped tzatziki was a surprise. Setting is upscale. Only negative was the waiter/chef/expeditor guy who took my order - pretty aggressive on the up-selling. His food choices were great, but I'm not used to a car salesman approach to dinner. All in all, try it. Very nice place.",0,0,0,Nic Y.,"Mukilteo, WA",7,39,6
3.0,3/7/2019,"For a business lunch, it's passable.  Price pint is way beyond the quality of the experience, but you're paying top dollar for location.  Weather permitting, sit outside.  It's tough to talk to your guests because the din is fairly loud.  I've only had good service here.",0,0,0,Mark L.,"New York, NY",0,54,4
3.0,2/28/2019,"I went to Limani for lunch and I was disappointed with the service and food. - we were seated promptly but the tables where so close together that I had a hard time to get in despite me being only 150 pounds with medium frame (maximize revenue)- we went with lunch special which was inflated as in the past it was around $29 and now $37- the appetizers were rushed in and average in quality (went for Mediterranean mazze)- got the Mediterranean bass/loup de mar for main which came in very quickly after removing appetizer . The fish was a bit dry, tasteless and I felt it was made 20-30 mins ago and kept under a warm lamp as the plate was very warm. I suspect they make it bulk before lunch hour so they can turn around the table quickly- the walnut cake was dry I think Milos is better for the same kind of food and I would not recommend Limani!",0,0,0,S S.,"New York, NY",34,39,12
5.0,2/28/2019,Came here for Valentine's Day while visiting New York. Had the best experience. The restaurant is beautiful from the decor to the the people that work there. Even though it was a preset menu - the food was amazing. Next time I come to New York I would love to visit on a regular day and try their dishes. Would recommend this restaurant to those celebrating love.,0,0,0,Christina N.,"Hallandale Beach, FL",153,5,1
4.0,2/24/2019,"Delicious seafood, and mediterranean food.Great for a ""nicer"" meal, but gatherings and pre-post theatre.They have reasonably priced pre-fixe options too ($35 3 course lunch). No need to wait for Restaurant Week. Score!",0,0,0,Chrissy R.,"Manhattan, NY",0,163,208
1.0,2/23/2019,"As someone who has been to this restaurant many times, consider this our last. 1. The stuffed calamari is now a very small portion. Used to be 4 big pieces and now it's 3 tiny babies 2. The halibut was dry AF. Significantly overcooked.3. Rude waiter (older gentleman with glasses). When we told him the fish was bad at the end of the meal, he said ""well, you should have told me sooner."" And then did nothing to remedy the situation. Not even an apology or a piece of baklava. The funny part is we didn't see him between ordering the fish and paying the bill, so there was no way to tell him. Historically been one of my favorite restaurants but given this experience, I honestly wouldn't come back anymore.",2,0,0,Jason B.,"Old Bethpage, NY",281,2,0
1.0,2/22/2019,Crazy number of tables added on holidays. Barely enough space for the wait staff. Elbowed a couple of times when the waiter needed to serve plates to the table next to us. My date had to stand up when tables by the window needed to get to their seat,0,0,0,Jae -.,"Manhattan, NY",0,2,0
1.0,2/20/2019,"I made a yelp account just to write this review and that should speak volumes about this place. My friends made a reservation for Valentine's Day for a group of 4. We had to cancel and my friend had called to speak to a manager to see what our options were as we did consider rescheduling for another day. The cancellation policy would've charged us $420 for not coming and of course no one wants to pay that. The hostess put my friend on hold several times as she tried to get a hold of a manager and every time she'd get back on the line she'd apologize and reiterate the cancellation policy multiple times because this 'manager' would not come to the phone. Understood, a policy is a policy and we were not fighting them on it. But we called to speak to higher authority, not a hostess-no offense. Eventually a manager did come to the phone and I have never in my life heard a manager speak the way this gentleman did. He was outright rude and basically DEMANDING that we pay the fee and that nothing can be done. He didn't even let my friend get a few words in. His tone was atrocious and demeaning as we have never experienced this type of customer service. Maybe he was stressed out because it was a busy night but seriously? Not even let us speak? It was like we were being scolded for having to cancel our reservation. How do you become a manager in the restaurant business when you seem as though you have no amicable traits? It's a shame such a beautiful place like this has to be shitty because of the wrong people. We did get his name however so people reading this, please call beforehand and make sure Patrit is not working that day/night so you yourself do not have to deal with this type of person. I hope one day my friends and I change our minds about this place but as of right now, we will take a detour. Maybe when we come back, this place will be under better management.",0,0,0,Vick H.,"Manhattan, New York, NY",0,1,0
