rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"Came here to celebrate my boyfriend's birthday, and I booked through OpenTable and left a request on there to ask the restaurant to write ""Happy Birthday"" on the dessert plate. Ai Fiori called me the day before the reservation to confirm the table, and I completely forgot to check whether they got my request. But they did remember without me mentioning at the restaurant, it was an excellent touch! Food wise, it was very delicious. I got the Foie Gras, Fusilli and Cioccolato and loved every single course so much! Everything was perfect!! The sides were a pleasant surprise too! The Potato Fritters were sooo good they melt in your mouth, it's to die for!!",0,0,0,Chloe K.,"New York, NY",109,5,23
5.0,4/19/2019,"Ai Fiori provides one of the best dining experiences you are likely to have in New York, if your ideal is truly great food, served to you by incredibly nice, knowledgeable, unpretentious people, in lovely, unhurried surroundings. You come into the restaurant up a sort of ""grand staircase"" in the front of the Langham Hotel on Fifth Avenue, so the whole thing feels elegant, but somehow not intimidatingly elegant. You are greeted by some lovely people who welcome you effusively like you are an old friend, and who are dying to know if it's your first time dining with them or what, so they can orient you appropriately.You get taken to your table instantly. The restaurant is enormous with big windows looking out at Fifth Avenue and lots of space between the tables. It really feels like a space from a bygone era in terms of the proportions. Also, the quiet. There is no pounding soundtrack of pop music in the background or loud ambient noise. You can hear your dinner companions speaking, a bit of restaurant hum in the background. It's just perfect.Servers are adorable, knowledgeable and attentive but not too attentive. No one who works there seems to be just marking time while waiting to find out if their pilot is getting picked up, the way it feels in a lot of other Manhattan restaurants. Everyone seems happy to be there and engaged with what they are doing.The food is divine. We got the four course prix fixe which really should be a good value. The only problem with it is the difficulty of actually getting through a fourth course.For appetizers, we had the Insalata di Astice, a yummy lobster salad thing with various mysterious garnishes; and the Torchon, which involved a big chunk of foie gras, some homemade brioche toast and little spoonfuls of pear and quince sauces. Painfully good. Impossible to finish if you are planning to get through the rest of the meal.Next pasta, thankfully in relatively small portions. We had the spaghetti with blue crab, lemon and chilis and the Fusilli all Convivio with a pork shoulder ragu. Both again incredibly good with hard-to-pin-down flavors that you had to just experience the way you do wine in a wine tasting, letting the flavors develop in your mouth before, during and after each bite.Entrees: The Ippoglosso, which was a butter-poached halibut thing; and the veal chop, which was immense and resulted in left-overs to be brought home.We fell short as customers in two areas. One was drinking. Ai Fiori has a great wine list, but my partner is not a big drinker and I am kind of a lightweight, so we are not able to weigh in on the fabulous vintages. I did have a perfectly lovely Kir to start. Then I wanted a glass of white wine during dinner, and am not very knowledgeable about Italian wines. The sommelier came to our table, did not treat my question as the most trivial of his evening, even though I'm sure it was, and just said ""I'll bring you something to try."" He did, and it was wonderful. I drank it. Whatever it was. If you know your wines, great. If not, you could not go wrong by letting him pick them.The second was dessert. We were literally unable to put away two desserts, or even to freely sample one. We were not even going to get one, but one of our waiters suggested what he said was a very light dessert -- it was described as a basil creme on some sort of cookie, blah blah (it can be hard to follow the descriptions of the food). Anyway, it had a sort of light, slightly tart cheesecake vibe, with some scoops of yummy, indefinably flavored sorbets. Also, because it was my birthday, there was a chocolate ""card"" with ""Happy Birthday"" hand-lettered onto it. And a birthday candle. So adorable. But nobody sang. Thank you! All throughout, the meal was incredibly relaxed and unhurried. At no point did you feel like anyone wished you would hurry up and leave so they could turn your table over. It was just perfect. When the bill comes, you do not have a heart attack. The value you get at this place is great, and worth every dime.Ai Fiori just gets everything right. Go there now.",0,0,0,Jeanne-Marie C.,"Manhattan Valley, Manhattan, NY",1,17,3
3.0,4/11/2019,3.5 stars. Went for lunch in restaurant week. Risotto was average. Nice cocktail. Good overall.,0,0,0,Yilong W.,"San Francisco, CA",2,8,8
3.0,3/27/2019,"The ambiance was lovely. While the drinks were okay, the usual hotel fanfare, the food was pricey and not of the quality you would expect from a 4 Star Restaurant.",0,0,0,Yan Z.,"Manhattan, New York, NY",29,14,3
3.0,3/20/2019,"A bit surprised how this place earned a Michelin Star. The food is definitely good, but plenty of Italian restaurants in the city have food that taste better. Ambiance and staff are beyond excellent.",0,0,0,Rima P.,"New York, NY",0,20,0
2.0,3/17/2019,"In a word - disappointing. After all the hype I heard at last year's New York Wine Experience about this restaurant and the great experiences I've had at the Langham Hotel restaurant in London (Roux), my expectations were fairly high. From start to finish, the service was truly bad and impersonal. I think the whole restaurant could take a lesson or two in communication. We decided on the seven course chef's tasting menu and what was promised to be a sommelier ""reserve"" pairing, featuring ""highly allocated"" wines that were ""not available"" on the by the glass list. Then as the first wine was poured, we got told the entire menu and wine pairing was going to be from Tuscany... information that would have been good to know before we decided to do the pairing. Of the 7 wines, only two were red - a 2013 Brunello and 2015 Super Tuscan, neither from particularly famed producers. And the servings were tiny - less than half a glass, maybe 3 oz? For $195 a person, I would expect a much higher quality wine pairing - maybe something with some age on it? Particularly when we are talking Tuscany... I could have done a lot more with $400 on their wine list.There seemed to be an endless number of people working the floor, yet I still could not tell you who our waiter was? Each time a dish was served, the presentation was slightly/ incredibly different between my daughter and I. Some of the dishes were garnished completely differently. Each dish was placed down without any care for etiquette or a coherent description of what was on the plate in front of us (""Squab"")... usually very integral when you are doing a blind tasting menu and don't know what's coming. Also timing was all over the place - some dishes were rushed, others had long gaps. An overall lack of consistency. When asked about how we enjoyed the cheese dish, I honestly answered that it didn't taste like anything (was a neutral cool whip type dish with zested lemon, whole thyme sprigs, and olive oil). 10 minutes later, a new cheese dish came ""with compliments""... okay sure that was nice, but no one talked to us about this/ if we wanted another dish (we were just ready to leave).I'm rating two stars instead of one because the food wasn't inedible or even bad, just underwhelming considering the caliber of the restaurant. One highlight would be the squid ink pasta with octopus, but not amazing enough to carry the rest of the meal. When you have a Michelin star and are offering a tasting menu, one expects a meal that justifies the price tag.I got a question from the manager (I think) on my way to the bathroom and answered honestly. He offered more food... (truly the last thing I needed/ wanted). He ultimately took off one of the wine pairings, which I did not ask for. It was a nice gesture but really isn't enough to get me or my daughter to ever come back. So many other Michelin choices in New York that you won't regret spending $$$$ on.",0,0,0,Angela S.,"Energy Corridor, Houston, TX",0,1,0
5.0,3/17/2019,"Definitely one of my best dining experience. I came here the celebrate anniversary with my husband. The food, especially the lobster is awesome. The service is great, every waiter is super nice and patient. Since it's our anniversary, we got a free gelato. After the meal, I receive a present and there is a card saying ""happy anniversary"" with all members signed. Deeply touched. Definitely will recommend it to my friends and will come back!",0,0,0,ChiChi Z.,"College Park, MD",17,1,4
1.0,3/17/2019,Worst experience the waiter treated me and my guest like tourist at a cheap restaurant. Rushed service no follow up and did not follow up on diet restrictions when ordered the meal. Spent over 10k in the last year and half and would never go back again. DO NOT GO THERE BETTER OFF AT A $1 PIZZA,1,0,0,Mark H.,"Hewlett, NY",0,1,0
4.0,3/13/2019,"Stopped in here at the bar again,and the waiter was fairly new, so his description of dishes included ""it has beef"" for the hamburger was... not helpful. Some items at the bar are unique to that area, and you can still order a la carte from the main menu.No oysters this time, but we tried the amuse bouche, which was a little wafer, olive creme with a few slices of grape. Interesting, but not that tasty.The fluke crudo w/ the American caviar over olive oil, though, was fantastic. Combined with the bread basket they offered (olive, rosemary, and white), it was fantastic dipping the extra olive oil, too.The blue crab spaghetti pasta - al dente perfectly, a little spicy, and delicious (they split it in two for us to share).The white label burger was also fantastic, done medium, a la frieda prime patty, calabrian aioli, fontina chees,e pickles, and pommes dauphines to the side. The burger was juicy and very tasty. The pommes dauphines were a disappointment - would have been better with some texture like tater tots instead.The dessert menu was disinteresting to my dining partners, but we ended up trying the cioccolato, a chocolate mousse, honey bourbon crema, and honey gelato. The best part was the gelato, the rest didn't pop in my memory or taste buds at all.Overall, service was only so-so this time but the fluke, burger, and blue crab spaghetti pasta were excellent, bumping this up in my book (for the food).",5,2,4,Hank C.,"Jersey City, NJ",1732,2830,1188
2.0,3/13/2019,"Honestly... with all the Michelin star restaurants I've eaten at I would not recommend going to Ai Fiori. Came here without reservation as I was staying in the hotel and feeling a bit lazy to head out in the cold to meet friends after a full day of running around. The concierge had mentioned it wouldn't be hard to get a reservation for one, and I had been excited to try it. When I arrived the hostess promptly greeted me and upon noting that I had no res, suggested 8:15 and that I could wait at the bar. Me: ""Oh I'm just upstairs.""Her: ""That doesn't mean you get priority.""Me: ""No, I meant I'm just going to wait upstairs instead of the bar and was just going to comment on how convenient​ that is.""WOW. First interaction, super rude. Lady, I wasn't even going there but thanks for being a jerk about nothing. Ok,​ I'm going to get over this because I had been planning to check this place out for a month now during this trip to NYC and I didn't want this one person to ruin the hopes and expectations of dining here. Upon arriving back at 8:15, my table isn't ready. The hostess now feigns interest in me​ but ignores me as she anxiously tries to find coats for other guests she deems to be more important. I'm guessing these are the people leaving good reviews. 10 mins more of standing at the front desk, and wow I'm getting more annoyed. Finally,​ I'm seated and get the wine and menu. I decide to go with a pricier wine but just the smaller pour since I'm a lightweight. The waiter attending my table comes back to confirm, ""You know this is a taste right? Not a glass."" ""Yes, I know."" Wow. The punches keep coming from​ Ai Fiori. So far I haven't even gotten a drink yet, but plenty of judgment​ about my character. Once I've ordered my four-course​ pre-fix dinner + Brussel​ sprouts (because I love well done Brussel sprouts) I get a reprieve​ from the all-around​ saint that serves the bread. He explains what types he has and offers me both of the ones I'm interested in. At this point minus my bread saint, I just want to avoid talking to any more staff before I get my food. I ordered:Vellutata - lobster soup, périgord black truffles, tarragon. There's a certain way to eat this that makes it tasty, you have to get all ingredients in a soup spoon to a certain proportion. Otherwise,​ the soup part is more sour and overpowering, the lobster's sweetness really balances the sourness out. Spaghetti - blue crab, lemon, bottarga, chilies. This was ok. I know other people raved about it, but the noodles were ok, and it had green onions (maybe this was the chilies) on top that made it taste pretty pedestrian. Capriolo - pan-roasted venison chop, sweet potato, chestnut, parsnip, golden oak mushrooms. This was not bad. The venison was well cooked and flavored, and paired nicely with the vegetables. Cavoletti - roasted brussels sprouts, pancetta, honey vinaigrette. Now. Can I just say the Brussel sprouts were my favorite part of the meal? It'd be hard to have these ingredients​ go awry, but they were spot on here.Tartaletta - pineapple jam, cream cheese sabayon, meyer lemon, pineapple sorbetto. I finished with the Tartaletta. Yum. Probably my second favorite part of the meal. Overall. Meh. Could do better. Next time I won't be lazy and just go to the restaurant in the hotel, and my NYC local friend had warned me about doing this. Don't get me wrong, I still tipped 18%. Even though I believed that my primary facilitators of the night did me wrong in coloring the experience a certain way, I don't think that everyone that helped prepare my food or keep the restaurant running did anything to deserve less.",2,3,2,Jessica C.,"Cupertino, CA",698,804,333
