rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,The chicken satay SLAPPED! The crispy duck SLAPPED! The kung pow chicky SLAPPED!! And those are my exact thoughts. Everything SLAPPED,1,1,1,Amanda B.,"Queens, Queens, NY",1,6,0
5.0,4/19/2019,"tried this place out on a saturday night and was seated immediately upon entry. service was very good as well as the food, they do a very good job with american Chinese food. the only complaint i would have is the music being a bit too loud",0,0,0,Ash P.,"Garnerville, Haverstraw, NY",0,2,5
5.0,4/15/2019,"Great atmosphere, awesome drinks, and of course, great food! Awesome place to have dinner with a group of people and sample all the delicious food.",0,0,0,Alexander W.,"Peekskill, NY",0,1,0
5.0,4/7/2019,Great ambiance and great food. The staff is always professional and welcoming.   This is my go to place.,0,0,0,Sek N.,"Lincoln Park, Yonkers, NY",0,1,0
5.0,4/4/2019,"Was just there last night. Good service and good atmosphere  our waiter was amazing!!! So friendly, knowledgeable and very personable.We got the Shanghai Philippe and Philippe Passion for drinks. Entree House Mignon and  Beijing Chicken. Fortune cookie Red Velvet cake. Everything was delish! Big portions and very decent prices. Will definitely recommend and come back!",1,1,1,Yaniris G.,"Newark, NJ",0,3,0
5.0,4/3/2019,Everything was great! If you are looking for upscale Chinese food with a twist and fun ambiance this place is for you.,0,0,0,Liz F.,"New York, NY",0,3,0
3.0,4/2/2019,"The food was good the server I found to be a little condescending, which left a bad taste in my mouth. Other than that the experience overall was nice.",0,0,0,Baylen P.,"Queens, Queens, NY",181,4,2
3.0,3/27/2019,"This is defiantly over hyped. Went out to eat here for Valentines day the decor is nice, al though there was construction right outside there door.The place is SMALL, not cozy very small. My man in 6'7 and I am 5""10 so the little tables bunched together really wasn't our thing. Couldn't really have an intimate convo either because you hear everyone else conversation.The food was eh, I loved the veggie rolls. I order the curry chicken and couldn't shake the queasy feeling I got when I started eating. Wasn't the best, but Im west Indian its hard to like other cultures rendition of curry.Wouldn't look forward to coming here again its more of place for special occasion or to say you've dined there.",1,1,0,R R.,"Newark, NJ",6,44,8
4.0,3/24/2019,"Atmosphere is, as mentioned in other reviews, very trendy but upscale in a really great way. It's certainly pricey, but for some things like the Peking duck it's well worth it! Not a huge fan of duck, but I will honest it lived up to the hype - sliced to perfect, delicious sauce and green onions and cucumbers to dress it up on a warm pancake. My husband goes there a couple times a year just for the duck with ""the guys."" It's a whole duck so you definitely need to find some friends to share it with.",0,0,0,Justine L.,"Union City, NJ",134,30,25
5.0,3/17/2019,This is one of my fav restaurants. I've been coming here for over 10 years. Food is always perfect and on point. Nothing less of Michelin standards. Service is impeccable. Danny and I believe Zack is his name are always excellent and super attentive.,0,0,0,Travis L.,"Queens, NY",8,90,21
5.0,3/17/2019,"Our experience at Philippe Chow was nothing short of amazing. The cuisine is above par. I highly , highly suggest the Salt & Pepper calamari and the Peaking Duck (for two). The Chicken Lettuce Wraps and Dumplings are a great start to your dinning experience. Must try: Peaking Duck, Crispy Beef and Tofu StirFry.",2,0,0,Nicholas S.,"Westchester County, NY",55,32,34
5.0,3/14/2019,"Philippe is probably the BEST Chinese food I've ever had! I celebrated my 29th birthday here and it was a great experience, we were seated right away. The drinks were amazing, the atmosphere was beautiful & our food was brought out very fast we didn't have to wait long. And to top it off, when I ordered dessert my waiter and other people sung ""Happy Birthday"" to me. It was a great experience and I can't wait to go back!",1,0,0,Nelida M.,"Brooklyn, NY",8,21,57
4.0,3/7/2019,"They must sprinkle crack on top of those salt & pepper prawns because I'm addicted! Seasoned to perfection and so tasty. 6 shrimp for $37 is a bit of a rip off but whenever I'm in the neighborhood, I'll stop in just for the salt & pepper prawns and a cocktail. Last night I had the salt & pepper prawns, calamari, shrimp fried rice, sweet & sour chicken, duck & cilantro dumplings & dessert.",12,5,9,Tanesha J.,"Bronx, NY",718,62,378
4.0,3/7/2019,This place is amazing. The chicken satay is to die for it's a must get. On the entrée menu the Kung pow chicken is the best I've ever had by far! Everything else is really tasty too,0,0,0,Ted A.,"Newport Beach, CA",109,22,1
5.0,2/25/2019,"Been coming here for years and what I really appreciate is consistency of their food. There is definitely signature dishes that they have such as chicken satays, crispy beef, Peking duck etc. restaurant has a great vibe and cool private rooms at the basement. Highly recommend to visit",0,0,0,Simon L.,"New York, NY",6,64,13
3.0,2/23/2019,"Good food but vastly overpriced for what it is. I came in a larger group and we had the kung pao chicken, house mignon, Chilean sea bass, as well as eggplant appetizer. The food was good (especially the sea bass!) but in terms of what the cost was it was a bit ridiculous. The staff were attentive and friendly and decor was nice.",0,0,0,AC Z.,"Chicago, IL",10,25,4
