rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"We decided to risk this restaurant even after seeing the 3 1/2 star yelp rating. Anytime I go into a restaurant with low expectations, it is hard to raise them. This restaurant did exactly that. We started off with an array of fried seafood and vegetables, that was delicious. For my main course, I had scallops, they were delicious, cooked perfectly and with a divine sauce. My partner got the seared tuna, which was seasoned, and cooked, perfectly. Furthermore, my experience was only bettered by the amazing atmosphere, and the warm, attentive service. Ignore any bad review about this place: it is one of the best in town.",0,0,0,Trevor R.,"Williamsburg, VA",0,3,0
5.0,4/22/2019,"Must try Risotto with lobster. We ve been visiting after some friends recommended, and was a great experience. From appetizers tuna tartare was by far amazing, we also try fungi and spinach Ravioli that we ve been told is made on the house. Service was lovely, our runner Lefteris was super friendly and the all experience worth it. We will be back",0,0,0,Maria K.,"Queens, Queens, NY",19,2,0
2.0,4/10/2019,"We went to Cesca last week before seeing Seinfeld, so it was very convenient being close to the Beacon.  But the experience was terrible.  The place was very busy and at times, it seemed like they couldn't handle it.  The maître d' took our order and got us drinks.  But they forgot about us (many waiters walked right past us as if we weren't there). We didn't get our food until 9:10 and we had to be at the Beacon by 9:30.  The Tuna was fishy and dry, which 2 of us had.  We felt neglected and rushed.  For $65/person (without tip), I expect more.",0,0,0,Anthony L.,"Purchase, NY",113,1,0
3.0,4/7/2019,"Was extremely crowded and disorganized at the front desk. About two dozen people standing around waiting to be taken to their tables. Once seated, it seemed that the had too few waiters for the crowd and the few waiters there were hustling but it was overwhelming and the couldn't handle it. The place is NOISY and Conversation was tough. Food was good, but not great. I would deal with the noise and tough service if it was better. There are just too many better alternatives to Cesca in NYC.",0,0,0,Bill E.,"Stamford, CT",2,22,0
5.0,4/5/2019,"A lovely meal. We were seated in the back room and the noise level was low enough we could actually have a conversation. Our waiter, Luis, was amazing. He suggested a wine from New Zealand which paired very well with the salmon. He was very attentive without being obtrusive. I highly recommend Cesca.",0,0,0,Catherine I.,"Manhattan, NY",0,4,0
4.0,3/24/2019,Very yummy brunch and desserts. Very good service from wait staff. Excellent Bloody Marys! Not inexpensive for brunch but typical for NYC Upper West Side. Mangia!,1,1,1,Francoise T.,"Manhattan, NY",26,24,0
4.0,3/24/2019,Food was very good - especially the artichokes and the soup. Service a little slow and unfriendly but it was a busy Saturday evening. Great open space for an nyc restaurant and comfortable ambiance.,0,0,0,Sarah J.,"Manhattan, NY",140,38,103
5.0,3/19/2019,"Fantastic.I don't want to write anything now. I need time to relax and savor the memory of a perfectly served dinner.We were seated in the back, which was the best place for our party.We were allowed to take our time with each of the courses.Although I've tried most of the menu, I'll be back again soon.Duck. Yes.Pork chop. Yes! (My favorite)Mussels. You'll want more, but delicious.Chicken. Simple, elegant.Have anything with mushrooms.Ask about daily desserts. Sorbet is a light way to end dinner with a sweet closure, but I'd recommend the cheesecake and figs.",0,0,0,Ko M.,"Los Angeles, CA",233,30,142
1.0,3/17/2019,"Waited very very long time for our order and only served 2 of the 5 items we ordered.  The part of order that did come was very subpar.  I am giving one star because there isn't a zero star option.  I live few blocks from this restaurant and haven't been in a year.  Stopped in for brunch at 12:30pm this weekend with my husband and 4 year old son.  The restaurant was busy but not full so they seated us right away.  After ordering, we waited 20+ minutes and had a hard time finding our waiter during that time.  He never stopped to check in on us or to update us on our food.  When we did flag him down and asked about our food, he said he would go check.  Waiter came back to say they were working on food and not his fault the restaurant was busy ad kitchen was having issues.  Then we waited another 15+ minutes and didn't hear from him.  I was about to get up and leave when our food came.  However, they did NOT serve my son's main entree and 2 other side dishes we ordered.  Instead of asking for the missing dishes and waiting even longer, we just gave up on those dishes.  I was so irritated by the experience I wasn't hungry anymore anyway.  My eggs Benedict had the thinest slice of ham with very soggy (water?) english muffins that were not toasted, my salad not dressed.  They really shouldn't serve brunch if they can't get brunch dishes right.  When we got our food we asked for the check (we were running late to an appointment) and asked to speak to the manager.  The manager did not come and speak with us.  I also need to mention that the initial check included an item that was not served to us.  We had that corrected.  This neighborhood restaurant is permanently off my list.",0,0,0,Lynn J.,"Manhattan, New York, NY",0,1,0
5.0,3/12/2019,"We had dinner here for the first time today, and it was the best meal we've had on the Upper West Side in years. The food was perfect; the portions were generous;  the space is elegant; and the bartender, Lazarus, was excellent. Some of the entrees on the menu are expensive, but I assume they're worth it. We'll definitely be back.",0,0,0,James F.,"Manhattan, New York, NY",0,28,0
5.0,3/12/2019,This is my favorite Italian restaurant ever! The calamari was fantastic and the pastas I've tried so far were made to perfection! Staff is very accommodating and polite! Will continue coming for a long time,0,0,0,Despina S.,"New York, NY",7,4,0
4.0,3/5/2019,"We came with a Travelzoo voucher that included 3 courses on a limited menu and a bottle of wine for two. The warm bread had just the right chewiness, accompanied by lovely sundried tomato spread. Wished we had more bread until the large Fried Calamari, Shrimp and Zucchini appetizers came, with three jumbo prawns. The Roast Chicken and Grilled Salmon were fine, but not exceptional. The Sorbet was refreshingly not too sweet. Loved the Pannacota topped with berries. Luis, our friendly attentive waiter, exemplified the professional service.",0,0,0,Richard C.,"South Ozone Park, NY",20,27,0
2.0,3/1/2019,Used a Pulsd deal and was really excited about trying a new restaurant with what appeared to be decent reviews. Completely let down as the actual menu we were sat with was replaced with a completely different menu with different inferior menu options. Salmon was hard. Veal and beef ragout was tasteless and the replacement ice cream (instead of the homemade sorbet on the menu). It was clearly store bought. I thought the point was to attract new clientele via these deals not subject potential new customers to a inferior experience. Disappointing.,0,0,0,Karim T.,"New York, NY",102,7,4
2.0,2/18/2019,"There was a time in the not-so-distant past when Cesca was a more than reliable choice for upscale Italian.  These were the days when the food packed some punch, the restaurant had life, and the servers had personality. Those days are gone.  Our most recent dining experience at Cesca was, in a word, weird.  We were welcomed rather perfunctorily and escorted to our table along the foyer that connects the bar area to the main dining room.  Taking quick stock of our surroundings, it felt as though we had been dropped into a parade of rejects that nonetheless found a home at Cesca.  The group included a gentleman wearing workout clothes -- shorts and a t-shirt -- as if he had come directly to a Friday night dinner at Cesca from the gym, some Eurotrashy couples sporting soccer jerseys and cameras as if they had just stopped in from a tour of the Empire State Building, and, well, us.The first person to stop by our table to take drink orders seemed most unpleased to see us, or to be taking our order, which it took her several minutes to return with.  One of those cocktails - advertised on the drink list as a spicy cucumber margarita, tasted like a glass of water with a few squeezes of lime juice.  No spice, no cucumber, no tequila.  I suppose ordering a margarita at an Italian restaurant was a mistake, but why list it on the menu as one of your few featured cocktails if you don't know how to make it?  In sending the drink back for a glass of wine instead, I framed my criticism a bit more gently, but it was received poorly all the same, without any apology.At some point, mercifully, another server took over.  She was friendlier and even willing to tell us what the specials were.  After what seemed like an eternity--and after watching other tables order after us and get their food before us--our salad and octopus arrived.  I fear they fetched it out of the Hudson River it took so long.To be fair, it was fine, and the pasta dishes that followed it were decent as well.  None of it was special or close to special--hardly satisfying enough to justify the well-above-market prices they continue to charge.  At bottom, Cesca continues to make decent food, but you'd be much wiser to order it for pick-up or get it delivered, than deal with the excruciating experience of actually sitting through a meal there.  Life is too short to eat out at inhospitable places, particularly when their food isn't great.",0,0,0,Noah X.,"New York, NY",0,27,0
4.0,2/18/2019,"Truth be told, I've lived down the street from this place for well over a decade, and only came in once before for a drink..  so what brought me in?  My neighbor and I decided to break bread, and we wanted to try something new..  plus had a 20% off discount, so we figured what's to lose?We had a light dinner..  the main dining area is very cozy, feels like someone's living room..  lots of fabric so it was lively on a Friday night, without being loud.  Server was great, attentive..  and the manager made a point to say hello and even take our order.   We split a simple salad which was totally adequate, but doesn't warrant the 4*..  the bread served was fresh from the oven, and its companion tapenade was excellent.  Our mains were the mushroom truffle ravioli and the scallops with fava bean puree and mushrooms.  Both dishes were top of their class, and were just shy of $30, but given the environment, level of service, and quality..  were well worth it.  I've been in way too many ""uppity"" Italian places that just do mediocre food at this same price point and you're left feeling like there is no value.  I will return..  for lazy 'round the corner special occasions.",0,0,0,Andrew B.,"New York, NY",4,11,0
