rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/29/2019,"Had dinner on a Sunday night, the food was perfect. My husband got steak and rosemary potatoes, he said it was one of the best steaks he has ever eaten. I got braised lamb shanks and they were good as well. My cocktail was delicious and so was dessert. I'd give it 5 stars but the waiter seemed like he had better things to do than be at work. The rest of the staff was friendly.",0,0,0,Candace B.,"Wilmington, NC",83,19,4
2.0,4/28/2019,"Went there to celebrate my engagement.  Had a 8:45 reservation. Showed up 15 min early and was immediately seated.  We were seated for 10 min before the waiter or anyone came by. We ordered a bottle of wine and it was 15 min before it showed up.  At some point during that time, two pieces of bread were brought to the table.  After the wine arrived, it was an additional 15-20 min before our entree arrived.  We decided to spilt the steak (which was the only redeeming quality to the dinner).  We told the waiter when we ordered, that we were going to share and after arrival, we had to ask twice for an additional plate.  Steak was cooked perfectly, green bean side was a little underdone but tasty.",0,0,0,Eric O.,"Tolar, TX",176,1,0
5.0,4/28/2019,"Everything was great with multiple dishes that were just amazing including their mushroom wedge ( oh wow), raspberry beignets, and my god the rolls are addictive! Service was absolutely impeccable with Christopher waiting on us all night.",0,0,0,Brad H.,"Washington, CT",3,43,13
1.0,4/26/2019,"The waitress had a big attitude. I asked her for a menu and when she got it she just put it on the chair and said ""There"", she didn't even hand it to me and expected me to go all the way across the chairs to get it. When I asked her for the menu, she gave me a mean look. The thing I was mostly angry about was when we were ready to order and my friend and I asked for a specific drink (I can't remember which one) she said they were all out when i just saw people bringing out that same drink. When I called a waitress nearby to ask her if they really were all out, she said no. I was completely stunned and asked her why she said that they were all out and she ignored me and walked away, how disrespectful.  I would've put 5 stars if the waitress was at least a little bit nice. But no, she ruined the whole experience. This place needs to hire nicer waitresses.",0,0,0,Caitlyn F.,"San Francisco, CA",0,1,0
4.0,4/21/2019,"Classy, upscale dining choice in Midtown. Came here for a work lunch with my team and everyone was obsessed!Started with bread and butter which were amazing!!! The bread was so warm and fresh. Of course we all smothered butter on it because, well Butter, and it was delicious.I got the steak au poivre (peppercorn sauce steak) and it did not disappoint. Not the best I've ever had but definitely amazing!!The ambiance is so beautiful. We sat in the back in the middle underneath the glass ceiling. love!!",0,0,2,Jessica E.,"New York, NY",273,105,241
3.0,4/18/2019,"This was my second visit to Butter Midtown, both times in private party area. Drinks preparation are phenomenal and bartender does make good recommendations and even adjust cocktails based on your taste and feedback.Reason for 3 stars is mainly food. Nothing out of the ordinary or special given it's one of the celebrity chef restaurant. One of chicken sausage appetizer was rather too dry and bland, surprisingly. Definitely scope to step up.",0,0,1,Vikram G.,"Jersey City, NJ",1,55,101
2.0,4/15/2019,"I would give just one star (or no stars, but that's not possible) for the female bartender with a major attitude problem, but am adding a second because the second bartender who helped us was quite nice. We arrived around 6 PM when happy hour was still going on and had to ask the bartender for a menu - we weren't offered one. She gave us just the wine list. We had to ask again for a cocktail menu, which we were given, but it had no happy hour info on it. We tried to flag her down to ask for a happy hour menu to no avail, so we took the menus she gave us and went to the front bar instead where the nice bartender there gave us a happy hour menu. Why would she not give us all three menus to begin? She had a mean face on the entire time and completely spoiled the experience. What's the point in being in the service industry, especially in a position that relies on tips, if you're going to be so incredibly rude? No way we will be back.",0,0,0,Lizzy O.,"New York, NY",3,28,15
5.0,4/13/2019,"Being a long time fan of Chopped, going to Chef Alex's restaurant has been something in the works for a long time. Last night was a special occasion to have family together for a show in the city, so this was the trip to do it.  Been to other celebrity chef places and most times i've been disappointed.  Last night was very different.  First... Alex was there, in the kitchen cooking last night.  We were excited to eat her food, and from the first bite of bread to sharing three appetizers (the mushrooms, gnocchi mac and cheese, and the Brussels sprouts)... to our entrees, everything was delicious.   We all enjoyed the service, the layout, the drinks... background music.  Staff was very friendly.  Overall a great experience.  Didn't meet her, but my Mom briefly did.  I was just happy to eat her food and it was actually better than i even expected.  Thanks Chef Alex!",0,0,0,Jeff W.,"Edison, NJ",0,1,0
1.0,4/8/2019,"This restaurant does not know the meaning of hospitality. I have dined here on several occasions since the food is pretty tasty and menu is interesting, and I have also recommended it to friends since it is near the theatre district but not a touristy place. No more, however, since I received a voicemail today cancelling my reservation for tomorrow since there was a ""glitch in the system."" Since I felt I deserved a better explanation, I called, left my own VM since no one picked up, and did not get a call back. When I tried later, I managed to reach someone who told me the restaurant was closed for a private party but OpenTable didn't realize it. When I complained that this had happened to me before ( having my reservation cancelled due to a private party), she replied she was just doing what she was told to do by her supervisor and offered no further explanation or apology. Shame on me for letting this happen twice, both times the day before my reservation, which does not give one much time to pivot. I will not let this happen again, as I will not be returning. I warn others to do the same, unless you like having the rug pulled out from under you with no advance warning, explanation or apology.",0,1,0,Linda F.,"Montclair, NJ",0,16,0
5.0,4/3/2019,"This was really a great restaurant experience.  The food, service and ambiance gets a high rating.  Tobacco smoked pork chops, roasted peaches, the best that I've ever had and ""Jesus"" the braised escarole, bacon and shallots...quit it!  We'll be baccck!",0,0,0,Richard F.,"Sugar Land, TX",0,3,0
