rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"West Coast could use a S&W, albeit having really good steak places. This S&W location is wonderful. Food is really good, people are nice and friendly. You want great service!? Ask for Tony D. Tony is a class act, knows his wines is patient and a good person in general.",0,0,0,Paul N.,"Beverly Hills, CA",0,3,0
5.0,4/21/2019,We come here for every major family event and holiday.   We used to go to Peter luger for decades but service and food are way better here.  On top of the steak the seafood is also great. Very attentive staff and bar tenders!,0,0,0,Michael G.,"Greenwich, CT",0,3,0
5.0,4/16/2019,"What can I say, I love coming here.  The food is great, the ambience, and most of all the bartender! My husband and I came here 5 years ago when we were on our honeymoon. We stopped in Manhattan for a couple of days before going to Italy. We stayed at the Waldorf and wanted some good drinks and the hotel suggested we come here. My husband had already wanted to try it so we went.  We sat at the bar, which was full of regulars but they made you feel at home. We met Ciaran Markey and he really paid attention to detail. He made me one of the best espresso martinis I've ever had. Not a chocolate sweet drink, but a real espresso martini.  We have gone back to New York and have wanted to go back but ran out of time. This year I went for my 40th birthday and it was a must to go back. Sure we could have sat at the restaurant but we wanted to experience the bar again and were thrilled to see Ciaran again. We had some good laughs and as always the comfortable ambience was still the same, no doubt thanks to Ciaran. Can't wait to return. Ciaran is truly an asset.",0,0,0,Evelyn R.,"Fontana, CA",56,17,77
5.0,4/15/2019,"Love this place. Especially including the bartender! Excellent food, little old school feel and unlike it. Place is just great.",0,0,0,Marco M.,"Mt. Juliet, TN",0,11,0
5.0,4/14/2019,Great experience at S&W. I had the Colorado rib steak which was giant and perfectly cooked. The sides were fantastic along with desserts. The service was also excellent. The only complaint I have is that the food came out of the kitchen a bit too fast.,0,0,0,David S.,"Plainview, NY",3,22,1
5.0,4/13/2019,Tony & Jonathan aka 'Nick' we're the best. Great food and service. I highly recommend trying and visiting. Be sure to ask for Tony directly!,0,0,0,Autumn B.,"West Sayville, NY",126,4,0
4.0,4/13/2019,Staple NYC steakhouse with reasonable prices. Came in last night unexpectedly after a change in travel plans left us in the city for the night.  We were able to easily get reservations which is unusual for a Friday night.  Our waiter was attentive and recommended a fantastic bottle of wine that was very reasonably priced!  For an app I ordered the Brooklyn burrata with ugly tomato's and I think it may have been the best burrata I have EVER had.  It was a little slice of cheese heaven that melted in my mouth and left me wanting a dozen more.  For dinner I had the petite steak.  It was good but not as flavorful as I would have liked or expected.  However it was an all around great dinner,0,0,2,Lauren H.,"Los Angeles, CA",28,122,165
5.0,4/13/2019,"Ok, this is not my first rodeo. I've been here several times in the last year. Each time I come it's a different experience. All are positive. The Colorado rib eye is awesome and huge. You will take some home. Fillet is great, order the small one and add a lobster tail for 12 bucks. Hash browns, whipped potatoes and vegetables are all on point. Deserts even better. Order whatever you want with a couple of drinks and the bill will be about $100. Per person. Not bad for such quality. Service has always been great. Minor issues corrected immediately with a smile and an apology. What else can you ask for? Now you have the scoop, give it a try",0,0,0,N W.,"Orange, CT",0,20,0
1.0,4/13/2019,"Where do I begin? We usually dine at another steakhouse when in the city but since we were out for a day with our small children (2yrs and 6 months) we decided to try this place and switch up our tastes a bit. We are business owners so we know very well how this all works, I have never written a review for a restaurant because it was never necessary- This was! Let's begin with how awkward and weird and unhelpful the staff was when we walked in. Yes, I have a stroller, not two heads, help me get in. (We asked if it was ok to dine in with stroller before entering- it was early- barely anyone there) I will say they didn't take a young couple with children as serious customers. Second, we sat for a few minutes with no direction as to where a menu was, no bread on the table. We found the menu on our own in the area to the side.The waiter seemed uninterested in small talk and barely managed to take our orders or even make suggestions when we asked, be nice to children, etc. Thats beside all the other waiters that don't know how to smile but walked by with a odd glance.We ordered mac and cheese for our son and two filet mignon's, spinach, broccoli, and asparagus. When I asked if the vegetables were sautéed in garlic and oil the waiter said he could do that if we want. Ok fine. We asked for our sons food to be brought out as soon as it's ready, eating out with a toddler can get risky. Although our son is generally very well behaved.The mac and cheese came a few minutes later, frozen. The waiter didn't seem apologetic at all and lied about it being made fresh everyday but they put it in the freeZer(it's 11:30 am at this point). Still no bread(maybe thats not a thing here? Who knows?)Our food finally comes and it is - eh. The Steak is Ok, the asparagus is literally thrown on a plate, doesn't even seem like the washed it. The spinach and broccoli were ok. No steak sauce, no bread and we barely see the waiter. It seemed that he didn't take us seriously. As Julia Roberts says in Pretty Woman ""BiG mistake, HUGE."" Our sons mac and cheese comes again but now is burnt on top as if they took a flame to it and called it a day. No actual apology and guess what- we paid for that gross old mac and cheese.At this point a friend of the waiter has come and is hanging out with him by the Bar, right behind our table and in hearing distance from me. We finally ask for some bread, it took a while but it came. Our son sat there and played in his chair watching a video(so we can eat) our 6 month old slept. The waiter and his friend had the audacity to talk about marriage and children right behind us.They said something about how our culture makes women take on children's responsibilities etc but the best was one telling the other ""that kid needs to be put on a leash."" That did it for me, I got up quickly as my husband paid the check. We left and will never return. We have heard of Smith and Wollensky but were extremely underwhelmed. A name won't keep people coming, good service will. Train your people to deal with customers, to treat them all the same whether its an old rich man or a young foreign born couple. Never judge a book by its cover.",0,0,0,Vicki N.,"Bronxville, NY",0,3,0
5.0,4/12/2019,The service was absolutely amazing. The crab cakes are the best I have ever had. This by far my favorite restaurant in New York. Everything is incredible. It's a must go.,0,0,0,Shelly T.,"Los Angeles, CA",0,12,1
5.0,4/9/2019,Great food and service! Went with a family of 7 and everyone left full and happy! New York strip medium rare came out perfect and you have to pair it with the creamy spinach!,0,0,0,Nick K.,"Carlsbad, CA",0,24,1
3.0,4/8/2019,"I had pretty high expectations for this place, given that it's Warren Buffet's go to NYC restaurant. The interior of the place is an old style steakhouse, and we were seated by the window. The blinds were extremely dusty and seemed like they haven't been touched in years. It felt like we were sitting inside the Applebee's in Times Square. Our waiter was impatient, and did not really provide any exceptional service greater than what Applebee's could have provided. I had the filet mignon and the coconut layer cake, which were both quite delicious. The filet was tender and their steak sauce was on point. However, given the ambiance and sub-par service, I probably would stick to other steakhouses in the city for an overall better experience (Wolfgang's or Delmonico's).",0,1,0,Meri B.,"New York, NY",632,65,69
