rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/13/2019,"Could not even stay for meal. Unbearably loud. Screaming children, drunk UESers on 8th martini, and old people screaming at each other. Could not hear my companion across the tiny table.",0,0,0,Patricia O.,"Manhattan, NY",2,47,2
3.0,4/5/2019,Chocolate mousse is the best thing in the menu. Ordered the burger which was not impressive and was missing ingredients listed in the menu.,0,0,0,In B.,"Manhattan, New York, NY",0,15,4
3.0,3/30/2019,"Dined at Orsay this evening.  This was my third visit to this restaurant. We had an Opentable reservation and were seated, for some reason, in the bar area. You would think with an Opentable reservation we would have preferential seating but the table was large. Our server was excellent so we had no problems with the service at all. Our water glasses were refilled, coffee refills were offered, bread refills were offered. The service was fine. We ordered the Artichoke vinaigrette and Tuna Tartare. The Tuna was excellent. The Artichoke arrived boiling hot. Both the artichoke and the vinaigrette which was in the middle of the artichoke were both extremely hot. I've had this dish numerous times in restaurants throughout the world and this is the first time I've ever encountered this dish to be boiling hot. This dish was completely ruined by serving it at the temperature it was served at. Our entrees were the Salmon and the Monkfish. I ordered the Salmon medium rare and it was cooked properly. But the dish was oily and the accompanying mushrooms were just OK. The Monkfish was excellent. Dessert was the chocolate mousse. The restaurant made a huge deal in the serving of this dish, serving the chocolate out of a large pot then adding creame anglaise and other things. The result was a mushy mess that wasn't enjoyable. Prices seemed excessively high as well, given the quality of the food and $20 for a mixed drink is ridiculous.",0,0,0,Bob G.,"JAMAICA, NY",17,213,400
5.0,3/19/2019,"Not the most novel menu, but exactly what you would expect for nice French food. One of the most consistent restaurants I've been to in the city; we always know we will have a lovely meal.  Service is wonderful. Super cute place. My husband is particularly obsessed with the poached artichoke. We also love the charcuterie and cheeses. And of course -- steak frites!!! We come here when we just want really good, simple French food.",0,0,0,Austen C.,"New York, NY",0,4,0
5.0,3/11/2019,Love the atmosphere. Came for brunch on a Saturday. The eggs Benedict and croquette madame were yummy. Love that they offer a bottle of champagne with orange juice and peach nectar for $45. Also looks like a nice place to have a party upstairs. A florist was delivering beautiful arrangements for a party.,0,0,0,L R.,"New York, NY",1,52,16
5.0,2/15/2019,I love this place. I came here after death in my family and sat at the bar and don't mean to but started to cry - like uncontrollably weeping. The bartender made me a perfect dirty martini and was sympathetic and kind. I look forward to coming back for dinner.,1,0,0,Ariel H.,"Brooklyn, NY",180,19,14
3.0,2/7/2019,"It is a cute, albeit at times stuffy, French bistro on the Upper East Side. I came here for their Sunday brunch. Apparently, they have a delicious Prime rib breakfast. It seemed a bit aggressive for me for breakfast, although my friend who ordered it thought it was solidly prepared -- no frills, or bells and whistles, but very solid prime rib. I opted instead for the Croque Madame. It was insanely rich and heavy: a thick layer of cheese, on a thick layer of toast, with a thick layer of hollandaise sauce slathered on... I think I might have enjoyed it more if I only had half of the sandwich... We did order a side of fries for the table that was quite good!",3,0,1,Michelle W.,"West Los Angeles, Los Angeles, CA",109,656,110
2.0,2/6/2019,"Service was incredible but the food was not...  the meat was chewy and not edible (for both my husband and myself).  The greens were pathetic and they skimped on the fries. The manhattan was watered down (I'm a bartender so I know what a crappy Manhattan is).  We didn't complain because we aren't monsters, but we definitely won't be back.  It seems like most of the clientele may not have tastebuds anymore (the average age was 80).",0,0,0,Laila J.,"New York, NY",3,14,0
2.0,2/3/2019,"The restaurant is beautifully decorated, but last night's meal was too salty and the sauces were too heavy. I will not be back. I ordered the skate fish off the menu and the tuna tartare. I didn't like the sauce on the tartare as it was just too heavy and overpowered the fish--a light sauce with very fresh fish is the best kind of tartare for me. The skate fish was lightly fried with a butter sauce which I also found heavy, but the main problem with this dish was it was overly salted. Overly salty food is a deal killer at a restaurant for me. It ruins the dish and all you can taste is salt. Properly seasoning a dish with the correct amount of salt is a pretty basic culinary skill and overly salty food at this price point is just not acceptable. Also, light layering of flavors is not possible with heavy sauces and the protein in the dish is just swamped in sauce.  Furthermore, the bread they offered was not good. It was crusty on the outside, but doughy on the inside. Come on, this is a french restaurant just serve baguette instead of that doughy mess.",0,0,0,A J.,"Manhattan, NY",0,101,0
5.0,1/25/2019,"Absolutely gorgeous space, beautiful art nouveau details, wood, brass, feels like a high class bistro straight out of 1910. Doesn't feel tired at all either, in terms of upkeep or their very energetic staff (which also has a classic politeness which is quite refreshing). A very reasonable happy hour too! Give yourself an excuse to stop in.",1,0,0,Will H.,"Lafayette, CA",294,64,18
