rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/26/2019,"Gave this one star because there is no spot for ZERO starsWe just walked out of the restaurant without ordering because of the attitude of the Waiter and the management. Despite having a reservation, although we were seated immediately, no waiter came for more than 15 minutes. When the waiter finally came and I told him that were waiting for a long time, his response was, ""don't raise your voice"". We walked out and told the management what had happened, all we got were blank stares. Not going back there again. We ran into an Indian couple who had just eaten there - they were told that could not get a reservation - they went there anyway and there were more than 10 empty tables. Is this how restaurants treat their patrons now?",0,0,0,Amitabha M.,"Bellerose, NY",0,3,0
4.0,4/14/2019,Nice place for lunch. Sat outside on beautiful early spring day. Service could have been a bit more attentive. Moroccan Chicken salad and tuna tartar very good. Prices fair for Manhattan. Would return.,0,0,0,Kari N.,"Ridgefield, CT",0,16,1
5.0,4/8/2019,Great Breakfast! Delicious breakfast in a chic area of NYC. You feel like you're in Paris.,0,0,0,Mme P.,"Tallahassee, FL",6,7,0
4.0,4/8/2019,"Really busy when we went, but the servers were so friendly to our pup as we dined outside! Service could be a tad bit faster. But brunch was delicious.",0,0,0,Christine N.,"New York, NY",0,17,0
5.0,4/8/2019,"Yummm!!! Breakfast was my favorite. Stayed at the Lucerne and went here every morning. Indoor and outdoor seating. Such a pleasant, light atmosphere",0,0,0,Julie N.,"Bellevue, WA",2,45,44
5.0,4/3/2019,"I came in with a group of friends. The food was incredible! One of the best eating experiences I've had in the city. Respectful portions to the price, amazing wine selection and the most friendly staff! Thank you Nice Matin!! I will be back!",1,0,1,Dana S.,"Boston, MA",304,2,0
5.0,4/1/2019,"Such a great experience! I went there with a group of my friends and we had the best time. The atmosphere is upscale casual but the menu items are refined. The som guided us towards a lovely bottle that suited all our taste, thankfully, as their wine list is literally the size of a King James Bible! We all got very different entrees, each one delicious. The crispy salmon and steak poivre were my favorites but the rhubarb slaw they serve with the duck is to die for. The creme brulee for dessert is the must have with bread pudding as a close second. I would highly reccomend to francophiles & wine lovers!",0,0,0,Lindsay M.,"London, United Kingdom",291,5,0
1.0,3/30/2019,"I had the most discussing cassoulet, with canned beans and a small slice of sausage thrown on top. The profiteroles were a huge dry choux pastry with cheap ice cream and grocery store chocolate syrup. This is not French food!",0,0,0,Thiago A.,"Ithaca, NY",0,2,0
1.0,3/25/2019,"Their gluten free items on their GF menu aren't actually gluten free. It is a lovely restaurant, but not safe for people with a gluten allergy or Celiac Disease.",0,0,0,Tara J.,"New Rochelle, NY",216,3,0
5.0,3/2/2019,Great breakfast omelets . Prompt and good service. Been coming here for past 10 years and never got disappointed.,0,0,0,Eddie S.,"New York, NY",0,8,5
