rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/20/2019,Great pre-theater meal. Pricey but delicious. We did the pre-fixe menu which I was surprised to find lets you select anything from the menu. A few with a supplemental charge. I would definitely go back.,0,0,0,T R.,"Manhattan, NY",1,18,4
3.0,4/14/2019,"I enjoyed this restaurant, but was really expecting a little more out of a DB venue.  First off, I must say, the service was amazing!  Top notch!  We came before a show and ordered the pre fixe. The food was good...not memorably great. I had a beet salad which was average and scallops as my main. There was nothing really memorable about the scallops either.  For desert we had a special, it was a lemon desert w meringue.  A little too sweet for my likings.  I would try this restaurant again and order totally different next time.",0,0,0,Christine G.,"Melville, NY",25,78,17
4.0,4/8/2019,"Stopped by for dessert and had the pineapple tarte tatin (caramelized pineapple ring with butter puff pastry and complemented by vanilla ice cream).They also provided a complimentary bittersweet chocolate and rosemary truffle.  Had robust chocolate flavor on the shell and a slight hint of rosemary in the ganache.Didn't have another meal in town, otherwise would have tried this place for lunch.  Had been to another Daniel Boulud restaurant and wasn't disappointed.",1,0,0,Maisie K.,"Beaverton, OR",14,24,65
5.0,3/16/2019,"We had a late dinner following the theater and enjoyed an outstanding meal.Service was top notch.  The room is contemporary and attractive.The sommelier, Josh Mac Gregor, was welcoming and, after advising what types of wine we enjoy, he recommended a wonderful syrah that went well with our meals.The pate was flavorful.  The coq au vin and lamb shank were excellent.We were well taken care of and will certainly be back.",0,0,0,Brad P.,"San Diego, CA",0,4,0
5.0,3/10/2019,"We ate a late lunch/early dinner on 03/04. The restaurant was basically empty at that hour. Even though they were setting up for a huge number of reservations later, it was kind of a plus for us. Very quiet after a hectic morning and tons of very personal service. It is a beautiful restaurant, full of wonderful art. My friend and I had the appetizer, entree and dessert $33 deal. My friend had onion soup and coq a vin. She finished with creme brûlée. She loved it. I had a vegetable soup, seafood crepe and a chocolate/raspberry mousse. Everything was exquisite!",0,0,0,Kathryne D.,"New Iberia, LA",44,9,0
5.0,3/8/2019,This restaurant is absolutely fantasticFried mushrooms and the side dishes are unbelievable Fried chicken and pork amazing One of the best southern food restaurant I never tried Well done !!!!,0,0,0,Maurizio M.,"Louisville, KY",7,1,0
4.0,3/2/2019,I was going to give 5 stars despite ordering an item and never receiving it....but then I got my bill. The food was great and service was poor.  I told myself I was going to give 5 stars anyway because I thought I would definitely come back here.  The pate was amazing and imaginative. Everything I ate was great. I tried the burger because it seemed interesting and it was. I got my bill and was charged 12$ for a diet soda and a refil. It wasn't from a glass bottle....but from the bar.  That's not fair. Beware.,1,0,0,Lonny F.,"Philadelphia, PA",0,15,6
3.0,2/22/2019,"Docking 2 stars for annoying ""thank you"" from restaurant representative. You don't need to thank me. Let your food and service stand on its own. Had a great meal post-Network here last night. Made a reservation but didn't need one for 9:30 on a Thur night. The wines by the glass are very expensive, but dig into the wine list and you can get a bottle for $55 - totally reasonable and good. The food and service was superb. Excellent find and I'm there anytime I go to the theater again. We had the Coq Au Vin and Diver Scallops - both outstanding.",0,0,0,Scott C.,"Midtown East, Manhattan, NY",0,73,0
4.0,2/20/2019,"I really appreciate places that can deliver the basics. After a long day in a cold and slushy Manhattan, Coq Au Vin seemed necessary. What I received here was exactly as it should be. Tasty, perfectly executed, and very fulfilling. Quality ingredients, great chicken, wonderful spaetzel. Midtown prices, but what are you gonna do? Will come back, would recommend.",0,0,0,Wallace M.,"Encinitas, CA",37,54,4
2.0,2/17/2019,"Ordered the burger and frites. Presentation looked nice however it was bland, lacking any flavor and arrived cold. What a disappointment. A $35 burger? What a joke! I expected much more from DB Bistro.",0,0,0,Ron S.,"Los Angeles, CA",1,25,0
5.0,2/16/2019,"I truly think 5 stars is not enough for DB Bistro Moderne - what an absolute treat this restaurant is!The noise level is very low, the food is superb, and the decor is nicely done. This was by far the best service I've had while dining out in NYC - DB easily ties for the best restaurant I've dined at for date night. Everyone had a smile on their face and a genuine interest in not only our plans for the evening but also in our meal. We came here 2 hours before our show on a moderately busy night with no reservations. Fortunately we were seated at the communal table with only one other party. Escargot Persillade 5/5Perfect appetizer for two - the almond-herb butter was spectacular. I'm not a fan of snails but I could order this every time. Poulet Rôti 5/5I haven't had chicken this delicious in quite some time. The sunchokes were my favorite part of this dish. Magret de Canard a l'Orange 7/5Yes, that's a 7 out of 5. I could not have expected this fantastic of a meal. When I dine here in the future, I will face the dilemma of ordering this once more or trying something new. I cannot complement the chef enough. The orange & ginger glaze is what sold me on trying this and it truly made the meal. Brussels Sprout 4/5Simple, tasteful. Enough to share and won't disappoint. Mushroom Fricassée 4/5As like the Brussels Sprouts, simple yet tasteful. Great to add to our meals, especially with the Poulet Rôti.",1,0,0,Stephen M.,"Pensacola, FL",28,25,32
4.0,2/16/2019,"DB Bistro Moderne is a fine establishment. The servers are conscientious, the food is delicious and the decor is contemporary while being classic. The prices are on the high side but the experience makes it worth it. Ordered:Tarte flambe ($15)- what could be bad about bacon, onions and fromage blanc on a thin crust? The answer: absolutely nothing! It's simple and good. Baby gem salad ($14)- this salad was made with fresh lettuce, tart grapefruit and an anchovy and herb dressing. The dressing had a complex umami flavor that was divine. I really enjoyed this. Dover sole meunière ($55)- I splurged on this entree and it was worth it! I know, more than fifty bucks for fish sounds crazy. The sole was mild, was lightly browned and was paired with the most delectable sauce made from butter, capers and croutons (they stayed crispy). I squeezed some lemon on top. It was one of the best fish entrees I've had in a while. I also recommend the fingerling potatoes. You might want to drench them in that sauce.Molten chocolate fondant ($14)- this was a chocolate lava cake. It was definitely decadent. It came with a mini scoop of vanilla ice cream and a mini scoop of dark chocolate sorbet. They were served elegantly which I appreciated but a part of me was longing for a big scoop of vanilla ice cream to enjoy with the rich cake.",1,1,0,Ally R.,"New York, NY",13,87,106
4.0,2/10/2019,Loved the service and adored our waitress..  The food is above average!  Very convenient to Broadway..  Worth a try.,2,0,0,Tom A.,"Norwalk, CT",121,34,48
5.0,2/5/2019,"Was there for lunch with my girlfriend. Very good experience! Truly recommend! Food excellent, service excellent. Overall everything was very good! Will be back! Thank you guys!",0,0,0,Borivoje V.,"Queens, Queens, NY",36,2,0
5.0,2/2/2019,"Absolutely DELICIOUS pre-theater dinner. We pick and chose between the pre-fixe, appetizers and entrees and ended up with the Bacon, onion flatbread, the mushroom soup, the lamb shank and the beet salad. The mushroom soup was OUT OF THIS WORLD! Easily the best my friend and I have EVER had and we LOVE mushrooms. The lamb shank melted in our mouth. The wines were reasonably priced and we ended up with a delicious Reisling. Our waiter, Jose, was incredible.  Extremely attentive with perfect timing between the courses and always making sure our glasses were full! Well worth the price for what was delivered! We will 100% be back!",0,0,0,Em B.,"Queens, NY",125,28,9
3.0,2/1/2019,This place was not my favorite. Service was not great took a really long time for our food to come I give them a 3 star because dessert  and cappuccino  was amazing. If I go back again will be for dessert only.,0,0,0,Merilyn F.,"Massapequa, NY",21,3,0
4.0,1/21/2019,"The restaurant ( our second visit) is lovely. Serene, pleasantly lit and not too big. While service is impeccable and the varied menu of mainly slightly French fare is good, I must admit...Sunday evening after a show with my wife we had a reservation at 5P. We entered the restaurant around 4:40P and like others who were ""post theatre"" waited at a communal table without any offer of appetizer or drink!? Does Chef Boulud know this?When seated, our server Jose was most attentive and informative. I must admit, the $35 burger (considered a house specialty) is small and does not transcend in taste orDepth as a juicy, terrific burger at all. Yes, even with a morsel of fois gras tucked inside. French fries were average at best.The gem salad was much more hearty and tasty to be honest.If there is a next time, I will re-order the coq au vin.Tip for management, ensure your tables for two are not too close to tables of four as last night it felt as if we were shoulder to shoulder with another table.",0,0,0,Marc W.,"Great Neck, NY",82,64,3
4.0,1/20/2019,"We went here last week pre-theater, always a challenge as the restaurants in the theater district are known for mediocrity and sullen service. The bistro staff were efficient and friendly. The wine list was fabulous and our wine paired well with the coq au vin, which was as good as I can make at home. That is high praise because I make a mean coq au vin! We had a lovely dessert that paired grapefruit with earl grey ice cream that was not too sweet or cloying. All in all a success and highly recommend.",1,0,0,Wanda M.,"New Hope, PA",0,68,0
4.0,1/13/2019,"At $35, is the foie gras, black truffle, short rib and sirloin burger a bargain in today's NYC food scene? It's definitely still delicious...",0,0,0,Scott M.,"New York, NY",0,17,4
2.0,12/15/2018,"I walked into this place with high expectations but also a lot of good will and charity since I'm a ""glass half full"" and ""think about what's good, not what's bad"" type guy. I walked out, however, furious at what was obviously just a cheap and cynical exercise in celebrity chef branding.Backstory: DB Bistro Moderne is the brainchild of Daniel Boulud, of ""Daniel"" and ""Cafe Boulud"" fame (narcissistic naming much)? db (get it?) bistro moderne is one of his more recent offerings and attempts to fuse the high-end diner with the French bistro.My friends Joy M. and her perpetually grumpy sister ""H0pe"" were coming in to town to see the Met exhibit on the ""problematic"" painter Delacroix, so I joined them for a meal before we all went to the museum afterwards. Joy immediately had words for the furniture, which she found cheap for a place that shifts a large part of internal decor costs to the menu. (""Those tables look like they are from Ikea"" -- quotation from Joy.) For appetizers, we had a pastry basket, which was acceptable but not transcendent, and flambee (cheese on bread), which was pretty good. Main event for me, though, was the infamous $35 burger, and for that price, you bet your damn life that I was using Minetta Tavern's Black Label Burger as a rubric. The db bistro moderne twist on the dish is to stuff the patties with braised short rib and create the feel of overpowering meat consumption. Unfortunately, it comes out really dry and overcooked, and I had to push myself to finish the thing. ""You aren't eating your burger, Merlin,"" said Joy. I didn't say anything to avoid spoiling the mood.Would db bistro moderne have the foot traffic it did if it were called hm bistro moderne (Hope M. bistro moderne)? It's doubtful. This is all about branding and hoodwinking, and we all agreed we should have known better.",0,0,0,Merlin C.,"Manhattan, NY",274,608,74
3.0,12/6/2018,"Average. The celery soup and salad was terrific but, the entrees were very average. The coq au vin was a dark, stewed chicken and the cod was only ok.  This is a pricey restaurant and we expected more.",0,0,0,Anne P.,"Malibu, CA",0,29,0
4.0,11/29/2018,"I really liked DB's Bistro. However, I was a bit disappointed by the DB Bistro hamburger, because I had high expectations. Given the price, I thought the sides were very small portions. First, I had a pumpkin soup which was to die for. Smooth, thick, rich and creamy. Really good! I ate every bite. I enjoyed the amuse-bouches which were pickles, and dried meat. The bread was ok, not great. As a main course I had the burger. It was interesting, but not spectacular. I didn't taste the foie gras very much. The fries were good, I'd say they were even better than the mushroom or green beans sides. The burger was a bit difficult to eat because so big, but I was expecting a little more ""wow"". I would definitely recommend the sole, which was really well cooked. The butter that accompanied it was extremely rich. I wasn't very impressed by the mushrooms, or green beans. As a dessert, I definitely recommend the madeleines. They are a perfect dessert to share with the table, they come out warm, fresh, soft to chew, and are small, so you will enjoy them, even if you're full from dinner. The ambiance is very calming, with dim lights and excellent service, even though the tables are quite close to each other. Food is superior to anything in the neighborhood, so I would go back.",0,0,0,Anna P.,"Durham, NC",2,77,352
3.0,11/17/2018,"Probably the most interesting burger I have every had. We both ordered the dB burger with foie gras. The burger came with very good fries to pick at. The meat was good, however a little weird with the combination of foie gras. I'm glad I tried the burger. However, I will not return. Way too pricy for a burger ($35)!!!!",4,0,0,Matteo G.,"Manhattan, New York, NY",190,135,154
1.0,11/10/2018,This was the worst breakfast we had in New York. We had high hopes given the connection of this restaurant to Daniel. Yikes! It was sub par food that felt almost like a free breakfast you'd get in a Holiday Inn. Very very disappointed.,0,0,0,J. C.,"Arlington, VA",0,18,12
4.0,10/28/2018,"Our first dinner spot in NY, and we were blown away by the amazing service they had. The server knew the menu inside and out, and suggested good choices. We had "" The Original DB Burger"" and the ""Steak Au Poivre"" which were cooked perfectly. The seating arrangements were not the best, as we we were located in the corner only two inches apart from a party of four. We have to push the table out just to be seated and to leave. I felt bad as my body was particularly on the other parties table while I was trying to leave. Everything else was amazing, from the set up on the table, the bread, the food and the service.",0,0,0,Sammie W.,"Brockton, MA",117,4,2
