rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"My wife and I ate at Barbounia for the first time last night. One of the best meals out we've had in a long time. Everything from the service, the setting and the food were fantastic! A special thanks to our waitress and Armand for making us feel so welcome and treating us so well. We'll definitely be back and be bringing friends! 11/10",0,0,0,Henry S.,"Brooklyn, Brooklyn, NY",0,9,1
3.0,4/28/2019,Probably not the best place for brunch! The service is great.The food options are very limited. The meal portions are a good size.This is a restaurant for lunch/dinner.,0,0,0,Demetrius B.,"Queens, Queens, NY",0,1,0
5.0,4/25/2019,"Came here for a birthday brunch and it was delicious! Highly recommend any of the egg dishes, and any of the desserts (all were great!).Also, if you are coming here for your birthday ask them to play the birthday song!",0,0,0,Mary W.,"Manhattan, NY",0,22,17
1.0,4/24/2019,"I have been coming to Barbounia periodically since 2009 and it has obviously been a favorite. Until this week. My companion and I brought friends from overseas for lunch and  it was the most embarrassing experience I have had in a restaurant in NY in the 20 years I have lived here. I am giving the restaurant one star because the service was fine.  But the food? It was hideous. The aperitifs were so bland and ordinary. So little taste. One of our guests and I are lamb aficionados but the lamb that was served didn't only not taste of lamb. It didn't taste of anything! It was minced something served up in rolls. Our fellow diners had shrimp. None of us asked what one usually does when you are out for a meal ""How is your...."" because everything was the same, bland, tasteless,  awful. Who is driving your kitchen now? Because whoever it is doesn't have any idea about what good cooking is. While I was trying to eat the mundane, tasteless sloppy food put in front of me, I looked out the window at the restaurant across the street and wished we were eating there. Next time we will be. Anywhere else except Barbounia. You will not continue to survive on Park Avenue South or anywhere else in Manhattan serving up the kind of slop you served us last Monday..",0,0,0,Bas S.,"Manhattan, New York, NY",0,2,0
5.0,4/22/2019,"I have always come to Barbounia for their happy hour, but we decided to try out their boozy brunch this time. For an extra $22 you can get endless mimosas onto your entre meal. This was honestly one of the best boozy brunches I've ever been to in NYC! The price point is just right and food is amazing. Our waiter was Eugene, he was the best! So attentive and genuinely cared about our experience there. I would return here and request to have him as our waiter again!",0,0,0,Andrea B.,"Rochester, NY",522,2,0
5.0,4/20/2019,"Ambiance, food, music and everything is great! Except the service. Actually no, our waiter was the worst, he was angry, arrogant and did not even want to listen and take orders, the only thing he wanted was his tables to ask for the check and leave. I am excluding the whole service because the guys who brought the food to our table from the kitchen and the ones who refresh the drinks were very kind and nice. So the problem was specifically our waiter( I wish I had his name but I don't the only information I have is he is not very tall )However, about the food; it was good; we had hummus and spicy feta (amazing!!!) and calamari for starters, they were all good.For the mains we had lamb and bronzino( fish was not very good) Dessert was amazing- Warm nutella covered with soft dough and vanilla ice cream.However it is a really good place and will definitely go back. I recommend you to order everything for the middle.We saw pizza on every table and regret we didnt order it smelled great",2,0,2,Jas M.,"Edgewater, NJ",3,32,35
3.0,4/16/2019,"I'm not really sure what is our waiter's name (we were served by guy, but we got a check with a female name) so it's kinda confusing.Food was absolutely amazing, as the vibe But service... I mean, our server wasn't able to explain how big the the  steak is, he never checked how the food tasted, and we ordered the desserts from busboy(I guess, his mane was Vesanto) much more nicer than our server was. Only cause of busboy and food 3 stars are here.",0,0,0,Kotliar Y.,"Brooklyn, Brooklyn, NY",0,2,0
3.0,4/16/2019,MICE are running around in the restaurant!!!!! #gross #unsanitary #doesntthatwarrantaCrating? #Mediterranean&Mice,0,0,0,Laura R.,"Austin, TX",572,22,9
5.0,4/14/2019,"If you're in NYC and want to try fine Israeli cuisine this is the place to go!We tried both breakfast and dinner and in both enjoyed amazing dishes. The must have are the eggplant (wow!), shawarma and tabun roasted chicken.",0,0,0,Guy B.,"Manhattan, NY",3,11,17
2.0,4/1/2019,"Barbounia is built for a certain kind of person, and that person wants a loud, sizzling candle in their birthday dessert among a group of friends while everyone else looks along. This restaurant is so flashy that I seriously thought a belly dancer would pop out at any moment. That didn't happen, but I kid you not, there was an unnecessarily loud birthday song blasting through the entire restaurant every five minutes that made it so hard to converse; even the wait staff kept rolling their eyes and like they knew it was extreme. The waiter we had was present, but very robotic and stuffy. They didn't come across as friendly to me, in general. This was strange, but the actual restaurant is anything but stuffy. The grand arches on top, the throw pillows strewn about, and the expansive space do add a luxurious vibe to the space. Tuna salad - this was my entree, and I was so disappointed with it. It's first on my list because everyone should know to avoid this. The actual tuna was great, and comes with an egg, but I wish there was more tuna and less everything else, but nothing else besides the protein part was enjoyable. The worst part about it was that it was absolutely drenched in mayo, so much so that I seriously disliked eating it. Vegetable crudites - basic veggies, including carrots, green beans, cucumbers, and radishes. Obviously healthy, but so jokingly overpriced for what they're serving. Feta omelette - this is actually an enormous omelette, but the egg part tasted fake, and there are very few vegetables inside. It comes with a great little salad and some potatoes that I enjoyed, but the omelette was disappointing. Hummus - has chickpeas on it, and is a generous portion. Comes with this amazing rosemary bread that goes so well with the hummus. A Middle Eastern girl like me will have experienced a million types of hummus by now, and one thing I will tell you is that it should not cost $8.50 for a half cup of it. Coffee - they had no almond milk or soy milk (come on now...), but the coffee is good and there are free refills. They brought me honey to mix in.Overall, I really wasn't impressed with the food, and the ""see and be seen"" vibe isn't my jam, so I didn't think this was worth the money.",3,1,5,Darya S.,"Manhattan, NY",978,2060,1393
4.0,4/1/2019,The good.  Is the food. If you are looking for premium Greek food in a beautiful setting   Then this is the place. Maybe the best lamb kabobs I ever had.  My kids has the salmon which was also delicious. Spicy feta cheese for an app was also unusual and very good. My only complaint was it was a bit pricey and the waiter seemed to be waiting for us to place cocktail orders when we didn't want any.,0,0,0,Warren L.,"East Brunswick, NJ",0,34,23
2.0,3/30/2019,"It's the first nice day out all year with weather in the mid-60s, which apparently coincides with the day that literally everyone was born bc there were sooooo many birthday celebrations at Barbounia while we were there. How do I know there were a lot of birthdays? BECAUSE LITERALLY EVERY 10 MIN THEY WOULD TURN THE SPEAKERS UP AND START BLASTING SOME STRANGE OLDIES VERSION OF HAPPY BIRTHDAY REALLY LOUDLY. I was with a friend of mine and it felt like every time he was about to make an important point BOOM, the birthday song came through. Honestly can't you people find somewhere else to do a birthday brunch was the Bagatelle too crowded? (I mean to be fair it probably was)As for the food itself, I'm not gonna say it was bad, but it was really anything special. I've had food in the city that has completely blown me away, and this certainly wasn't that. Mediterranean food should have some more flavor and not be so generic, but then when you look at the crowd in the restaurant, it was all a bunch of early 20s somethings basically trying to go off on a boozy brunch. Everyone was there for the mimosas, and so it's not like they need to put a real emphasis on the food exactly. It's generic food for generic people, and that's fine if that's the sort of thing you're into. I wouldn't go out of my ways to make dinner reservations (unless it's your birthday and your birthday wish is to be a goddamn nuisance to everyone around you). I got the chicken sandwich for the brunch menu - again, it was fine, wouldn't go out of my way to eat it again.",0,0,0,Srikanth T.,"New York, NY",3,18,30
4.0,3/25/2019,"Anyone walking down Park Ave S has probably gotten a glimpse of Barbounia's grand architecture through its tall glass windows.But the ceilings weren't the only things that were high!!! The energy levels in the room were booming, and it's mostly from what look like recent college grads -- which is up to you to decide whether that's a good or bad thing lol. The resulting environment is reminiscent of a rooftop bar during happy hour: people talking and laughing obnoxiously loudly (myself included most likely?) and having photoshoots with their friends. But that'll work for some who are really just there for boozy brunch, aka us.My party of 6 did the $20 unlimited mimosas with table service, but had to move to the bar around 2pm where we were forced to get cozy with everyone around us. But hey...can't complain when there's champagne!!!!For food, our table shared a shakshouka ($22), canadian bacon eggs benedict ($19), and another dish that I can't remember -- indeed half the number of entrees as there were people, but sufficient given all the drinks we consumed. The real star of the show was the hummus though...smooth and zesty in all the right places!",2,1,2,Izzo C.,"New York, NY",483,111,397
1.0,3/17/2019,"This was the third time we have been to Barbounia, and it was quite a disappointment. The restaurant is beautiful, and the food has always been quite good, but our Sunday Brunch was made unbearable by the noise. The restaurant was packed, and the music was turned up quite loud. All the diners were practically shouting to be heard above the music . . . even the wait staff had trouble hearing as we were ordering. It was next to impossible to carry on a conversation at a four person table. To top it off, they would interrupt our meal every 15 minutes or so by cranking up the volume to the max playing ""happy birthday"" to a table. I felt like we were in TGIFridays. It was so painful, we all had to cover our ears. This happened three different times, so we cut our brunch short and left. The food and service was good, not great, but we were unable to enjoy our brunch at all. So disappointing. We won't be back.",0,0,0,mel h.,"Bellevue, WA",0,10,0
1.0,3/1/2019,We had reservations for 9pm.We arrived a little bit realier and have been told that our table will be ready in a few minutes.  We have waited at the bar for more then 30 min! From time to time we asked the host what is going on and she was telling us the table is being set for us. After 40 mins total the manager approched to us and apologized but it was already too late and we didn't want to eat so late at night.I guess reservations is only a suggestion!,0,0,0,Alla G.,"New York, NY",0,9,14
2.0,2/22/2019,"Beautiful space and presentation of food and drink. Many waiters, no one dedicated to a table, service slow at every turn. And while KHACHAPURI looked appealing, compared to typical khachapuri, bread was thin and crisp and sauce was scarce.",0,0,0,Stephanie L.,"St Paul, MN",0,3,0
5.0,2/20/2019,"Went here for dinner on a Saturday night, with a reservation. The bread is fantastic!! We ordered a trio to go along with the bread and then the lamb kebab and fish tajine as entrees. Everything was delicious! We also had drinks - beer and a gin cocktail, both really good.The restaurant was super crowded and there was little space for waiters to walk around. Service was good, a bit slow given the super busy state of the restaurant.Would definitely recommend!",0,0,0,Jennifer W.,"Manhattan, NY",167,6,3
5.0,2/19/2019,"Great place for brunch! May even be the perfect NYC brunch place! Have been twice now and each time I've been impressed. I will definitely be back.This last time the reservation was for 4 people at 1:15pm on a Sunday, Presidents' Day weekend. Our party wasn't all there until around 1:30pm but they seated us promptly when the last of us arrived. The place was packed but since it's huge, it never felt overcrowded or too tight a space. Every seat at the bar and restaurant was taken. It's a beautiful restaurant with high ceilings and a breezy / airy feel.We all chose the unlimited champagne brunch and our glasses were never empty for the entire time we were there. We ordered what we thought was the three appetizers for $19. Unfortunately, the waiter did not mention this only applies to the appetizers ""above"" the line. If my yelp reviews were based on things like this, I'd probably ding a star. It was pretty annoying because we definitely wouldn't have ordered the appetizers we did if we had known the special only applies to those apps. He did apologize but prob should have comped something. We had the hummus, the saganaki (cheese that arrives to your table in a literal fire) and the crispy calamari. They were all pretty good. Each of us also ordered an entree: the salmon scramble, the foie gras shashouka, veggie omelette and another omelette. The salmon scramble was delicious- eggs were perfectly scrambled, very light fluffy and buttery. The cream on top was amazing and there was a good amount of salmon. All the other dishes looked great and the plates were huge. No one came close to finishing their dish (especially given the amount of apps we had).I'd definitely come back here and recommend this place to anyone looking for a lively unlimited brunch with good food in a fun atmosphere (especially bdays!)",0,0,0,Elizabeth H.,"New York, NY",1,49,2
