rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,Incredible dinner at Kellar! It was my first time there and I have to say that I was impressed by the quality of the products served. Very welcoming and caring atmosphere.Will definitely come back another time!Thank you,1,0,0,Kenza S.,"Manhattan, New York, NY",0,1,0
4.0,4/22/2019,Place is beautiful and great food as well . Only they do need to improve on service . Waiters don't come around so better order everything at once . You have to look for them to get service otherwise great place,0,0,0,Baiba P.,"New York, NY",1,14,11
5.0,4/10/2019,Amazing food!!! One of the best cousins in NYC !! I loved this place the octopus was the best that we had .. and the shrimp santorini was amazing .. service was very helpful and friendly!!,0,0,0,Kleopatra D.,"Queens, Queens, NY",14,2,0
5.0,4/3/2019,"My girlfriends and I had an incredible night at Kellari. From the amazing wine selection to mouth watering Greek dishes, we had a blast. We shared a bunch of dishes and would highly recommend the vegetable croquettes and halibut. Also, be sure to save room for dessert! The service was just as good as the food. Our waiter was very attentive and we never had to worry about an empty wine glass. I'd highly recommend Kellari for any occasion. Great food, drinks and atmosphere!",0,0,0,Gabrielle A.,"Manhattan, NY",0,2,0
1.0,4/3/2019,"If you are worried about choking on fish bones, or being treated civilly, I would not recommend dining at Kellari restaurant. I was having a pre-theater dinner at Kellari back in February when I took a bite of my fish and found a bone.  I removed it, and went on eating when I got another bone that got stuck in my throat.  I tried to remove it but it would not come out.  I alerted the hostess who advised me to go to the urgent care center or the emergency room right away.   She said several times that Kellari would reimburse me for my medical costs.  I spent the next several hours in urgent care, then the ER and finally the next day at a specialist's office where he had to scope a tube up through my nose and down my throat, not a very pleasant experience believe me. Plus, my friend and I missed the theater performance of True West we were so looking forward to seeing that evening. I brought my medical receipts and reports back to Kellari the next day.  I was made to wait for quite awhile and when the manager finally appeared he was quite rude.  He took my papers and said someone would get back to me. There was no apology or inquiry into how I was doing. I was just abruptly dismissed.It has now been over 5 weeks since the incident and not only has no one ever contacted me, but managers refuse to speak with me when I call, and no one returns my phone calls nor my emails. I am treated with contempt by anyone I speak to.  On my last call the restaurant rep said in a snotty tone, ""why don't you just have your lawyer call our lawyer?"" I responded that I wasn't planning to sue them - I only want to be reimbursed for my expenses as promised -  but that if they wanted me to sue them then I guess I would.  I asked for the name of the attorney  and was then put on permanent hold.  The people at Kellari are reprehensible. It is incomprehensible to me that I am being treated as if I am just some nuisance. I went to their restaurant as a customer with the reasonable expectation that I would not be harmed by eating there. I then spent the next 18 hours dealing with an issue that was caused by their employee's negligence.  I was very polite about it that evening and in subsequent dealings in the beginning but I now feel I need to warn everyone about this restaurant and what can happen to you - and how they treat people they have harmed. Stay away.",0,1,0,Kathy S.,"Seattle, WA",0,3,0
5.0,4/2/2019,"The dinner, the atmosphere, the service, the location -- Everything was a 20 out of 10!! The octopus and grilled calamari were exceptional and the feta and juicy tomatoes in the Greek salad were so superb. The chef even sent over some moussaka pastry balls that were out of this world! Great spot to hit pre or post theater and the wine list was extensive as well. Make sure you get their loose leaf tea and a scoop of dulce de leche gelato for dessert! I cannot wait to go back again. This is my go to spot when in the area. EXCEPTIONAL!",0,0,0,Lanae B.,"Los Angeles, CA",0,18,0
5.0,4/2/2019,"Let me start by saying the seafood is always fresh and there's always wonderful options based on the current season. During my most recent visit (with my husband) we dined for dinner and started with five jumbo shrimp. These are the large, jumbo size which were nothing but fresh and delicious. I ordered the char grilled Faroe Island Salmon which was excellent. The grilled salmon was the perfect combination of moist and flavor and I opted for the Lemon Roasted Potatoes - also delicious. I would love to return on a Sunday and try their Lobster menu - I have a feeling this will exceed my expectations just as I was blown away by my most recent meal. The staff including waiters and upper management were nothing but friendly and warm, just as if I was dining in a family members home. Next on my list is to try their Lobster menu, which I believe is only available on a Sunday. Look forward to my next visit!!",0,0,0,Jenn H.,"Knoxville, TN",79,11,1
5.0,4/1/2019,"Had a wonderful experience at Kellari and honestly if my friend hadn't told me about it I wouldn't have known about it! The space is tremendous and I've been in few places this large. In terms of drinks I suggest the wine as they have a great selection and the staff is wonderful with recommendations based on what you're ordering. When you come here you HAVE to get seafood. It's what they specialize in (not to mention sustainable) and it is beyond fresh. The scallops, octopus and salmon we had were all cooked perfectly. If I were to skip anything it would be the potatoes because you really don't need it. This is the perfect place to bring family, colleagues or celebrate when you want authentic Greek cuisine and fresh seafood.",0,0,0,Stephanie C.,"New York, NY",511,124,148
5.0,3/24/2019,I love this place and have been here several times. Excellent food and service and close to theatre district if you're planning on a show. Easy and quick walk from Grand Central Station also.,0,0,0,Sue P.,"Bryan, TX",0,8,4
5.0,3/14/2019,"Kellari has always been one of my favorite restaurants in the city.  It's definitely one of midtown's best kept secrets.  I have been to Kellari for drinks, lunch, and dinner and I always have a positive experience.  The food is always delicious, the service is outstanding, and the restaurant has a wonderful classy and sophisticated environment.  I recently held a going away dinner at Kellari and it was a wonderful dining experience.  My guests still talk about how great the restaurant is.  Our waiter was extremely attentive and friendly and gave great menu recommendations.  Our table ordered a variety of different items on the menu to share and everything was delicious.  I highly recommend the Lavraki Tart and Seafood Yiouvetsi dished - the fish is very fresh and flavorful.  Kellari without a doubt deserves five stars.",0,0,0,Alexa F.,"New York, NY",0,3,0
