rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,Once again Almond proves to be a huge disapointment.  The food (though the descriptions sound enticing) is unremarkable and at some times unidentifiable.  I was halfway through my plate when a waiter came and started to lift it from the table....at the same time asking me if I was done.  The bread was dried out and minimal.  The prices are exagerated for the quality and quantity of food served.  We brought an out-of-town visitor here for dinner and ended up having sincere regrets about our choice.,0,0,0,Jane R.,"Manhattan, NY",4,6,0
4.0,4/23/2019,Great restaurant that can accommodate large crowd of 13 including kids in the city where it was difficult to find reservations. The salmon eggs Benedict was fresh and free mimosa if you check in yelp. The duck hash was flavorful and the bacon was hearty. Chorizo omelette wasn't as hearty as the croque Monsieur. All in all good solid choice.,0,0,0,Tanya N.,"Eastside, Las Vegas, NV",0,48,60
5.0,4/21/2019,"Wow! Don't know why this got some bad reviews. Service was great, brunch excellent. Fried Chicken and Waffles, luscious Eggs Benedict with Smoked Salmon, killer Mac & Cheese with Prosciutto and Truffles, stupendous home fries. Mammoth portions (took half to go). Got out of here less than $40 per person with cocktails. As a native Manhattanite who is often disappointed by lackluster, overpriced meals, I have to say: this is my new go-to eatery!",0,0,0,Robert R.,"New York, NY",0,2,0
5.0,4/15/2019,"A truly exceptional dining experience! The staff are friendly, well-informed, and attentive. The food was delicious, exquisitely prepared, and thoughtfully presented. This is the best farm-to-table restaurant I've been to in years -- perhaps because they were doing this before it was a ""thing!""",0,0,0,Brian C.,"Cambridge, MA",574,52,1187
1.0,4/1/2019,"This place is pretty bogus. It's super expensive and the food isn't very good. The buffalo cauliflower was yummy but 6 pieces isn't worth the $20 it cost. We got here just in time to order happy hour margaritas and it was by far the worst margarita I ever had. It tasted like dirty water. At the end we get our bill and the margarita was $15 when it should have been $8. The waiter said it's because we aren't at the bar, even though the sign was directly above our table. We paid $30 for two small cups of mostly iced toilet water. Thank goodness we had a gift card.",0,0,0,Beth Ann B.,"Coram, NY",184,8,4
4.0,3/31/2019,"Good spot for brunch. Ordered the fried chicken and waffles ($23) which was extremely good, perfectly fried chicken. It came with a Tabasco syrup which added on to the flavor even more. The bill was also not pricy, which makes it even more enjoyable. I recommend!",0,0,0,Matteo G.,"Manhattan, New York, NY",190,135,154
3.0,3/29/2019,"Um okay. I paid way too much for a pinot grigio that tasted just like my friend's chardonnay. We actually ended up switching. Our first round of drinks must have been leftovers from the night before. The second round was better. I ordered the rosemary flatbread. The dough was bland. The cookies leave a bit to be desired, but the cream into which you dunk them is great. The atmosphere is nice and the staff is generally friendly.",0,0,0,Jamie A.,"Colonie, NY",0,11,0
1.0,3/28/2019,"Beware celiacs!! They put flour in EVERYTHING including in the deep fryer (who DOES this?) for their home fries, so you get home fries AND flour. No warnings, but you will know it soon after your meal. Fortunately I thought something was fishy and asked the waiter who didn't think there was anything wrong with this.",0,0,0,Melodie B.,"New York, NY",0,17,1
3.0,3/24/2019,"Oof, this was a letdown. Started with the Tropical Cup cocktail, then shared:+ Small mussels+ L'italien fries+ Agnolotti+ Meat & cheese board + Sticky toffee pudding Everything was just...fine. The meat and cheese board was heavy on the meats, with a combo of liver toasts and (mostly) hard cheeses, none of which I really loved. Mussels were yummy but could have been served hotter. The pasta and fries were tasty but not memorable. Dessert was good. Nothing too inspired happening here so I probably won't be back.",0,0,0,Gab G.,"New York, NY",208,1651,5011
5.0,3/24/2019,"Food was great, service was better! Thanks Peter! I had the fish and chips which was an excellent choice. Great ambiance, decor and drinks.",0,0,0,M T.,"Baltimore, MD",62,4,1
5.0,3/17/2019,I'll start off by saying that the food here is great as well as the service.  All 7 of us enjoyed everything we got.  However we went on a Saturday night and the other people eating dinner were very odd.  What I mean by this is that literally every table was extra touchy feeling or having inappropriate conversations and loud.  We even asked a waiter at one point if this was some sort of event going she told us Friday night is gay night and Saturday is usually all sorts of eclectic people.  We were told later on by someone at a near by bar that usually Almond is known for that sort of stuff.  Otherwise we enjoyed our meals and people watching lol,0,0,0,N C.,"Franklin Square, NY",0,14,1
4.0,3/16/2019,Enjoyed a late lunch here on a Saturday.  Food was great but very slow and inattentive service. We did the price fixe $29 lunch. I checked in on Yelp and asked for the free glass of champagne but it never came. Started with a delicious broccoli soup and my hubby had the brussel sprouts. Fish tacos and chicken paillard for main course. This took more than 30 min to come as it seems waiter forgot to put our order in! The lemon tart was delicious for dessert as was the toffee cake ( which was also forgotten by our waiter). Great food if you can tolerate the poor service,0,0,0,Swarna M.,"Truckee, CA",0,70,3
4.0,3/9/2019,"Vibe is great! We had the cheese plate and mansour fries for starters, both of which were great. My friend and I shared the ribeye for two - was wayy to buttery and had too much rosemary flavor, so much that it overwhelmed everything else. My colleague had the lamb shank, which could be cooked better - very tender on some sides, but too chewy on the exterior. Giving four stars because of the apps and the killer dessert (you have to get the sticky toffee date pudding - going back just for this).",0,0,0,Aneesh K.,"New York, NY",452,1,1
4.0,3/7/2019,"Nice place. Friendly staff. Food is good. Cannot say amazing, but definitely very good. Was second time. Very nice located and even though can be crowded still privacy. First time we had some roasted chicken it was amazing.",0,0,0,Zari Z.,"New York, NY",51,20,3
5.0,2/24/2019,"I visited Almond with a few friends on Saturday and LOVED it - The restaurant is so chic & the wait-staff was amazing, along with the food! The price tag is a bit hefty, but the dining experience is worth it.We made reservations beforehand and no trouble getting a table - We were seated immediately. We ordered a few glasses of wine & picked a few entrees off the menu. I got the Saturday special (which was supposed to be Rack if Lamb), but instead we were informed of a slight menu change; lamb shank with some fresh homemade gnocchi. I decided to give it a try and I was happy I did - The meat was so tender and melted off the bone, and the gnocchi were delicious. Other dishes that were ordered were the sea scallops & roasted duck, roast chicken, and skirt steak. We also ordered the le grande Mac & cheese to share, which was the right choice - So creamy & truffley, definitely fed my soul!The meal was great, but my friend's steak was a bit tough, so she told the waiter. He quickly brought us out 3 desserts on the house to compensate! The sticky coffee date cake was my favorite. He also brought out a piece of the lemon tart and the chocolate pot de creme. All the desserts were sweet & hit the spot. We really appreciated Almond's generosity and care for their guests! I will definitely be back!",2,0,1,Laurel F.,"New York, NY",360,272,596
3.0,2/19/2019,"The overall ambience of this restaurant is beautiful. I really respect their farm to table approach. I ordered the price fix and was not very impressed. Their iced coffee was very weak. Also, our waiter was very nice but I asked another waiter for a spoon and he seemed very upset that I asked him- which I found odd. I ordered the broccoli soup and it was quite grainy. The chicken was good but honestly unimpressive - the taste reminded me of a grilled chicken snack wrap from McDonald's. My coworker ordered a ravioli that was spectacular and our buffalo cauliflower was sooo good I couldn't believe how delicious it was. Overall I have mixed feelings about this restaurant.",2,1,0,Stephanie J.,"New York, NY",223,79,194
1.0,2/14/2019,"Was so, so, so, so, SO beyond disappointed tonight. Came for Valentine's Day with really high hopes. We were so excited. The restaurant ultimately fell short and I highly doubt I'll be back. For starters, and the biggest problem, was that our server was AWFUL. Had no answers to any of our questions (was it his first day????? On Valentine's Day at dinner???????), such as, what's in the small seafood platter, how is the lamb cooked, what's a dry white wine you recommend? I mean, this guy had NO CLUE. ABOUT ANYTHING. He said every white wine on the menu was dry. I mean, what?!? He was also very inattentive, more concerned about a female couple leaving hand in hand than answering my questions, and never followed up, not even once after the appetizer or entrees were served (to, you know, ask how things are.....)...... I had to flag him down and ask for a bowl for our seafood shells from this huge seafood appetizer platter -- isn't it obvious that should be provided? It was overflowing with shells by the time we were done, really could've used two honestly. Would've never been acceptable or possible to put all of that on our appetizer plates. THEN, what I really wanted was partially sold out. They sold out of scallops. On Valentine's Day. By 9 PM. Affected both our appetizer and my entree. Whoever is planning your food inventory needs realty check. Seriously. You knew exactly how many reservations you had prior to the 14th. Come on. So, had to settle for something else, after being told I couldn't have an entree off the Prix Fixe menu (to sub for the scallops being sold out) and my food was really decent at best. Decent might be an over statement. I really could've made better pasta at home. Dry, bland, no sauce, horrible meat addition. I could go on and on about why it was so meh it hurts. My date had steak which had great flavor but in my opinion was cold???? This place is expensive. Our meal was well over $200. For the price, it should have been way more impressive than it was. Oh, and one of two bathrooms was out of order tonight!!!! I mean?!?!?! Striked out in almost every way on one of the biggest dining evenings of the year. Sorely disappointed and unless something majorly changes, this will be my last visit.",0,0,0,Anna M.,"New York, NY",37,17,1
