rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/20/2019,"I've been here a handful of times and it seems to get worse with each visit. I will say the brunch is great - I had the French toast and it was delicious. Their guac is good as well. However, the service can be slow & it is hard to get your waiters attention. Most recently my meal had a random piece of chicken in it which was offputting since I am a vegetarian. Please PLEASE do something about the bathrooms - they are always in a horrible state - dirty, unflushed toilets, and one time there wasn't a single piece of toilet paper in any stall. You really lose your appetite after seeing the state of the bathroom. I also find this place to be overpriced - there are better Mexican spots in the city.",0,0,0,Devon K.,"New York, NY",5,9,0
2.0,4/19/2019,"REALLY POOR EXPERIENCE.I went to this dos caminos and was told that it is a great place with amazing food. But the experience was poor and disappointed big time.I don't know where to start. Our server was really amicable and sweet but this place was clearly understaffed as the food took ages to come!We called for 3 coronas and saw them at the bar, kept outside and waiting for someone to bring them to us...FOR 20 MINUTES. The coronas became warm. Even the food came unbelievably slowly and all the tables around us were waiting for their food. The guacamole is good but definitely overpriced, as the case with the rest of the food.I called for the chicken quesadilla and honestly it was pretty good, and the reason why I give this place 2 stars instead of 1. I came with my sister and girlfriend, both of whom are vegetarians. My girlfriend's dish had a piece of chicken in it, which ruined her meal completely. MANY customers are really finicky (and fairly so) about what they eat, so to find a piece of chicken in a vegetarian dish is REALLY putting off. Thankfully my girlfriend is from USA and vegetarianism is a choice for her, but if it's out of religion then I know many a customer who would create a racket and potentially sue the restaurant.They did give us free churros to compensate for the mistake. And the churros were AMAZING (another reason for a 2 star rating instead of 1).However another off putting experience was the cleanliness (or lack of) of their bathrooms. Urinals were unflushed and flooded and my girlfriend told me unflattering tales of the female bathroom too. A really really off putting experience, especially when you plan to resume your meal after using the bathroom.Unfortunately I don't think the staff is to blame completely (other than the horrific chicken experience) but management must take action.",1,1,0,Mrinal T.,"Manhattan, New York, NY",106,13,0
5.0,4/14/2019,Yummy food! It's not your traditional Mexican restaurant but the food is amazing and super clean! The guacamole is fantastic and the cocktails are to die for! I will be going back!!,0,0,0,Lourdes R.,"Manhattan, New York, NY",0,5,1
1.0,4/6/2019,"Terrible service. Warm wine glasses and then they ran out of wine glasses and place wasn't even busy. And yet they put us at a nasty dark table. Food wasn't bad, tbh, but service so slow and basement is so dingy. Worst of all, as we were leaving a mouse ran across the restaurant floor. We told the maitre d' and she didn't even look surprised, just a little sad. Which just about sums up this place.",0,0,0,Stuart C.,"Hoboken, NJ",0,3,0
3.0,4/2/2019,Good guacamole and chips. I ordered the chicken quesadilla and couldn't finish it. It was average. Everything was super expensive. Fits a huge group (I came with a party of 20+). Each person ended up paying around $50 though,0,0,0,Emily C.,"Great Neck, NY",282,13,0
1.0,3/30/2019,"This place has gone downhill big time with slimy, unprofessional staff and impossibly slow service. I used to come to one of the locations a few times a year, and even took a cooking class at the Park Ave. location once, but this last visit was a disaster. I've read several reviews mentioning an active mouse problem to boot. So my advice would be to stay away from the Third Ave. location!I arrived at 6 p.m. on a Friday night and was told there was a 40-minute wait for a table. It seemed strange because there were definitely tables open on the top level. I asked if I could eat at the bar and they told me there were some bar seats open downstairs.When I walked into the lower level it was very loud at the bar and quiet elsewhere...because about 60% of the tables were empty. I sat at the bar and ordered my dinner right away along with my drink because I was hoping to eat quickly before catching a show across town. I asked for a margarita and cheese enchiladas. I told the bartender I can't eat the rice and beans, but I wondered if I could substitute a bowl of the street corn. He said he needed to check with the manager because there may be a $2 or $3 upcharge. I said OK, that's fine, but if it's more let me know.Enchiladas came out 15 minutes later, but when I cut into them it was clear they were chicken. I told the bartender and he said he would fix it. The corn came a few minutes later...except it was a tiny piece of corn on the cob, not the bowl I had asked for. I figured this was why the upcharge was only $2 or $3 instead of the bowl and being hungry with no enchiladas in sight, I went ahead and ate it. After finishing the corn and hanging out for another 10 minutes, I asked the bartender if the enchiladas would be out soon and he said yes, he marked it as a ""rush order."" Well, another 20 minutes passed and no food and now I was in a time crunch. Since the bartender was doing a whole lot of nothing, never checking in with the kitchen on my meal, I asked to speak with a manager. I told the manager that this was a bad overall experience starting with seeing all of these tables being vacant for 40 minutes at this point. He said they were for ""reservations."" Well any good manager knows the optics of telling people there are no tables available while they stay empty for almost an hour (and by the time I left after an hour, only one party was seated) is insulting to anyone's intelligence and illustrates poor management. You should flip the tables over to waiting parties after no-shows don't arrive within 10-15 minutes. Manager 101. The one good thing he did was go retrieve a dish of cheese enchiladas from the kitchen. Now why didn't anyone else do that 20 minutes earlier?I had to shovel my food in my face and ask for the bill now that it took 45 minutes to get my food. Imagine my surprise to see on the bill that the bartender was indeed the one who entered my order incorrectly to start with and then charged me $8 for the corn. I asked him why he didn't tell me it was more than the $2 or $3 he quoted me? He said he thought he did. Effing liar--I told him I couldn't believe he didn't comp a single thing on my bill after screwing up my order, making me wait 45 minutes for my food and then charging me $8 for a tiny piece of corn.  No remorse. It would be nice if someone in this restaurant took some ownership and responsibility. I'll never return and will be sure to let people know about the mouse infestation, wish I had known sooner.",0,0,0,Chris A.,"Nanuet, NY",0,5,0
1.0,3/30/2019,"Honestly, one of the worst restaurant experiences I've had.Once we sat down, our waiter politely came over and asked my table if we wanted chips and guac. Sure, sounds great! A lot of Mexican and Spanish restaurants give chips as a starter. That is, until you're charged $16 for it. You don't offer something to someone and then charge them without telling them it's actually an appetizer and not just something they give to every table. That just leaves a horrible impression.Then there was the actual meal. $23 for the surf & turf steak and shrimp tacos, three of them that are literally the length of my index finger. I barely got through one of them because the shrimp was so disgustingly rubbery. Overall, a waste of money.Surf and Turf Tacos (0/5)",0,0,0,Krysi S.,"Staten Island, NY",28,34,58
1.0,3/29/2019,"What a disappointment! I had originally sent what I wrote below as a private message, but received no reply from the restaurant. I feel duty bound to let other diners know of my experience. I was a huge fan of brunch at Dos Caminos. Especially the chilaquiles. This past Sunday I ordered the chilaquiles and when they came out the eggs were overcooked. It took over ten minutes to flag down my waitress and I let her know of the situation. I wait another fifteen minutes, flag her down again and ask where my eggs are. She said someone was supposed to have brought them out. A server comes out a couple minutes later and this time the eggs are nearly hard-boiled. I flag her down again and finally, the eggs come out as they should have. I had to wait nearly an hour for my food and was not offered any compensation for my clearly disappointing experience. Also, I saw a mouse crawl up the window well as I was leaving.",0,0,0,Adrienne S.,"New York, NY",5,27,0
4.0,3/26/2019,"The question I always have about Dos Caminos is if the experience lives up to the name.  I hear about Dos Caminos as a cool trendy place to hang out but wasn't sure if the dining experience was all novelty. I came for a business lunch with some colleagues on a weekday. We walked right in and were seated in the back corner area of the restaurant. It is a spacious restaurant with a long bar. We weren't drinking but it looks like a cool place to get a drink.The lunch menu had all the heavy hitters.  We had to start with guacamole but it comes already done so not sure how fresh it is but it tasted good. The three salsa's that came when the guacamole came out were also pretty delicious. I don't know if it was part of the meal or part of the guacamole appetizer. The salsa I loved the most was the mild one. Great flavor. For lunch, I went with the chile rellenos. I really enjoyed it. There isn't a ton of heat to it but the flavors work. There is a lot going on with the dish but the combination of chile to filling worked. It is a hearty dish so don't come expecting to watch your calories but they were well worth it.  My friend orderd the burger well done but it was still pink. I know chefs hate when people order meat well done but the customer is always right!In the end Dos Caminos lived up its name. It was not just a novelty but a place you can get some good food. I don't know how authentic the food is but who cares it is still good. Will definitely be back.",23,8,21,Nicholas G.,"Hoboken, NJ",4369,1076,2695
1.0,3/24/2019,"This resturant sucks. First they take over 15 mins to bring our group drinks and I ordered water. Then the food takes over 30 minutes for simple dishes and to make things worse we told the restaurant in advance that we wanted separate checks for each individual in our group and management stated on the phone that would not be an issue. Why when the bill comes they make things worse and argue that the check has to be on the same bill and we go back and forth with the manager at the night (bald guy with glasses) he stated that ""its too much work to separate everyone's orders"" what kind of resturant states its too much work. -_- then don't take big groups or agree to what the customer wants. The food wasn't even worth the price point. Half the people complained about under cooked food and its true for some of the dishes to give you small portions those prices are definitely not worth it and i would highly recommend people avoid this place.the wait staff kept avoiding our table and was rude, didn't want to bring us utensils and we had to keep bothering the hostess. Even with the bill we told the waitress how much to charge each card and my card was still charged more than it was supposed to. Never again will I come here, sub par food, too high of a price point, rude wait staff, crap management. And they still get things wrong the whole night with long wait times. I wish there was a no star option -_- there is much better Mexican food in other places throughout nyc and it being worth it. For all the hassle my party went through some of us stated we could have just gone to TACO BELL, that's how you know its bad here when people can't even finish their meals. Screw this place once again NEVER COMING BACK",0,0,0,Robert N.,"New York, NY",133,1,0
