rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/23/2019,"I hate to write a negative review, but this was truly just a ""meh"" experience. The service was great, and the ambience is lovely - but the food was bland and nothing special. I'm not sure why there's so much ""hype"" surrounding this spot and this brand; the craftsmanship and artistry (regarding the dishes) was there, but the flavors were lackluster. We ordered the egg crespelle (great flavors, probably my favorite item - although $15 for a paper thin egg crepe felt a bit ridiculous), the whole wheat chimaera (again, just ""meh,"" under seasoned) and the pork chop (extreeeeemely fatty and raw in places - and I'm OK with pork being slightly ""under"" but this was extremely under-cooked). I really wanted to enjoy everything as well, and am not one to write negative reviews. Disappointing, and won't be returning. Definitely seems like the kind of place that will continue to get hype for the name/vibe, but beyond that... it's a no for me.",0,0,0,Carolyn C.,"New York, NY",12,4,0
4.0,4/8/2019,I love the experience and ambiance in Momofuku Nishi. My favorite part of dining experience are the cocktails. Cocktails are super yummy and my favorite is the old fashioned the bartender makes.I also ate at the bar top and it was very nice to dine there. I personally really like the Campanelle. The taste was quite perfect and I am drooling just from thinking about it!I absolutely recommend people to try eating at Momofuku Nishi at least once for experience!,2,1,4,Suki W.,"New York, NY",140,180,1395
5.0,4/6/2019,Delicious meals. If you want to spend some money this is definitely the place to do it. Always fun to go with friends on the weekend,0,0,0,Anna B.,"Woodinville, WA",180,5,3
5.0,4/4/2019,"My girlfriend took me here for my Bday and it did not disappoint.  Our server recommended we share 4-6 dishes.   We went with Red Endive with Bagna Cauda, Montauk scallop with Asparagus, Maine Uni,  Taglitelle with pork skin, Sour Dough Facoccia and Long Island Duck.  Everything was amazing with the Red Endive and Uni off the charts.  The pasta was cooked perfectly El dente and duck a perfect red center.  We also had a bottle of Sancere which was very reasonably priced.  Food and Service could not have been done any better.",0,0,0,Rob M.,"Manhattan, New York, NY",0,38,9
4.0,3/31/2019,"Really nice first experience at Momofuku Nishi. Great food and service, mediocre facility and seating. We were a group of 4 and were seated in one of the few booths of the restaurant. The table is a half moon, which makes it really tight for 4 people to eat at. We all found the seating at the booth extremely uncomfortable for our backs. Focusing on the more important side, the food is top notch. We started with their focaccia bread, which is baked in roasted garlic cloves and a must try (only $5!!!). Of course, we had to try the infamous bucatini ceci (chickpea) e pepe ($20), a twist to the classic cacio (cheese) e pepe. The bucatini came in a medium to small portion, but tasted extremely good and worth to try. Finally, we tried the duck as the entree. Unbelievably tender and tasty duck, seasoned and cooked to perfection and really well presented on the plate. The staff did a really good job, food came out fairly quickly (even though they warn you that entrees usually take around 45 minutes to come out). Overall great experience, thank you David Chang for another great restaurant in Manhattan.",0,0,0,Matteo G.,"Manhattan, New York, NY",190,135,154
5.0,3/30/2019,"Dining at Momofuku Nishi is always an impeccable dining experience. It boasts the ideal trifecta: delicious food, excellent customer service, and comfortable ambience. The food at Nishi does not disappoint. I'm a huge fan of the bucatini (cacio e pepe), in particular the chewy texture of the hand-rolled pasta. The sauce fondly reminds me of the chickpea macaroni from Majordomo. The gem lettuce salad is a wonderful and underrated starter (the sunflower seeds and the dressing really set this salad apart) and the french fries on the side are crispy and seasoned with a mild chili powder. For the avant-garde brunch enthusiasts, I would recommend the truffle pancakes (it's off the menu!). It is glazed with truffle honey and adorned with truffles on top. The truffle pancakes are an acquired taste and yes they do taste like mushrooms and are on the savory side. Our waitress kindly brought us over some extra clover honey when my sister found the truffle flavor a bit too overwhelming. Finally, we bookend the meal with a indulgent slice of the pistachio bundt cake. The interior of the restaurant is very pristine but not pretentious. I enjoy dining at Nishi because the cushioned chairs are very comfortable and the waitstaff is very accommodating and polite. They always take the extra step to honor my request to sit at my favorite table and oftentimes when I show up with luggage (on my way to or from the train station), they'll check my luggage in the coat room for me. What I love the most about Nishi is actually the hand soap in the bathroom. They also have a hand lotion for your post-dining skincare rituals. Overall, I highly recommend treating yourself to a lovely meal at Nishi.",2,1,0,Jessica Y.,"Philadelphia, PA",243,197,3041
5.0,3/29/2019,"Just Awesome!! I shared everything on the menu (we literally ordered on if everything to share) with coworkers and there was not one thing I would not order again!! The salads, pastas and sandwiches especially the hot chicken one all delicious. We all agreed this was now our go to spot with friends and clients in this part of the City.",0,0,0,Meredith G.,"Upper West Side, Manhattan, NY",0,6,0
4.0,3/25/2019,"Came here for a belated Valentine's Day celebration. Cute place for a date! As per usual, David Chang always has a very innovative menu. We tried out one of the pasta dishes with crab that had rich flavors and I think even had hints of truffle in it. Very good. The monkfish was also delicious. The consistency of the monkfish made it very satisfying and almost had a meat like texture. The purée was made from shisito peppers so that gave the dish a lighter flavor which balanced out with the pasta well.The pistachio bundt cake was a great way to top it off. It was true to the pistachio flavor and moist.",2,1,1,Laura S.,"Manhattan, NY",226,419,778
5.0,3/20/2019,"The skinny fries for the Impossible Burger are back!This is the only place Vegetarians can get a real, not real, almost real burger and fries...Great service too!",1,0,0,Bambino D.,"Chelsea, Manhattan, NY",10,79,13
2.0,3/16/2019,"Unfortunately very below my expectations. Pretentious place, but nothing special. I had a bucatini and it was so flat, tasteless. To be honest the caccio and pepper that I prepare in my place is much better. I couldn't get the flavor of cheese.",0,0,0,Fernando A.,"Hockley County, TX",0,8,0
