rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/21/2019,"For the price point, the food should be mind blowingly good.  It's not.  Service is excellent, the wine list is impressive, they have like 5 different dishes featuring black truffles (for a mere $45 extra) and the food is well crafted high-end Italian, but nothing will change your life, or even your evening.  It's very Upper East Side.  If that's your thing, you will like it.  Personally, I prefer the downtown vibe, but that's just me.My dinner companion was sweet enough to buy me Lidia's book for sale at the front.  Much to my disappointment, it was not a cookbook, but the story of her life, which, frankly, I could care less about.",0,0,0,Tamara L.,"Croton-on-Hudson, NY",1,43,36
3.0,4/14/2019,"Aware of the dollar signs, I was expecting great Italian food. However, the food we had was average. It's not better than other cheaper Italian restaurants I had been too.",0,0,0,Rita J.,"Manhattan, NY",4,75,47
5.0,3/30/2019,"A woman solo dinerSitting at the barIn search of food designerAnd wine rated all starWorth the visitSolo or notFood so vividTry your hand, jackpot",0,0,0,Nadene S.,"Manhattan, NY",1,2,0
4.0,3/28/2019,"Refined Italian fare in an elegant atmosphere. Overall: 4.5/5Value: 4.5/5 (lunch)Food: 4/5 Service: 5/5Decor: 5/5 We came for lunch and had their pre fixe ($34 for 2 course, $39 for 3 course). A number of options for each course which was nice, but some of them have supplement charges which can skew the prices on the high side. The food is fantastic and portions are big though. I had the seafood stew and the king salmon along with Nutella panna cotta. The seafood stew was rich and flavorful yet still light, with nice chunks of lobster and calamari and a bit of fresh pasta. The king salmon had a nice crispy skin, was a great portion and was nicely accompanied by potato with spinach. The panna cotta was quite rich and creamy. Others in my party had the lemon meringue and tiramisu, and they both liked those as well. A member of our party is gluten free and they were fabulous in accommodating with great bread and gluten free pasta etc. Overall phenomenal food and service, worth a visit for lunch!",1,0,0,Kris Y.,"Boston, MA",10,123,195
2.0,3/27/2019,Mediocre food and service. Food wasn't authentic Italian and overpriced.  Waste of money.,0,0,0,Elie R.,"Miami, FL",4,35,0
1.0,3/15/2019,"I just had a dinner with my friend this evening. Everything was OK - appetizers, pastas, and desserts. However main menu ""Pork Chop"" was very BAD and AWFUL. The meat was tough and chewy, and I was unable to cut it. In addition it had no taste at all. How do they serve the Port Chop to the customers? Did they taste it?If you go to this restaurant do not order Pork Chop.Again, it's very BAD, BAD, and AWFUL food!",1,0,0,Greg P.,"Manhattan, NY",0,1,0
3.0,3/15/2019,"A bit old school for my taste. While the food tastes good, the service wasn't very warm.",0,0,0,S O.,"Downtown, Houston, TX",0,12,0
4.0,3/15/2019,"We had a very pleasant meal here on a Sunday night last month.  I had been several times before as it is located near our apartment, though given that it's not inexpensive, I usually save it for special occasions.The food is tasty, and well prepared, with seemingly high quality ingredients, however it did not really blow me away.  There is also a lot of food to be eaten at a meal here.The service was very nice, and the ambiance was very inviting, as it had been in the past.",0,0,0,Bryant R.,"Manhattan, NY",100,529,0
5.0,3/7/2019,"We are loyal clients for many years. Felidia has held to a very high standard and is the real deal.The cuisine remains at a very high level of creativity, and presentation.Very good service. An elegant and refined atmosphere. If you want some loud, splashy, trendy, overpriced restaurant, pls go downtown. And stay there, please. The lunches are a heaven sent best in class value. Now it will be harder to get reservations for Me!",0,0,0,Laurie Y.,"Manhattan, NY",0,8,0
3.0,2/19/2019,"Quite a nice restaurant, but not a favorite. Will likely not be coming back. My boyfriend and I had come for a late Valentine's Day dinner, the day after, and were expecting something extraordinary. The atmosphere/dining room was just okay, somewhat old fashioned, and it left much to be desired. In fact, it was quite small. There were many servers, waiters, etc and they were all hovering around in one area. That makes it quite awkward when you're eating and there are about half a dozen attendants staring at you. However, they were indeed very helpful.We ordered a ravioli special to share as an appetizer, along with a zucchini pasta app. The ravioli were amazing, but they were perhaps the best part of the night. The other appetizer wasn't bad but I can't say we loved it. As for our entrees, they were both good but not great. My boyfriend was actually quite disappointed with his osso bucco because of the strange sauce it was in, and his butternut squash side was unnecessary to him. Additionally, his choice of wine was unsatisfactory as well. And I thought the Manzo was great but the vegetable sides were an odd choice. Finally, the dessert. I had ordered the tutto cioccolato, which was advertised as having ""nutella panna cotta, dark chocolate mousse, milk chocolate brownies, white chocolate ice cream"". All sounds amazing, right? Well, it wasn't... The nutella panna cotta was covered by whipped cream in a tiny cup and barely tasted like anything. It was just very fluffy overly sweet whipped cream. The same goes for the 'dark chocolate' mousse, which was anything but. On top of the brownies it was, again, far too sweet. Finally, the white chocolate ice cream was really no different from vanilla ice cream and it sat on top of a chocolate chip cookie that you couldn't even cut into to eat with it. Although the plating was nice, it seemed like it wasn't thoroughly thought out. I'm a HUGE chocoholic and I was left disappointed by the arrangement. As was my bf with his banana sundae. On a bright note, they did include a little selection of cookies in a baggie at the end of the night. That was very nice and the cookies were quite good.Overall, the restaurant is just fine and I'm sure that, with the right options, you could have a very nice dinner here. However, it just wasn't worth the value for us. With only one good appetizer, one half of a good entree, and a disappointing dessert overall.. it wasn't worth the price tag. If in the future we look to dine like this again, we'll definitely be looking for a place with better food options and a more enjoyable atmosphere.",0,0,0,Ella L.,"Brooklyn, NY",11,55,82
1.0,2/14/2019,It was such a bad experience. We went there to celebrate Valentine's Day. They told us that there's only one prix fixe menu that costs $155 min. We didn't like anything on the menu but had no other choices. So we decided to stay to see what will happen. The food was not impressive at all. The worst part was the dessert. It was even worse than the food we would get from a food truck. Will not go there again. Not worth the money we spent.,0,0,0,Emily C.,"Philadelphia, PA",0,3,0
5.0,2/4/2019,Upscale comfort. The upstairs seating is bright with a high ceiling. The service was fine dining from start to finish. Each bite was delicious with just the right textures. So glad we didn't pass on dessert; the signature tiramizzuca was delicious and satisfying. I am a big Becco fan! Felidia's will now be a special occasion and business meal spot for me.,0,0,0,Ivy C.,"New York, NY",75,117,2
5.0,2/2/2019,"We held our company lunch for 10 at Felidia and had the absolute best time! The atmosphere is cozy yet sophisticated, the service was warm, friendly and very attentive.  The food was spectacular.   Very unique and stunning preparation.  Absolutely delicious!! We did the 4 course marketplace lunch and every course was absolutely perfect.  Full disclosure...my husband and I have been a fan of this restaurant for a long time!!! Each visit the food seems to get better and better.   Can't wait to go back!!",0,0,0,Karen D.,"Hollywood, FL",76,6,1
5.0,1/30/2019,"Best deal you will ever get with restaurant week!!! The staffs were super nice and attentive, our glass of water were never less than half full. We ordered from the restaurant week 2019 menu.They started us with fresh bread, along with avocado and white bean spread. For apps, we got the pesto pasta and house smoked salmon. Their homemade pasta was so fresh with the correct amount of pesto sauce. Yummy!!! The smoked salmon was surprisingly not too salty, perfect match with the egg salad.For the second course, we got the braised beef brisket and branzino. The branzino was cooked to perfection, not too raw but not rough, def good timing and cooked at the correct temperature. The braised beef brisket was very typical, very tender, and tasted more like pastrami but with good flavoring and spices.Lastly, we finished our meal with the tiramizucca. Very different from the traditional tiramisu, this one only comes with cream and not much cake or espresso powder. Unique, however def not my type of dessert. Overall, great service, great food. Will def return.",3,0,2,Angela T.,"Lower East Side, Manhattan, NY",8,27,129
4.0,1/13/2019,"It was our second visit to your restaurant on 58th Street. It was Friday December 21st. We were dining with our daughter and boyfriend who came to spend Christmas with the family. The food was delicious as usual. We requested a table on the mezzanine which we got and enjoyed. Service was very good as usual, except when it came to the truffles ""promotion"". The waiter kept pushing for the truffles and finally we gave up under the pressure. What we didn't realize that the two rounds of truffles for four people amounted to $600! It wasn't until I received the check that we found out. In a respectable restaurant like Felidia's you should expect to be asked if ok to serve you truffles at a $75 per person round. We are fortunate that we could afford $600 in truffles but it is disingenuous to push for a dish so expensive without informing the customer. (The entire check was for $1,400) That experience left me with a ""bitter taste"". I'm not ruling out going back but right now I'm not happy about what happened. I sent the above message privately to the restaurant. Never got a reply. That is not good customer service practice.",2,0,0,Jaime H.,"Bronx, NY",0,3,0
5.0,12/22/2018,We come into NYC to dine at Felidia once or twice a year. Last night was great. I had the ravioli special with black truffles and my husband had the red snapper.  Apps were the fresh scallops and kale salad.  I love the bread basket which has several different breads - all super fresh.  We shared the Cannolo for dessert and were also given a plate with super fresh pannetonne and cookies.  Excellent meal with the Bastianich Friuliano.  Service was excellent - very sharp and attentive.  Thank you Chef Fortunato and Team.,0,0,0,Marion M.,"Readington Township, NJ",1,50,6
1.0,12/21/2018,"I am giving Felidia 1 star - not because of bad food (our meals were actually quite delicious), but based solely on the bad attitude of our head waiter.My mother and father live in Florida but  are staying in NYC for a couple of months because my father is being treated at Memorial Sloan Kettering.  We were so excited to secure a dinner reservation at Felidia - my parents are HUGE fans of Lidia!  My father hadn't been feeling well and finally had an appetite and although exhausted, was excited to indulge in ""a nice dish of pasta"" after a long day in the hospital.When we were seated, our first server asked if we wanted to start with a drink from the bar.  We declined as my father is not permitted to drink alcohol during his cancer treatments, my mother does not drink and I was just coming off of my holiday party the night before.When the head waiter came to take our orders, we decided to forego appetizers and opted for a main course (followed by desserts and coffee).  I ordered my entree and was asked what I'd like for an appetizer. When I declined, our waiter was noticeably agitated.  My mother then ordered an entree with no appetizer - again a look of disgust on his face!  Before my father could speak, the waiter asked in a sarcastic tone, ""no appetizer for you, either?"".  My father apologized but said he wasn't feeling well enough to have more than his entree.  Really???!!! I wasn't aware that one has to apologize for not ordering a 3 course meal?  The water then walked away and dramatically dropped the menus down on the back counter.  We were all so uncomfortable, but decided not to let it ruin our evening.  The entrees arrived and we all enjoyed them.  Afterwards, my mother and I ordered a couple of desserts with some coffee, that were quite good as well.  It didn't go unnoticed that our waiter stopped by the surrounding tables to check in on other patrons, asking if they needed anything - but not once did he stop at our table.  I was very close to having words with him but did not want to put a damper on our little celebration of sorts.  My parents actually questioned if perhaps they didn't look ""rich enough"", hence the lack of attention.  What a terrible way to feel!I am extremely disappointed in our experience at Felidia and hope that this review is brought to Lidia's attention as I am certain she would be appalled to know that 3 patrons (and fans) were made to feel unwelcome in her establishment!",19,0,0,Dorothy S.,"Locust Valley, NY",0,1,0
5.0,12/16/2018,"Amazing food, amazing service. Can't say enough good things about Lidia and her flagship restaurant.",0,0,0,John P.,"New York, NY",1,93,0
5.0,11/25/2018,"I've been to many high end restaurants. How this place is not Michelin rated is beyond me. The tasting menu was incredible. The wine pairings were perfecto. I had such an enjoyable experience for dinner here on a Sunday night, it blew away almost all the high end Italian restaurants I've been to. The food was 9/10. Wine pairings 9/10. Desert incredible. Service was 10/10. I couldn't recommend this place more for a high end Italian experience. Thank you to Dino, Alex, and Joe for an amazing night. A+++++*",0,0,0,Jon L.,"Brooklyn, NY",182,144,350
5.0,11/17/2018,"ever try being vegetarian and go to a five star restaurant? Felidias is the first place we have been that didnt fling meat in our face and offer a limited meal. We had the most amazing 5 courses and by the 6 and 7 we were so full. everything was tasty, the staff wonderful and atmosphere was nice and private.",0,0,0,Gregory G.,"New York, NY",331,63,30
