rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/30/2019,"The food is ok to good, portions are a little light and the service was a C. I have to admit, it was crowded so maybe it's better most other times",0,0,0,Tom J.,"Katy, TX",0,9,0
5.0,4/19/2019,"I'm a frequent flyer at Taboon. It's a great spot if you have some time before a show.  Love their bread. My #1 recommendation though is to order only appetizers/sides and ignore the entrees. The octopus, crab, shrimp - basically any of the seafood apps are solid! Love their sambusak too!",1,1,2,Ashley P.,"New York, NY",107,103,62
4.0,4/17/2019,One of my favorites!Everything is good there really.Atmosphere is nice but a little too loud (not the best sound system).I would give it 5 starts if not the loudness.Food is definitely 5 starts,0,0,0,Donald G.,"Manhattan, New York, NY",0,11,0
5.0,4/16/2019,"Last night was my second time going to Taboon for dinner and both times were truly exceptional! The food, service, and ambiance were all 5 stars. Taboon is a small restaurant on 10th ave so it's a little off the beaten path, which I really like! It's a little farther away from the crazy of Hell's Kitchen and is a warm and cozy space.The service was so great! The meal was spaced out perfectly and not rushed. We were seated before our reservation time and immediately given a wine/beverage list. Our drink orders were taken before they gave us the menu. I liked that they gave us time to enjoy our wine before even looking at the menu. Our server was attentive throughout the whole meal and our water was constantly refilled. For an appetizer, we had the Taboon trio, which is their OUT OF THIS WORLD AMAZING flatbread and your choice of 3 dips. We did the cauliflower hummus, baba ganoush, and spicy feta spread. I could honestly write a review of the flatbread alone... it was that good and served piping hot out of the oven! Our favorite of the 3 spreads was the spicy feta spread. Next time, we would probably get something other than the cauliflower hummus because we felt that it didn't have as much flavor as the other two.For our entrees, I had the halibut special and my mom had the chicken maschan. Both of us felt that each dish had such an amazing depth of flavor! They were interesting and the spices were so rich and delicious! I would recommend trying both dishes, especially the halibut since it's not always on the menu. We were so full that we skipped dessert, but next time I would definitely save more room! If you are looking for an interesting meal full of Mediterranean flavors, this is it!",8,0,2,Cara T.,"Manhattan, NY",1356,53,27
4.0,4/15/2019,Was amazing food ! But me and my sister was forced to seat down and order fast and we were hurried to get out of the place ! The person who welcomed us and I'm sure it was manger too with glasses were very rude and judge-mental ! Food is good but service terrible ! They think they 10 star restaurant or something !,0,0,0,Yan C.,"Houston, TX",626,353,841
4.0,4/13/2019,"Very solid and such a wonderful option in Hell's Kitchen. First off, they give you complimentary warm focaccia bread. Free, WARM, bread: yes, pleeeaase and thank you (that gives any restaurant a 3.6ish base point for me, hehe!). So let's continue...the ambiance is warm (yes, they have an actual open flame oven) and slightly upscale / comfy casual. I went with two girlfriends and we ordered family style -- the Falafel mix (regular and sweet potato), the Beet Salad, and then my favorites the Sambusak and Zucchini Cake. And then apparently, the Silan is the dessert to have (I had just a tad off the top because it has nuts at the bottom). And I MUST mention how delicious the Harvey & Sons Classic Paris tea is! I added honey and lemon and when I tell you, this was my whole dessert, I mean it! Loved this tea too much!!We were all full by the end of the meal. Yuummmy and filling! Aside from a few service issues that could have been improved, Taboon is a win.",1,0,0,Yaa A.,"Manhattan, New York, NY",218,137,504
5.0,3/27/2019,"omgthe bread alone is worth going.  Nemo (great bartender) took care of us. You must get the bread with feta and jalapenos (its not spicy at all, but extremely tasty)the chopped salad is greatthe short ribs&steak skewer is to die for. ""Silan"", gelato with puffed rice is the perfect way to end your meal and completely shareable. we are waiting for our next day off so we can go back",0,0,0,Frannie R.,"New York, NY",5,31,2
1.0,3/15/2019,"I took 12 people to Taboon for dinner tonight.  I have eaten at this restaurant every time I am in NY which is a lot. It has a great vibe. Because of the size of our party, we had to have a pre-fixed menu which was booked a month ago. I wasn't worried as I have never been disappointed having dinner here...except for tonight.  The server was not good. She just placed the food down on the table as if we were in a low end cafeteria.  She did not explain any of the unique dishes to my guests and acted as if it was not fun waiting on 12 people eating and drinking. After dinner I shared my experience with the manager. He seemed to not  know what to say or have the experience to respond.  Very disappointing!!",0,0,0,Val T.,"Anaheim, CA",0,1,0
4.0,3/11/2019,"Excellent flavors! The complimentary bread comes out warm and you can order sides of dipping sauces like hummus.  The bread is a little heavy on the rosemary (I think that's what it is?) for my tasting but is still yummy.  I wouldn't say that the hummus is worth $6, buts it's a nice addition to the bread.  The oxtail dumplings were outstanding! Perfect flavor and texture, I don't think it could have been executed any better.  Would gladly order again.  Got the branzino ($40), cooked well and seasoned well.  Comes with a potato, was a slightly over cooked in my opinion.  Love the lively but romantic atmosphere.",0,0,0,Lauren H.,"New York, NY",3,127,296
5.0,2/2/2019,"We came here for winter restaurant week of 2019 with our visiting friends from UK.The place is unpretentiously classy, the entire place was packed, but the tables are set at comfortable distance from each other. We all opted for a 3 course restaurant week menu.Our server came with freshly made flat bread to share and took our orders one by one, we started with small Taboon trio a $7 supplement that includes hummus, tzaziki and baba ghanoush it went really well with our nice bottle of Pinot noir.For meze, I chose the wood-fired bake cauliflower and lamb kebab served with Taboon flat bread for my main entree. Our dishes came in timely fashion, the portions are filling and enabled us to share with the table.There are dishes that I thought stood out such as the fresh squid with mashwiya and fire roasted peppers and mushroom mafrum, we also enjoyed the rice pudding dessert as well.We truly enjoyed our dinner here, the attentiveness of the staff and the quality of service. I can't wait to come back to This place!!",5,0,1,Reggie M.,"Manhattan, NY",280,338,2975
4.0,1/28/2019,"I visited Taboon as a part of NYC Restaurant Week Winter 2019, so some of the dishes aren't a part of their normal menu. However, as a solo diner seated at the bar, the staff was really accommodating and friendly, with the bar tender even chatting a bit throughout dinner, though wasn't overbearing.The house Bread - this bread is honestly so delicious. You get one per table, and since I was a table of one, I had it all to myself, and it was gone by the end. Perfect eaten warm with the light spices and wonderful to dip in any of the spreads or sopping up extra sauceBrick oven roasted cauliflower - Tender and crisp over a thick slather of herbed labneh, garnished with gremolata. The flavor was great, but if you took too much labneh at once it overpowered the more delicate and buttery cauliflower. I just wish there was more gremolata! There is not enough to get a taste with each bite.Grilled Tuna over Jerusalem artichokes, white asparagus and pearl onions with a pepper butter sauce - This was a special for restaurant week and the bartender told me that it was so popular as special the previous couple of weeks that they had brought it back. The Vegetables and sauce were so flavourful (que bread), but I felt the tuna steak was too heavy and masked the flavour of the vegetables. Also, there was so much tuna, I couldn't finish as it was too heavy!Coconut Rice Pudding with blood orange coulis, lime zest, semolina cake, and apple tempura - Sadly due to a peanut allergy I couldn't have the apples (peanut oil), but everything else was amazing. Slightly warm, the creamy pudding was cut by the citrus and intermittent crunch of the dehydrated semolina cake crumbles",1,0,0,Anne P.,"Midtown East, Manhattan, NY",64,24,130
5.0,1/22/2019,"Great food, drinks, and service. Came here on a whim for Sunday brunch and was pleasantly surprised. It was fully booked with reservations (not surprised), but got a nice seat at the bar. The bartender was super chill and got me this Mexican chocolate based bourbon drink. It was strong! They do not skim on the alcohol - this was where I was first impressed.Secondly, I was impressed by the food. The sambusak was so warm, crispy bread with gooey feta innards. The feta was very creamy but not too rich as it was savory and sharp in flavor. The shakshuka is a Mediterranean brunch staple, and taboon's version really blew me away. The salmon was grilled delightfully to a medium-rare. The side salad really impressed me with the freshness of veggies and tartness is vinegar (no oil or fats involved) that gave it a kick. Yum!Lastly the service was great. Everyone was super nice. When I dropped silverware, a swarm of waiters came to grab and replace my fork instantly. That is very impressive for a busy NYC restaurant.",0,0,0,Eileen C.,"Philadelphia, PA",162,58,125
5.0,1/21/2019,"Great food! It is near my home and I went there with friends to celebrate new year. Love bread and all food there, highly recommend it.",0,0,0,Sophia Yifan W.,"Manhattan, NY",51,97,191
5.0,12/30/2018,"Amazing brunch. Amazing dinner. Great cocktails. A gem in a very up and coming neighborhood. Also the desserts are amazing. Sometimes you can come in and sit at bar to avoid the wait, but come early.",0,0,0,Sean H.,"Manhattan, NY",2,28,1
2.0,12/30/2018,"Thought the food was good based on the review, Turned out it was very bland, compared to other Medi restaurant nearby on 10th like Meme with cheaper price, not worth it. service also sucked and bald manager was extremely cocky. Never come back.",0,1,0,M And T.,"Manhattan Valley, Manhattan, NY",15,58,32
5.0,12/30/2018,I have lived and traveled all over the Middle East and this place has some of the best Middle Eastern food I've ever had. Absolutely delicious and the atmosphere is superb. I had the lamb and date sponge cake for dessert. I'll definitely be back!,0,0,0,Leah B.,"San Francisco, CA",68,37,3
5.0,12/26/2018,"I came here with extended family for dinner here as a ""parents are in town"" kind of meal. We did the whole Broadway show + dinner and drinks thing, and Taboon did a great job of maintaining the vibe of the day out on the town and left the group very impressed. Here's why: 1) The restaurant itself is beautiful, dimly lit, and spacious.2) The food is phenomenal: from the homemade focaccia bread to the Spanish octopus to the spicy feta spread to the terracotta lamb kebabs... we weren't disappointed in any of our dishes3) The wine list was suitable for the old pros (can't really give more details here but the bottles were flowing)Can't wait to come back!",1,0,0,Melissah L.,"Brooklyn, NY",65,341,59
2.0,12/17/2018,"I haven't even been seated and i am annoyed. With more than 70% tables open why are there reservations for the bar? I am waiting for drier canto come thought I'd walk over early sit at the bar, comb through email and get a glass of wine. Less than 30 min and 2 glasses later she comes up to me saying the bar is reserved that they will cancel my reservation if they don't arrive. Mind you tables still open. So let's home my friends get here soon because I'm about to move our dinner reservation all together.",0,0,0,Chanel G.,"Briarcliff Manor, NY",171,34,4
4.0,12/16/2018,"The brunch on Sunday is perfect! I wanted to have more of everything we ordered. We were a party of 6, are ordered the focaccia, mazzetes and breakfast sambusak for the table. They were all great. I shared with my husband the Turkish sharks hula and the sabeexh and they were delicious. The only think that was ok and not special were the desserts-we ordered knaffeh and Malabi. Instead I would recommend the French toast that was surprising and better than the ones you eat on other brunch places.",0,0,0,Mika K.,"Manhattan, NY",0,18,0
5.0,12/15/2018,"Wow, this place was AMAZING! I'll admit, I was hesitant when my friend told me about our reservation here. After looking at the menu, I wasn't sure what I'd order. She had been there before so I trusted her. We got there around 5 before a show and they were just opening so we got seated right away. It wasn't long before all the tables were full. It's not a super large space but definitely has great decor and vibe. Ok back to the food. We decided on a number of meze plates to share and everything was so good. Warm bread comes with the humus trio and they keep bringing bread out if you want it. We had two loves for 4 people. We also had the cauliflower appy. For meals we shared the octopus - I thought I only liked fried calamari  nope, I love this octopus. Never seen it prepared this way. We also had the gnocchi. The wine was perfect. The service was awesome. I can't wait to go back. Soooooooo good. And not to far from some of the theaters....",0,0,0,Alexandra B.,"Mendham, NJ",4,46,14
5.0,12/12/2018,"Absolutely AMAZING meal! We had the Taboon trio with hummus, baba ghanoush and spicy feta - YUMMY!!Ordered a cauliflower salad with pomegranate seeds and an eggplant dish with roasted tomatoes and burratta cheese. Everything was fresh and delicious. Even the cocktails we ordered were fabulous.All in all a great meal but it was pricey. For 3 of us with 3 vegetarian starters, 3 cocktails and 1 dessert we paid $50 per head. Would definitely go back",0,0,0,Sonia M.,"Cambridge, MA",24,97,24
4.0,12/1/2018,"Midtown Manhattan classiness, service, decor, and cuisine which was all good to very good. Here's the details for our party of four.Taboon trio, 16Baby gem & frisee, 17Fresh squid, 19Eggplant Melanze, 18Chicken taboon, 34: Very goodSilan, 13Bollini pinot grigiot, glass, 12Conundrum, glass, 12Banhez Mexcal negroni, 17TOTAL 194TIP pricier than some",0,0,0,Steve N.,"New York, NY",97,598,24
3.0,11/23/2018,"A little too oily, salty for me. Expecting fresher flavors with lemon citrus, tomatoes and parsley. Worth a try but certainly not a place to call ""a go to"" .",0,0,0,rohia a.,"New Hyde Park, NY",1,15,0
4.0,11/23/2018,"Gorgeous date night decor meets tasty pan-Middle Eastern fare. Try the Taboon Trio of hummus, tzaziki and baba ghanoush to start. Then move on to the palate-pleasing Crab Shawarma and Spanish Octopus, followed by the Eggplant and Crudo. Round out the experience with my favorite dessert in the whole wide world, the Knaffe (also spelled kanafe, kunafa and various other ways depending on the originating country). For drinks, the Rhubarb Petillant and Minty Maya are both delicious. If you need a pre-theatre spot and aren't in a hurry, this should be high on your list.",3,0,1,Josephine L.,"Manhattan, NY",620,1619,20
5.0,11/5/2018,Such a great Mediterranean/Middle Eastern food. This is one of the best in town for this. Drinks and cocktails are good too. Restaurants week they have twice a year are the best for the last three seasons. But this place is pretty expensive.,0,0,0,Andrey R.,"New York, NY",169,13,0
2.0,10/29/2018,Dinner is great food is excellent Unfortunately when we came back for brunch very poor experience from manager and server.  We received a salad that half of the lettuce was rotten and not edible when we wanted to return it the server had  argued with us that it is OK and offered to switch the lettuce?!! And we had to insist for her to remove a salad from work table! Then charged us the full price made us uncomfortable needing to ask it was ridiculous to find out only they removed seven dollars for a dish that half of it wasn't edible. Unfortunately I will NOT recommend although the food is good poor service will Ruin your Experience!          .,1,0,0,Shlomo T.,"Medford, MA",109,2,1
5.0,10/28/2018,"Extremely good. Taboon has ruined me from eating Shaksooka anywhere else. The spices were complex. And the lamb gyro was braised, tender lamb on fresh pita. Service was outstanding, too. Accommodated my family with sleeping baby. Will absolutely be back and bring friends!",0,0,0,Megan C.,"Manhattan, NY",0,9,0
2.0,10/22/2018,"I did some research on great and popular restaurants in NYC and Taboon was one of top results  and since I really enjoy Mediterranean Middle Eastern food I decided to book a reservation for our final night in NYC. Located a few blocks away from Time Square in a very quiet part of town you will find this little restaurant with a very homey feel. The waitress advised us that the kitchen was going to close in twenty minutes so we needed to order everything at one shot. So we ordered the following dishes the famous house Focaccia, fresh squid, tuna tartar, Moroccan meatballs, and el grupo hummus platter.The first item to arrive was the Focaccia bread and the hummus platter, the bread was warm but with all the herbs baked into it, I found very bland, while the hummus included a slices of fried hass avocado and black beans. The hummus was very bland and I wish I knew about the black beans to have them excluded, the only saving grace for the dish was the crunchy fried avocados. The next two dishes to arrive were the squid which included tiny squid buried with way too much garbanzo beans and tabouleh, while the tuna tartar was very fresh, but too spicy. At first I was very excited about the Moroccan meatballs, but after the first taste, I couldn't eat anymore, for me this was one of worst dishes I have had in a while, everything was off the taste and the texture. Then came desert, and we decided to order two of them, the Valrhona Aphrodisia which is a chocolate flavor dish and the Knaffe. The chocolate dish was dark chocolate mousse with coffee crumble on top, once again not a lot of flavor and I felt that the mousse could of been more creamy. I almost thought that my meal was a total lost until the Knaffe arrived, which is a typical Middle Eastern desert which consist of mozzarella, farmer cheese and halumi cheese stuffed in a warm pastry called kadayif and topped with nuts and a rose infused syrup. This was one of the most delicious deserts I have ever had, the taste, the texture, and the sweetness of the syrup with the savory of the cheese were the perfect companions. Unfortunately one amazing desert could not justify the massive disappointment of all the other items.",2,1,0,Gerry L.,"Miami, FL",39,151,449
5.0,10/14/2018,"best best best. Seriously I would rather come here over any LeSpinage, Aureole or Le Bernardine, Daniel , 11 Madison snd so on... Really , homy atmosphere, fantastic blend of Meditarenean food , super tasty and healthy.",0,0,0,Lev K.,"New York, NY",0,2,10
5.0,10/12/2018,Food was excellent Fresh & very delicious Staffing is excellent Very accommodating in every day!Lovely space,0,0,0,TAmi S.,"Cherry Hill, NJ",28,177,3
