rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/29/2019,"What a disappointment this previously good restaurant is now. The menu has changed. We asked and were told the menu changed a month ago. The menu now features inferior dishes at jacked up prices. Considering that the restaurant was half empty, the service was appalling. We won't be back and would be surprised to see  this restaurant survive the summer. A total ripoff. Crappy overpriced food. Avoid.",0,0,0,Alma H.,"New York, NY",0,26,0
5.0,4/18/2019,"Delicious food, creative and mouth watering entrees and deserts, elegant yet not stuffy atmosphere, and the hostess and owner Georgette is the most classy, gracious professional in the industry.  A fabulous New York City dining experience. Don't be surprised if you spot titans of industry dining there with their families as regulars, or celebrities as ""locals"" who come in and enjoy the food and great wine and cocktails. Never disappointing!",0,0,0,Jennifer K.,"New York, NY",0,4,0
2.0,4/17/2019,"Good food but won't go back.  After ordering a martini, a $135 bottle of wine an an appetizer we were asked by our server if we were going to ""order more food or go straight to dessert "". Insulting service always ruins the experience, no matter how good the food is.",0,0,0,Elizabeth C.,"Newport Beach, CA",0,3,0
5.0,4/13/2019,"great vibe, delicious food, excellent wine. a little on the pricey side but worth the splurge I thought. loved the almost family style dining and sharing of plates. good portioned food - can share or come hungry!",0,0,0,Anna B.,"College Station, TX",0,9,0
5.0,2/18/2019,"Everything was perfect from the moment we checked our coats to our getting them back. The service was impeccable, everybody was kind to us, and the food (I always get the orange duck) was succulent. Hands down the best orange duck in NYC. I've been coming here for a few years now, and I must say whatever they did, the duck is even better than before! More of it, juicier. I also liked that I had a respectful yet opinionated sommelier! She took my Bourgogne order, but also suggested a Bordeaux that turned out to be a very good choice for the duck. Let alone the fact that I was offered a very, very generous pour that lasted me the whole meal, our entire experience was so perfect that it felt like one you read about but never actually live it. We did at Georgette and we hope you do too. We'll be going back for more!",0,0,0,David A.,"New York, NY",34,15,6
3.0,2/3/2019,"Nice location. Service was okay but we waited forever for our brunch. I had Les Jaunes, essentially eggs Benedict. The eggs and only -fair hollandaise sauce were barely warm. The salad I had beforehand was excellent, however. The Bloody Mary was also good. Frankly, the meal was not worth what we paid which was about $50. per person.",0,0,0,Ann J.,"Yarmouth, ME",0,1,0
3.0,1/17/2019,"Charming quaint French restaurant with good food and unobtrusive good service . We met friends when we came into the city and had a lovely lunch. They come here often and I can see why.We had reservations for lunch on a Monday and were seated immediately. Service was prompt and we enjoyed wonderful  fresh bread while we were deciding on our meal.  We decided on the Poulet Frites Lunch  ( Roasted 1/2 chicken Jus Provencal, Pommes Frites and mixed green salad with Mustard Vinaigrette. $29.00) and the G Salad Lunch ( Roasted Chicken, Mesclun, Frise, Asian Pear, Lardons Candied Walnuts, Blue Cheese and Mustard Vinaigrette $28.00).The chicken was delicious - cooked perfectly with gravy, and the salad was fresh with the tasty Mustard Vinaigrette. The fries were a bit too thin and crisp for me but everyone else seemed to enjoy them. The service was great about keeping our glasses filled and bringing more bread as needed.Yes at the end of the day it is just ""Rotisserie Chicken"", but it was tasty and not out of whack  in it's price point for a NY lunch.",0,0,0,Wendy S.,"Attleboro, MA",54,345,260
1.0,1/13/2019,I've eaten in the restaurant several times and loved it. But I really don't think they can handle the recent expansion to seamless. Our order was 40 min late (we live 1block away). Chicken was fine (but cold) - everything else was a disaster. Sides were hugely over cooked and cold. Starters were fine but felt shop bought and repackaged. Salad - well  check out the pic.So disappointed. Really like this place but they cannot expect to charge restaurant prices for this.,0,0,0,Phil R.,"Manhattan, NY",12,4,1
3.0,12/28/2018,"Terribly disappointing rotisserie chicken - if your namesake menu item is not good, then perhaps time to rename the restaurant. The chicken was incredibly dry and not very flavorful. The burrata appetizer was good and I really enjoyed the crispy texture of the topping that was added to it. The service was really bizarre. Woman at the front was nice and took our coats. Then we had a multitude of different people that stopped by our table throughout the meal. Just was very inconsistent - too many different people, I couldn't tell who exactly was our waiter. Couldn't tell if our waiter was nervous or aloof. Didn't get a friendly vibe from the waitstaff. Had to flag someone down to get our bill and the restaurant wasn't crowded because we came in early on a rainy Sunday evening.",2,0,3,Mahsa T.,"New York, NY",992,902,770
5.0,11/24/2018,"Went here for Thanksgiving dinner while visiting NY. Very glad we did! Everything was excellent from cocktails to dessert. They were very busy, of course, but never felt rushed or ignored. Service was excellent. Were  seated exactly at our reservation time. No waiting in the bar for our table. If every back in NY, will go here again.",0,0,0,M C.,"Cave Creek, AZ",0,2,0
5.0,11/7/2018,"So happy we stopped in for lunch today at Rotisserie Georgette. While the main dining room was all booked for reservations, we were more than happy to enjoy a table in the front with a nice window for people watching. The service was wonderful and the food was even better. Yes, it's a splurge but I'd say well worth it. Thanks for such a lovely repast. Cheers.",1,0,0,Trina B.,"Katonah, NY",1,20,2
5.0,11/3/2018,"You cannot beat the location - across from Barneys,  this quaint and very old world Parisian setting for this over the top rotisserie. I enjoyed the lunch special of half a chicken with French fries, a veggie and a salad.  The chicken was certainly delicious, the fries are hand cut and were crispy, salad with light vinaigrette. I am glad I didnt pay attention to the bad reviews. I loved it! I was on vacation; however the restaurant was filled with business folks on their lunches, a passionate  French couple having a long lunch were to my right. The waiter was spot on, but not overly in our face. We enjoyed a glass a of rose,  and espresso at the end. I wanted something simple without fuss and that's what I got.",2,0,0,Beatrice M.,"Orlando, FL",533,59,136
4.0,7/28/2018,"My friend and I enjoyed dinner here during Summer Restaurant Week 2018.  If you're in a hurry & can't read my entire review--Yes, I'd recommend Rotisserie Georgette! Go! Enjoy!   Call & make a reservation. I have posted 13 PHOTOS -please see them. Note:  We also ordered from the regular menu as well as the special 2018 Summer Restaurant Week Menu.  The rotisserie chicken was delicious.  It was juicy & flavorful; I'd recommend it for sure.  I don't think the photos here on Yelp, or anywhere, do it justice. The portions are generous & you will feel satisfied.  There are other entree options & they all looked delicious.  The table next to us had ribs and French fries that looked fantastic! These were not on the Restaurant week menu, but available from the regular menu, which is on your table. Back to our meal--Appetizer --my friend had the Salad, very good.  I chose the chilled corn soup for my appetizer & I was very impressed with the wonderful flavor pairings and the texture of the dollop of chopped avocado in the center--see my photo. The chilled corn soup had the lime --I'll call it a sauce--as a lovely circle or ring of wonderful flavor on the top of the chilled soup.  The dollop of finely chopped avocado was placed in the center.  All I can tell you is I WAS TOTALLY ENJOYING THE FLAVORS. My tastebuds were loving this.  It may sound simple, but the combination of the slightly sweet, smooth, chilled corn soup, with the wonderful, perfect lime flavor was delightful--I LOVED THIS!!!  And then the smooth, creamy, diced  avocado --yet, just the right amount of flavor & texture from the finely chopped avocado ---well, I thought this chilled soup was PERFECTION!! I loved the deliciousness & the flavorful creativity of this smooth chilled soup & it's presentation was lovely & fun.  I applaud the creator of this fabulous appetizer.  (Emoji applause goes here, with a STANDING OVATION!! Yes, I loved the chilled corn soup that much!) My sincere compliments to the creator & chef of this soup! The bread & butter on the table was fresh & yummy good.  I don't know why, but it was a little comical that my bread dish seemed to keep disappearing...however, the 3rd one did stay on the table...yes, I said 3.   Obviously, the very easy fix for this is to simply ask before removing a plate from the table.  And keep in mind, just because one person says you can take away their bread plate does not mean that every bread plate should be removed --just ask each person.  After all, you are serving lovely, fresh bread...We also enjoyed the carrots side dish (not included in restaurant week menu) And, we ordered the Chilled Asparagus side dish from the regular menu.  Both sides were delicious.  Carrots, sort of a candied carrot--loved it!  And I enjoyed the asparagus very much, also.And for dessert:  I had the Apricot Clofutti--yum-o!! Delicious!!!  Served warm/hot.  See my photos.  My friend had the yummy, delicious ice cream sandwich.  See photos.My compliments to the entire restaurant .  Food-delicious .  Service--aiming to make your visit as pleasant as possible.  If you haven't decided by now, let me help you: Make a reservation!! Confirm the reservation!!!!  Go! AND RE:  RESERVATIONS-----IF YOU CANNOT KEEP YOUR RESERVATION, ESPECIALLY DURING ANY NYC RESTAURANT WEEK, PLEASE HAVE THE COURTESY TO CALL THE RESTAURANT & CANCEL, so that someone else may enjoy.  THANK YOU.  See my photos.",6,0,5,Reva R.,"New York, NY",418,167,2548
