rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/8/2019,"I came here for brunch and I really enjoyed the grilled branzino and polenta and watercress, although for $33, I did wish it was a whole branzino instead of just a half filet of it.The waiter also noticed that our party was celebrating a birthday, whispered to me in an aside to confirm, and brought out a complimentary dessert for the birthday boy, my boyfriend's father. (He did not want his birthday to be a public affair but if anyone could disobey his wishes, it'd have to be me!)",1,0,1,Jin C.,"New York, NY",36,1100,328
4.0,3/18/2019,"Whenever we stay at The Benjamin, we make a point of stopping at The National for their INSANELY delicious burger! Don't judge but I had two this weekend (not on the same day lol)...yeah they're that good!",0,0,0,Parker J.,"New York, NY",0,4,1
2.0,3/9/2019,"Was there for a business dinner a few nights ago. The waiter was rude, the fries were cold, the lamb burger was way over-salted. Very disappointing.",0,0,0,R. B.,"San Mateo, CA",0,5,0
2.0,3/2/2019,"Twice this place has disappointed. First experience: Overall, the food was very good. The Boo loves the meat options ...good wine, though a bit pricey and few that were ""approachable""...Side dishes are fairly generous...What failed: cookies ...were like hockey pucks...dry, small, ugly.  Very disappointing. Second experience:  Ordered the burger. Made a point of saying NO ONION ...you'd think the waiter would have pointed out it's on an onion bun??  Asked if should be concerned that onion was used as a seasoning ...said no. Onion was somewhere as I had an allergic reaction ‍Take us seriously when we ask these questions!!!  It's unnecessary pain for your ignorance",2,0,0,Marie B.,"Scottsdale, AZ",161,684,69
1.0,2/24/2019,I have never in all my years not left a tip - as someone who is a partner in a nyc restaurant this is by far the worst service. Most salty food and a waiter and worse the maître d' with an attitude simply because we spoke about how much salt was on the food. -  ( I will not say the name of my restaurant since I don't want this to sound like an ad). But think twice before eating here. There are many and much better restaurants near here that if your going to spend the money they will talk to you with respect and understanding,2,0,0,David G.,"Boca Raton, FL",6,4,16
2.0,2/22/2019,"Overpriced, really lame service and bland food. I have been here several times and have  always been disappointed. The waiters don't speak or understand English-which is weird. The food tastes like hotel food and the prices are out of sight. I have eaten at the restaurant and also been here for drinks at the bar. Regardless of where I am, the National always disappoints. Next time, I will walk a few extra blocks to find some place else.",0,0,0,Michael M.,"Manhattan Beach, CA",58,135,11
4.0,2/19/2019,"Came here on a Saturday night, the dining room was busy and the bar looked almost full. Tried a few different wines but decided on a Cabernet. Started with shrimp cocktail and then the short rib, which they are known for. Short rib was very good and came with a carrot purée. For dessert I had my favorite- profiteroles with vanilla ice cream and chocolate sauce. Food was great. Service was slower, but we were not in a rush.",1,0,2,Desiree M.,"Fair Lawn, NJ",215,148,360
3.0,2/14/2019,"Shame on you  Be welcoming, be accessible, be real. Your wine list is none of these things. Sometimes travelers or guests want to sit at the bar and have a quiet dinner. Have a drink. Offering a wine by the glass list that starts at $16 and goes up from there is pompous and insulting. Just because I'm on an expense account doesn't mean I'm careless or stupid. Offer guests options, otherwise you're viewed as greedy. The service was very good, the food was fine. But I couldn't help but feel that you were trying to take advantage of me.",1,0,0,Matt T.,"Johns Creek, GA",103,546,23
5.0,2/9/2019,"I had a very intimate and romantic experience at The National. The food was delicious and the servers were friendly and accommodating.  I was seated at a beautiful semi circle booth facing the restaurant.  I really enjoyed the classy NY style ambiance of the restaurant.  It went perfectly with the midtown backdrop outside the restaurant windows.  My server, named Fidel, made sure to ask about any allergies or preferences.  He made many great recommendations for wine and food pairings.  My food came out at the perfect time and was cooked perfectly. I would highly recommend.",0,0,0,Derek C.,"Los Angeles, CA",135,8,13
3.0,1/31/2019,"I work near The National and have had several meals.  The food is okay/mediocre.  But I did have eggs Benedict for breakfast once with bacon that was all fat and had to be taken back. For breakfast and lunch, service was fine.  I recently had dinner with an out of town colleague and the service was awful.  We had to call the waiter over several times to take our order, bring more wine and water, etc.So 3 stars for mediocre food but a very convenient location",0,0,0,Ron H.,"Scarsdale, NY",0,1,0
