rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/20/2019,"Cool, jazzy little place. Great for both drinks and food. All around menu that spreads each dish's 'expertise' thin. Small portions. Watch the price for a bottle o' beer!",0,0,0,Kurtis J.,"Etobicoke, Toronto, Canada",0,30,88
1.0,4/20/2019,"We really didnt enjoy anything!I've heard about this place and went to check it out. I guess they just have good PR and NOTHING else.Food was just bad and overpriced. Place looks terrible and smells bad.Server was rude.... as if she is the owner of the hottest club in the city, gave us an attitude that we need to be thankful for being there.I wish I took pictures of the ugly looking food but I didntSave your time and money. There are plenty of excellent places in the city. Dont waste the evening here",0,0,0,Donald G.,"Manhattan, New York, NY",0,11,0
4.0,4/13/2019,"Only had two bottles of bubbly but the atmosphere is nice AND I met MSNBC contributor and civil rights leader Maya Wiley, so essentially it rocked my world.",0,0,0,Rachel F.,"Houston, TX",74,5,2
5.0,3/31/2019,This is the best brunch restaurant I've ever been to and has the best brunch food I've ever had. Each dish is perfectly crafted to look beautiful and still taste delicious. Best place in NYC! Amazing!,2,0,0,Mara E.,"Miami, FL",234,22,1
4.0,3/30/2019,4 people one of whom has a handicap and uses a wheelchair. Why mention that ? Service with a smile. We had reservations which is a must for a Friday night. If you come in about 6:30 you will be faced with slower serving time as this place is popular with the pre theatre group. They arranged a table to fit us all comfortably taking care of the needs of our friend. Because of the crowd our drink order was taking a little longer than normal so the assistant manager jumped in and helped make the drinks and told us that round was complementary. Service with a smile. Food was also very good but sometimes a great dining experience is not just about the food.,2,0,0,Dan M.,"Old Bethpage, NY",112,477,133
5.0,3/27/2019,"We went to The Wayfarer for my brothers birthday, and I have never been so amazed. Natalia and Sylvain were wonderful waiters that always made sure everything was going well. If ur ever in the area please stop by--you'll love it!",0,0,0,Jake H.,"Central LA, Los Angeles, CA",0,5,26
1.0,3/17/2019,"Meh,  two stars because the food and service were fine, neither memorable nor remarkable. I would give management zero stars as they split the tab incorrectly and charged me twice which I am sure was an honest mistake. However, contacted them three times over the course of a week to have it corrected and although the assistant manager assured me each time it would be taken care of, it never was fixed. I had to call my credit card company myself and charge back half the bill. I emailed both the owner and GM, neither responded. Guess they don't care about their customer or their reputation. Very shabby.PS..a customer reported the same issue on 1/2/19...double billed, charged $360 instead of $90. CHECK YOUR CREDIT CARD STATEMENT!",0,0,0,Dave R.,"Rockville Centre, NY",0,2,0
5.0,3/4/2019,We went here for lunch yesterday and it was fabulous.  Great service. Great food and drink. Very great noise level for a busy place.,0,0,0,Beth R.,"Clifton Park, NY",0,20,0
5.0,3/2/2019,"Food and service were excellent, I had the lobster pasta special with black truffle & tried the meatball appetizer. Both were well seasoned and my prickly pear margarita was on point. I will definitely be back.",0,0,0,Julius S.,"Little Ferry, NJ",0,10,0
5.0,3/2/2019,"Good portions and GREAT taste! I had the eggs Benedict classic and was impressed. Hollandaise sauce was excellent - not too rich, just thick enough. Family had the burgers which they loved. Services is on point. Several servers checked in on us but not too often. Price is great too! Treat yourself to this place before a Broadway show if you're nearby!",0,0,0,Ben H.,"Sterling, VA",72,14,4
1.0,2/4/2019,"Popped in from a meeting I had at the Plaza hotel. It took about 20 minutes for them to realize I was even there. And sat next to two lovely ladies who had a similar experience of inattention. The restaurant was 1/4 full. My food was overly salty, and the service not what you'd expect from this neighborhood. I would not eat here again, nor recommend.",0,0,0,Dabe P.,"Kihei, HI",231,1,0
