rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"Great museum,great collections,an admission costs $25,free WiFi,amazing view on Manhattan from roof top",0,0,0,Oleksandr S.,"Fort Myers, FL",19,146,205
5.0,4/28/2019,Leonard Cohen exhibit is a real treat. It portrays the artist in a true experiential way. Not like any exhibit I have ever seen.  There are several rooms. You get to experience his performances  through the decades. Then a biographical understanding of him. Finally a meditative experience in a private room. Give yourself time to enjoy the the exhibit and feel immersed in the magic of this amazingly talented artist through the decades.,0,0,0,Gloria L.,"Mahwah, NJ",0,10,1
1.0,4/28/2019,"The utmost disrespect of art, by setting up dining tables along a whole section of important exhibition, preventing visitors from appreciating the art. If this is acceptable, how about a seafood restaurant in front of Washington Crossing the Delaware? Filed multiple written complaints with the management office over the last five years but not a single response. Art is obviously not as important as revenue.",0,0,0,Jian X.,"Chicago, IL",29,11,15
4.0,4/27/2019,"Play It Loud exhibit.The reason for coming to the Met was to see the new special exhibit Play It Loud. PIL exhibition displays over a hundred of the most famous instruments of rock and roll from over almost 50 years. It's an easy self guided walk through not just instruments, but other pieces of rock memorabilia, including posters and costumes. It was incredible to walk through seeing guitars played by some of rock's most famed musicians representing several generations and subgenres. Most items are from institutional and private collectors. Many pieces were lent from performers themselves. There was also a room that was running three separate video interviews that you could watch at your leisure. My favorite other room made one wall a huge video screen. It showed 15 second clips of many of the musicians playing the instruments you just saw. On a Friday afternoon, this was one busy area. Its run in April to October 1, 2019. We did catch a few other displays in the museum as we got ""squirreled"" on our way to the exit. But you probably need at least 3-4 full days to really appreciate all the artifacts in this massive building. $25 admission. The kiosk was fast and easy.",19,9,17,Donna B.,"Reno, NV",462,1114,7025
5.0,4/25/2019,What can be said that hasn't been said?  I write this as a single male who visited while on a solo vacation to NYC.  I think this museum is a must see for anyone who is visiting NYC.  Why?  Reflecting on true beauty in the arts is good for your soul.  There is so many beautiful items and spaces that will refresh and revive your spirit.  It's always good to expose yourself to iconic popular art.  There is a sense of satisfaction one gets when they are familiar with popular art and can say in a group of people that they saw that piece of art.  Seeing popular pieces of art can take you back in time to a way of life that expands your worldview and perspective of your current context.  The Met has a great selection of popular art and fascinating exhibits that have educational recordings that can accessed on your phone.  It has beautiful and relaxing spaces.  Give yourself all day to see most of the museum.,0,0,1,John M.,"Akron, OH",113,140,542
5.0,4/24/2019,"It's the MET! I spent most of childhood coming here and I'm sure I've only seen a fraction of the collection.  It takes DAYs not hours to see everything!  $25 entry fee. The kiosk I was surprising easy and saved time in line.    Warnings It's always packed from locals to tourist to school groups - just pack your patiences.  If you're going to see the special exhibit (the guitars rocked!) you will need to wait in line again. Check your dates/status- free days, pay as you like, local discounts. If you get behind a group of schools kids, listen up you might learn something. The docents that do the tours know a lot, just don't be too creepy following a group kids around. Always a great time.",2,0,5,Debbie P.,"Reno, NV",319,625,1926
2.0,4/24/2019,"Do not line up to buy tickets, go straight to the self serve kiosk and purchase tickets there. Put your ticket on your shirt and walk in. Please do not be a clueless tourist and block the entrance. Museum staff is very rude and they do not implement backpack in front policy with the guests, meaning: IT IS VERY STUFFY AND CRAMPED. What's the point of unhelpful staff walking around the museum ? Like you're just taking up space....",0,0,0,Steven M.,"Edmonds, WA",1,29,25
5.0,4/23/2019,"You know, I thought about trying to write a review of The MET. The problem that I'm running into, it feels like you're writing a book review of the Bible, The Pilgrim's Progress, or dare I say the Canterbury Tales. It would be more of an educational exercise, rather than actually making a contribution of content to this platform.So, why bother writing? I could try to sound smart an' snooty talking about the works here, but alas, I am not qualified. Ask me how you're metoprolol works, I can answer that. Ask me how to use crutches, I can demonstrate that. Ask me why you should avoid leafy greens if you're on coumadin, I can answer that. Ask me how to use an incentive spirometer, I can help with that. Don't ask me the symbolism of the ""Basket of Flowers"" by Eugène Delacroix. They're flowers. It's a pretty picture, I know there was some political unrest at that time, but as far as I know, they're just an analog picture of flowers. Also, don't ask me what the EKG or X-Ray shows. A doctor has to see it, then tell you. I can (somewhat) read it, but I can't tell you what's on it. Again, I'm not qualified. Maybe you notice a theme here.Why should you go to The MET? If you have any appreciation of art, history, or anything cultural, then you should go to The MET. Do I know a lot about art? No. Do you need a PhD to appreciate art? No. Do you need to know the artists here? No. Did I google half the artists in this review? ¯\_(ツ)_/¯What I will say, is I wish we had more time to see all the cultural treasures. Having limited time, we hit the highlights of 19th century European painters. Our love is for Van Gogh. I also like Monet, Manet, Renoir, Cézzane, and Degas. Of course, our visit to the Rodin Museum in Philadelphia sparked my love for his work, and we were excited to see pieces here. Could I remember most of these names the first time I saw their work? NO!!! Am I starting to learn? MAYBE! Do you need comfortable shoes if you're going to The MET? YES!!! Are the staff rude? It's New York, what did you expect? A polite mid-westerner taking your coat? Just deal with it. I will say, it was a lovely time with my loving wife, and we hope to return.",3,3,4,John O.,"Peabody, MA",237,470,971
5.0,4/22/2019,The new Genji exhibit is lovely. I am mostly amused by the taxidermy deer that is covered in giant glass balls. There is also quite the collection of extremely beautiful and decorative kimonos.,1,0,1,Mai-Anh H.,"Houston, TX",196,458,269
5.0,4/21/2019,"This is a gigantic and amazing museum and is a must-go when in New York.People who are NY, NJ, and CT residents and students can pay however much they want but they have suggested donations. For everyone else it's adults $25, seniors 65+ $17, students $12 (bring your student ID), members and patrons free, and children under 12 free.When you buy a ticket it's valid for 3 days which is really nice because there's no way anyone can go through all 900+ galleries in one entire day. I only spent about three hours here and definitely did not see everything but you can spend all day there and still not be finished.There is just so much art and history and just about everything about everywhere around the world. I was wandering around and just got lost looking at everything I could. I didn't see all the galleries but out of the ones I saw my favorite sections were the 800 and 900 galleries.",1,1,3,Brian F.,"Bellevue, WA",458,573,1855
