rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,5/2/2019,"Good Greek spot, came here during lunch on a Monday and appreciated how quiet the place was. Close to Times Square but not in the center of the chaos. Everything was good but nothing really popped. Love the ambience and the fancy decor. Would come back and try the fish next time. We got the 3 spreads- hummus, the caviar one, and eggplant. All 3 was amazing but loved the caviar one the most - it's a bit of an acquired taste. The plates were really small for the price. The flamed cheese was meh but put on a little show. Meatballs were under seasoned. I liked the chopped octopus salad, we shared it among 3 people as a side.",0,0,0,Florence V.,"Dyker Heights, NY",116,73,295
5.0,4/18/2019,This restaurant was exceptional The waiters and waitresses were very attentive The food was very delicious The baklava made me forget the other Greek restaurant where the waitress was in badly need of a massage and a breakWe had the grilled octopus plate --very tastyThe flaming houlani cheese was awesome -- we ordered it twiceThe white wine we had went well with the mealI will definitely return to this restaurant. The baklava and the houlani cheese are incredible,0,0,0,Javier M.,"La Joya, TX",8,109,39
2.0,3/31/2019,"This place was very nice however, the food is  mediocre and tasteless. Although not horrible, I definitely would not recommend for the price.",0,0,0,Ashley R.,"Newark, NJ",0,1,0
4.0,3/27/2019,"Authentic Greek foor in Midtown manhattan. Elegeant atmosphere, attentive service and excellent wine list. The food and menu is tasty but nothing amazed me. Fried Haloumi was tasty and flambéed with ouzo for extra drama. My free range chicken was juicy and perfectly cooked accompanied by lemon potatoes. Inlove that they have ""horta"" dandelion greens as a side- a sign real Greeks come here. I had a scoop of baklava ice cream for dessert- yummy.",0,0,0,Rafi C.,"Jackson Heights, NY",105,79,71
5.0,3/23/2019,"WOW!!!! From beginning to end, incredible!Our bartender made the best espresso and gin martini. Our table was ready when we were and the service was impeccable all night long.GRILLED OCTOPUS IS A MUST!!!!! My first time trying octopus and it did not disappoint.Also tried the crab cake appetizer, WOW!!!!SCALLOPS!!!!! Wow! My mom had the grilled scallops and prawns over risotto and I had the 4 scallops over puréed peas... both were incredible!Our server accommodated my uncles allergy to garlic & shallot. He had the sea bass which he said was awesome.We started with 3 spreads for $30... honestly save room!!! All 3 were awesome but I was too full for dinner. The red pepper & feta spread was particularly amazing with the assortment of bread and pita they have... phenomenal!",1,0,0,Sarah A.,"Yorktown Heights, NY",14,115,116
2.0,3/14/2019,"Very underwhelmed. Poor service--though it was well-meaning. The red snapper fillet was mediocre. The dolmades were a turnoff. The spread that came with the meal was just OK, but the beet hummus was nice and some of the breads were good.",0,0,0,w b.,"Manhattan, NY",8,86,1
5.0,3/13/2019,Went there for a small friends chat. One of my best Greek cuisine experience. The lamp taste so good. I will also recommend the grilled  Octopus as an appertizer. Will definitely visit again!,1,1,1,Sabrina M.,"Centereach, NY",65,9,117
4.0,2/24/2019,"Upscale Greek that's a nice oasis in the desert that is midtown. Nice service. Always a terrific whole grilled fish option. Terrific (if rich) Greek classics. My only complaint is the prices. If this restaurant were downtown, it would die a quick death trying to charge such high prices for what is fairly simple food.",1,0,0,Quaker W.,"McLean, VA",2,376,891
3.0,2/13/2019,"My fiancé and I ate dinner here a few nights ago before going to a show at Carnegie. We arrived a few minutes late for our reservation and they seated us right away. They brought us menus and water. Some bread and tahini. All good things. Then we ordered their highlighted wine, which was good. However, the woman who brought it to the table struggled to open the bottle and made a mess of the cork. When she poured the taste there was a piece of cork in it that I pointed out. She seemed offended and even more offended when I aske her to decant the wine. And, was rude about the whole thing. The food was good. We had the haloumi for appetizer, then chicken and seafood pilaf for dinner. All tasted good. But, we felt very rushed and like it was a catering hall, where different people run past your table dropping food, picking up plates, filling up water and wine glasses. That's another point of contention I have they poured the wine glasses so full that it was inappropriately full, almost 3/4 full, like a catering hall with no class would do. I gave 3 stars because the food was good, but the service is seriously lacking, no one was polite, no one spoke other than to take our order and just made us feel rushed. Not my idea of a nice dinner.",1,0,0,Sunita S.,"New York, NY",92,140,39
4.0,2/10/2019,"We had a 630pm Thursday reservation and were seated promptly. This is a great Greek restaurant that I have been to many times. This time I was with a business colleague and friend. My friend is from Bermuda and he asked for a meal that he can't get there. I chose the restaurant. Ambiance is mid town New York, high - endy restaurant.We each started with the grilled octopus which was wonderful. Deliciously seasoned and a good portion. Sometimes you order this dish in other places and get one small, dry octopus - not here. These were plump and tender, crispy on the edges. How come I can't make it this way at home?  I have tried.Mains were moussaka and lamb chops. My moussaka was great. Don't let the modest size serving dish fool you there is plenty of lamb and other good stuff in there. My friend got the lamb chops which he loved. I could tell he liked them as the rib bones were gleaming when he was done. We ordered a Macedonian cabernet. It complimented the lamb dishes perfectly.  The Greek wine list always amazes me when I come here. They have the best selection of indigenous Greek wines I have ever seen, in or outside the US.Service was professional, pleasant, helpful and authentic.We then got a small cheese dish which went very well at that point of the meal. We were dining not rushing as we had not seen each other for quite a few years and were enjoying catching up.We finished up with a Greek port-like drink, recommended by our server. A perfect ending to a superb meal. Value was good and worth it.Mark.",1,0,1,Mark G.,"Langhorne, PA",15,247,29
