rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/27/2019,"Heard so many great things about this restaurant, especially having watched master chef korea. I ordered the beef slider, short ribs and kimchi fried rice. The sliders were ok--a little salty. The short rib was ridiculously salty. I usually add salt to a lot of my food, but even for me it was so so soooo salty. It was $40 for a tiny portion, but honestly i was glad it was tiny because i couldn't finish it. The fried rice was ok. will not be going back. thanks.",0,0,0,Lauren C.,"Plano, TX",122,3,0
3.0,4/26/2019,"Considering how I am a Korean, paying $20 for bibimbap made me cringe a little inside. Although delicious, I will say... don't eat here if you are expecting an authentic Korean food. I definitely felt that it was fushion-ized. FOOD:I ordered Spicy Pork Belly Bibimbap ($17) and paid additional $3 for chul-sot because I really like how crispy the rice gets when bibimbap is served in a stone bowl. I have to say, they nailed the art of crispy rice. I have tried making this at home and I am ashamed to say that I have failed despite learning how to do it from my mom (it's not easy to get that crispy rice without burning them). Danji did a great job, I did not get any burnt rice in my bowl. Flavor of the Spicy Pork Belly was great but a bit salty. SERVICE:I didn't notice anything special. They were friendly and punctual.AMBIANCE/DECORATION:Very cute and almost minimalist decorations. However, it is a very small restaurant... I felt almost claustrophobic in there. PRICE:Well, you know me, I had a hard time admitting that bibimbap is $20 but I felt that the overall dish was delicious. I saw the dinner menu and noticed that it was even more expensive so I doubt I will be going there for dinner.",1,0,0,SuZie W.,"Baltimore, MD",161,30,75
4.0,4/20/2019,"Food wise I would have only given three stars - overall flavors were OK but they over spice everything - the extra star is for the ambience and service - both of which were great. I had the tasting menuSpicy yellowtail sashimi w. crispy potato flakes - this was probably my favorite - the texture of the fried daikon flakes went really well with the raw fish. tofu w. ginger scallion dressing - this was recommend by the waitress (when I was first looking at a la carte). Relative to expectations this was rather disappointing. It wasn't bad, but nothing really stood out other than the scallions which were very finely cut. The texture of the fried skin on the tofu was great but the sauce was way too salty, and tofu pieces relatively large so the middle parts had very little flavor. I also think they didn't spend enough time frying the tofu because the center was actually cold.Spicy k.f.c. korean fire chicken wings - flavor was fine but it was incredibly salty (wouldn't order if I was ordering a la carte)Bulgogi - could tell all the ingredients were super fresh, but it didn't taste any different from any other beef bulgogi you'd get at ktown (it was also too sweet for my taste)soy poached black cod w. spicy daikon, trio of kimchi, white rice - honestly the rice and kimchi trio tasted better than the cod. The cod was super tender but way too salty I ended up not eating most of it. The waitress was really sweet and offered to make me another one (hence the star for service)Ice cream - toasted rice(?) flavored. This was really good!They also refilled my wine without charge for apologies because of the cod, which was really kind of them.Overall, I think it's a decent place for a quick bite that's satisfactory, but it's not a place for a special meal by any means",0,0,0,May X.,"Manhattan, New York, NY",498,3,7
4.0,4/16/2019,"Now that I work a block away from Danji, came here for lunch. The bibimbap set menu was solid, although a bit pricey at $32 with tip. The lunch menu is streamlined and focused.",0,0,0,Annie K.,"Peekskill, NY",9,31,18
5.0,4/14/2019,Just had their spicy pork belly bibimbap. Great presentation and taste albeit I need to remind myself that pork belly is too fatty and I didn't particularly like the way Danji cubed the pork versus sliced. Service good and ambiance great.,0,0,0,Mary T.,"Downtown, Nashville, TN",0,26,35
5.0,4/12/2019,"Delicious food and great service. I've been a few times and recommend that others go. Everyone loves this place. If it's your first time it's safe to get the $55 menu instead of choosing everything separately, but it's all good. Second to none.",0,0,0,Pam L.,"Bloomfield, NJ",38,27,0
4.0,4/6/2019,"Still going strong, despite having been open for almost nine years! Such a great option for cozy, casual bites in Hell's Kitchen. The space is tight, and you should expect to be quite close to other diners. Some of the seating is at shared tables, but I think they try to avoid sitting one party right next to another, unless there's really no other choice. That being said, we didn't find it obtrusive, obviously not atypical for the city, and the atmosphere was fun and inviting. Food is awesome; would call the style something like Korean tapas. Menu is comprised of small, medium and large format plates. So, it's easy to make the experience whatever you'd like by mixing and matching. All our selections were very flavorful and generally unique. We had:-Tofu with Ginger Scallion Dressing (crispy tempura flakes & soy vinaigrette - $15): Pretty tasty for tofu. Between the tempura flakes and dressing, it has both nice texture and flavor. Just wish the pieces were a bit smaller to get more of the crispy exterior, as well as maneuver more easily with chopsticks.-Spicy Pork Belly Sliders (scallions, cucumber julienne & gochujang - $16): Very enjoyable, especially with the little kick from a slice of pepper and the gochujang. Fatty and moist, but not overwhelmingly so, the bun was light and airy.-Spicy 'KFC' Korean Fire Chicken Wings (d'artagnan organic chicken, peanuts, cilantro & pickled daikon - $18): Spicy, but not alarmingly so, and every bit worth the mess (don't worry they provide hand towels!). Great crunch - highly recommend!-'Danji' Braised Black Angus Short Rib (fingerlings,pearl onion, sweet potato purée, pine nuts - $44): Believe this is like the traditional Korean dish galbi jjim, but it has almost a Western sense about it. It's pretty rich, and between the potatoes and rice, quite filling. Flavors were well developed. Would probably order more small/medium plates instead of this next time, though.For drinks, if there is one thing we just have to get at Danji, it's the Spicy Ginger Margarita (corazon tequila, ginger, jalapeno, lime - $15). It's amazing, great balance and interesting without being overly contrived. Plus, it pairs nicely with the food, cutting through the fat and standing up to the spice. I could drink it any time!In terms of service, our waitress was attentive and great at guiding us through options and getting the right amount of food.Overall, a solid experience and we look forward to returning!",0,0,0,D. L. J.,"Manhattan, New York, NY",1,115,647
5.0,3/28/2019,"This place is a cozy little building, can't hold more than 20 people is my guess. We arrived around lunch time on a Sunday and didn't wait long at all. The food was incredible, and I plan on coming back. My only complaint is both mine and my friends meals were more expensive than what the menu said, but we didn't feel like fighting it. Oh well",0,0,0,Garrett S.,"Lynchburg, VA",190,20,73
5.0,3/20/2019,"The marinated black cod was amazing!  The two trio appetizers were excellent also.  That combo made a full, healthy meal.",0,0,0,David W.,"Morrisville, NC",0,5,1
4.0,3/10/2019,"Did the tasting menu (7 courses for $55) and it was outstanding. My favorite dish was the pork belly, followed by the toasted rice ice cream. I recommend making a reservation in advance - it was pretty crowded when we got there, though you might be able to just get a seat at the bar if you don't mind that. Service was great - waiters were very attentive and let me try some of the wine before I made a decision on which wine I wanted to order. A little pricey but otherwise great food! Try to come on a Sunday for half off all bottles of wine (doesn't include sake or Soju).",0,0,0,Tansy W.,"New York, NY",31,275,363
