rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/28/2019,Dipped in for drinks and some apps since we have frequented many times in Maui. Bartender was awesome and all the food and drinks were the same quality we have been used to when visiting in Maui. Just great!,0,0,0,Brad H.,"Washington, CT",3,43,13
4.0,4/26/2019,"So my first time here was through Yelp. It my first Yelp Elite event and I had such a great time, but I wasn't quite sure how their food really was because we got a bunch of finger foods at the event. Yesterday, I had a work lunch here and I was able to get a better idea of the place. I got a seared Ahi dish which was pretty good. The crab cakes and coconut shrimp appetizers were VERY delicious. I wish I got dessert but no one else was getting it so I felt bad.... I keep thinking about the chocolate mousse and the key lime pie I passed up on... (will have to make a trip one of these days). The service was great. The host was really accommodating and even came over to apologize for the food taking too ""long."" It was not even that long, but we appreciated it. I gotta give the service an A+. I have a feeling I will be going there real soon for a cocktail and dessert moment one day.",0,0,0,Alice R.,"Manhattan, NY",10,111,4
5.0,4/24/2019,I came here with my co-workers and really enjoyed their margaritas and fish tacos! I thought it was only a clothing shop but I am glad to know I can eat here now! I will definitely come back with friends or family. Highly recommend.,0,0,0,Wendy T.,"CORONA, NY",35,8,0
4.0,4/21/2019,"The Summary:Atmosphere - 3/5Neighborhood - 4/5Food - 5/5Drinks - 4/5Inclusivity - 4/5Experience - 4/5The Story:Note that this restaurant is above the store, but it shouldn't be difficult to find. It's a bar/restaurant that guarantees a fun time, but the attempted Caribbean infusion is on the cornier side (although this seems to be a fact with the brand at large).That aside, I had a great time here because of the food. I enjoyed the Coconut Crusted Crab Cakes and the Ahi Tuna Tacos (I highly recommend the latter!!). My drinks were great as well, but the tastiness of the food was the most memorable part of my being here. Come here for a yummy post-work drink or to enjoy a unique meal before exploring the rest of Midtown!",0,0,0,Maya W.,"New York, NY",386,77,170
5.0,4/19/2019,"For what it is, this place is an absolute home run. One of my favorite salads of my life---tied with the Lobster Cobb at the Marina Del Rey Ritz Carlton. Crab meat/avocado salad with capers. It comes shaped like tuna tartare. And it's enormous. 24 bucks but a large portion and I brought some home. Best guacamole I've had in Manhattan (sorry, Rosa Mexicano, I love you but this was even better). The decor is elegant but island-casual. The noise level low, even when every table it occupied on a beautiful Friday at lunch. I'd never heard of this place. I don't like this part of town (the 40s on 5th just weird, congested, and hard to walk because people lollygagg and there's so much scaffolding). But I cannot wait to go back for that salad. I'm still thinking about it.",2,0,3,Victoria O.,"New York, NY",806,863,381
2.0,4/14/2019,"If you like flavorless and run-of-the-mill eats, look no further than Tommy Bahama Restaurant on 5th Ave in the heart of Manhattan. FYI: Restaurant is located above the Tommy Bahama Store. Walked through the store and hustled up a flight of stairs to get there.Was warmly greeted and promptly seated by a hostess. Atmosphere reminded me of an exclusive resort somewhere in the Caribbean...candles everywhere, lots of tropical plants, comfy canvas furniture, and a roomy bar with a flat screen. The live entertainment was the highlight...didn't get any ""American Idol"" vibes from the guy singing and strumming the guitar, but his performance was pretty decent.Food was overpriced and not very good. The highly touted Blackened Fish Tacos were bland. They came with a few overcooked plantains and a small container of sugary tasting dipping sauce. Bungalow Salad was fresh, but the excessive amount of feta cheese made the salad too salty. Lump Crab Bisque was tasty. Server was standoffish and a little inattentive. However, the food arrived rather quickly. Manager stopped by the table and asked how the food was...told her the tacos were bland. She offered to bring out some ""seasonings"" for the tacos. I declined. After being offered seasonings and nothing else, I decided to leave. Didn't even bother ordering dessert. Paid for the dinner and left. Overall, just a ""meh"" dining experience.Side note: Ladies bathroom was a bit messy...two of the bathroom stalls was littered with toilet paper.",8,4,6,Maria M.,"Washington, DC",22,82,404
4.0,4/9/2019,The bar  j6st right! The ambitious ambience was great. Stopped here for drinks with hubby. Just felt nice to be a in a classy bar againWe will definitely return,0,1,0,caroline l.,"Fresh Meadows, NY",204,42,35
5.0,4/1/2019,"This restaurant is pleasantly surprising because it's above a clothing store and you don't expect much from it, but the food, drinks and service are exceptional. I would definitely recommend anything with the ahi tuna, the fish tacos and the steak as my top 3 favorites. Do NOT skip dessert, especially the key lime pie. The bar nuts are addicting and are sold in store. Live music here Tuesday-Saturday. Take out of town family here or happy hour with colleagues when you want to feel like you're on vacation. From our event it seems like they'd do a great private party too!",1,0,1,Stephanie C.,"New York, NY",511,124,148
4.0,3/2/2019,A little overpriced but food is great! I order wagyu burger every time I am in the neighborhood.,0,0,0,David Z.,"New York, NY",0,17,1
5.0,2/28/2019,Best place for creating unforgettable memories.Thank you so much Ela.Delicious food.,0,0,0,Shima M.,"New York, NY",0,6,0
